POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,David Hussey,1,2,2,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
2,Sunil Narine,3.1,15,4,4.75,MI,Wankhede Stadium,16 May 2012
3,Ravindra Jadeja,4,16,5,4.8,DEC,ACA-VDCA Stadium,07 April 2012
4,Sunil Narine,4,19,5,4.8,PBKS,Eden Gardens,15 April 2012
5,Dimitri Mascarenhas,4,25,5,4.8,PWI,IS Bindra Stadium,12 April 2012
6,Munaf Patel,3.4,28,4,5.5,RR,Wankhede Stadium,11 April 2012
7,Lasith Malinga,3.4,16,4,5.5,DEC,Wankhede Stadium,29 April 2012
8,Lakshmipathy Balaji,4,18,4,6,RCB,M. Chinnaswamy Stadium,10 April 2012
9,KP Appanna,4,19,4,6,RR,Sawai Mansingh Stadium,23 April 2012
10,Morne Morkel,4,20,4,6,PBKS,HPCA Stadium,19 May 2012
11,Ashok Dinda,4,18,4,6,MI,Wankhede Stadium,06 April 2012
12,Parvinder Awana,4,34,4,6,RCB,IS Bindra Stadium,20 April 2012
13,Munaf Patel,4,20,4,6,DEC,ACA-VDCA Stadium,09 April 2012
14,Ajit Chandila,4,13,4,6,PWI,Sawai Mansingh Stadium,13 May 2012
15,Kevon Cooper,4,26,4,6,PBKS,Sawai Mansingh Stadium,06 April 2012
16,Kieron Pollard,4,44,4,6,RR,Wankhede Stadium,11 April 2012
17,Ryan Harris,4,34,4,6,RR,IS Bindra Stadium,05 May 2012
18,Siddharth Trivedi,4,25,4,6,RCB,M. Chinnaswamy Stadium,15 April 2012
19,Pawan Negi,4,18,4,6,RR,Sawai Mansingh Stadium,01 May 2012
20,Morne Morkel,3,18,3,6,KKR,Eden Gardens,05 April 2012
21,Doug Bollinger,3,24,3,6,RCB,Chidambaram,12 April 2012
22,Ravindra Jadeja,2,18,2,6,RCB,Chidambaram,12 April 2012
23,Umesh Yadav,2,9,2,6,KKR,Eden Gardens,05 April 2012
24,Nuwan Kulasekara,2,10,2,6,PWI,Chidambaram,19 April 2012
25,Ravindra Jadeja,2,12,2,6,MI,Wankhede Stadium,06 May 2012
26,Yusuf Pathan,2,12,2,6,PWI,Maharashtra Cricket Association's International Stadium,19 May 2012
27,Shadab Jakati,2,14,2,6,DEC,ACA-VDCA Stadium,07 April 2012
28,Jacques Kallis,2,7,2,6,RCB,M. Chinnaswamy Stadium,10 April 2012
29,Doug Bollinger,2.1,20,2,6.5,DEC,ACA-VDCA Stadium,07 April 2012
30,Harmeet Singh Bansal,3.2,24,3,6.66,PWI,Maharashtra Cricket Association's International Stadium,08 April 2012
31,Ravichandran Ashwin,3.5,24,3,7.66,DC,Chidambaram,25 May 2012
32,Shakib Al Hasan,4,17,3,8,RR,Eden Gardens,13 April 2012
33,Marlon Samuels,4,39,3,8,CSK,Chidambaram,19 April 2012
34,Albie Morkel,4,29,3,8,PBKS,Chidambaram,28 April 2012
35,Amit Mishra,4,32,3,8,RR,Sawai Mansingh Stadium,17 April 2012
36,Ashish Nehra,4,23,3,8,RR,Sawai Mansingh Stadium,13 May 2012
37,Piyush Chawla,4,18,3,8,KKR,Eden Gardens,15 April 2012
38,Morne Morkel,4,23,3,8,DEC,Arun Jaitley Stadium,19 April 2012
39,Robin Peterson,4,37,3,8,DC,Arun Jaitley Stadium,27 April 2012
40,Kevon Cooper,4,28,3,8,KKR,Sawai Mansingh Stadium,08 April 2012
41,Azhar Mahmood,4,20,3,8,RCB,M. Chinnaswamy Stadium,02 May 2012
42,Muttiah Muralitharan,4,25,3,8,DC,M. Chinnaswamy Stadium,07 April 2012
43,Muttiah Muralitharan,4,21,3,8,CSK,Chidambaram,12 April 2012
44,Shaun Tait,4,13,3,8,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
45,Shahbaz Nadeem,4,16,3,8,DEC,Arun Jaitley Stadium,19 April 2012
46,Dale Steyn,4,8,3,8,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
47,Lasith Malinga,4,27,3,8,DEC,ACA-VDCA Stadium,09 April 2012
48,Parvinder Awana,4,39,3,8,MI,IS Bindra Stadium,25 April 2012
49,Vinay Kumar,4,32,3,8,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
50,Umesh Yadav,4,21,3,8,PBKS,Arun Jaitley Stadium,15 May 2012
51,Ashish Reddy,4,25,3,8,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
52,Morne Morkel,4,50,3,8,PWI,Arun Jaitley Stadium,21 April 2012
53,Azhar Mahmood,4,25,3,8,CSK,Chidambaram,28 April 2012
54,Lasith Malinga,4,25,3,8,CSK,Wankhede Stadium,06 May 2012
55,Dhawal Kulkarni,4,18,3,8,RR,Sawai Mansingh Stadium,20 May 2012
56,Marchant de Lange,4,34,3,8,PWI,Eden Gardens,05 May 2012
57,Umesh Yadav,4,19,3,8,PBKS,HPCA Stadium,19 May 2012
58,Parvinder Awana,4,22,3,8,DC,Arun Jaitley Stadium,15 May 2012
59,Dhawal Kulkarni,4,46,3,8,CSK,M. Chinnaswamy Stadium,23 May 2012
60,Vinay Kumar,4,22,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
61,Alfonso Thomas,4,22,3,8,DC,Arun Jaitley Stadium,21 April 2012
62,RP Singh,4,28,3,8,CSK,Wankhede Stadium,06 May 2012
63,Dale Steyn,4,12,3,8,MI,ACA-VDCA Stadium,09 April 2012
64,Ben Hilfenhaus,4,27,3,8,DC,Chidambaram,12 May 2012
65,Zaheer Khan,4,38,3,8,DC,Arun Jaitley Stadium,17 May 2012
66,Doug Bracewell,4,32,3,8,RCB,M. Chinnaswamy Stadium,07 April 2012
67,James Franklin,3,18,2,9,DEC,Wankhede Stadium,29 April 2012
68,Shakib Al Hasan,3,21,2,9,RCB,M. Chinnaswamy Stadium,10 April 2012
69,Rahul Sharma,3,16,2,9,CSK,Maharashtra Cricket Association's International Stadium,14 April 2012
70,Dwayne Bravo,3,10,2,9,MI,M. Chinnaswamy Stadium,23 May 2012
71,Veer Pratap Singh,3,35,2,9,CSK,Chidambaram,04 May 2012
72,Pragyan Ojha,3,28,2,9,PBKS,Wankhede Stadium,22 April 2012
73,Ankeet Chavan,3,28,2,9,PBKS,Sawai Mansingh Stadium,06 April 2012
74,Roelof van der Merwe,3,28,2,9,KKR,Eden Gardens,05 April 2012
75,Shane Watson,3,19,2,9,PWI,Sawai Mansingh Stadium,13 May 2012
76,Bhuvneshwar Kumar,3,9,2,9,MI,Maharashtra Cricket Association's International Stadium,03 May 2012
77,Harmeet Singh Bansal,3,23,2,9,PWI,IS Bindra Stadium,12 April 2012
78,Dwayne Bravo,3,18,2,9,PBKS,HPCA Stadium,17 May 2012
79,Murali Kartik,3,14,2,9,MI,Wankhede Stadium,06 April 2012
80,Ajit Agarkar,3.2,27,2,10,MI,Wankhede Stadium,16 April 2012
81,Azhar Mahmood,3.2,23,2,10,DC,HPCA Stadium,19 May 2012
82,Ravichandran Ashwin,3.4,22,2,11,KKR,Chidambaram,30 April 2012
83,Lasith Malinga,3.5,16,2,11.5,CSK,Chidambaram,04 April 2012
84,Amit Singh,3.5,43,2,11.5,RCB,M. Chinnaswamy Stadium,15 April 2012
85,Azhar Mahmood,3.5,23,2,11.5,MI,IS Bindra Stadium,25 April 2012
86,Piyush Chawla,4,19,2,12,KKR,IS Bindra Stadium,18 April 2012
87,Lasith Malinga,4,31,2,12,DC,Arun Jaitley Stadium,27 April 2012
88,Johan Botha,4,21,2,12,PBKS,IS Bindra Stadium,05 May 2012
89,Azhar Mahmood,4,39,2,12,DEC,IS Bindra Stadium,13 May 2012
90,Zaheer Khan,4,30,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
91,Rahul Sharma,4,34,2,12,PBKS,Maharashtra Cricket Association's International Stadium,08 April 2012
92,Shahbaz Nadeem,4,16,2,12,MI,Wankhede Stadium,16 April 2012
93,Lasith Malinga,4,25,2,12,PWI,Maharashtra Cricket Association's International Stadium,03 May 2012
94,Ben Hilfenhaus,4,8,2,12,RR,Sawai Mansingh Stadium,10 May 2012
95,Sourav Ganguly,4,27,2,12,DC,Arun Jaitley Stadium,21 April 2012
96,Dwayne Bravo,4,27,2,12,KKR,Chidambaram,30 April 2012
97,Parvinder Awana,4,27,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
98,Azhar Mahmood,4,28,2,12,CSK,HPCA Stadium,17 May 2012
99,Lasith Malinga,4,13,2,12,RR,Wankhede Stadium,11 April 2012
100,Ben Hilfenhaus,4,34,2,12,MI,Wankhede Stadium,06 May 2012
101,Shadab Jakati,4,26,2,12,KKR,Eden Gardens,14 May 2012
102,Jacques Kallis,4,24,2,12,DC,Maharashtra Cricket Association's International Stadium,22 May 2012
103,Zaheer Khan,4,31,2,12,KKR,M. Chinnaswamy Stadium,10 April 2012
104,Ashish Reddy,4,32,2,12,PWI,Maharashtra Cricket Association's International Stadium,26 April 2012
105,Angelo Mathews,4,17,2,12,KKR,Eden Gardens,05 May 2012
106,Shakib Al Hasan,4,18,2,12,PWI,Maharashtra Cricket Association's International Stadium,19 May 2012
107,Amit Singh,4,30,2,12,KKR,Sawai Mansingh Stadium,08 April 2012
108,Sunil Narine,4,26,2,12,DEC,Barabati Stadium,22 April 2012
109,Andrew McDonald,4,25,2,12,PBKS,M. Chinnaswamy Stadium,02 May 2012
110,Varun Aaron,4,30,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
111,Dale Steyn,4,16,2,12,RR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2012
112,Morne Morkel,4,30,2,12,RCB,M. Chinnaswamy Stadium,07 April 2012
113,Umesh Yadav,4,30,2,12,KKR,Arun Jaitley Stadium,07 May 2012
114,Shane Watson,4,22,2,12,PBKS,IS Bindra Stadium,05 May 2012
115,Dan Christian,4,31,2,12,PBKS,IS Bindra Stadium,13 May 2012
116,Amit Mishra,4,26,2,12,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
117,Morne Morkel,4,22,2,12,MI,Wankhede Stadium,16 April 2012
118,Harshal Patel,4,32,2,12,RR,Sawai Mansingh Stadium,23 April 2012
119,Harbhajan Singh,4,18,2,12,PWI,Maharashtra Cricket Association's International Stadium,03 May 2012
