POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Laxmi Ratan Shukla,0.5,6,3,1.66,DC,Eden Gardens,13 May 2008
2,James Hopes,1,2,2,3,DC,Arun Jaitley Stadium,17 May 2008
3,Sohail Tanvir,4,14,6,4,CSK,Sawai Mansingh Stadium,04 May 2008
4,Shoaib Akhtar,3,11,4,4.5,DC,Eden Gardens,13 May 2008
5,Amit Mishra,4,17,5,4.8,DEC,Arun Jaitley Stadium,15 May 2008
6,Lakshmipathy Balaji,4,24,5,4.8,PBKS,Chidambaram,10 May 2008
7,Yo Mahesh,4,36,4,6,MI,Arun Jaitley Stadium,24 May 2008
8,Sohail Tanvir,4,14,4,6,MI,Sawai Mansingh Stadium,26 May 2008
9,Dilhara Fernando,4,18,4,6,RCB,M. Chinnaswamy Stadium,28 May 2008
10,Umar Gul,4,23,4,6,PBKS,Eden Gardens,25 May 2008
11,Makhaya Ntini,4,21,4,6,KKR,Eden Gardens,18 May 2008
12,Glenn McGrath,4,29,4,6,RCB,Arun Jaitley Stadium,30 April 2008
13,Albie Morkel,4,32,4,6,RCB,Chidambaram,21 May 2008
14,Shane Watson,3,10,3,6,DC,Wankhede Stadium,30 May 2008
15,Ashish Nehra,3,13,3,6,RR,DY Patil Stadium,07 May 2008
16,Yuvraj Singh,2,12,2,6,MI,Wankhede Stadium,21 May 2008
17,Ramesh Powar,2,22,2,6,DC,Arun Jaitley Stadium,17 May 2008
18,Pragyan Ojha,2,19,2,6,DC,Arun Jaitley Stadium,15 May 2008
19,Ajit Agarkar,2,19,2,6,DEC,Eden Gardens,20 April 2008
20,Yusuf Pathan,2,20,2,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
21,Dwayne Bravo,2.2,12,2,7,RR,DY Patil Stadium,07 May 2008
22,Rohan Raje,2.2,16,2,7,KKR,Wankhede Stadium,16 May 2008
23,Murali Kartik,3.4,17,3,7.33,DEC,Eden Gardens,20 April 2008
24,Piyush Chawla,4,28,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008
25,Praveen Kumar,4,23,3,8,DEC,M. Chinnaswamy Stadium,03 May 2008
26,Ajit Agarkar,4,25,3,8,RCB,M. Chinnaswamy Stadium,18 April 2008
