POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Anil Kumble,3.3,16,4,5.25,DEC,DY Patil Stadium,24 April 2010
2,Siddharth Trivedi,2.5,16,3,5.66,DEC,Vidarbha Cricket Association Stadium,05 April 2010
3,Angelo Mathews,4,19,4,6,RCB,Eden Gardens,14 March 2010
4,Vinay Kumar,4,40,4,6,CSK,M. Chinnaswamy Stadium,23 March 2010
5,Doug Bollinger,4,13,4,6,DEC,DY Patil Stadium,22 April 2010
6,Shane Warne,4,21,4,6,DEC,Vidarbha Cricket Association Stadium,05 April 2010
7,Lasith Malinga,4,22,4,6,PBKS,Brabourne Stadium,30 March 2010
8,Zaheer Khan,3,21,3,6,DEC,DY Patil Stadium,28 March 2010
9,Vinay Kumar,3,23,3,6,KKR,M. Chinnaswamy Stadium,10 April 2010
10,JM Kemp,3,12,3,6,KKR,Eden Gardens,16 March 2010
11,Kamran Khan,2,13,2,6,KKR,Eden Gardens,17 April 2010
12,Yusuf Pathan,2,9,2,6,PBKS,IS Bindra Stadium,24 March 2010
13,Dwayne Bravo,2,11,2,6,DC,Arun Jaitley Stadium,17 March 2010
14,Love Ablish,2,17,2,6,MI,IS Bindra Stadium,09 April 2010
15,Jacques Kallis,2,3,2,6,DEC,DY Patil Stadium,24 April 2010
16,Zaheer Khan,2,10,2,6,DEC,Brabourne Stadium,03 April 2010
17,Shaun Tait,3.1,22,3,6.33,PBKS,IS Bindra Stadium,24 March 2010
18,Lakshmipathy Balaji,2.2,9,2,7,KKR,Eden Gardens,16 March 2010
19,Lasith Malinga,3.4,12,3,7.33,DEC,DY Patil Stadium,28 March 2010
20,Irfan Pathan,3.4,24,3,7.33,DC,Arun Jaitley Stadium,11 April 2010
21,Thilan Thushara,2.3,16,2,7.5,MI,Chidambaram,06 April 2010
22,Harbhajan Singh,2.3,23,2,7.5,DC,Arun Jaitley Stadium,17 March 2010
23,Anil Kumble,3.5,9,3,7.66,RR,M. Chinnaswamy Stadium,18 March 2010
24,Ryan Harris,4,18,3,8,CSK,Vidarbha Cricket Association Stadium,10 April 2010
25,Pragyan Ojha,4,26,3,8,MI,Brabourne Stadium,03 April 2010
26,Muttiah Muralitharan,4,25,3,8,RCB,M. Chinnaswamy Stadium,23 March 2010
27,Ryan Harris,4,29,3,8,CSK,DY Patil Stadium,22 April 2010
28,Zaheer Khan,4,34,3,8,PBKS,Brabourne Stadium,30 March 2010
29,Chaminda Vaas,4,21,3,8,CSK,Chidambaram,14 March 2010
30,Ashish Nehra,4,26,3,8,CSK,Chidambaram,15 April 2010
31,Piyush Chawla,4,24,3,8,MI,IS Bindra Stadium,09 April 2010
32,Amit Mishra,4,32,3,8,RCB,Arun Jaitley Stadium,04 April 2010
33,Amit Mishra,4,25,3,8,RR,Arun Jaitley Stadium,31 March 2010
34,Ravichandran Ashwin,4,16,3,8,KKR,Chidambaram,13 April 2010
35,Vinay Kumar,4,25,3,8,MI,Brabourne Stadium,20 March 2010
36,RP Singh,4,31,3,8,MI,DY Patil Stadium,28 March 2010
37,Shaun Tait,4,22,3,8,DEC,Narendra Modi Stadium,26 March 2010
38,Ravi Bopara,4,31,3,8,MI,Brabourne Stadium,30 March 2010
39,Irfan Pathan,4,29,3,8,MI,IS Bindra Stadium,09 April 2010
40,Shane Watson,4,37,3,8,MI,Sawai Mansingh Stadium,11 April 2010
41,Dale Steyn,4,26,3,8,MI,Brabourne Stadium,20 March 2010
42,RP Singh,4,17,3,8,RR,Vidarbha Cricket Association Stadium,05 April 2010
43,Harbhajan Singh,4,31,3,8,DEC,DY Patil Stadium,28 March 2010
44,Kieron Pollard,4,17,3,8,RCB,DY Patil Stadium,21 April 2010
45,Praveen Kumar,4,18,3,8,RR,M. Chinnaswamy Stadium,18 March 2010
46,Muttiah Muralitharan,4,16,3,8,PBKS,Chidambaram,21 March 2010
47,Kieron Pollard,4,28,3,8,RCB,M. Chinnaswamy Stadium,17 April 2010
48,Sumit Narwal,4,36,3,8,DC,Arun Jaitley Stadium,31 March 2010
49,Jaydev Unadkat,4,26,3,8,RR,Eden Gardens,17 April 2010
50,Dale Steyn,4,18,3,8,DEC,Vidarbha Cricket Association Stadium,12 April 2010
51,Pradeep Sangwan,4,22,3,8,RCB,Arun Jaitley Stadium,04 April 2010
52,Andrew Symonds,4,21,3,8,DC,Barabati Stadium,21 March 2010
53,Jaskaran Singh,3,30,2,9,MI,DY Patil Stadium,28 March 2010
54,Charl Langeveldt,3,35,2,9,DC,Arun Jaitley Stadium,29 March 2010
55,Harbhajan Singh,3,16,2,9,DEC,Brabourne Stadium,03 April 2010
56,Chaminda Vaas,3,22,2,9,KKR,DY Patil Stadium,12 March 2010
57,Jaskaran Singh,3,18,2,9,KKR,Eden Gardens,01 April 2010
58,Shalabh Srivastava,3,23,2,9,KKR,IS Bindra Stadium,27 March 2010
59,Shadab Jakati,3,26,2,9,MI,DY Patil Stadium,25 April 2010
60,Andrew Symonds,3,29,2,9,CSK,Chidambaram,14 March 2010
61,MF Maharoof,3,13,2,9,RR,Arun Jaitley Stadium,31 March 2010
62,Lakshmipathy Balaji,3,21,2,9,DC,Arun Jaitley Stadium,19 March 2010
63,Ashok Dinda,3.1,15,2,9.5,RCB,M. Chinnaswamy Stadium,10 April 2010
64,Ryan Harris,3.4,34,2,11,RCB,Vidarbha Cricket Association Stadium,12 April 2010
65,Siddharth Trivedi,3.4,32,2,11,RCB,Sawai Mansingh Stadium,14 April 2010
66,Sanath Jayasuriya,4,17,2,12,DC,Arun Jaitley Stadium,17 March 2010
67,Ashok Dinda,4,24,2,12,RR,Eden Gardens,17 April 2010
68,Shaun Tait,4,22,2,12,CSK,Narendra Modi Stadium,28 March 2010
69,Harmeet Singh Bansal,4,24,2,12,RCB,Vidarbha Cricket Association Stadium,12 April 2010
70,Lasith Malinga,4,24,2,12,RCB,DY Patil Stadium,21 April 2010
71,Sumit Narwal,4,35,2,12,DEC,Narendra Modi Stadium,26 March 2010
72,Dimitri Mascarenhas,4,34,2,12,MI,Brabourne Stadium,13 March 2010
73,Jacques Kallis,4,31,2,12,KKR,M. Chinnaswamy Stadium,10 April 2010
74,Shane Bond,4,24,2,12,MI,Eden Gardens,19 April 2010
75,Yusuf Pathan,4,23,2,12,KKR,Narendra Modi Stadium,20 March 2010
76,Harmeet Singh Bansal,4,25,2,12,RR,Vidarbha Cricket Association Stadium,05 April 2010
77,MF Maharoof,4,50,2,12,MI,Arun Jaitley Stadium,17 March 2010
78,Harbhajan Singh,4,28,2,12,RCB,M. Chinnaswamy Stadium,17 April 2010
79,Shane Bond,4,24,2,12,PBKS,IS Bindra Stadium,27 March 2010
80,Paul Collingwood,4,19,2,12,PBKS,Arun Jaitley Stadium,11 April 2010
81,Ashish Nehra,4,32,2,12,DEC,Arun Jaitley Stadium,18 April 2010
