,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
76,Siddarth Kaul,4,64,2,12,MI,Sharjah Cricket Stadium,04 October 2020
77,Chris Morris,4,17,2,12,KKR,Sharjah Cricket Stadium,12 October 2020
78,Rahul Chahar,4,22,2,12,CSK,Sharjah Cricket Stadium,23 October 2020
79,Isuru Udana,4,41,2,12,RR,Zayed Cricket Stadium,03 October 2020
80,Mohammad Shami,4,30,2,12,MI,Dubai International Stadium,18 October 2020
81,Deepak Chahar,4,32,2,12,MI,Zayed Cricket Stadium,19 September 2020
82,Jofra Archer,4,18,2,12,KKR,Dubai International Stadium,30 September 2020
83,Yuzvendra Chahal,4,34,2,12,RR,Dubai International Stadium,17 October 2020
84,Shreyas Gopal,4,30,2,12,MI,Zayed Cricket Stadium,25 October 2020
85,Shahbaz Nadeem,4,19,2,12,MI,Sharjah Cricket Stadium,03 November 2020
86,Anrich Nortje,4,22,2,12,RCB,Dubai International Stadium,05 October 2020
87,Kagiso Rabada,4,33,2,12,KKR,Zayed Cricket Stadium,24 October 2020
88,Trent Boult,4,30,2,12,KKR,Zayed Cricket Stadium,23 September 2020
89,Trent Boult,4,28,2,12,SRH,Sharjah Cricket Stadium,04 October 2020
90,Varun Chakaravarthy,4,20,2,12,CSK,Dubai International Stadium,29 October 2020
91,Jasprit Bumrah,4,18,2,12,PBKS,Zayed Cricket Stadium,01 October 2020
92,Ravi Bishnoi,4,20,2,12,KKR,Sharjah Cricket Stadium,26 October 2020
93,T Natarajan,4,33,2,12,RCB,Zayed Cricket Stadium,06 November 2020
94,Amit Mishra,4,35,2,12,SRH,Zayed Cricket Stadium,29 September 2020
95,Shardul Thakur,4,28,2,12,KKR,Zayed Cricket Stadium,07 October 2020
96,Jason Holder,4,27,2,12,PBKS,Dubai International Stadium,24 October 2020
97,Kagiso Rabada,4,30,2,12,RCB,Zayed Cricket Stadium,02 November 2020
98,Shardul Thakur,4,39,2,12,PBKS,Dubai International Stadium,04 October 2020
99,Washington Sundar,4,20,2,12,KKR,Sharjah Cricket Stadium,12 October 2020
100,Jasprit Bumrah,4,25,2,12,CSK,Sharjah Cricket Stadium,23 October 2020
101,Sunil Narine,4,28,2,12,PBKS,Zayed Cricket Stadium,10 October 2020
102,Deepak Chahar,4,18,2,12,RR,Zayed Cricket Stadium,19 October 2020
103,Yuzvendra Chahal,4,37,2,12,MI,Zayed Cricket Stadium,28 October 2020
104,Jofra Archer,4,31,2,12,MI,Zayed Cricket Stadium,25 October 2020
105,Jason Holder,4,25,2,12,MI,Sharjah Cricket Stadium,03 November 2020
106,Anrich Nortje,4,21,2,12,CSK,Dubai International Stadium,25 September 2020
107,Trent Boult,4,26,2,12,RR,Zayed Cricket Stadium,06 October 2020
108,Karn Sharma,4,37,2,12,SRH,Dubai International Stadium,13 October 2020
109,Anrich Nortje,4,27,2,12,KKR,Zayed Cricket Stadium,24 October 2020
110,Shivam Mavi,4,15,2,12,RR,Dubai International Stadium,01 November 2020
111,Rahul Chahar,4,26,2,12,KKR,Zayed Cricket Stadium,23 September 2020
112,Jasprit Bumrah,4,41,2,12,SRH,Sharjah Cricket Stadium,04 October 2020
113,Rashid Khan,4,25,2,12,RR,Dubai International Stadium,11 October 2020
114,Jofra Archer,4,21,2,12,SRH,Dubai International Stadium,22 October 2020
115,Jofra Archer,4,26,2,12,PBKS,Zayed Cricket Stadium,30 October 2020
116,Sheldon Cottrell,4,24,2,12,DC,Dubai International Stadium,20 September 2020
117,James Pattinson,4,28,2,12,PBKS,Zayed Cricket Stadium,01 October 2020
118,Rahul Chahar,4,33,2,12,PBKS,Dubai International Stadium,18 October 2020
119,Sandeep Sharma,4,27,2,12,DC,Dubai International Stadium,27 October 2020
120,Kagiso Rabada,4,21,2,12,SRH,Zayed Cricket Stadium,29 September 2020
121,Mohammad Shami,4,45,2,12,RCB,Sharjah Cricket Stadium,15 October 2020
122,Rashid Khan,4,14,2,12,PBKS,Dubai International Stadium,24 October 2020
123,Mohammed Siraj,4,34,2,12,DC,Dubai International Stadium,05 October 2020
124,Sandeep Sharma,4,19,2,12,CSK,Dubai International Stadium,13 October 2020
125,Sandeep Sharma,4,20,2,12,RCB,Sharjah Cricket Stadium,31 October 2020
126,Harshal Patel,4,34,2,12,KKR,Sharjah Cricket Stadium,03 October 2020
127,Shardul Thakur,4,40,2,12,RCB,Dubai International Stadium,10 October 2020
128,Mohammad Shami,4,28,2,12,DC,Dubai International Stadium,20 October 2020
129,Nathan Coulter-Nile,4,29,2,12,DC,Dubai International Stadium,10 November 2020
130,Ravindra Jadeja,4,42,2,12,MI,Zayed Cricket Stadium,19 September 2020
131,Shivam Mavi,4,20,2,12,RR,Dubai International Stadium,30 September 2020
132,Anrich Nortje,4,44,2,12,CSK,Sharjah Cricket Stadium,17 October 2020
133,Anrich Nortje,4,33,2,12,RR,Dubai International Stadium,14 October 2020
134,Varun Chakaravarthy,4,20,2,12,RR,Dubai International Stadium,01 November 2020
135,Jasprit Bumrah,4,32,2,12,KKR,Zayed Cricket Stadium,23 September 2020
136,James Pattinson,4,29,2,12,SRH,Sharjah Cricket Stadium,04 October 2020
137,Krunal Pandya,4,26,2,12,DC,Zayed Cricket Stadium,11 October 2020
138,Ben Stokes,4,32,2,12,PBKS,Zayed Cricket Stadium,30 October 2020
139,Deepak Chahar,4,31,2,12,SRH,Dubai International Stadium,02 October 2020
140,T Natarajan,4,26,2,12,DC,Dubai International Stadium,27 October 2020
141,Mohammed Siraj,4,28,2,12,SRH,Zayed Cricket Stadium,06 November 2020
142,Bhuvneshwar Kumar,4,25,2,12,DC,Zayed Cricket Stadium,29 September 2020
143,Sam Curran,4,26,2,12,KKR,Zayed Cricket Stadium,07 October 2020
144,Murugan Ashwin,4,23,2,12,RCB,Sharjah Cricket Stadium,15 October 2020
145,Deepak Chahar,4,31,2,12,RCB,Dubai International Stadium,25 October 2020
146,Shahbaz Ahmed,4,26,2,12,DC,Zayed Cricket Stadium,02 November 2020
147,Axar Patel,4,18,2,12,RCB,Dubai International Stadium,05 October 2020
148,T Natarajan,4,41,2,12,CSK,Dubai International Stadium,13 October 2020
149,Jason Holder,4,27,2,12,RCB,Sharjah Cricket Stadium,31 October 2020
150,Kagiso Rabada,4,27,2,12,PBKS,Dubai International Stadium,20 October 2020
