POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Suresh Raina,0.3,0,2,1.5,RR,Sawai Mansingh Stadium,09 May 2011
2,Yusuf Pathan,1,4,2,3,RR,Sawai Mansingh Stadium,15 April 2011
3,Lakshmipathy Balaji,1,7,2,3,PWI,DY Patil Stadium,19 May 2011
4,Ishant Sharma,3,12,5,3.6,KTK,Jawaharlal Nehru Stadium,27 April 2011
5,Johan Botha,2,6,3,4,MI,Sawai Mansingh Stadium,29 April 2011
6,Bhargav Bhatt,2.5,22,4,4.25,MI,IS Bindra Stadium,10 May 2011
7,Lasith Malinga,3.4,13,5,4.4,DC,Arun Jaitley Stadium,10 April 2011
8,Munaf Patel,2.2,8,3,4.66,PWI,Wankhede Stadium,20 April 2011
9,Harbhajan Singh,4,18,5,4.8,CSK,Wankhede Stadium,22 April 2011
10,Munaf Patel,4,21,5,4.8,PBKS,IS Bindra Stadium,10 May 2011
11,Paul Valthaty,4,29,4,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
12,Yuvraj Singh,4,29,4,6,DC,DY Patil Stadium,17 April 2011
13,Sreenath Aravind,4,14,4,6,PBKS,M. Chinnaswamy Stadium,06 May 2011
14,RP Singh,4,25,4,6,PBKS,Holkar Cricket Stadium,13 May 2011
15,Amit Mishra,4,9,4,6,PBKS,HPCA Stadium,21 May 2011
16,Piyush Chawla,4,17,4,6,RCB,HPCA Stadium,17 May 2011
17,Brad Hodge,4,13,4,6,RR,Holkar Cricket Stadium,15 May 2011
18,Mitchell Marsh,4,25,4,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
19,Ryan Harris,3,28,3,6,RCB,HPCA Stadium,17 May 2011
20,Shrikant Wagh,3,16,3,6,PBKS,DY Patil Stadium,10 April 2011
21,Anand Rajan,3,27,3,6,MI,Wankhede Stadium,14 May 2011
22,Lakshmipathy Balaji,3,15,3,6,RR,Eden Gardens,17 April 2011
23,Brad Hodge,2,14,2,6,PWI,DY Patil Stadium,13 April 2011
24,Dale Steyn,3.3,16,3,7,KTK,Jawaharlal Nehru Stadium,27 April 2011
25,Kieron Pollard,2.3,24,2,7.5,DC,Wankhede Stadium,07 May 2011
26,Roelof van der Merwe,3.5,20,3,7.66,KTK,Jawaharlal Nehru Stadium,30 April 2011
27,Shaun Tait,4,22,3,8,PBKS,IS Bindra Stadium,21 April 2011
28,Manpreet Gony,4,31,3,8,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
29,Ryan Harris,4,38,3,8,RCB,M. Chinnaswamy Stadium,06 May 2011
30,Pragyan Ojha,4,26,3,8,CSK,Chidambaram,01 May 2011
31,Shane Warne,4,16,3,8,KTK,Sawai Mansingh Stadium,24 April 2011
32,Rahul Sharma,4,13,3,8,RR,Sawai Mansingh Stadium,01 May 2011
33,Daniel Vettori,4,19,3,8,MI,Chidambaram,27 May 2011
34,Dale Steyn,4,24,3,8,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
35,Siddharth Trivedi,4,19,3,8,KTK,Sawai Mansingh Stadium,24 April 2011
36,Yusuf Pathan,4,20,3,8,KTK,Eden Gardens,20 April 2011
37,Piyush Chawla,4,16,3,8,DC,HPCA Stadium,15 May 2011
38,Morne Morkel,4,18,3,8,KTK,Jawaharlal Nehru Stadium,30 April 2011
39,Amit Singh,4,35,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
40,Chris Gayle,4,21,3,8,PBKS,M. Chinnaswamy Stadium,06 May 2011
41,Albie Morkel,4,38,3,8,DEC,Chidambaram,01 May 2011
42,Rajat Bhatia,4,22,3,8,MI,Eden Gardens,22 May 2011
43,Doug Bollinger,4,21,3,8,PWI,DY Patil Stadium,27 April 2011
44,Ravichandran Ashwin,4,16,3,8,RCB,Chidambaram,28 May 2011
45,Shane Watson,4,19,3,8,MI,Wankhede Stadium,20 May 2011
46,Shakib Al Hasan,4,28,3,8,KTK,Eden Gardens,20 April 2011
47,Lasith Malinga,4,25,3,8,PWI,DY Patil Stadium,04 May 2011
48,Iqbal Abdulla,4,25,3,8,DC,Arun Jaitley Stadium,28 April 2011
49,Siddharth Trivedi,4,15,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
50,Sreenath Aravind,4,34,3,8,RR,Sawai Mansingh Stadium,11 May 2011
51,Wayne Parnell,4,35,3,8,KTK,DY Patil Stadium,13 April 2011
52,Albie Morkel,4,29,3,8,PWI,Chidambaram,25 April 2011
53,Munaf Patel,4,27,3,8,KKR,Wankhede Stadium,25 May 2011
54,Dhawal Kulkarni,4,26,3,8,DEC,Wankhede Stadium,14 May 2011
55,Iqbal Abdulla,4,24,3,8,DEC,Eden Gardens,11 April 2011
56,Zaheer Khan,4,32,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
57,Lasith Malinga,4,9,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
58,Doug Bollinger,4,22,3,8,RR,Sawai Mansingh Stadium,09 May 2011
59,Vinay Kumar,4,25,3,8,DEC,Jawaharlal Nehru Stadium,27 April 2011
60,Irfan Pathan,4,28,3,8,PBKS,HPCA Stadium,15 May 2011
61,Morne Morkel,4,25,3,8,RCB,Arun Jaitley Stadium,26 April 2011
62,Sreenath Aravind,3,37,2,9,KKR,Eden Gardens,22 April 2011
63,Dan Christian,3,21,2,9,PBKS,HPCA Stadium,21 May 2011
64,Dan Christian,3,21,2,9,PWI,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
65,Dwayne Bravo,3,21,2,9,DC,Chidambaram,12 May 2011
66,Ravichandran Ashwin,3,12,2,9,KKR,Eden Gardens,07 May 2011
67,Ryan McLaren,3,33,2,9,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
68,Dan Christian,3,13,2,9,PWI,DY Patil Stadium,16 May 2011
69,Harbhajan Singh,3,14,2,9,DC,Arun Jaitley Stadium,10 April 2011
70,Bhuvneshwar Kumar,3,14,2,9,PBKS,IS Bindra Stadium,08 May 2011
71,Jacques Kallis,3,34,2,9,CSK,Chidambaram,08 April 2011
72,Charl Langeveldt,3,10,2,9,KKR,M. Chinnaswamy Stadium,14 May 2011
73,Bhargav Bhatt,3,20,2,9,RR,IS Bindra Stadium,21 April 2011
74,Jacques Kallis,3,16,2,9,RCB,M. Chinnaswamy Stadium,14 May 2011
75,Sreenath Aravind,3,39,2,9,CSK,Chidambaram,28 May 2011
76,Shalabh Srivastava,3,30,2,9,RCB,HPCA Stadium,17 May 2011
77,Shalabh Srivastava,3,20,2,9,PWI,IS Bindra Stadium,08 May 2011
78,Ryan Ninan,3,31,2,9,CSK,Chidambaram,16 April 2011
79,Sreenath Aravind,3,27,2,9,MI,Chidambaram,27 May 2011
80,Shakib Al Hasan,3.2,24,2,10,MI,Wankhede Stadium,25 May 2011
81,Lasith Malinga,3.2,18,2,10,DC,Wankhede Stadium,07 May 2011
82,P Parameswaran,3.3,20,2,10.5,RR,Holkar Cricket Stadium,15 May 2011
83,Daniel Vettori,4,15,2,12,CSK,M. Chinnaswamy Stadium,22 May 2011
84,Shaun Tait,4,40,2,12,DC,Sawai Mansingh Stadium,12 April 2011
85,Wayne Parnell,4,12,2,12,PBKS,IS Bindra Stadium,08 May 2011
86,Shakib Al Hasan,4,21,2,12,RR,Eden Gardens,17 April 2011
87,Iqbal Abdulla,4,34,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,03 May 2011
88,Ajit Agarkar,4,23,2,12,KTK,Jawaharlal Nehru Stadium,30 April 2011
89,RP Singh,4,21,2,12,DEC,Jawaharlal Nehru Stadium,27 April 2011
90,Lasith Malinga,4,24,2,12,PBKS,IS Bindra Stadium,10 May 2011
91,P Parameswaran,4,29,2,12,DC,Arun Jaitley Stadium,02 May 2011
92,Chris Gayle,4,34,2,12,CSK,Chidambaram,28 May 2011
93,Dale Steyn,4,24,2,12,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
94,Amit Mishra,4,19,2,12,KKR,Eden Gardens,11 April 2011
95,Aavishkar Salvi,4,40,2,12,PBKS,HPCA Stadium,15 May 2011
96,Rahul Sharma,4,7,2,12,MI,DY Patil Stadium,04 May 2011
97,Munaf Patel,4,18,2,12,RR,Sawai Mansingh Stadium,29 April 2011
98,Doug Bollinger,4,20,2,12,PWI,Chidambaram,25 April 2011
99,Harbhajan Singh,4,25,2,12,PBKS,Wankhede Stadium,02 May 2011
100,Shanthakumaran Sreesanth,4,10,2,12,DC,Jawaharlal Nehru Stadium,30 April 2011
101,Jacques Kallis,4,18,2,12,MI,Wankhede Stadium,25 May 2011
102,Yusuf Pathan,4,23,2,12,PWI,DY Patil Stadium,19 May 2011
103,Albie Morkel,4,34,2,12,RCB,Chidambaram,16 April 2011
104,Zaheer Khan,4,19,2,12,CSK,M. Chinnaswamy Stadium,22 May 2011
105,Shane Watson,4,24,2,12,PBKS,IS Bindra Stadium,21 April 2011
106,Shane Warne,4,17,2,12,DC,Sawai Mansingh Stadium,12 April 2011
107,Shadab Jakati,4,23,2,12,DEC,Chidambaram,01 May 2011
108,James Franklin,4,35,2,12,KKR,Eden Gardens,22 May 2011
109,Rahul Sharma,4,17,2,12,PBKS,IS Bindra Stadium,08 May 2011
110,Rajat Bhatia,4,26,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,03 May 2011
111,Rahul Sharma,4,27,2,12,RCB,M. Chinnaswamy Stadium,29 April 2011
112,Vinay Kumar,4,25,2,12,DC,Arun Jaitley Stadium,02 May 2011
113,Shadab Jakati,4,21,2,12,RCB,Chidambaram,28 May 2011
114,Lasith Malinga,4,28,2,12,PWI,Wankhede Stadium,20 April 2011
115,Kieron Pollard,4,25,2,12,RCB,M. Chinnaswamy Stadium,12 April 2011
116,Shakib Al Hasan,4,31,2,12,RR,Sawai Mansingh Stadium,15 April 2011
117,Iqbal Abdulla,4,19,2,12,PBKS,Eden Gardens,30 April 2011
118,Rajat Bhatia,4,29,2,12,DEC,Eden Gardens,11 April 2011
119,Yuvraj Singh,4,22,2,12,MI,DY Patil Stadium,04 May 2011
120,Umesh Yadav,4,29,2,12,KKR,Arun Jaitley Stadium,28 April 2011
121,Ajit Agarkar,4,47,2,12,PBKS,Arun Jaitley Stadium,23 April 2011
122,Shane Warne,4,21,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
123,Munaf Patel,4,18,2,12,PBKS,Wankhede Stadium,02 May 2011
124,Shakib Al Hasan,4,16,2,12,PWI,DY Patil Stadium,19 May 2011
125,Ravichandran Ashwin,4,19,2,12,DC,Chidambaram,12 May 2011
126,Praveen Kumar,4,37,2,12,CSK,IS Bindra Stadium,13 April 2011
127,Suraj Randiv,4,24,2,12,RCB,Chidambaram,16 April 2011
128,Sreenath Aravind,4,20,2,12,KTK,M. Chinnaswamy Stadium,08 May 2011
129,Syed Mohammad,4,25,2,12,MI,Chidambaram,27 May 2011
130,Charl Langeveldt,4,48,2,12,PBKS,HPCA Stadium,17 May 2011
131,Praveen Kumar,4,22,2,12,RR,IS Bindra Stadium,21 April 2011
132,Jaydev Unadkat,4,25,2,12,KTK,Jawaharlal Nehru Stadium,05 May 2011
133,Alfonso Thomas,4,23,2,12,RCB,M. Chinnaswamy Stadium,29 April 2011
134,Alfonso Thomas,4,29,2,12,CSK,Chidambaram,25 April 2011
135,Praveen Kumar,4,19,2,12,MI,IS Bindra Stadium,10 May 2011
136,Amit Mishra,4,28,2,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
137,Piyush Chawla,4,37,2,12,MI,Wankhede Stadium,02 May 2011
138,Pragyan Ojha,4,35,2,12,PWI,DY Patil Stadium,16 May 2011
139,Lasith Malinga,4,32,2,12,RCB,M. Chinnaswamy Stadium,12 April 2011
140,Lasith Malinga,4,42,2,12,KTK,Wankhede Stadium,15 April 2011
141,Harbhajan Singh,4,24,2,12,DC,Wankhede Stadium,07 May 2011
142,Bhargav Bhatt,4,22,2,12,KKR,Eden Gardens,30 April 2011
143,Jaydev Unadkat,4,36,2,12,DEC,Eden Gardens,11 April 2011
144,Shalabh Srivastava,4,39,2,12,DC,HPCA Stadium,15 May 2011
145,Amit Mishra,4,14,2,12,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
146,Ravichandran Ashwin,4,24,2,12,RR,Sawai Mansingh Stadium,09 May 2011
147,Shadab Jakati,4,22,2,12,RR,Chidambaram,04 May 2011
148,Irfan Pathan,4,27,2,12,KTK,Jawaharlal Nehru Stadium,30 April 2011
149,RP Singh,4,25,2,12,KKR,Eden Gardens,20 April 2011
150,Dan Christian,4,38,2,12,DC,Arun Jaitley Stadium,19 April 2011
