POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Moises Henriques,1,3,2,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
2,JP Duminy,3,17,4,4.5,SRH,ACA-VDCA Stadium,18 April 2015
3,Sandeep Sharma,4,25,4,6,KKR,Maharashtra Cricket Association's International Stadium,18 April 2015
4,Lasith Malinga,4,23,4,6,SRH,Wankhede Stadium,25 April 2015
5,Chris Morris,4,23,4,6,KKR,Brabourne Stadium,16 May 2015
6,Ravindra Jadeja,4,11,4,6,RR,Chidambaram,10 May 2015
7,Ashish Nehra,4,10,4,6,RCB,M. Chinnaswamy Stadium,22 April 2015
8,Nathan Coulter-Nile,4,20,4,6,PBKS,Arun Jaitley Stadium,01 May 2015
9,Sunil Narine,4,19,4,6,PBKS,Eden Gardens,09 May 2015
10,David Wiese,4,33,4,6,MI,M. Chinnaswamy Stadium,19 April 2015
11,Mitchell Starc,4,15,4,6,PBKS,M. Chinnaswamy Stadium,06 May 2015
12,Imran Tahir,4,28,4,6,RR,Arun Jaitley Stadium,12 April 2015
13,Brad Hogg,4,29,4,6,CSK,Eden Gardens,30 April 2015
14,Piyush Chawla,4,32,4,6,DC,Eden Gardens,07 May 2015
15,Sreenath Aravind,4,27,4,6,PBKS,M. Chinnaswamy Stadium,06 May 2015
16,Dwayne Bravo,3,22,3,6,KKR,Chidambaram,28 April 2015
17,Bipul Sharma,2,13,2,6,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
18,Yuzvendra Chahal,2,25,2,6,PBKS,IS Bindra Stadium,13 May 2015
19,Stuart Binny,2,27,2,6,DC,Brabourne Stadium,03 May 2015
20,David Wiese,2,20,2,6,SRH,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
21,Angelo Mathews,2,15,2,6,MI,Arun Jaitley Stadium,23 April 2015
22,Ravichandran Ashwin,2,5,2,6,KKR,Chidambaram,28 April 2015
23,Harshal Patel,2,12,2,6,PBKS,IS Bindra Stadium,13 May 2015
24,JP Duminy,2,16,2,6,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
25,Anureet Singh,2,21,2,6,RCB,IS Bindra Stadium,13 May 2015
26,Axar Patel,2,11,2,6,RCB,IS Bindra Stadium,13 May 2015
27,James Faulkner,4,26,3,8,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015
28,Ashish Nehra,4,28,3,8,RCB,JSCA Stadium,22 May 2015
29,Imran Tahir,4,22,3,8,MI,Arun Jaitley Stadium,23 April 2015
30,Dwayne Bravo,4,25,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015
31,Lasith Malinga,4,23,3,8,CSK,Wankhede Stadium,19 May 2015
32,Bhuvneshwar Kumar,4,44,3,8,RR,Brabourne Stadium,07 May 2015
33,Imran Tahir,4,43,3,8,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
34,Mitchell Starc,4,22,3,8,RR,Narendra Modi Stadium,24 April 2015
35,Mitchell McClenaghan,4,16,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
36,Harbhajan Singh,4,27,3,8,RCB,M. Chinnaswamy Stadium,19 April 2015
37,Mitchell McClenaghan,4,20,3,8,SRH,Wankhede Stadium,25 April 2015
38,Ashish Nehra,4,19,3,8,RCB,Chidambaram,04 May 2015
39,Trent Boult,4,36,3,8,RCB,M. Chinnaswamy Stadium,13 April 2015
40,Nathan Coulter-Nile,4,30,3,8,CSK,Chidambaram,09 April 2015
41,Mitchell Starc,4,20,3,8,DC,Arun Jaitley Stadium,26 April 2015
42,Bhuvneshwar Kumar,4,26,3,8,MI,Wankhede Stadium,25 April 2015
43,Mohit Sharma,4,25,3,8,RR,Chidambaram,10 May 2015
44,Yuzvendra Chahal,4,40,3,8,CSK,M. Chinnaswamy Stadium,22 April 2015
45,Ashish Nehra,4,23,3,8,MI,Wankhede Stadium,17 April 2015
46,Dwayne Bravo,4,40,3,8,MI,Wankhede Stadium,19 May 2015
47,Ashish Nehra,4,25,3,8,DC,Chidambaram,09 April 2015
48,Anureet Singh,4,23,3,8,RR,Maharashtra Cricket Association's International Stadium,10 April 2015
49,Mitchell McClenaghan,4,25,3,8,CSK,Eden Gardens,24 May 2015
50,Chris Morris,4,19,3,8,CSK,Chidambaram,10 May 2015
51,Umesh Yadav,4,33,3,8,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015
52,Trent Boult,4,19,3,8,PBKS,IS Bindra Stadium,27 April 2015
53,Mitchell Starc,4,24,3,8,CSK,Chidambaram,04 May 2015
54,Moises Henriques,4,16,3,8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
55,Mitchell McClenaghan,4,31,3,8,RR,Wankhede Stadium,01 May 2015
56,Andre Russell,4,32,3,8,RR,Brabourne Stadium,16 May 2015
57,Ravindra Jadeja,4,22,3,8,PBKS,Chidambaram,25 April 2015
58,Dhawal Kulkarni,3,9,2,9,SRH,ACA-VDCA Stadium,16 April 2015
59,Harshal Patel,3,15,2,9,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
60,Vinay Kumar,3,26,2,9,CSK,Wankhede Stadium,19 May 2015
61,Shane Watson,3,36,2,9,SRH,Brabourne Stadium,07 May 2015
62,Gurkeerat Mann Singh,3,17,2,9,KKR,Eden Gardens,09 May 2015
63,Jagadeesha Suchith,3,14,2,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
64,Pawan Negi,3,28,2,9,DC,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
65,Domnic Joseph,3,18,2,9,KKR,Arun Jaitley Stadium,20 April 2015
66,Dhawal Kulkarni,3,26,2,9,MI,Wankhede Stadium,01 May 2015
67,Albie Morkel,3,21,2,9,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
68,Ravi Bopara,3,31,2,9,RCB,M. Chinnaswamy Stadium,13 April 2015
69,Yuzvendra Chahal,3,26,2,9,DC,M. Chinnaswamy Stadium,17 May 2015
70,Karn Sharma,3,12,2,9,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
71,Yuzvendra Chahal,3.1,25,2,9.5,RR,Narendra Modi Stadium,24 April 2015
72,David Wiese,3.2,18,2,10,DC,Arun Jaitley Stadium,26 April 2015
73,Dwayne Bravo,3.4,17,2,11,RCB,Chidambaram,04 May 2015
74,Anureet Singh,3.5,56,2,11.5,KKR,Eden Gardens,09 May 2015
75,Bhuvneshwar Kumar,3.5,30,2,11.5,RCB,M. Chinnaswamy Stadium,13 April 2015
76,Bhuvneshwar Kumar,4,23,2,12,PBKS,IS Bindra Stadium,27 April 2015
77,Lasith Malinga,4,33,2,12,DC,Wankhede Stadium,05 May 2015
78,Shakib Al Hasan,4,22,2,12,MI,Wankhede Stadium,14 May 2015
79,David Wiese,4,29,2,12,CSK,Chidambaram,04 May 2015
80,Harbhajan Singh,4,20,2,12,PBKS,Wankhede Stadium,12 April 2015
81,Nathan Coulter-Nile,4,25,2,12,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
82,Mohit Sharma,4,36,2,12,SRH,Chidambaram,11 April 2015
83,Morne Morkel,4,30,2,12,DC,Arun Jaitley Stadium,20 April 2015
84,Morne Morkel,4,18,2,12,MI,Eden Gardens,08 April 2015
