POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Sachin Baby,0.4,4,2,2,GL,M. Chinnaswamy Stadium,14 May 2016
2,Adam Zampa,4,19,6,4,SRH,ACA-VDCA Stadium,10 May 2016
3,Chris Jordan,3,11,4,4.5,GL,M. Chinnaswamy Stadium,14 May 2016
4,Yuzvendra Chahal,3,25,4,4.5,PBKS,M. Chinnaswamy Stadium,18 May 2016
5,Amit Mishra,3,11,4,4.5,PBKS,Arun Jaitley Stadium,15 April 2016
6,Dwayne Smith,4,8,4,6,KKR,Green Park,19 May 2016
7,Marcus Stoinis,4,15,4,6,MI,ACA-VDCA Stadium,13 May 2016
8,Bhuvneshwar Kumar,4,29,4,6,GL,Saurashtra Cricket Association Stadium,21 April 2016
9,Dhawal Kulkarni,4,14,4,6,RCB,M. Chinnaswamy Stadium,24 May 2016
10,Mitchell McClenaghan,4,21,4,6,GL,Wankhede Stadium,16 April 2016
11,Axar Patel,4,21,4,6,GL,Saurashtra Cricket Association Stadium,01 May 2016
12,Dwayne Bravo,4,22,4,6,PBKS,IS Bindra Stadium,11 April 2016
13,Ravichandran Ashwin,4,34,4,6,PBKS,ACA-VDCA Stadium,21 May 2016
14,Andre Russell,4,20,4,6,PBKS,Eden Gardens,04 May 2016
15,Shane Watson,4,29,4,6,GL,M. Chinnaswamy Stadium,24 May 2016
16,Andre Russell,3,24,3,6,DC,Eden Gardens,10 April 2016
17,Mustafizur Rahman,3,16,3,6,MI,ACA-VDCA Stadium,08 May 2016
18,Kane Richardson,3,13,3,6,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016
19,Ashish Nehra,3,15,3,6,MI,ACA-VDCA Stadium,08 May 2016
20,Umesh Yadav,3,33,3,6,DC,Arun Jaitley Stadium,30 April 2016
21,Chris Gayle,2,11,2,6,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016
22,Sreenath Aravind,2,18,2,6,PBKS,M. Chinnaswamy Stadium,18 May 2016
23,Deepak Hooda,2,16,2,6,KKR,Eden Gardens,22 May 2016
24,Ravichandran Ashwin,2,30,2,6,KKR,Eden Gardens,14 May 2016
25,Gurkeerat Mann Singh,2,15,2,6,RPS,ACA-VDCA Stadium,21 May 2016
26,Pravin Tambe,2,12,2,6,MI,Wankhede Stadium,16 April 2016
27,Shane Watson,2,7,2,6,PBKS,M. Chinnaswamy Stadium,18 May 2016
28,Krunal Pandya,2.1,15,2,6.5,DC,ACA-VDCA Stadium,15 May 2016
29,Zaheer Khan,3.3,21,3,7,KKR,Arun Jaitley Stadium,30 April 2016
30,Iqbal Abdulla,4,40,3,8,MI,Wankhede Stadium,20 April 2016
31,Chris Jordan,4,45,3,8,SRH,M. Chinnaswamy Stadium,29 May 2016
32,Umesh Yadav,4,28,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016
33,Yuzvendra Chahal,4,32,3,8,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22 May 2016
34,Carlos Brathwaite,4,43,3,8,KKR,Arun Jaitley Stadium,30 April 2016
35,Imran Tahir,4,24,3,8,GL,Arun Jaitley Stadium,27 April 2016
36,Adam Zampa,4,21,3,8,DC,ACA-VDCA Stadium,17 May 2016
37,Tim Southee,4,24,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
38,Mohit Sharma,4,38,3,8,MI,IS Bindra Stadium,25 April 2016
39,Jasprit Bumrah,4,13,3,8,DC,ACA-VDCA Stadium,15 May 2016
40,Ashish Nehra,4,29,3,8,RPS,ACA-VDCA Stadium,10 May 2016
41,Mohit Sharma,4,23,3,8,RPS,IS Bindra Stadium,17 April 2016
42,Marcus Stoinis,4,40,3,8,DC,IS Bindra Stadium,07 May 2016
43,Shivil Kaushik,4,20,3,8,PBKS,Saurashtra Cricket Association Stadium,01 May 2016
44,Barinder Sran,4,28,3,8,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
