POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Shreyas Gopal,1,12,3,2,RCB,M. Chinnaswamy Stadium,30 April 2019
2,Oshane Thomas,1,6,2,3,RCB,M. Chinnaswamy Stadium,30 April 2019
3,Sam Curran,2.2,11,4,3.5,DC,IS Bindra Stadium,01 April 2019
4,Alzarri Joseph,3.4,12,6,3.66,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
5,Imran Tahir,3.2,12,4,5,DC,Chidambaram,01 May 2019
6,Lasith Malinga,3.4,37,4,5.5,CSK,Chidambaram,26 April 2019
7,Kagiso Rabada,3.5,22,4,5.75,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
8,Kagiso Rabada,4,21,4,6,RCB,M. Chinnaswamy Stadium,07 April 2019
9,Lasith Malinga,4,31,4,6,RCB,Wankhede Stadium,15 April 2019
10,Yuzvendra Chahal,4,38,4,6,MI,M. Chinnaswamy Stadium,28 March 2019
11,Imran Tahir,4,27,4,6,KKR,Eden Gardens,14 April 2019
12,Mohammad Nabi,4,11,4,6,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
13,Chris Morris,3,22,3,6,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
14,Ravindra Jadeja,3,9,3,6,DC,Chidambaram,01 May 2019
15,Washington Sundar,3,24,3,6,SRH,M. Chinnaswamy Stadium,04 May 2019
16,Hardik Pandya,2,20,2,6,SRH,Wankhede Stadium,02 May 2019
17,Ish Sodhi,3.1,26,3,6.33,DC,Arun Jaitley Stadium,04 May 2019
18,Sandeep Sharma,3.5,19,3,7.66,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
19,Khaleel Ahmed,4,37,3,8,RCB,M. Chinnaswamy Stadium,04 May 2019
20,Shreyas Gopal,4,27,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
21,Khaleel Ahmed,4,30,3,8,DC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
22,Jofra Archer,4,39,3,8,MI,Wankhede Stadium,13 April 2019
23,Khaleel Ahmed,4,40,3,8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
24,Keemo Paul,4,32,3,8,SRH,ACA-VDCA Stadium,08 May 2019
