POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Andre Russell,2,15,5,2.4,MI,Chidambaram,13 April 2021
2,Abhishek Sharma,1,4,2,3,MI,Zayed Cricket Stadium,08 October 2021
3,Kieron Pollard,1,8,2,3,PBKS,Zayed Cricket Stadium,28 September 2021
4,Shahbaz Ahmed,2,7,3,4,SRH,Chidambaram,14 April 2021
5,Shivam Mavi,3.1,21,4,4.75,RR,Sharjah Cricket Stadium,07 October 2021
6,Harshal Patel,3.1,17,4,4.75,MI,Dubai International Stadium,26 September 2021
7,Arshdeep Singh,4,32,5,4.8,RR,Dubai International Stadium,21 September 2021
8,Harshal Patel,4,27,5,4.8,MI,Chidambaram,09 April 2021
9,Sunil Narine,4,21,4,6,RCB,Sharjah Cricket Stadium,11 October 2021
10,Deepak Chahar,4,13,4,6,PBKS,Wankhede Stadium,16 April 2021
11,Deepak Chahar,4,29,4,6,KKR,Wankhede Stadium,21 April 2021
12,Amit Mishra,4,24,4,6,MI,Chidambaram,20 April 2021
13,Rahul Chahar,4,27,4,6,KKR,Chidambaram,13 April 2021
14,Jason Holder,4,52,4,6,MI,Zayed Cricket Stadium,08 October 2021
15,Chris Morris,4,23,4,6,KKR,Wankhede Stadium,24 April 2021
16,Nathan Coulter-Nile,4,14,4,6,RR,Sharjah Cricket Stadium,05 October 2021
17,Kyle Jamieson,3,41,3,6,KKR,Chidambaram,18 April 2021
18,Moeen Ali,3,7,3,6,RR,Wankhede Stadium,19 April 2021
19,Andre Russell,3,9,3,6,RCB,Zayed Cricket Stadium,20 September 2021
20,Avesh Khan,3,13,3,6,KKR,Sharjah Cricket Stadium,28 September 2021
21,Shardul Thakur,3,28,3,6,PBKS,Dubai International Stadium,07 October 2021
22,Shahbaz Ahmed,2,10,2,6,RR,Dubai International Stadium,29 September 2021
23,Lockie Ferguson,2,10,2,6,DC,Sharjah Cricket Stadium,28 September 2021
24,Kieron Pollard,2,12,2,6,CSK,Arun Jaitley Stadium,01 May 2021
25,Avesh Khan,2,15,2,6,MI,Chidambaram,20 April 2021
26,Trent Boult,3.4,28,3,7.33,SRH,Chidambaram,17 April 2021
27,Tom Curran,3.4,29,3,7.33,CSK,Dubai International Stadium,10 October 2021
28,Avesh Khan,4,15,3,8,MI,Sharjah Cricket Stadium,02 October 2021
29,Kagiso Rabada,4,37,3,8,SRH,Dubai International Stadium,22 September 2021
30,Harshal Patel,4,47,3,8,RR,Wankhede Stadium,22 April 2021
31,Jimmy Neesham,4,12,3,8,RR,Sharjah Cricket Stadium,05 October 2021
32,Ravi Bishnoi,4,24,3,8,SRH,Sharjah Cricket Stadium,25 September 2021
33,Mohammad Shami,4,39,3,8,RCB,Sharjah Cricket Stadium,03 October 2021
34,Khaleel Ahmed,4,21,3,8,PBKS,Chidambaram,21 April 2021
35,Mustafizur Rahman,4,20,3,8,SRH,Arun Jaitley Stadium,02 May 2021
36,Yuzvendra Chahal,4,11,3,8,MI,Dubai International Stadium,26 September 2021
37,Shardul Thakur,4,38,3,8,KKR,Dubai International Stadium,15 October 2021
38,Rahul Tewatia,4,39,3,8,CSK,Zayed Cricket Stadium,02 October 2021
39,Avesh Khan,4,34,3,8,SRH,Chidambaram,25 April 2021
40,Harshal Patel,4,34,3,8,RR,Dubai International Stadium,29 September 2021
