POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Rohit Sharma,2,6,4,3,MI,Supersport Park,06 May 2009
2,Sanath Jayasuriya,1,3,2,3,RR,Kingsmead,14 May 2009
3,Anil Kumble,3.1,5,5,3.8,RR,Newlands,18 April 2009
4,Lasith Malinga,2.2,11,3,4.66,KKR,St George's Park,27 April 2009
5,Jacob Oram,1.4,12,2,5,RCB,Kingsmead,14 May 2009
6,Lakshmipathy Balaji,3.3,21,4,5.25,RR,Supersport Park,30 April 2009
7,RP Singh,3.4,22,4,5.5,KKR,Newlands,19 April 2009
8,Shadab Jakati,4,22,4,6,DEC,Buffalo Park,04 May 2009
9,Harbhajan Singh,4,17,4,6,DC,Supersport Park,21 May 2009
10,Amit Singh,4,19,4,6,RCB,Supersport Park,07 May 2009
11,Anil Kumble,4,16,4,6,DEC,New Wanderers Stadium,24 May 2009
12,Shadab Jakati,4,24,4,6,DC,New Wanderers Stadium,02 May 2009
13,Yusuf Abdulla,4,31,4,6,RCB,Kingsmead,24 April 2009
14,Yusuf Abdulla,4,36,4,6,RCB,Kingsmead,01 May 2009
15,Abhishek Nayar,3,13,3,6,KKR,St George's Park,27 April 2009
16,Rohit Sharma,3,12,3,6,RR,De Beers Diamond Oval,11 May 2009
17,Ramesh Powar,2,11,2,6,DEC,New Wanderers Stadium,17 May 2009
18,Pragyan Ojha,2,11,2,6,CSK,Kingsmead,27 April 2009
19,Rohit Sharma,2,12,2,6,PBKS,De Beers Diamond Oval,09 May 2009
20,Venugopal Rao,2,23,2,6,RR,St George's Park,02 May 2009
21,Lakshmipathy Balaji,2.2,18,2,7,RCB,St George's Park,20 April 2009
22,Charl Langeveldt,4,15,3,8,RR,Kingsmead,20 May 2009
23,Zaheer Khan,4,31,3,8,KKR,Buffalo Park,01 May 2009
24,Shane Warne,4,24,3,8,MI,Kingsmead,14 May 2009
25,Lasith Malinga,4,19,3,8,DEC,Kingsmead,25 April 2009
26,Dimitri Mascarenhas,4,20,3,8,RCB,Newlands,18 April 2009
27,Yuvraj Singh,4,22,3,8,RCB,Kingsmead,01 May 2009
28,Scott Styris,4,32,3,8,RCB,Newlands,22 April 2009
29,Pragyan Ojha,4,21,3,8,MI,Kingsmead,25 April 2009
