POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Corey Anderson,1,18,2,3,SRH,Dubai International Stadium,30 April 2014
2,James Faulkner,2,11,3,4,KKR,Zayed Cricket Stadium,29 April 2014
3,Shane Watson,2,13,3,4,SRH,Narendra Modi Stadium,08 May 2014
4,Sunil Narine,4,20,4,6,RCB,Eden Gardens,22 May 2014
5,Bhuvneshwar Kumar,4,14,4,6,RR,Narendra Modi Stadium,08 May 2014
6,Sunil Narine,4,20,4,6,MI,Zayed Cricket Stadium,16 April 2014
7,Mohit Sharma,4,14,4,6,MI,Dubai International Stadium,25 April 2014
8,Lakshmipathy Balaji,4,13,4,6,SRH,Sharjah Cricket Stadium,22 April 2014
9,Yuvraj Singh,4,35,4,6,RR,M. Chinnaswamy Stadium,11 May 2014
10,Lasith Malinga,4,23,4,6,KKR,Zayed Cricket Stadium,16 April 2014
11,Karanveer Singh,4,54,4,6,KKR,M. Chinnaswamy Stadium,01 June 2014
12,Ravindra Jadeja,4,33,4,6,RR,Dubai International Stadium,23 April 2014
13,Ravindra Jadeja,4,12,4,6,KKR,JSCA Stadium,02 May 2014
14,Pravin Tambe,4,20,4,6,RCB,Zayed Cricket Stadium,26 April 2014
15,Karn Sharma,4,38,4,6,KKR,Eden Gardens,24 May 2014
16,Sandeep Sharma,3,15,3,6,RCB,Dubai International Stadium,28 April 2014
17,Mohit Sharma,3,22,3,6,KKR,JSCA Stadium,02 May 2014
18,Irfan Pathan,2,10,2,6,MI,Dubai International Stadium,30 April 2014
19,Jaydev Unadkat,2,24,2,6,MI,Wankhede Stadium,23 May 2014
20,Ravichandran Ashwin,2,3,2,6,DC,Zayed Cricket Stadium,21 April 2014
21,Karn Sharma,4,17,3,8,RCB,M. Chinnaswamy Stadium,04 May 2014
22,Varun Aaron,4,16,3,8,KKR,Sharjah Cricket Stadium,24 April 2014
23,Axar Patel,4,24,3,8,RR,IS Bindra Stadium,23 May 2014
24,Umesh Yadav,4,26,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
25,Sandeep Sharma,4,21,3,8,KKR,Zayed Cricket Stadium,26 April 2014
26,Sandeep Sharma,4,35,3,8,DC,Arun Jaitley Stadium,19 May 2014
27,Mohit Sharma,4,42,3,8,MI,Brabourne Stadium,28 May 2014
28,Bhuvneshwar Kumar,4,19,3,8,PBKS,Sharjah Cricket Stadium,22 April 2014
29,Pravin Tambe,4,26,3,8,KKR,Narendra Modi Stadium,05 May 2014
30,Mohit Sharma,4,31,3,8,RR,JSCA Stadium,13 May 2014
31,Karanveer Singh,4,40,3,8,KKR,Eden Gardens,28 May 2014
32,Jaydev Unadkat,4,32,3,8,CSK,Zayed Cricket Stadium,21 April 2014
33,Beuran Hendricks,4,36,3,8,DC,Arun Jaitley Stadium,19 May 2014
34,Rajat Bhatia,4,23,3,8,SRH,Narendra Modi Stadium,08 May 2014
35,Shane Watson,4,21,3,8,KKR,Narendra Modi Stadium,05 May 2014
36,Piyush Chawla,4,19,3,8,PBKS,Barabati Stadium,11 May 2014
37,Sunil Narine,4,24,3,8,PBKS,Zayed Cricket Stadium,26 April 2014
38,Imran Tahir,4,37,3,8,MI,Wankhede Stadium,23 May 2014
39,Imran Tahir,4,22,3,8,PBKS,Arun Jaitley Stadium,19 May 2014
40,Umesh Yadav,4,13,3,8,PBKS,Eden Gardens,28 May 2014
41,Ashish Nehra,4,33,3,8,RCB,M. Chinnaswamy Stadium,24 May 2014
42,Piyush Chawla,4,19,3,8,PBKS,Zayed Cricket Stadium,26 April 2014
43,Ravichandran Ashwin,4,30,3,8,MI,Wankhede Stadium,10 May 2014
44,Sandeep Sharma,4,25,3,8,RCB,M. Chinnaswamy Stadium,09 May 2014
45,Ravindra Jadeja,2.4,18,2,8,DC,Zayed Cricket Stadium,21 April 2014
46,David Hussey,2.5,38,2,8.5,RCB,JSCA Stadium,18 May 2014
47,Harshal Patel,3,56,2,9,PBKS,M. Chinnaswamy Stadium,09 May 2014
48,Rajat Bhatia,3,18,2,9,DC,Narendra Modi Stadium,15 May 2014
49,Dhawal Kulkarni,3,42,2,9,MI,Wankhede Stadium,25 May 2014
50,Moises Henriques,3,26,2,9,DC,Arun Jaitley Stadium,10 May 2014
51,Varun Aaron,3,29,2,9,CSK,JSCA Stadium,18 May 2014
52,Lakshmipathy Balaji,3,43,2,9,RCB,M. Chinnaswamy Stadium,09 May 2014
53,Amit Mishra,3,23,2,9,DC,Arun Jaitley Stadium,10 May 2014
54,Parvinder Awana,3,15,2,9,DC,IS Bindra Stadium,25 May 2014
55,Shakib Al Hasan,3,22,2,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
56,Mitchell Johnson,3.1,27,2,9.5,DC,IS Bindra Stadium,25 May 2014
57,Sandeep Sharma,3.1,29,2,9.5,MI,Wankhede Stadium,03 May 2014
58,Mitchell Johnson,3.2,22,2,10,KKR,Zayed Cricket Stadium,26 April 2014
59,Varun Aaron,3.5,29,2,11.5,PBKS,Dubai International Stadium,28 April 2014
60,Kane Richardson,4,25,2,12,SRH,Zayed Cricket Stadium,18 April 2014
61,Kane Richardson,4,43,2,12,RCB,M. Chinnaswamy Stadium,11 May 2014
62,Zaheer Khan,4,26,2,12,SRH,Dubai International Stadium,30 April 2014
63,Ankit Sharma,4,23,2,12,MI,Narendra Modi Stadium,19 May 2014
64,Ravindra Jadeja,4,31,2,12,MI,Brabourne Stadium,28 May 2014
65,Ishwar Pandey,4,23,2,12,DC,Zayed Cricket Stadium,21 April 2014
66,Zaheer Khan,4,21,2,12,RCB,Dubai International Stadium,19 April 2014
67,Lasith Malinga,4,17,2,12,DC,Sharjah Cricket Stadium,27 April 2014
68,Vinay Kumar,4,42,2,12,RR,Narendra Modi Stadium,05 May 2014
69,Ravindra Jadeja,4,18,2,12,RR,JSCA Stadium,13 May 2014
70,Rishi Dhawan,4,23,2,12,MI,Wankhede Stadium,03 May 2014
71,Lasith Malinga,4,15,2,12,CSK,Wankhede Stadium,10 May 2014
72,Varun Aaron,4,36,2,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
73,Mitchell Johnson,4,41,2,12,KKR,M. Chinnaswamy Stadium,01 June 2014
74,Shivam Sharma,4,26,2,12,RCB,M. Chinnaswamy Stadium,09 May 2014
75,Axar Patel,4,11,2,12,KKR,Eden Gardens,28 May 2014
76,Morne Morkel,4,41,2,12,DC,Dubai International Stadium,19 April 2014
77,Bhuvneshwar Kumar,4,23,2,12,CSK,Sharjah Cricket Stadium,27 April 2014
78,Harbhajan Singh,4,33,2,12,RCB,Wankhede Stadium,06 May 2014
79,Harbhajan Singh,4,22,2,12,KKR,Barabati Stadium,14 May 2014
80,Dhawal Kulkarni,4,23,2,12,SRH,Zayed Cricket Stadium,18 April 2014
81,Bhuvneshwar Kumar,4,16,2,12,RCB,M. Chinnaswamy Stadium,04 May 2014
82,Karn Sharma,4,19,2,12,CSK,JSCA Stadium,22 May 2014
83,Mitchell Starc,4,33,2,12,KKR,Sharjah Cricket Stadium,24 April 2014
84,Shakib Al Hasan,4,25,2,12,CSK,JSCA Stadium,02 May 2014
85,Rishi Dhawan,4,14,2,12,RCB,Dubai International Stadium,28 April 2014
86,Dale Steyn,4,31,2,12,RR,Narendra Modi Stadium,08 May 2014
87,Kevon Cooper,4,38,2,12,MI,Wankhede Stadium,25 May 2014
88,Varun Aaron,4,30,2,12,MI,Dubai International Stadium,19 April 2014
89,Jaydev Unadkat,4,29,2,12,MI,Sharjah Cricket Stadium,27 April 2014
90,Rishi Dhawan,4,25,2,12,RR,IS Bindra Stadium,23 May 2014
91,Mitchell Starc,4,29,2,12,RR,Zayed Cricket Stadium,26 April 2014
92,Harbhajan Singh,4,34,2,12,PBKS,Wankhede Stadium,03 May 2014
93,Praveen Kumar,4,31,2,12,CSK,Wankhede Stadium,10 May 2014
94,Bhuvneshwar Kumar,4,27,2,12,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
95,Bhuvneshwar Kumar,4,17,2,12,MI,Dubai International Stadium,30 April 2014
96,Krishmar Santokie,4,50,2,12,RR,Narendra Modi Stadium,19 May 2014
97,Yuzvendra Chahal,4,23,2,12,PBKS,Dubai International Stadium,28 April 2014
98,Wayne Parnell,4,21,2,12,KKR,Arun Jaitley Stadium,07 May 2014
99,Morne Morkel,4,35,2,12,MI,Barabati Stadium,14 May 2014
100,Axar Patel,4,28,2,12,DC,IS Bindra Stadium,25 May 2014
101,Rajat Bhatia,4,22,2,12,SRH,Zayed Cricket Stadium,18 April 2014
102,Axar Patel,4,16,2,12,KKR,Zayed Cricket Stadium,26 April 2014
103,Varun Aaron,4,33,2,12,SRH,M. Chinnaswamy Stadium,04 May 2014
104,Lasith Malinga,4,35,2,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
