POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Pawan Negi,1,3,2,3,DC,M. Chinnaswamy Stadium,08 April 2017
2,Colin de Grandhomme,1.4,4,3,3.33,RCB,Eden Gardens,23 April 2017
3,Chris Woakes,2,6,3,4,RCB,Eden Gardens,23 April 2017
4,Pawan Negi,2,10,3,4,DC,Arun Jaitley Stadium,14 May 2017
5,Andrew Tye,4,17,5,4.8,RPS,Saurashtra Cricket Association Stadium,14 April 2017
6,Bhuvneshwar Kumar,4,19,5,4.8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
7,Jaydev Unadkat,4,30,5,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2017
8,Samuel Badree,4,9,4,6,MI,M. Chinnaswamy Stadium,14 April 2017
9,Sandeep Sharma,4,20,4,6,DC,IS Bindra Stadium,30 April 2017
10,Chris Morris,4,26,4,6,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
11,Karn Sharma,4,16,4,6,KKR,M. Chinnaswamy Stadium,19 May 2017
12,Umesh Yadav,4,33,4,6,PBKS,Eden Gardens,13 April 2017
13,Siddarth Kaul,4,29,4,6,RPS,Rajiv Gandhi Intl. Cricket Stadium,06 May 2017
14,Mohammed Siraj,4,32,4,6,GL,Green Park,13 May 2017
15,Jasprit Bumrah,3,7,3,6,KKR,M. Chinnaswamy Stadium,19 May 2017
16,Zaheer Khan,3,20,3,6,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
17,Axar Patel,3,11,3,6,RCB,M. Chinnaswamy Stadium,05 May 2017
18,Amit Mishra,3,11,3,6,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
19,Nathan Coulter-Nile,3,21,3,6,RCB,Eden Gardens,23 April 2017
20,Varun Aaron,2,3,2,6,DC,IS Bindra Stadium,30 April 2017
21,Shahbaz Nadeem,2,13,2,6,PBKS,Arun Jaitley Stadium,15 April 2017
22,Washington Sundar,2,18,2,6,KKR,Eden Gardens,03 May 2017
23,Dan Christian,2,10,2,6,PBKS,Maharashtra Cricket Association's International Stadium,14 May 2017
24,Lasith Malinga,2,5,2,6,DC,Arun Jaitley Stadium,06 May 2017
25,Karn Sharma,3.4,11,3,7.33,DC,Arun Jaitley Stadium,06 May 2017
26,Jaydev Unadkat,3.5,29,3,7.66,GL,Maharashtra Cricket Association's International Stadium,01 May 2017
27,Mitchell Johnson,4,26,3,8,RPS,Rajiv Gandhi Intl. Cricket Stadium,21 May 2017
28,Shardul Thakur,4,37,3,8,MI,Wankhede Stadium,16 May 2017
29,Yuzvendra Chahal,4,31,3,8,GL,Saurashtra Cricket Association Stadium,18 April 2017
30,Chris Morris,4,21,3,8,RCB,M. Chinnaswamy Stadium,08 April 2017
31,Shardul Thakur,4,35,3,8,RCB,M. Chinnaswamy Stadium,16 April 2017
32,Jasprit Bumrah,4,24,3,8,SRH,Wankhede Stadium,12 April 2017
33,Ben Stokes,4,30,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2017
34,Rashid Khan,4,19,3,8,GL,Rajiv Gandhi Intl. Cricket Stadium,09 April 2017
35,Rashid Khan,4,34,3,8,GL,Green Park,13 May 2017
36,Washington Sundar,4,16,3,8,MI,Wankhede Stadium,16 May 2017
37,Umesh Yadav,4,36,3,8,RCB,M. Chinnaswamy Stadium,07 May 2017
38,Shardul Thakur,4,19,3,8,PBKS,Maharashtra Cricket Association's International Stadium,14 May 2017
39,Ben Stokes,4,18,3,8,RCB,M. Chinnaswamy Stadium,16 April 2017
40,Bhuvneshwar Kumar,4,21,3,8,MI,Wankhede Stadium,12 April 2017
41,Harbhajan Singh,4,22,3,8,DC,Arun Jaitley Stadium,06 May 2017
42,Nathan Coulter-Nile,4,34,3,8,DC,Eden Gardens,28 April 2017
43,Sandeep Sharma,4,22,3,8,RCB,M. Chinnaswamy Stadium,05 May 2017
44,Imran Tahir,4,27,3,8,GL,Maharashtra Cricket Association's International Stadium,01 May 2017
45,Nathan Coulter-Nile,4,20,3,8,SRH,M. Chinnaswamy Stadium,17 May 2017
46,Imran Tahir,4,18,3,8,RCB,Maharashtra Cricket Association's International Stadium,29 April 2017
47,Nathan Coulter-Nile,4,22,3,8,DC,Arun Jaitley Stadium,17 April 2017
48,Andrew Tye,4,12,3,8,RCB,M. Chinnaswamy Stadium,27 April 2017
