POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Bhuvneshwar Kumar,14,14,52.2,369,26,5/19,14.19,7.05,12.07,0,1
2,Jaydev Unadkat,12,12,45.5,322,24,5/30,13.41,7.02,11.45,0,1
3,Jasprit Bumrah,16,16,59.2,439,20,3/7,21.95,7.39,17.8,0,0
4,Mitchell McClenaghan,14,14,54,507,19,3/24,26.68,9.38,17.05,0,0
5,Imran Tahir,12,12,47,369,18,3/18,20.5,7.85,15.66,0,0
6,Rashid Khan,14,14,54,358,17,3/19,21.05,6.62,19.05,0,0
7,Sandeep Sharma,13,13,48,398,17,4/20,23.41,8.29,16.94,1,0
8,Umesh Yadav,14,14,48.3,410,17,4/33,24.11,8.45,17.11,1,0
9,Chris Woakes,13,13,44,386,17,3/6,22.7,8.77,15.52,0,0
10,Pawan Negi,12,12,32.1,197,16,3/10,12.31,6.12,12.06,0,0
11,Siddarth Kaul,10,10,35.4,300,16,4/29,18.75,8.41,13.37,1,0
12,Axar Patel,14,14,48,362,15,3/11,24.13,7.54,19.2,0,0
13,Nathan Coulter-Nile,8,8,28.2,228,15,3/20,15.2,8.04,11.33,0,0
14,Pat Cummins,12,12,46.1,373,15,2/20,24.86,8.07,18.46,0,0
15,Yuzvendra Chahal,13,13,43.3,333,14,3/16,23.78,7.65,18.64,0,0
16,Karn Sharma,9,9,30.4,214,13,4/16,16.46,6.97,14.15,1,0
17,Mohit Sharma,14,14,45.4,410,13,2/24,31.53,8.97,21.07,0,0
18,Andrew Tye,6,6,21,141,12,5/17,11.75,6.71,10.5,0,1
19,Ben Stokes,12,12,44,316,12,3/18,26.33,7.18,22,0,0
20,Chris Morris,9,9,31,240,12,4/26,20,7.74,15.5,1,0
21,Kuldeep Yadav,12,11,41,340,12,2/25,28.33,8.29,20.5,0,0
22,Dan Christian,13,13,40,298,11,2/10,27.09,7.45,21.81,0,0
23,Shardul Thakur,12,12,38.1,315,11,3/19,28.63,8.25,20.81,0,0
24,Lasith Malinga,12,12,44.5,382,11,2/5,34.72,8.52,24.45,0,0
25,Basil Thampi,12,12,44.4,424,11,3/29,38.54,9.49,24.36,0,0
26,Krunal Pandya,13,13,40,273,10,3/14,27.3,6.82,24,0,0
27,Sunil Narine,16,15,59,412,10,2/29,41.2,6.98,35.4,0,0
28,Zaheer Khan,11,11,40.1,313,10,3/20,31.3,7.79,24.1,0,0
29,Amit Mishra,14,14,38.5,343,10,3/11,34.3,8.83,23.3,0,0
30,Mohammed Siraj,6,6,23,212,10,4/32,21.2,9.21,13.8,1,0
31,Samuel Badree,7,7,25,188,9,4/9,20.88,7.52,16.66,1,0
32,Washington Sundar,11,10,30,185,8,3/16,23.12,6.16,22.5,0,0
33,Harbhajan Singh,11,11,41,266,8,3/22,33.25,6.48,30.75,0,0
34,Ashish Nehra,6,6,21.1,197,8,3/42,24.62,9.3,15.87,0,0
35,Glenn Maxwell,14,8,19,125,7,2/15,17.85,6.57,16.28,0,0
36,Mitchell Johnson,5,5,20,141,7,3/26,20.14,7.05,17.14,0,0
37,Varun Aaron,6,6,20,163,7,2/3,23.28,8.15,17.14,0,0
38,Adam Zampa,6,6,19.5,163,7,2/22,23.28,8.21,17,0,0
39,Shahbaz Nadeem,7,7,17.5,119,6,2/13,19.83,6.67,17.83,0,0
40,Hardik Pandya,17,13,26,213,6,2/22,35.5,8.19,26,0,0
41,Kagiso Rabada,6,6,21.2,188,6,2/20,31.33,8.81,21.33,0,0
42,Piyush Chawla,6,6,20,179,6,2/34,29.83,8.95,20,0,0
43,Praveen Kumar,6,6,16.3,151,6,2/22,25.16,9.15,16.5,0,0
44,James Faulkner,8,8,26.2,258,6,2/34,43,9.79,26.33,0,0
45,Aniket Choudhary,5,5,16.5,144,5,2/17,28.8,8.55,20.2,0,0
46,Tymal Mills,5,5,17.5,153,5,2/31,30.6,8.57,21.4,0,0
47,Sreenath Aravind,10,10,30.3,275,5,2/29,55,9.01,36.6,0,0
48,Trent Boult,6,6,23.5,216,5,2/30,43.2,9.06,28.6,0,0
49,Shane Watson,8,8,26.5,245,5,1/16,49,9.13,32.2,0,0
50,Ravindra Jadeja,12,12,38,349,5,2/28,69.8,9.18,45.6,0,0
51,Mohammad Shami,8,8,26,243,5,2/36,48.6,9.34,31.2,0,0
52,Pradeep Sangwan,5,5,18,181,5,2/38,36.2,10.05,21.6,0,0
53,Ankit Rajpoot,5,5,14,107,4,3/37,26.75,7.64,21,0,0
54,Stuart Binny,8,4,6,50,4,1/9,12.5,8.33,9,0,0
55,Colin de Grandhomme,12,9,16,135,4,3/4,33.75,8.43,24,0,0
56,KC Cariappa,4,4,15,127,4,2/24,31.75,8.46,22.5,0,0
57,Rahul Tewatia,3,3,9,49,3,2/18,16.33,5.44,18,0,0
