POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Kagiso Rabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
2,Jasprit Bumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
3,Trent Boult,15,15,57.2,457,25,4/18,18.28,7.97,13.76,1,0
4,Anrich Nortje,16,16,61,512,22,3/33,23.27,8.39,16.63,0,0
5,Yuzvendra Chahal,15,15,57.1,405,21,3/18,19.28,7.08,16.33,0,0
6,Rashid Khan,16,16,64,344,20,3/7,17.2,5.37,19.2,0,0
7,Jofra Archer,14,14,55.4,365,20,3/19,18.25,6.55,16.7,0,0
8,Mohammad Shami,14,14,53.4,460,20,3/15,23,8.57,16.1,0,0
9,Varun Chakaravarthy,13,13,52,356,17,5/20,20.94,6.84,18.35,0,1
10,T Natarajan,16,16,62.5,504,16,2/24,31.5,8.02,23.56,0,0
11,Rahul Chahar,15,15,53,433,15,2/18,28.86,8.16,21.2,0,0
12,Sandeep Sharma,13,13,52,374,14,3/34,26.71,7.19,22.28,0,0
13,Jason Holder,7,7,28,233,14,3/25,16.64,8.32,12,0,0
14,Ravichandran Ashwin,15,15,51,391,13,3/29,30.07,7.66,23.53,0,0
15,Sam Curran,14,13,42,344,13,3/19,26.46,8.19,19.38,0,0
16,Marcus Stoinis,17,13,29.4,283,13,3/26,21.76,9.53,13.69,0,0
17,Ravi Bishnoi,14,14,51,376,12,3/29,31.33,7.37,25.5,0,0
18,Deepak Chahar,14,14,52,396,12,2/18,33,7.61,26,0,0
19,Pat Cummins,14,14,52,409,12,4/34,34.08,7.86,26,1,0
20,Chris Morris,9,9,31.4,210,11,4/26,19.09,6.63,17.27,1,0
21,Mohammed Siraj,9,9,27.1,236,11,3/8,21.45,8.68,14.81,0,0
22,James Pattinson,10,10,35.3,320,11,2/19,29.09,9.01,19.36,0,0
23,Rahul Tewatia,14,14,46,326,10,3/25,32.6,7.08,27.6,0,0
24,Murugan Ashwin,9,9,31.3,235,10,3/21,23.5,7.46,18.9,0,0
25,Shardul Thakur,9,9,32.2,275,10,2/28,27.5,8.5,19.4,0,0
26,Shreyas Gopal,14,14,50,427,10,2/28,42.7,8.54,30,0,0
27,Axar Patel,15,15,51,327,9,2/18,36.33,6.41,34,0,0
28,Shivam Mavi,8,8,26,212,9,2/15,23.55,8.15,17.33,0,0
29,Arshdeep Singh,8,8,24.5,218,9,3/23,24.22,8.77,16.55,0,0
30,Kartik Tyagi,10,10,38.1,367,9,2/36,40.77,9.61,25.44,0,0
31,Chris Jordan,9,9,31.3,304,9,3/17,33.77,9.65,21,0,0
32,Lungi Ngidi,4,4,16,167,9,3/38,18.55,10.43,10.66,0,0
33,Washington Sundar,15,15,50,298,8,2/16,37.25,5.96,37.5,0,0
34,Khaleel Ahmed,7,7,25.4,242,8,2/24,30.25,9.42,19.25,0,0
35,Isuru Udana,10,10,29,282,8,2/41,35.25,9.72,21.75,0,0
36,Lockie Ferguson,5,5,19.5,148,6,3/15,24.66,7.46,19.83,0,0
37,Krunal Pandya,16,16,50.1,380,6,2/26,63.33,7.57,50.16,0,0
38,Navdeep Saini,13,13,45.4,379,6,2/25,63.16,8.29,45.66,0,0
39,Dwayne Bravo,6,6,21,180,6,3/37,30,8.57,21,0,0
40,Ravindra Jadeja,14,13,36.2,318,6,2/42,53,8.75,36.33,0,0
41,Sheldon Cottrell,6,6,20,176,6,2/17,29.33,8.8,20,0,0
42,Piyush Chawla,7,7,21,191,6,2/33,31.83,9.09,21,0,0
43,Andre Russell,10,7,18,175,6,2/29,29.16,9.72,18,0,0
44,Nathan Coulter-Nile,7,7,26,206,5,2/29,41.2,7.92,31.2,0,0
45,Sunil Narine,10,10,38,302,5,2/28,60.4,7.94,45.6,0,0
46,Shahbaz Nadeem,7,7,22,178,5,2/19,35.6,8.09,26.4,0,0
47,Karn Sharma,5,5,19,165,5,2/25,33,8.68,22.8,0,0
48,Kamlesh Nagarkoti,10,9,26,231,5,2/13,46.2,8.88,31.2,0,0
49,Vijay Shankar,7,5,13.1,82,4,1/11,20.5,6.22,19.75,0,0
50,Shivam Dube,11,5,9,73,4,2/15,18.25,8.11,13.5,0,0
51,Kieron Pollard,16,11,21,190,4,1/5,47.5,9.04,31.5,0,0
52,Prasidh Krishna,6,6,17.3,164,4,3/29,41,9.37,26.25,0,0
53,Jaydev Unadkat,7,7,23,228,4,2/32,57,9.91,34.5,0,0
54,Bhuvneshwar Kumar,4,4,14.1,99,3,2/25,33,6.98,28.33,0,0
55,Amit Mishra,3,3,10,72,3,2/35,24,7.2,20,0,0
56,Glenn Maxwell,13,7,21,169,3,1/10,56.33,8.04,42,0,0
57,Harshal Patel,5,5,15,134,3,2/34,44.66,8.93,30,0,0
58,Tushar Deshpande,5,5,17,192,3,2/37,64,11.29,34,0,0
59,Tom Curran,5,5,18.1,208,3,1/37,69.33,11.44,36.33,0,0
60,Shahbaz Ahmed,2,2,6,44,2,2/26,22,7.33,18,0,0
61,Mitchell Santner,2,2,7,53,2,1/23,26.5,7.57,21,0,0
62,Adam Zampa,3,3,11,92,2,1/12,46,8.36,33,0,0
63,Abhishek Sharma,8,6,10,91,2,1/15,45.5,9.1,30,0,0
64,Jimmy Neesham,5,5,15,148,2,1/17,74,9.86,45,0,0
65,Ben Stokes,8,6,15,154,2,2/32,77,10.26,45,0,0
66,Ankit Rajpoot,6,6,17,199,2,1/39,99.5,11.7,51,0,0
67,Siddarth Kaul,1,1,4,64,2,2/64,32,16,12,0,0
68,Jayant Yadav,2,2,7,43,1,1/25,43,6.14,42,0,0
69,Josh Hazlewood,3,3,10,64,1,1/19,64,6.4,60,0,0
70,Imran Tahir,3,3,11,76,1,1/24,76,6.9,66,0,0
71,Kuldeep Yadav,5,4,12,92,1,1/20,92,7.66,72,0,0
72,Moeen Ali,3,3,5,42,1,1/21,42,8.4,30,0,0
73,Krishnappa Gowtham,2,2,8,84,1,1/45,84,10.5,48,0,0
74,Mohit Sharma,1,1,4,45,1,1/45,45,11.25,24,0,0
75,Dale Steyn,3,3,11.4,133,1,1/33,133,11.4,70,0,0
76,Basil Thampi,1,1,4,46,1,1/46,46,11.5,24,0,0
77,Andrew Tye,1,1,4,50,1,1/50,50,12.5,24,0,0
78,Abdul Samad,12,3,7,96,1,1/41,96,13.71,42,0,0
79,Mohammad Nabi,1,1,4,23,0,0/23,0,5.75,0,0,0
80,Chris Gayle,7,1,0.5,5,0,0/5,0,6,0,0,0
81,Dhawal Kulkarni,1,1,3,22,0,0/22,0,7.33,0,0,0
82,Chris Green,1,1,2.5,24,0,0/24,0,8.47,0,0,0
83,Ishant Sharma,1,1,3,26,0,0/26,0,8.66,0,0,0
84,Deepak Hooda,7,1,1,9,0,0/9,0,9,0,0,0
85,Mitchell Marsh,1,1,0.4,6,0,0/6,0,9,0,0,0
86,Pravin Dubey,3,3,8,72,0,0/14,0,9,0,0,0
87,Daniel Sams,3,3,12,114,0,0/30,0,9.5,0,0,0
88,Monu Kumar,1,1,2,20,0,0/20,0,10,0,0,0
89,Harpreet Brar,1,1,4,41,0,0/41,0,10.25,0,0,0
90,Mujeeb Ur Rahman,2,2,8,83,0,0/39,0,10.37,0,0,0
91,Avesh Khan,1,1,4,42,0,0/42,0,10.5,0,0,0
92,Sandeep Warrier,1,1,3,34,0,0/34,0,11.33,0,0,0
93,Nitish Rana,14,2,2,23,0,0/7,0,11.5,0,0,0
94,Varun Aaron,3,3,8,94,0,0/22,0,11.75,0,0,0
95,Umesh Yadav,2,2,7,83,0,0/35,0,11.85,0,0,0
96,Kane Williamson,12,1,2,24,0,0/24,0,12,0,0,0
97,David Warner,16,1,0.1,2,0,0/2,0,12,0,0,0
98,Riyan Parag,12,2,2,27,0,0/13,0,13.5,0,0,0
