POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Mohit Sharma,16,16,53.5,452,23,4/14,19.65,8.39,14.04,1,0
2,Sunil Narine,16,16,64,407,21,4/20,19.38,6.35,18.28,2,0
3,Bhuvneshwar Kumar,14,14,53.1,354,20,4/14,17.7,6.65,15.95,1,0
4,Ravindra Jadeja,16,16,54.2,443,19,4/12,23.31,8.15,17.15,2,0
5,Sandeep Sharma,11,11,40.1,354,18,3/15,19.66,8.81,13.38,0,0
6,Axar Patel,17,17,66,405,17,3/24,23.82,6.13,23.29,0,0
7,Mitchell Johnson,14,14,53.3,444,17,2/19,26.11,8.29,18.88,0,0
8,Lasith Malinga,10,10,39.1,253,16,4/23,15.81,6.45,14.68,1,0
9,Ravichandran Ashwin,16,16,59.5,437,16,3/30,27.31,7.3,22.43,0,0
10,Varun Aaron,10,10,36.4,299,16,3/16,18.68,8.15,13.75,0,0
11,Pravin Tambe,13,13,49,356,15,4/20,23.73,7.26,19.6,1,0
12,Karn Sharma,14,14,50.4,376,15,4/38,25.06,7.42,20.26,1,0
13,Harbhajan Singh,14,14,55,356,14,2/13,25.42,6.47,23.57,0,0
14,Mitchell Starc,14,14,53.4,402,14,2/21,28.71,7.49,23,0,0
15,Piyush Chawla,11,11,39.3,303,14,3/19,21.64,7.67,16.92,0,0
16,Rishi Dhawan,13,13,47.2,365,13,2/14,28.07,7.71,21.84,0,0
17,Yuzvendra Chahal,14,14,55,386,12,2/17,32.16,7.01,27.5,0,0
18,Rajat Bhatia,12,12,38,283,12,3/23,23.58,7.44,19,0,0
19,Morne Morkel,12,12,48,367,12,2/20,30.58,7.64,24,0,0
20,Lakshmipathy Balaji,9,9,34,299,12,4/13,24.91,8.79,17,1,0
21,Shakib Al Hasan,13,13,50,334,11,2/22,30.36,6.68,27.27,0,0
22,Dale Steyn,14,14,56,431,11,2/20,39.18,7.69,30.54,0,0
23,Umesh Yadav,12,12,45,367,11,3/13,33.36,8.15,24.54,0,0
24,Karanveer Singh,5,5,20,164,11,4/54,14.9,8.2,10.9,1,0
25,James Faulkner,13,13,43,419,11,3/11,38.09,9.74,23.45,0,0
26,Kane Richardson,7,7,27,206,9,2/18,22.88,7.62,18,0,0
27,Imran Tahir,6,6,20.5,171,9,3/22,19,8.2,13.88,0,0
28,Jaydev Unadkat,9,9,31.1,270,9,3/32,30,8.66,20.77,0,0
29,Shahbaz Nadeem,11,11,38,311,8,2/35,38.87,8.18,28.5,0,0
30,Ben Hilfenhaus,8,8,28,246,8,2/32,30.75,8.78,21,0,0
31,Ashish Nehra,4,4,15,142,8,3/33,17.75,9.46,11.25,0,0
32,Shane Watson,13,9,21,165,7,3/13,23.57,7.85,18,0,0
33,Mohammad Shami,12,12,44,369,7,1/22,52.71,8.38,37.71,0,0
34,Vinay Kumar,9,9,32,281,7,2/26,40.14,8.78,27.42,0,0
35,Amit Mishra,10,10,37.3,340,7,2/23,48.57,9.06,32.14,0,0
36,Parvinder Awana,7,7,23.3,245,7,2/15,35,10.42,20.14,0,0
37,Wayne Parnell,8,8,30.1,223,6,2/21,37.16,7.39,30.16,0,0
38,Ishwar Pandey,13,12,42,318,6,2/23,53,7.57,42,0,0
39,Shreyas Gopal,4,4,14,113,6,2/25,18.83,8.07,14,0,0
40,Dhawal Kulkarni,8,8,27,221,6,2/23,36.83,8.18,27,0,0
41,Zaheer Khan,6,6,22.2,146,5,2/21,29.2,6.53,26.8,0,0
42,Jasprit Bumrah,11,11,39.4,301,5,2/22,60.2,7.58,47.6,0,0
43,Yuvraj Singh,14,10,22.4,187,5,4/35,37.4,8.25,27.2,1,0
44,Ashok Dinda,9,9,31,270,5,1/14,54,8.7,37.2,0,0
45,Ankit Sharma,3,2,8,43,4,2/20,10.75,5.37,12,0,0
46,Kevon Cooper,5,5,18,134,4,2/38,33.5,7.44,27,0,0
47,Albie Morkel,7,6,16,126,4,1/18,31.5,7.87,24,0,0
48,Jacques Kallis,8,8,22,186,4,1/15,46.5,8.45,33,0,0
49,Irfan Pathan,10,10,23.4,205,4,2/10,51.25,8.66,35.5,0,0
50,Dwayne Smith,16,5,10,95,4,1/11,23.75,9.5,15,0,0
51,Moises Henriques,4,4,10,96,4,2/26,24,9.6,15,0,0
52,Corey Anderson,12,9,18,184,4,2/18,46,10.22,27,0,0
53,Harshal Patel,3,3,11,113,4,2/56,28.25,10.27,16.5,0,0
54,Beuran Hendricks,3,3,12,126,4,3/36,31.5,10.5,18,0,0
55,Praveen Kumar,3,3,12,78,3,2/31,26,6.5,24,0,0
56,Stuart Binny,13,8,9,64,3,1/1,21.33,7.11,18,0,0
57,JP Duminy,14,11,33,240,3,2/27,80,7.27,66,0,0
58,Shivam Sharma,4,4,16,121,3,2/26,40.33,7.56,32,0,0
59,Muttiah Muralitharan,5,5,16,124,3,2/25,41.33,7.75,32,0,0
60,Abu Nechim,4,4,14.2,113,3,1/18,37.66,7.88,28.66,0,0
61,Ishant Sharma,3,3,11,101,3,2/37,33.66,9.18,22,0,0
62,Darren Sammy,10,8,14,157,3,1/20,52.33,11.21,28,0,0
63,Krishmar Santokie,2,2,8,90,3,2/50,30,11.25,16,0,0
64,Rahul Tewatia,3,3,9,59,2,1/17,29.5,6.55,27,0,0
65,Nathan Coulter-Nile,2,1,4,27,2,2/27,13.5,6.75,12,0,0
66,Samuel Badree,4,4,14,97,2,1/19,48.5,6.92,42,0,0
67,Marchant de Lange,1,1,4,32,2,2/32,16,8,12,0,0
68,Siddarth Kaul,5,5,13,126,2,1/5,63,9.69,39,0,0
69,Kieron Pollard,15,12,25,262,2,1/33,131,10.48,75,0,0
70,Rahul Shukla,3,3,9,98,2,1/13,49,10.88,27,0,0
71,David Hussey,5,1,2.5,38,2,2/38,19,13.41,8.5,0,0
72,Ravi Rampaul,2,2,6,37,1,1/21,37,6.16,36,0,0
73,Ryan ten Doeschate,10,4,5,35,1,1/7,35,7,30,0,0
