POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Dwayne Bravo,17,16,52.2,426,26,3/22,16.38,8.14,12.07,0,0
2,Lasith Malinga,15,15,60,444,24,4/23,18.5,7.4,15,1,0
3,Yuzvendra Chahal,15,14,46.5,415,23,3/40,18.04,8.86,12.21,0,0
4,Ashish Nehra,16,16,62,449,22,4/10,20.4,7.24,16.9,1,0
5,Mitchell Starc,13,12,43,291,20,4/15,14.55,6.76,12.9,1,0
6,Harbhajan Singh,15,15,57,446,18,3/27,24.77,7.82,19,0,0
7,Bhuvneshwar Kumar,14,14,51.4,407,18,3/26,22.61,7.87,17.22,0,0
8,Mitchell McClenaghan,12,12,47,386,18,3/16,21.44,8.21,15.66,0,0
9,Harshal Patel,15,14,43.5,328,17,2/12,19.29,7.48,15.47,0,0
10,David Wiese,14,13,42.2,353,16,4/33,22.06,8.33,15.87,1,0
11,Nathan Coulter-Nile,11,11,42.3,321,15,4/20,21.4,7.55,17,1,0
12,Imran Tahir,10,10,35.3,314,15,4/28,20.93,8.84,14.2,1,0
13,Anureet Singh,14,14,51.4,465,15,3/23,31,9,20.66,0,0
14,Andre Russell,13,13,40.4,324,14,3/32,23.14,7.96,17.42,0,0
15,Mohit Sharma,16,16,57,481,14,3/25,34.35,8.43,24.42,0,0
16,Sandeep Sharma,14,14,50,350,13,4/25,26.92,7,23.07,1,0
17,Chris Morris,11,11,42,311,13,4/23,23.92,7.4,19.38,1,0
18,Dhawal Kulkarni,11,11,35,277,13,2/9,21.3,7.91,16.15,0,0
19,Axar Patel,14,14,46.4,392,13,2/11,30.15,8.4,21.53,0,0
20,Moises Henriques,9,9,25,158,11,3/16,14.36,6.32,13.63,0,0
21,Ishwar Pandey,10,10,31,223,11,2/27,20.27,7.19,16.9,0,0
22,Piyush Chawla,13,13,35,269,11,4/32,24.45,7.68,19.09,1,0
23,Ravindra Jadeja,17,15,42.4,330,11,4/11,30,7.73,23.27,1,0
24,Ravichandran Ashwin,14,13,39,228,10,2/5,22.8,5.84,23.4,0,0
25,Morne Morkel,7,7,28,206,10,2/18,20.6,7.35,16.8,0,0
26,Karn Sharma,14,14,39.5,332,10,2/12,33.2,8.33,23.9,0,0
27,Jagadeesha Suchith,13,12,39,337,10,2/14,33.7,8.64,23.4,0,0
28,Umesh Yadav,12,12,42,382,10,3/33,38.2,9.09,25.2,0,0
29,Brad Hogg,6,6,21,144,9,4/29,16,6.85,14,1,0
30,Amit Mishra,12,12,40.1,310,9,2/32,34.44,7.71,26.77,0,0
31,Trent Boult,7,7,28,236,9,3/19,26.22,8.42,18.66,0,0
32,Mitchell Johnson,9,9,35.5,336,9,2/23,37.33,9.37,23.88,0,0
33,Sreenath Aravind,5,5,18,132,8,4/27,16.5,7.33,13.5,1,0
34,JP Duminy,14,9,17,126,8,4/17,15.75,7.41,12.75,1,0
35,James Faulkner,13,13,45,426,8,3/26,53.25,9.46,33.75,0,0
36,Zaheer Khan,7,7,24.1,156,7,2/9,22.28,6.45,20.71,0,0
37,Sunil Narine,8,8,32,234,7,4/19,33.42,7.31,27.42,1,0
38,Pravin Tambe,10,10,34,266,7,2/21,38,7.82,29.14,0,0
39,Angelo Mathews,11,10,30,246,7,2/15,35.14,8.2,25.71,0,0
40,Vinay Kumar,13,13,43.3,368,7,2/26,52.57,8.45,37.28,0,0
41,Praveen Kumar,12,12,36,329,7,2/35,47,9.13,30.85,0,0
42,Ravi Bopara,9,7,20,160,6,2/18,26.66,8,20,0,0
43,Pawan Negi,10,10,30,252,6,2/25,42,8.4,30,0,0
44,Tim Southee,7,7,28,247,6,2/32,41.16,8.82,28,0,0
45,Shane Watson,10,10,29,269,6,2/36,44.83,9.27,29,0,0
46,Beuran Hendricks,4,4,13,109,5,2/40,21.8,8.38,15.6,0,0
47,Domnic Joseph,6,6,14,101,4,2/18,25.25,7.21,21,0,0
48,Stuart Binny,13,10,19,140,4,2/27,35,7.36,28.5,0,0
49,Iqbal Abdulla,5,5,19,150,4,2/36,37.5,7.89,28.5,0,0
50,Shakib Al Hasan,4,4,14,123,4,2/22,30.75,8.78,21,0,0
51,Bipul Sharma,4,3,7,50,3,2/13,16.66,7.14,14,0,0
52,Gurkeerat Mann Singh,5,3,9,66,3,2/17,22,7.33,18,0,0
53,Ankit Sharma,4,4,14,114,3,1/26,38,8.14,28,0,0
54,Ashish Reddy,6,4,6,50,3,1/11,16.66,8.33,12,0,0
55,Dale Steyn,6,6,19,170,3,2/38,56.66,8.94,38,0,0
56,Albie Morkel,4,4,12,109,3,2/21,36.33,9.08,24,0,0
57,Kieron Pollard,16,8,12.4,120,3,1/6,40,9.47,25.33,0,0
58,Varun Aaron,6,5,17.2,177,3,2/24,59,10.21,34.66,0,0
59,Jasprit Bumrah,4,4,15,184,3,1/38,61.33,12.26,30,0,0
60,Jayant Yadav,3,3,7,29,2,1/8,14.5,4.14,21,0,0
61,Suresh Raina,17,5,12,93,2,1/29,46.5,7.75,36,0,0
62,Glenn Maxwell,11,7,10,97,2,1/5,48.5,9.7,30,0,0
63,Yusuf Pathan,13,5,10,97,2,2/40,48.5,9.7,30,0,0
64,Parveez Rasool,2,2,5,31,1,1/20,31,6.2,30,0,0
65,Yuvraj Singh,14,6,9,72,1,1/14,72,8,54,0,0
66,Johan Botha,4,4,10,81,1,1/32,81,8.1,60,0,0
67,Corey Anderson,4,2,4,33,1,1/21,33,8.25,24,0,0
68,Dwayne Smith,16,1,2,17,1,1/17,17,8.5,12,0,0
69,Deepak Hooda,14,7,15.1,129,1,1/35,129,8.5,91,0,0
70,Thisara Perera,2,2,6,55,1,1/33,55,9.16,36,0,0
71,Rishi Dhawan,5,5,12,110,1,1/12,110,9.16,72,0,0
72,Pat Cummins,3,3,10,97,1,1/54,97,9.7,60,0,0
73,Juan Theron,1,1,4,40,1,1/40,40,10,24,0,0
74,Ronit More,2,2,5.5,59,1,1/31,59,10.11,35,0,0
75,Gurinder Sandhu,3,2,8,82,1,1/33,82,10.25,48,0,0
76,Rahul Tewatia,1,1,3,31,1,1/31,31,10.33,18,0,0
77,Hardik Pandya,9,8,17,176,1,1/13,176,10.35,102,0,0
78,Shreyas Gopal,1,1,2.1,23,1,1/23,23,10.61,13,0,0
79,Abu Nechim,3,3,12,128,1,1/28,128,10.66,72,0,0
80,Karanveer Singh,4,4,14,157,1,1/30,157,11.21,84,0,0
81,Ishant Sharma,4,4,14,159,1,1/25,159,11.35,84,0,0
82,Shardul Thakur,1,1,3,38,1,1/38,38,12.66,18,0,0
83,KC Cariappa,1,1,2,28,1,1/28,28,14,12,0,0
84,Shivam Sharma,1,1,3,44,1,1/44,44,14.66,18,0,0
85,Ryan ten Doeschate,6,1,1,4,0,0/4,0,4,0,0,0
86,Virat Kohli,16,2,1.5,10,0,0/4,0,5.45,0,0,0
87,Shahbaz Nadeem,4,2,7,43,0,0/18,0,6.14,0,0,0
88,Murali Vijay,11,2,4,28,0,0/12,0,7,0,0,0
89,Chris Gayle,14,1,2,15,0,0/15,0,7.5,0,0,0
90,Marchant de Lange,1,1,4,30,0,0/30,0,7.5,0,0,0
91,Darren Sammy,2,2,3,25,0,0/7,0,8.33,0,0,0
92,Rajat Bhatia,2,2,5,46,0,0/23,0,9.2,0,0,0
