POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Morne Morkel,16,16,63,453,25,4/20,18.12,7.19,15.12,1,0
2,Sunil Narine,15,15,59.1,324,24,5/19,13.5,5.47,14.79,1,1
3,Lasith Malinga,14,14,55.3,350,22,4/16,15.9,6.3,15.13,1,0
4,Umesh Yadav,17,17,61,453,19,3/19,23.84,7.42,19.26,0,0
5,Vinay Kumar,15,14,55.5,480,19,3/22,25.26,8.59,17.63,0,0
6,Dale Steyn,12,12,46.4,285,18,3/8,15.83,6.1,15.55,0,0
7,Zaheer Khan,16,15,60,453,17,3/38,26.64,7.55,21.17,0,0
8,Parvinder Awana,12,12,47,372,17,4/34,21.88,7.91,16.58,1,0
9,Piyush Chawla,16,16,57,419,16,3/18,26.18,7.35,21.37,0,0
10,Kieron Pollard,14,14,43.5,350,16,4/44,21.87,7.98,16.43,1,0
11,Muttiah Muralitharan,10,10,40,260,15,3/21,17.33,6.5,16,0,0
12,Jacques Kallis,17,16,54,403,15,2/7,26.86,7.46,21.6,0,0
13,Munaf Patel,12,12,46.4,367,15,4/20,24.46,7.86,18.66,2,0
14,Dwayne Bravo,19,18,57.4,461,15,2/10,30.73,7.99,23.06,0,0
15,Ravichandran Ashwin,19,18,65.5,432,14,3/24,30.85,6.56,28.21,0,0
16,Ben Hilfenhaus,9,9,34,233,14,3/27,16.64,6.85,14.57,0,0
17,Azhar Mahmood,11,11,42.4,329,14,3/20,23.5,7.71,18.28,0,0
18,Siddharth Trivedi,14,14,52,380,13,4/25,29.23,7.3,24,1,0
19,Rajat Bhatia,17,16,53.1,389,13,2/14,29.92,7.31,24.53,0,0
20,Albie Morkel,16,15,49.3,385,13,3/29,29.61,7.77,22.84,0,0
21,Amit Mishra,14,14,47,377,13,3/32,29,8.02,21.69,0,0
22,Shakib Al Hasan,8,8,30,195,12,3/17,16.25,6.5,15,0,0
23,Ravindra Jadeja,19,14,35,273,12,5/16,22.75,7.8,17.5,0,1
24,Lakshmipathy Balaji,8,8,29.5,162,11,4/18,14.72,5.43,16.27,1,0
25,Ashish Nehra,13,13,48,402,11,3/23,36.54,8.37,26.18,0,0
26,Brad Hogg,9,9,36,253,10,2/31,25.3,7.02,21.6,0,0
27,Kevon Cooper,6,6,24,174,10,4/26,17.4,7.25,14.4,1,0
28,RP Singh,11,11,41,318,10,3/28,31.8,7.75,24.6,0,0
29,Ashish Reddy,9,8,24.1,205,10,3/25,20.5,8.48,14.5,0,0
30,Veer Pratap Singh,9,9,34,296,10,2/31,29.6,8.7,20.4,0,0
31,Amit Singh,9,9,32.5,310,10,2/29,31,9.44,19.7,0,0
32,Praveen Kumar,16,16,63,434,9,2/15,48.22,6.88,42,0,0
33,Ashok Dinda,7,7,24,169,9,4/18,18.77,7.04,16,1,0
34,Johan Botha,11,11,41,297,9,2/21,33,7.24,27.33,0,0
35,Pragyan Ojha,9,9,30,220,9,2/17,24.44,7.33,20,0,0
36,Rahul Sharma,11,11,37,300,9,2/16,33.33,8.1,24.66,0,0
37,Shadab Jakati,15,15,41,335,9,2/14,37.22,8.17,27.33,0,0
38,Harshal Patel,12,11,41,340,9,2/24,37.77,8.29,27.33,0,0
39,Shahbaz Nadeem,12,12,45,318,8,3/16,39.75,7.06,33.75,0,0
40,Bhuvneshwar Kumar,11,11,39,281,8,2/9,35.12,7.2,29.25,0,0
41,Ryan Harris,5,5,18,130,8,4/34,16.25,7.22,13.5,1,0
42,Marlon Samuels,8,8,28.4,216,8,3/39,27,7.53,21.5,0,0
43,Irfan Pathan,17,17,60,465,8,2/46,58.12,7.75,45,0,0
44,Dan Christian,7,7,27,233,8,2/26,29.12,8.62,20.25,0,0
45,Doug Bollinger,6,6,18,157,8,3/24,19.62,8.72,13.5,0,0
46,Varun Aaron,8,8,31,271,8,2/19,33.87,8.74,23.25,0,0
47,Dimitri Mascarenhas,4,4,16,105,7,5/25,15,6.56,13.71,0,1
48,Pawan Negi,8,6,22,152,7,4/18,21.71,6.9,18.85,1,0
49,Angelo Mathews,9,9,26,192,7,2/17,27.42,7.38,22.28,0,0
50,Brett Lee,10,10,38,299,7,2/26,42.71,7.86,32.57,0,0
51,Pankaj Singh,6,6,21,170,7,2/18,24.28,8.09,18,0,0
52,Ankeet Chavan,8,8,27.2,236,7,2/23,33.71,8.63,23.42,0,0
53,Shaun Tait,6,6,22.5,151,6,3/13,25.16,6.61,22.83,0,0
54,Shane Watson,7,7,23,161,6,2/19,26.83,7,23,0,0
55,Harbhajan Singh,17,16,54,384,6,2/13,64,7.11,54,0,0
56,Dhawal Kulkarni,2,2,8,64,6,3/18,10.66,8,8,0,0
57,James Franklin,12,9,15,121,6,2/18,20.16,8.06,15,0,0
58,Harmeet Singh Bansal,7,6,19.2,168,6,3/24,28,8.68,19.33,0,0
59,KP Appanna,7,6,17,148,6,4/19,24.66,8.7,17,1,0
60,Wayne Parnell,6,6,21,128,5,2/18,25.6,6.09,25.2,0,0
61,Andrew McDonald,4,3,10,61,5,2/25,12.2,6.1,12,0,0
62,Ajit Chandila,4,4,14,86,5,4/13,17.2,6.14,16.8,1,0
63,Daniel Vettori,9,9,35,236,5,1/20,47.2,6.74,42,0,0
64,Iqbal Abdulla,9,8,22,144,4,1/20,36,6.54,33,0,0
65,Nuwan Kulasekara,5,4,14,94,4,2/10,23.5,6.71,21,0,0
66,Ankit Sharma,9,9,24.1,165,4,1/9,41.25,6.82,36.25,0,0
67,Murali Kartik,11,11,36,266,4,2/14,66.5,7.38,54,0,0
68,David Hussey,16,6,9,63,3,2/2,21,7,18,0,0
