POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Lasith Malinga,16,16,63,375,28,5/13,13.39,5.95,13.5,0,1
2,Munaf Patel,15,15,54.2,358,22,5/21,16.27,6.58,14.81,0,1
3,Sreenath Aravind,13,13,46,368,21,4/14,17.52,8,13.14,1,0
4,Ravichandran Ashwin,16,16,63,388,20,3/16,19.4,6.15,18.9,0,0
5,Amit Mishra,14,14,53.2,358,19,4/9,18.84,6.71,16.84,1,0
6,Doug Bollinger,13,13,47,329,17,3/21,19.35,7,16.58,0,0
7,Rahul Sharma,14,14,50,273,16,3/13,17.06,5.46,18.75,0,0
8,Iqbal Abdulla,15,15,50,305,16,3/24,19.06,6.1,18.75,0,0
9,Ryan Harris,13,13,47,382,16,3/28,23.87,8.12,17.62,0,0
10,Piyush Chawla,12,12,41.2,336,16,4/17,21,8.12,15.5,1,0
11,Albie Morkel,15,14,45,382,15,3/29,25.46,8.48,18,0,0
12,Dale Steyn,12,12,45.3,299,14,3/16,21.35,6.57,19.5,0,0
13,Harbhajan Singh,15,15,53,370,14,5/18,26.42,6.98,22.71,0,1
14,Zaheer Khan,15,15,59,455,14,3/32,32.5,7.71,25.28,0,0
15,Yusuf Pathan,15,14,39,238,13,3/20,18.3,6.1,18,0,0
16,Shane Warne,13,12,47,297,13,3/16,22.84,6.31,21.69,0,0
17,RP Singh,14,14,50,345,13,4/25,26.53,6.9,23.07,1,0
18,Morne Morkel,11,11,43,325,13,3/18,25,7.55,19.84,0,0
19,Daniel Vettori,13,13,51.4,311,12,3/19,25.91,6.01,25.83,0,0
20,Vinay Kumar,13,13,44.4,335,12,3/25,27.91,7.5,22.33,0,0
21,Shakib Al Hasan,7,7,25.3,175,11,3/28,15.9,6.86,13.9,0,0
22,Ishant Sharma,12,12,44,314,11,5/12,28.54,7.13,24,0,1
23,Irfan Pathan,14,13,45.5,344,11,3/28,31.27,7.5,25,0,0
24,Dan Christian,14,14,45.4,350,11,2/13,31.81,7.66,24.9,0,0
25,Alfonso Thomas,11,11,38.3,297,11,2/23,27,7.71,21,0,0
26,Pragyan Ojha,10,10,36.5,267,10,3/26,26.7,7.24,22.1,0,0
27,Praveen Kumar,13,13,46,345,10,2/19,34.5,7.5,27.6,0,0
28,Shadab Jakati,15,14,44.1,336,10,2/21,33.6,7.6,26.5,0,0
29,Lakshmipathy Balaji,14,14,44.2,371,10,3/15,37.1,8.36,26.6,0,0
30,Kieron Pollard,16,16,42.3,361,10,2/24,36.1,8.49,25.5,0,0
31,Siddharth Trivedi,12,12,35.4,303,10,3/15,30.3,8.49,21.4,0,0
32,Yuvraj Singh,14,13,29,192,9,4/29,21.33,6.62,19.33,1,0
33,Wayne Parnell,8,8,29.2,213,9,3/35,23.66,7.26,19.55,0,0
34,Amit Singh,9,9,28.3,215,9,3/35,23.88,7.54,19,0,0
35,Bhargav Bhatt,10,8,27.5,229,9,4/22,25.44,8.22,18.55,1,0
36,Rajat Bhatia,14,12,32,210,8,3/22,26.25,6.56,24,0,0
37,Chris Gayle,12,12,36,244,8,3/21,30.5,6.77,27,0,0
38,Ravindra Jadeja,14,14,42,305,8,2/25,38.12,7.26,31.5,0,0
39,Ajit Agarkar,7,7,27,231,8,2/23,28.87,8.55,20.25,0,0
40,Shalabh Srivastava,6,6,20,186,8,2/20,23.25,9.3,15,0,0
41,Shanthakumaran Sreesanth,9,9,31.5,206,7,2/10,29.42,6.47,27.28,0,0
42,Johan Botha,10,10,36,239,7,3/6,34.14,6.63,30.85,0,0
43,Mitchell Marsh,5,5,14.1,99,7,4/25,14.14,6.98,12.14,1,0
44,Brad Hodge,14,4,11,77,7,4/13,11,7,9.42,1,0
45,Jacques Kallis,15,9,24,170,7,2/16,24.28,7.08,20.57,0,0
46,Paul Valthaty,14,9,24.1,189,7,4/29,27,7.82,20.71,1,0
47,James Hopes,10,9,32,272,7,1/25,38.85,8.5,27.42,0,0
48,Shane Watson,11,10,36,241,6,3/19,40.16,6.69,36,0,0
49,Suraj Randiv,8,8,29,223,6,2/24,37.16,7.68,29,0,0
50,Dwayne Bravo,6,6,20,157,6,2/21,26.16,7.85,20,0,0
51,Jaydev Unadkat,7,6,18,150,6,2/25,25,8.33,18,0,0
52,Shaun Tait,4,4,14.5,127,6,3/22,21.16,8.56,14.83,0,0
53,Roelof van der Merwe,4,4,14.5,92,5,3/20,18.4,6.2,17.8,0,0
54,Dhawal Kulkarni,6,6,20,149,5,3/26,29.8,7.45,24,0,0
55,Brett Lee,12,12,45.2,338,5,1/12,67.6,7.45,54.4,0,0
56,Charl Langeveldt,3,3,11,84,5,2/10,16.8,7.63,13.2,0,0
57,Raiphi Gomez,11,8,15,124,5,2/14,24.8,8.26,18,0,0
58,Syed Mohammad,5,5,15,127,5,2/25,25.4,8.46,18,0,0
59,Ashok Dinda,6,5,17,152,5,2/42,30.4,8.94,20.4,0,0
60,Abhimanyu Mithun,12,12,34,321,5,2/37,64.2,9.44,40.8,0,0
61,Ryan McLaren,6,6,18,178,5,2/33,35.6,9.88,21.6,0,0
62,Bipul Sharma,4,4,12,78,4,2/32,19.5,6.5,18,0,0
63,Suresh Raina,16,12,27.3,201,4,2/0,50.25,7.3,41.25,0,0
64,Shahbaz Nadeem,5,5,19,142,4,2/39,35.5,7.47,28.5,0,0
65,Shrikant Wagh,7,7,16,121,4,3/16,30.25,7.56,24,0,0
66,Jesse Ryder,13,7,15.2,118,4,1/8,29.5,7.69,23,0,0
67,JP Duminy,10,8,18,143,4,1/3,35.75,7.94,27,0,0
68,Tim Southee,5,5,19,166,4,1/30,41.5,8.73,28.5,0,0
69,P Parameswaran,5,5,15.4,137,4,2/20,34.25,8.74,23.5,0,0
70,Manpreet Gony,3,3,9,85,4,3/31,21.25,9.44,13.5,0,0
71,Ali Murtaza,5,5,20,117,3,2/18,39,5.85,40,0,0
72,Bhuvneshwar Kumar,4,4,11,67,3,2/14,22.33,6.09,22,0,0
73,Harmeet Singh Bansal,2,2,7,53,3,2/27,17.66,7.57,14,0,0
74,Aavishkar Salvi,2,2,8,66,3,2/40,22,8.25,16,0,0
75,James Franklin,8,6,10.1,99,3,2/35,33,9.73,20.33,0,0
76,Anand Rajan,2,2,5,50,3,3/27,16.66,10,10,0,0
77,Johan van der Wath,3,3,12,129,3,2/49,43,10.75,24,0,0
78,Ryan Ninan,2,2,6,65,3,2/31,21.66,10.83,12,0,0
79,Varun Aaron,4,3,12,82,2,1/20,41,6.83,36,0,0
80,Muttiah Muralitharan,5,5,19,141,2,1/18,70.5,7.42,57,0,0
81,Dirk Nannes,2,2,4,31,2,1/0,15.5,7.75,12,0,0
82,Thisara Perera,4,4,14,111,2,1/30,55.5,7.92,42,0,0
83,Ashok Menaria,13,9,15,121,2,2/20,60.5,8.06,45,0,0
84,Virat Kohli,16,10,17,139,2,1/8,69.5,8.17,51,0,0
85,Ramesh Powar,5,5,12,112,2,1/20,56,9.33,36,0,0
86,Abhishek Nayar,10,6,10.1,95,2,1/22,47.5,9.34,30.5,0,0
87,Umesh Yadav,7,6,18,169,2,2/29,84.5,9.38,54,0,0
88,James Faulkner,1,1,2,9,1,1/9,9,4.5,12,0,0
89,Shikhar Dhawan,14,2,2,11,1,1/7,11,5.5,12,0,0
90,SS Mundhe,1,1,1,6,1,1/6,6,6,6,0,0
91,Murali Kartik,6,6,20.5,166,1,1/27,166,7.96,125,0,0
92,Nuwan Kulasekara,1,1,3,26,1,1/26,26,8.66,18,0,0
93,Tillakaratne Dilshan,10,6,12,108,1,1/30,108,9,72,0,0
94,Andrew Symonds,11,3,4,41,1,1/11,41,10.25,24,0,0
95,Nayan Doshi,3,3,5.2,62,1,1/15,62,11.62,32,0,0
96,David Hussey,8,2,3,38,1,1/19,38,12.66,18,0,0
97,Yogesh Nagar,11,5,5,67,1,1/3,67,13.4,30,0,0
98,Jacob Oram,2,1,2,32,1,1/32,32,16,12,0,0
99,Sachin Rana,2,1,0.4,2,0,0/2,0,3,0,0,0
100,Ankeet Chavan,2,2,5,27,0,0/10,0,5.4,0,0,0
101,Mithun Manhas,10,3,7,42,0,0/9,0,6,0,0,0
102,Nathan Rimmington,1,1,3,19,0,0/19,0,6.33,0,0,0
103,Aaron Finch,6,1,2,13,0,0/13,0,6.5,0,0,0
104,Vikramjeet Malik,1,1,2,13,0,0/13,0,6.5,0,0,0
105,Nathan McCullum,2,2,5,34,0,0/12,0,6.8,0,0,0
106,Abhishek Raut,7,2,3,21,0,0/8,0,7,0,0,0
107,Ryan ten Doeschate,6,1,1,7,0,0/7,0,7,0,0,0
108,Y Gnaneswara Rao,2,1,1,7,0,0/7,0,7,0,0,0
109,Ambati Rayudu,16,1,3,22,0,0/22,0,7.33,0,0,0
110,Rajagopal Sathish,9,4,5.1,41,0,0/5,0,7.93,0,0,0
111,Tirumalasetti Suman,8,3,6,50,0,0/12,0,8.33,0,0,0
112,Asad Pathan,6,2,5.3,49,0,0/19,0,8.9,0,0,0
113,Dwaraka Ravi Teja,12,1,1,9,0,0/9,0,9,0,0,0
114,Abrar Kazi,1,1,2,21,0,0/21,0,10.5,0,0,0
115,Sarabjit Ladda,2,2,4,42,0,0/13,0,10.5,0,0,0
116,Stuart Binny,6,3,4,44,0,0/12,0,11,0,0,0
117,Ross Taylor,12,1,1,11,0,0/11,0,11,0,0,0
118,Abhishek Jhunjhunwala,3,2,2,22,0,0/11,0,11,0,0,0
119,Balachandra Akhil,1,1,2,22,0,0/22,0,11,0,0,0
120,Joginder Sharma,1,1,3,34,0,0/34,0,11.33,0,0,0
121,Pankaj Singh,4,1,2,23,0,0/23,0,11.5,0,0,0
122,Manoj Tiwary,15,2,2,23,0,0/9,0,11.5,0,0,0
123,Andrew McDonald,1,1,2,23,0,0/23,0,11.5,0,0,0
124,Scott Styris,2,1,1,13,0,0/13,0,13,0,0,0
125,Venugopal Rao,14,2,2,26,0,0/12,0,13,0,0,0
126,Love Ablish,1,1,3,39,0,0/39,0,13,0,0,0
127,Rohit Sharma,16,3,4,53,0,0/14,0,13.25,0,0,0
128,Kamran Khan,1,1,3,47,0,0/47,0,15.66,0,0,0
129,Padmanabhan Prasanth,1,1,1,18,0,0/18,0,18,0,0,0
130,Bharat Chipli,14,1,1,20,0,0/20,0,20,0,0,0
131,Ishan Malhotra,1,1,1,23,0,0/23,0,23,0,0,0
132,Sridharan Sriram,1,1,1,25,0,0/25,0,25,0,0,0
