POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Dwayne Bravo,18,18,62.3,497,32,4/42,15.53,7.95,11.71,1,0
2,James Faulkner,16,16,63.1,427,28,5/16,15.25,6.75,13.53,0,2
3,Harbhajan Singh,19,19,70,456,24,3/14,19,6.51,17.5,0,0
4,Mitchell Johnson,17,17,64,459,24,3/27,19.12,7.17,16,0,0
5,Vinay Kumar,16,16,60.1,493,23,3/18,21.43,8.19,15.69,0,0
6,Sunil Narine,16,16,64,350,22,4/13,15.9,5.46,17.45,2,0
7,Amit Mishra,17,17,62,394,21,4/19,18.76,6.35,17.71,1,0
8,Mohit Sharma,15,15,50.4,326,20,3/10,16.3,6.43,15.2,0,0
9,Lasith Malinga,17,17,65.2,468,20,3/39,23.4,7.16,19.6,0,0
10,Dale Steyn,17,17,67.5,384,19,3/11,20.21,5.66,21.42,0,0
11,Thisara Perera,16,16,59.4,478,19,3/20,25.15,8.01,18.84,0,0
12,Kevon Cooper,14,14,54,449,19,3/15,23.63,8.31,17.05,0,0
13,Pragyan Ojha,16,15,52.2,381,16,3/11,23.81,7.28,19.62,0,0
14,Jacques Kallis,16,15,53,394,16,3/13,24.62,7.43,19.87,0,0
15,Umesh Yadav,16,16,57.5,508,16,4/24,31.75,8.78,21.68,1,0
16,Ashok Dinda,13,13,49,465,16,3/31,29.06,9.48,18.37,0,0
17,Ravichandran Ashwin,18,18,58,390,15,2/18,26,6.72,23.2,0,0
18,Azhar Mahmood,11,11,43.5,330,15,3/21,22,7.52,17.53,0,0
19,Parvinder Awana,14,14,54,412,15,3/39,27.46,7.62,21.6,0,0
20,Ishant Sharma,16,16,59.4,466,15,3/27,31.06,7.81,23.86,0,0
21,Chris Morris,16,16,50,401,15,3/40,26.73,8.02,20,0,0
22,Bhuvneshwar Kumar,16,16,57,371,13,3/18,28.53,6.5,26.3,0,0
23,Ravi Rampaul,10,10,37.4,261,13,3/31,20.07,6.92,17.38,0,0
24,Shane Watson,16,13,41.4,298,13,3/22,22.92,7.15,19.23,0,0
25,Ravindra Jadeja,18,15,43.1,323,13,3/20,24.84,7.48,19.92,0,0
26,Jaydev Unadkat,13,13,49,370,13,5/25,28.46,7.55,22.61,0,1
27,RP Singh,11,11,39.5,335,13,3/13,25.76,8.41,18.38,0,0
28,Praveen Kumar,15,15,56.2,373,12,2/10,31.08,6.62,28.16,0,0
29,Siddharth Trivedi,17,17,59.5,410,12,3/23,34.16,6.85,29.91,0,0
30,Lakshmipathy Balaji,13,13,50,387,12,3/19,32.25,7.74,25,0,0
31,Karn Sharma,13,13,34.5,230,11,2/19,20.9,6.6,19,0,0
32,Piyush Chawla,16,16,58.2,418,11,2/20,38,7.16,31.81,0,0
33,Rajat Bhatia,15,15,43.5,332,11,2/23,30.18,7.57,23.9,0,0
34,Ashish Nehra,10,10,36,316,11,2/35,28.72,8.77,19.63,0,0
35,Irfan Pathan,15,15,51.2,382,10,2/29,38.2,7.44,30.8,0,0
36,Kieron Pollard,18,14,31,292,10,2/6,29.2,9.41,18.6,0,0
37,Shahbaz Nadeem,12,12,44,259,9,2/17,28.77,5.88,29.33,0,0
38,Sachithra Senanayake,8,8,32,209,9,2/26,23.22,6.53,21.33,0,0
39,Rahul Sharma,11,11,41,281,9,2/16,31.22,6.85,27.33,0,0
40,Murali Kartik,11,11,39,284,9,2/24,31.55,7.28,26,0,0
41,Sandeep Sharma,4,4,16,119,8,3/21,14.87,7.43,12,0,0
42,Darren Sammy,10,9,22.2,168,8,4/22,21,7.52,16.75,1,0
43,Dhawal Kulkarni,6,6,18.4,151,8,3/19,18.87,8.08,14,0,0
44,Albie Morkel,8,7,24,159,7,3/32,22.71,6.62,20.57,0,0
45,Iqbal Abdulla,5,5,18.5,142,7,3/29,20.28,7.53,16.14,0,0
46,Morne Morkel,10,10,40,335,7,2/27,47.85,8.37,34.28,0,0
47,Moises Henriques,10,8,21.1,185,7,2/14,26.42,8.74,18.14,0,0
48,Manpreet Gony,8,8,28,256,7,2/24,36.57,9.14,24,0,0
49,Mitchell Marsh,9,7,19.2,182,7,2/7,26,9.41,16.57,0,0
50,Ajit Chandila,8,8,25,156,6,2/6,26,6.24,25,0,0
51,Stuart Binny,17,14,24,162,6,2/14,27,6.75,24,0,0
52,Yuvraj Singh,13,10,22,152,6,2/27,25.33,6.9,22,0,0
53,Wayne Parnell,4,4,14.5,137,6,3/27,22.83,9.23,14.83,0,0
54,Johan Botha,6,6,16.4,109,5,2/11,21.8,6.54,20,0,0
55,Shanthakumaran Sreesanth,7,7,21.4,163,5,2/20,32.6,7.52,26,0,0
56,Harmeet Singh Bansal,3,3,11.2,87,5,3/24,17.4,7.67,13.6,0,0
57,Angelo Mathews,11,10,31,240,5,3/14,48,7.74,37.2,0,0
58,Zaheer Khan,2,2,6,47,5,4/17,9.4,7.83,7.2,1,0
59,Brett Lee,3,3,12,86,4,2/40,21.5,7.16,18,0,0
60,Siddarth Kaul,6,6,21.5,170,4,2/27,42.5,7.78,32.75,0,0
61,Dirk Nannes,5,5,19.5,158,4,2/17,39.5,7.96,29.75,0,0
62,Abu Nechim,2,2,7,45,3,2/27,15,6.42,14,0,0
63,Roelof van der Merwe,3,3,11,71,3,1/17,23.66,6.45,22,0,0
64,Muttiah Muralitharan,6,6,23,177,3,1/18,59,7.69,46,0,0
65,Syed Mohammad,4,4,10,91,3,2/15,30.33,9.1,20,0,0
66,Munaf Patel,4,4,15,137,3,3/29,45.66,9.13,30,0,0
67,Ali Murtaza,3,3,10,94,3,3/15,31.33,9.4,20,0,0
68,Rahul Shukla,3,3,8,79,3,2/28,26.33,9.87,16,0,0
69,Chris Gayle,16,4,4,40,3,2/5,13.33,10,8,0,0
70,Jasprit Bumrah,2,2,7,70,3,3/32,23.33,10,14,0,0
71,Ashish Reddy,12,5,6.4,70,3,1/7,23.33,10.5,13.33,0,0
72,Ryan McLaren,2,2,7,94,3,2/60,31.33,13.42,14,0,0
73,Anand Rajan,2,2,8,42,2,1/20,21,5.25,24,0,0
74,Vikramjeet Malik,3,3,10,59,2,2/14,29.5,5.9,30,0,0
75,Ajantha Mendis,3,3,12,78,2,1/15,39,6.5,36,0,0
76,Rishi Dhawan,6,5,15,109,2,1/6,54.5,7.26,45,0,0
77,Abhishek Nayar,11,3,8,59,2,1/15,29.5,7.37,24,0,0
78,Jason Holder,6,6,20,168,2,2/20,84,8.4,60,0,0
79,Kane Richardson,3,3,11.5,101,2,1/28,50.5,8.53,35.5,0,0
80,Luke Wright,6,5,9.5,100,2,1/12,50,10.16,29.5,0,0
81,Dwayne Smith,13,3,5,59,2,2/20,29.5,11.8,15,0,0
82,Adam Gilchrist,13,1,0.1,0,1,1/0,0,0,1,0,0
83,Bipul Sharma,1,1,4,21,1,1/21,21,5.25,24,0,0
84,Parveez Rasool,2,2,5,28,1,1/23,28,5.6,30,0,0
85,Ryan Harris,3,3,12,72,1,1/12,72,6,72,0,0
86,Hanuma Vihari,17,5,6,38,1,1/5,38,6.33,36,0,0
87,Bhargav Bhatt,2,2,5,32,1,1/11,32,6.4,30,0,0
88,Ankeet Chavan,3,3,9,63,1,1/28,63,7,54,0,0
89,Pawan Suyal,1,1,3,21,1,1/21,21,7,18,0,0
90,Jeevan Mendis,3,2,5,36,1,1/16,36,7.2,30,0,0
91,Nathan Coulter-Nile,1,1,4,29,1,1/29,29,7.25,24,0,0
92,Laxmi Ratan Shukla,4,2,3,22,1,1/14,22,7.33,18,0,0
93,Tirumalasetti Suman,7,1,2,15,1,1/15,15,7.5,12,0,0
94,Cameron White,13,2,2,16,1,1/14,16,8,12,0,0
95,Pravin Tambe,3,3,11,88,1,1/38,88,8,66,0,0
96,Yusuf Pathan,16,5,9,73,1,1/9,73,8.11,54,0,0
97,Harmeet Singh,1,1,4,34,1,1/34,34,8.5,24,0,0
98,Andrew McDonald,1,1,2,17,1,1/17,17,8.5,12,0,0
99,Marlon Samuels,2,1,4,34,1,1/34,34,8.5,24,0,0
100,Mohammad Shami,3,3,9,78,1,1/32,78,8.66,54,0,0
101,Ankit Rajpoot,2,2,4,35,1,1/25,35,8.75,24,0,0
102,Sarabjit Ladda,1,1,2,18,1,1/18,18,9,12,0,0
103,Abhimanyu Mithun,1,1,4,37,1,1/37,37,9.25,24,0,0
104,Shaun Tait,3,3,10,98,1,1/29,98,9.8,60,0,0
105,Ben Laughlin,2,2,7,71,1,1/25,71,10.14,42,0,0
106,Suresh Raina,18,2,2,23,1,1/4,23,11.5,12,0,0
107,Aaron Finch,14,3,4,49,1,1/11,49,12.25,24,0,0
108,Ishwar Pandey,2,2,4,50,1,1/17,50,12.5,24,0,0
109,Brad Hodge,17,1,1,3,0,0/3,0,3,0,0,0
110,Rohit Sharma,19,2,1.2,6,0,0/1,0,4.5,0,0,0
111,Raiphi Gomez,2,1,1,5,0,0/5,0,5,0,0,0
112,Jacob Oram,1,1,4,22,0,0/22,0,5.5,0,0,0
113,Dimitri Mascarenhas,1,1,4,25,0,0/25,0,6.25,0,0,0
114,Pawan Negi,1,1,4,28,0,0/28,0,7,0,0,0
115,Ryan ten Doeschate,4,3,3,24,0,0/3,0,8,0,0,0
116,David Hussey,12,4,11,91,0,0/14,0,8.27,0,0,0
117,Samuel Badree,1,1,4,34,0,0/34,0,8.5,0,0,0
118,Ankit Sharma,1,1,2,17,0,0/17,0,8.5,0,0,0
119,Yuzvendra Chahal,1,1,4,34,0,0/34,0,8.5,0,0,0
120,Sumit Narwal,2,1,2,17,0,0/17,0,8.5,0,0,0
121,Virender Sehwag,13,1,1,9,0,0/9,0,9,0,0,0
122,Dan Christian,2,2,6,55,0,0/13,0,9.16,0,0,0
123,Ajit Agarkar,4,4,10,92,0,0/4,0,9.2,0,0,0
124,Brad Hogg,1,1,3.2,31,0,0/31,0,9.3,0,0,0
125,Krishnakant Upadhyay,2,2,5,48,0,0/19,0,9.6,0,0,0
126,Andre Russell,3,3,7,68,0,0/13,0,9.71,0,0,0
127,Tillakaratne Dilshan,5,1,1,10,0,0/10,0,10,0,0,0
128,Glenn Maxwell,3,2,2,23,0,0/5,0,11.5,0,0,0
129,Ben Rohrer,8,1,1,12,0,0/12,0,12,0,0,0
130,Pradeep Sangwan,2,2,4,51,0,0/17,0,12.75,0,0,0
131,Rajagopal Sathish,9,3,4,51,0,0/10,0,12.75,0,0,0
132,Michael Neser,1,1,4,62,0,0/62,0,15.5,0,0,0
