POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
42,Laxmi Ratan Shukla,13,9,12,124,6,3/6,20.66,10.33,12,0,0
43,Dwayne Smith,4,4,11,83,5,3/26,16.6,7.54,13.2,0,0
44,Shoaib Akhtar,3,3,7,54,5,4/11,10.8,7.71,8.4,1,0
45,Vinay Kumar,8,8,23,182,5,3/27,36.4,7.91,27.6,0,0
46,Harbhajan Singh,3,3,10,82,5,3/32,16.4,8.2,12,0,0
47,Rohan Raje,6,6,16.2,137,5,2/16,27.4,8.38,19.6,0,0
48,Chaminda Vaas,5,5,17,145,5,2/9,29,8.52,20.4,0,0
49,Pradeep Sangwan,7,7,24,215,5,2/29,43,8.95,28.8,0,0
50,Brett Lee,4,4,16,112,4,1/9,28,7,24,0,0
51,Sanath Jayasuriya,14,8,21,159,4,3/14,39.75,7.57,31.5,0,0
52,Paidikalva Vijaykumar,9,9,25.2,199,4,1/17,49.75,7.85,38,0,0
53,Sanjay Bangar,11,9,25,219,4,2/34,54.75,8.76,37.5,0,0
54,Jacques Kallis,11,11,34.2,311,4,2/39,77.75,9.05,51.5,0,0
55,Dominic Thornely,6,4,7,40,3,2/7,13.33,5.71,14,0,0
56,Scott Styris,8,8,27,199,3,1/24,66.33,7.37,54,0,0
57,Ramesh Powar,5,5,12,91,3,2/22,30.33,7.58,24,0,0
58,Murali Kartik,6,5,14.4,127,3,3/17,42.33,8.65,29.33,0,0
59,Yuvraj Singh,15,6,9,83,3,2/12,27.66,9.22,18,0,0
60,Jacob Oram,4,4,16,149,3,3/32,49.66,9.31,32,0,0
61,Gajendra Singh,4,4,14,141,3,1/33,47,10.07,28,0,0
62,Virender Sehwag,14,7,11,133,3,1/2,44.33,12.09,22,0,0
63,Daniel Vettori,2,2,8,54,2,1/19,27,6.75,24,0,0
64,Dimitri Mascarenhas,1,1,4,29,2,2/29,14.5,7.25,12,0,0
65,Balachandra Akhil,7,6,17.2,134,2,2/17,67,7.73,52,0,0
66,Virat Kohli,13,4,7.4,61,2,2/25,30.5,7.95,23,0,0
67,Nuwan Zoysa,3,3,11,99,2,1/30,49.5,9,33,0,0
68,Venugopal Rao,11,7,14,137,2,2/25,68.5,9.78,42,0,0
69,Siddharth Chitnis,3,2,6,60,2,2/40,30,10,18,0,0
70,Shoaib Malik,7,5,8.3,85,2,1/6,42.5,10,25.5,0,0
71,David Hussey,13,5,13,130,2,1/23,65,10,39,0,0
72,Musavir Khote,4,2,5,51,2,2/29,25.5,10.2,15,0,0
73,Doddapaneni Kalyankrishna,3,3,8,87,2,1/30,43.5,10.87,24,0,0
74,Tillakaratne Dilshan,7,1,1,3,1,1/3,3,3,6,0,0
75,Mohammad Hafeez,8,2,5,24,1,1/8,24,4.8,30,0,0
76,Ajantha Mendis,1,1,4,24,1,1/24,24,6,24,0,0
77,Rohit Sharma,13,1,4,25,1,1/25,25,6.25,24,0,0
78,PM Sarvesh Kumar,2,2,5,42,1,1/18,42,8.4,30,0,0
79,Sunil Joshi,4,4,9.1,82,1,1/27,82,8.94,55,0,0
80,Suresh Raina,16,2,3.2,30,1,1/20,30,9,20,0,0
81,Dwaraka Ravi Teja,7,1,2,19,1,1/19,19,9.5,12,0,0
82,Abhishek Nayar,14,5,7,68,1,1/18,68,9.71,42,0,0
83,Dinesh Salunkhe,6,5,7.5,78,1,1/21,78,9.95,47,0,0
84,Ashley Noffke,1,1,4,40,1,1/40,40,10,24,0,0
85,Andre Nel,1,1,3,31,1,1/31,31,10.33,18,0,0
86,Vidyut Sivaramakrishnan,9,1,2,22,1,1/22,22,11,12,0,0
87,Brett Geeves,2,2,8,91,1,1/50,91,11.37,48,0,0
88,Wilkin Mota,4,2,3,36,1,1/24,36,12,18,0,0
89,Iqbal Abdulla,1,1,3,22,0,0/22,0,7.33,0,0,0
90,Ravindra Jadeja,14,2,2.1,21,0,0/0,0,9.69,0,0,0
91,Pankaj Singh,5,5,12,129,0,0/12,0,10.75,0,0,0
92,Vikrant Yeligati,2,2,5,59,0,0/16,0,11.8,0,0,0
93,Karan Goel,7,1,2,25,0,0/25,0,12.5,0,0,0
94,Abdur Razzak,1,1,2,29,0,0/29,0,14.5,0,0,0
95,Andrew Symonds,4,3,6.5,101,0,0/20,0,14.78,0,0,0
96,Chamara Kapugedera,5,3,2.5,49,0,0/8,0,17.29,0,0,0
97,LPC Silva,3,1,1,21,0,0/21,0,21,0,0,0
98,Cameron White,8,1,1,24,0,0/24,0,24,0,0,0
