POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Sohail Tanvir,11,11,41.1,266,22,6/14,12.09,6.46,11.22,1,1
2,Shane Warne,15,15,52,404,19,3/19,21.26,7.76,16.42,0,0
3,Shanthakumaran Sreesanth,15,15,51.1,442,19,3/29,23.26,8.63,16.15,0,0
4,Shane Watson,15,15,54.1,383,17,3/10,22.52,7.07,19.11,0,0
5,Manpreet Gony,16,16,60,443,17,3/34,26.05,7.38,21.17,0,0
6,Piyush Chawla,15,15,46.5,389,17,3/25,22.88,8.3,16.52,0,0
7,Albie Morkel,13,13,48,399,17,4/32,23.47,8.31,16.94,1,0
8,Yo Mahesh,11,11,42.1,370,16,4/36,23.12,8.77,15.81,1,0
9,Irfan Pathan,14,14,53,350,15,2/18,23.33,6.6,21.2,0,0
10,MF Maharoof,10,10,36,249,15,3/34,16.6,6.91,14.4,0,0
11,RP Singh,14,14,51.2,442,15,3/35,29.46,8.61,20.53,0,0
12,Munaf Patel,15,15,55,420,14,3/17,30,7.63,23.57,0,0
13,Siddharth Trivedi,15,15,48,399,13,2/25,30.69,8.31,22.15,0,0
14,Zaheer Khan,11,11,42,357,13,3/38,27.46,8.5,19.38,0,0
15,Glenn McGrath,14,14,54,357,12,4/29,29.75,6.61,27,1,0
16,Ashish Nehra,14,14,44.5,348,12,3/13,29,7.76,22.41,0,0
17,Umar Gul,6,6,22.3,184,12,4/23,15.33,8.17,11.25,1,0
18,Shaun Pollock,13,13,46,301,11,3/12,27.36,6.54,25.09,0,0
19,Muttiah Muralitharan,15,15,58,404,11,2/39,36.72,6.96,31.63,0,0
20,Amit Mishra,6,6,19.5,142,11,5/17,12.9,7.15,10.81,0,1
21,Pragyan Ojha,13,12,37,284,11,2/18,25.81,7.67,20.18,0,0
22,Dhawal Kulkarni,10,10,29.3,236,11,3/33,21.45,8,16.09,0,0
23,Dwayne Bravo,9,9,28.3,232,11,3/24,21.09,8.14,15.54,0,0
24,Praveen Kumar,13,13,44.4,366,11,3/23,33.27,8.19,24.36,0,0
25,Lakshmipathy Balaji,9,9,33,286,11,5/24,26,8.66,18,0,1
26,Vikram Singh,13,13,48,420,11,3/29,38.18,8.75,26.18,0,0
27,Dale Steyn,10,10,38,252,10,3/27,25.2,6.63,22.8,0,0
28,Dilhara Fernando,5,5,20,160,10,4/18,16,8,12,1,0
29,Shahid Afridi,10,10,30,225,9,3/28,25,7.5,20,0,0
30,Ashok Dinda,13,12,38,258,8,3/33,32.25,6.78,28.5,0,0
31,Ishant Sharma,13,13,43.1,331,8,2/9,41.37,7.66,32.37,0,0
32,Ajit Agarkar,9,9,26,207,8,3/25,25.87,7.96,19.5,0,0
33,Yusuf Pathan,16,13,28.1,230,8,3/22,28.75,8.16,21.12,0,0
34,Mohammad Asif,8,8,32,296,8,2/19,37,9.25,24,0,0
35,Joginder Sharma,8,7,24.4,239,8,2/27,29.87,9.68,18.5,0,0
36,Makhaya Ntini,9,9,35,242,7,4/21,34.57,6.91,30,1,0
37,Anil Kumble,10,10,38.2,304,7,3/14,43.42,7.93,32.85,0,0
38,James Hopes,11,11,28,276,7,2/2,39.42,9.85,24,0,0
39,Palani Amarnath,6,6,22,236,7,2/29,33.71,10.72,18.85,0,0
40,Sourav Ganguly,13,7,20,128,6,2/21,21.33,6.4,20,0,0
41,Rajat Bhatia,9,9,22,183,6,2/17,30.5,8.31,22,0,0
