POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Pragyan Ojha,16,16,58.5,429,21,3/26,20.42,7.29,16.8,0,0
2,Anil Kumble,16,16,63.2,407,17,4/16,23.94,6.42,22.35,1,0
3,Amit Mishra,14,14,53,363,17,3/25,21.35,6.84,18.7,0,0
4,Harbhajan Singh,15,14,53.3,377,17,3/31,22.17,7.04,18.88,0,0
5,Vinay Kumar,14,14,46.1,396,16,4/40,24.75,8.57,17.31,1,0
6,Muttiah Muralitharan,12,12,48,329,15,3/16,21.93,6.85,19.2,0,0
7,Dale Steyn,15,15,59,406,15,3/18,27.06,6.88,23.6,0,0
8,Lasith Malinga,13,13,49,344,15,4/22,22.93,7.02,19.6,1,0
9,Kieron Pollard,14,12,37,274,15,3/17,18.26,7.4,14.8,0,0
10,Zaheer Khan,14,14,48.2,376,15,3/21,25.06,7.77,19.33,0,0
11,Irfan Pathan,14,14,46.2,426,15,3/24,28.4,9.19,18.53,0,0
12,Ryan Harris,8,8,30.4,233,14,3/18,16.64,7.59,13.14,0,0
13,Ravichandran Ashwin,12,12,48,293,13,3/16,22.53,6.1,22.15,0,0
14,Shadab Jakati,11,11,38,291,13,2/17,22.38,7.65,17.53,0,0
15,Jacques Kallis,16,16,57,476,13,2/3,36.61,8.35,26.3,0,0
16,RP Singh,12,12,42,370,13,3/17,28.46,8.8,19.38,0,0
17,Doug Bollinger,8,8,31,207,12,4/13,17.25,6.67,15.5,1,0
18,Andrew Symonds,16,16,53,372,12,3/21,31,7.01,26.5,0,0
19,Piyush Chawla,14,14,49,367,12,3/24,30.58,7.48,24.5,0,0
20,Siddharth Trivedi,11,10,35.3,260,11,3/16,23.63,7.32,19.36,0,0
21,Shane Warne,14,14,50,381,11,4/21,34.63,7.62,27.27,1,0
22,Albie Morkel,14,14,47.4,405,11,2/23,36.81,8.49,26,0,0
23,Praveen Kumar,12,12,45,380,10,3/18,38,8.44,27,0,0
24,Shaun Tait,8,8,31.1,264,10,3/22,26.4,8.47,18.7,0,0
25,Chaminda Vaas,6,6,22,139,9,3/21,15.44,6.31,14.66,0,0
26,Murali Kartik,10,10,39,253,9,2/20,28.11,6.48,26,0,0
27,Ashok Dinda,7,7,23.1,152,9,2/15,16.88,6.56,15.44,0,0
28,Shane Bond,8,8,31,224,9,2/24,24.88,7.22,20.66,0,0
29,Pradeep Sangwan,8,8,31,258,9,3/22,28.66,8.32,20.66,0,0
30,Harmeet Singh Bansal,8,8,24,174,8,2/24,21.75,7.25,18,0,0
31,Angelo Mathews,14,12,37.3,314,8,4/19,39.25,8.37,28.12,1,0
32,MF Maharoof,7,7,24,206,8,2/13,25.75,8.58,18,0,0
33,Dirk Nannes,9,9,34.2,224,7,2/12,32,6.52,29.42,0,0
34,Dilhara Fernando,5,5,19,138,7,2/23,19.71,7.26,16.28,0,0
35,Lakshmipathy Balaji,7,7,23.2,207,7,2/9,29.57,8.87,20,0,0
36,Ishant Sharma,7,7,25,236,7,2/33,33.71,9.44,21.42,0,0
37,Ashish Nehra,4,4,14,96,6,3/26,16,6.85,14,0,0
38,Suresh Raina,16,12,23.5,178,6,1/0,29.66,7.46,23.83,0,0
39,Umesh Yadav,7,7,24,184,6,2/24,30.66,7.66,24,0,0
40,Juan Theron,7,7,24,187,6,2/17,31.16,7.79,24,0,0
41,Shane Watson,6,6,22,184,6,3/37,30.66,8.36,22,0,0
42,Shalabh Srivastava,8,8,27,255,6,2/23,42.5,9.44,27,0,0
43,Jaskaran Singh,6,6,14,139,6,2/18,23.16,9.92,14,0,0
44,Yuvraj Singh,14,10,23,152,5,2/21,30.4,6.6,27.6,0,0
45,Paul Collingwood,8,6,14.5,101,5,2/19,20.2,6.8,17.8,0,0
46,Thilan Thushara,4,4,14.3,101,5,2/16,20.2,6.96,17.4,0,0
47,Yusuf Pathan,14,11,34,246,5,2/9,49.2,7.23,40.8,0,0
48,Charl Langeveldt,3,3,11,88,5,2/26,17.6,8,13.2,0,0
49,Rahul Sharma,6,6,20.4,167,5,2/42,33.4,8.08,24.8,0,0
50,Ravi Bopara,10,5,13,127,5,3/31,25.4,9.76,15.6,0,0
51,Andrew McDonald,4,4,14,138,5,2/37,27.6,9.85,16.8,0,0
52,Aditya Dole,3,3,11,112,5,2/36,22.4,10.18,13.2,0,0
53,Sumit Narwal,5,5,15.4,185,5,3/36,37,11.8,18.8,0,0
54,Ryan McLaren,10,10,34,270,4,2/28,67.5,7.94,51,0,0
55,Dimitri Mascarenhas,2,2,8,65,4,2/31,16.25,8.12,12,0,0
56,Jaydev Unadkat,3,3,10.2,85,4,3/26,21.25,8.22,15.5,0,0
57,Dwayne Bravo,10,10,26.1,228,4,2/11,57,8.71,39.25,0,0
58,Ajit Agarkar,7,7,22,203,4,2/32,50.75,9.22,33,0,0
59,Chris Gayle,9,6,16,152,4,1/9,38,9.5,24,0,0
60,Sarabjit Ladda,5,5,15,143,4,2/44,35.75,9.53,22.5,0,0
61,Virender Sehwag,14,3,5.4,23,3,2/18,7.66,4.05,11.33,0,0
62,Ramesh Powar,7,7,23,160,3,2/28,53.33,6.95,46,0,0
63,JM Kemp,5,5,7.2,54,3,3/12,18,7.36,14.66,0,0
64,Ali Murtaza,3,3,12,91,3,2/18,30.33,7.58,24,0,0
65,Kevin Pietersen,7,6,10,77,3,1/10,25.66,7.7,20,0,0
66,Rajat Bhatia,5,5,16,132,3,1/24,44,8.25,32,0,0
67,Tillakaratne Dilshan,6,4,8.1,70,3,1/7,23.33,8.57,16.33,0,0
68,Kamran Khan,3,3,6,53,3,2/13,17.66,8.83,12,0,0
69,Laxmi Ratan Shukla,4,4,12,106,3,1/30,35.33,8.83,24,0,0
70,Love Ablish,2,2,4,36,3,2/17,12,9,8,0,0
71,Munaf Patel,4,4,13,118,3,1/20,39.33,9.07,26,0,0
72,Bipul Sharma,5,4,10,94,3,1/19,31.33,9.4,20,0,0
73,Shanthakumaran Sreesanth,6,6,19,191,3,2/24,63.66,10.05,38,0,0
74,Roelof van der Merwe,1,1,4,27,2,2/27,13.5,6.75,12,0,0
