POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
75,Sanath Jayasuriya,4,4,9,68,2,2/17,34,7.55,27,0,0
76,Rohit Sharma,16,9,19,153,2,1/19,76.5,8.05,57,0,0
77,Brad Hodge,4,4,5,41,2,1/4,20.5,8.2,15,0,0
78,Ajantha Mendis,2,2,8,66,2,2/22,33,8.25,24,0,0
79,Daniel Vettori,3,3,11.4,97,2,1/30,48.5,8.31,35,0,0
80,Mitchell Marsh,3,3,10,88,2,1/19,44,8.8,30,0,0
81,Pankaj Singh,2,2,8,81,2,2/27,40.5,10.12,24,0,0
82,Rajagopal Sathish,12,4,8,81,2,1/11,40.5,10.12,24,0,0
83,Amit Uniyal,2,2,6,66,2,2/41,33,11,18,0,0
84,Joginder Sharma,3,3,8,89,2,1/23,44.5,11.12,24,0,0
85,Nayan Doshi,1,1,4,17,1,1/17,17,4.25,24,0,0
86,JP Duminy,7,2,5.3,37,1,1/15,37,6.72,33,0,0
87,Iqbal Abdulla,3,3,8.3,61,1,1/28,61,7.17,51,0,0
88,KP Appanna,2,2,7,51,1,1/24,51,7.28,42,0,0
89,Yo Mahesh,1,1,3,23,1,1/23,23,7.66,18,0,0
90,Vikramjeet Malik,3,3,7.1,62,1,1/23,62,8.65,43,0,0
91,Moises Henriques,1,1,4,35,1,1/35,35,8.75,24,0,0
92,Dwayne Smith,3,2,3.5,36,1,1/22,36,9.39,23,0,0
93,Yusuf Abdulla,2,2,6.5,66,1,1/30,66,9.65,41,0,0
94,Dhawal Kulkarni,1,1,4,40,1,1/40,40,10,24,0,0
95,Sudeep Tyagi,6,6,15.5,159,1,1/20,159,10.04,95,0,0
96,Manoj Tiwary,13,1,1,11,1,1/11,11,11,6,0,0
97,Manpreet Gony,3,3,8,92,1,1/33,92,11.5,48,0,0
98,Abhimanyu Mithun,1,1,3,39,1,1/39,39,13,18,0,0
99,Shrikant Wagh,1,1,1,16,1,1/16,16,16,6,0,0
100,Aaron Finch,1,1,1.1,5,0,0/5,0,4.28,0,0,0
101,Balachandra Akhil,1,1,1,6,0,0/6,0,6,0,0,0
102,Karan Goel,6,1,1,7,0,0/7,0,7,0,0,0
103,David Hussey,6,5,10,80,0,0/7,0,8,0,0,0
104,Rohan Gavaskar,2,1,1,8,0,0/8,0,8,0,0,0
105,Adam Voges,9,7,9,76,0,0/5,0,8.44,0,0,0
106,Stuart Binny,1,1,1,9,0,0/9,0,9,0,0,0
107,Virat Kohli,16,4,5.2,50,0,0/1,0,9.37,0,0,0
108,Morne Morkel,2,2,7,66,0,0/32,0,9.42,0,0,0
109,Kemar Roach,2,2,8,80,0,0/32,0,10,0,0,0
110,Faiz Fazal,10,2,2,20,0,0/6,0,10,0,0,0
111,Venugopal Rao,6,1,1,10,0,0/10,0,10,0,0,0
112,Brett Lee,4,4,14.3,149,0,0/24,0,10.27,0,0,0
113,Sourav Ganguly,14,3,4,43,0,0/12,0,10.75,0,0,0
114,Abhishek Jhunjhunwala,13,5,6.1,69,0,0/2,0,11.18,0,0,0
115,Sridharan Sriram,1,1,2,24,0,0/24,0,12,0,0,0
116,Tirumalasetti Suman,14,2,2,24,0,0/8,0,12,0,0,0
117,Chandrasekar Ganapathy,1,1,1,13,0,0/13,0,13,0,0,0
118,Thisara Perera,1,1,1,19,0,0/19,0,19,0,0,0
119,Cameron White,7,1,1,19,0,0/19,0,19,0,0,0
