POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Suryakumar Yadav,82,40,205,13,3,SRH,Zayed Cricket Stadium,08 October 2021
2,Shikhar Dhawan,92,49,187.75,13,2,PBKS,Wankhede Stadium,18 April 2021
3,Sanju Samson,119,63,188.88,12,7,PBKS,Wankhede Stadium,12 April 2021
4,Ruturaj Gaikwad,75,44,170.45,12,0,SRH,Arun Jaitley Stadium,28 April 2021
5,Ishan Kishan,84,32,262.5,11,4,SRH,Zayed Cricket Stadium,08 October 2021
6,Prithvi Shaw,82,41,200,11,3,KKR,Narendra Modi Stadium,29 April 2021
7,Devdutt Padikkal,101,52,194.23,11,6,RR,Wankhede Stadium,22 April 2021
8,Jos Buttler,124,64,193.75,11,8,SRH,Arun Jaitley Stadium,02 May 2021
9,Shikhar Dhawan,85,54,157.4,10,2,CSK,Wankhede Stadium,10 April 2021
10,Shubman Gill,57,51,111.76,10,0,SRH,Dubai International Stadium,03 October 2021
11,AB de Villiers,76,34,223.52,9,3,KKR,Chidambaram,18 April 2021
12,Prithvi Shaw,72,38,189.47,9,3,CSK,Wankhede Stadium,10 April 2021
13,Ruturaj Gaikwad,101,60,168.33,9,5,RR,Zayed Cricket Stadium,02 October 2021
14,Rishabh Pant,51,32,159.37,9,0,RR,Wankhede Stadium,15 April 2021
15,Glenn Maxwell,78,49,159.18,9,3,KKR,Chidambaram,18 April 2021
16,Faf du Plessis,95,60,158.33,9,4,KKR,Wankhede Stadium,21 April 2021
17,Ruturaj Gaikwad,88,58,151.72,9,4,MI,Dubai International Stadium,19 September 2021
18,Nitish Rana,80,56,142.85,9,4,SRH,Chidambaram,11 April 2021
19,Venkatesh Iyer,67,49,136.73,9,1,PBKS,Dubai International Stadium,01 October 2021
20,Rahul Tripathi,74,42,176.19,8,3,MI,Zayed Cricket Stadium,23 September 2021
21,Mayank Agarwal,99,58,170.68,8,4,DC,Narendra Modi Stadium,02 May 2021
22,Glenn Maxwell,51,33,154.54,8,0,DC,Dubai International Stadium,08 October 2021
23,Jason Roy,60,42,142.85,8,1,RR,Dubai International Stadium,27 September 2021
24,Faf du Plessis,76,55,138.18,8,2,PBKS,Dubai International Stadium,07 October 2021
25,Sanju Samson,70,53,132.07,8,1,DC,Zayed Cricket Stadium,25 September 2021
26,Kane Williamson,66,51,129.41,8,0,DC,Chidambaram,25 April 2021
27,KL Rahul,98,42,233.33,7,8,CSK,Dubai International Stadium,07 October 2021
28,Mayank Agarwal,69,36,191.66,7,4,DC,Wankhede Stadium,18 April 2021
29,KL Rahul,91,50,182,7,5,RR,Wankhede Stadium,12 April 2021
30,Prithvi Shaw,60,34,176.47,7,3,CSK,Dubai International Stadium,10 October 2021
31,Evin Lewis,36,21,171.42,7,1,PBKS,Dubai International Stadium,21 September 2021
32,Manish Pandey,69,41,168.29,7,2,MI,Zayed Cricket Stadium,08 October 2021
33,KL Rahul,91,57,159.64,7,5,RCB,Narendra Modi Stadium,30 April 2021
34,Mayank Agarwal,67,43,155.81,7,2,RR,Dubai International Stadium,21 September 2021
35,Suryakumar Yadav,56,36,155.55,7,2,KKR,Chidambaram,13 April 2021
36,Venkatesh Iyer,41,27,151.85,7,1,RCB,Zayed Cricket Stadium,20 September 2021
37,Moeen Ali,46,31,148.38,7,1,PBKS,Wankhede Stadium,16 April 2021
38,David Warner,54,37,145.94,7,1,RCB,Chidambaram,14 April 2021
39,Faf du Plessis,86,59,145.76,7,3,KKR,Dubai International Stadium,15 October 2021
40,David Miller,62,43,144.18,7,2,DC,Wankhede Stadium,15 April 2021
41,Sanju Samson,82,57,143.85,7,3,SRH,Dubai International Stadium,27 September 2021
42,Faf du Plessis,43,30,143.33,7,0,KKR,Zayed Cricket Stadium,26 September 2021
43,Robin Uthappa,63,44,143.18,7,2,DC,Dubai International Stadium,10 October 2021
44,Prithvi Shaw,53,39,135.89,7,1,SRH,Chidambaram,25 April 2021
45,Rahul Tripathi,41,32,128.12,7,0,PBKS,Narendra Modi Stadium,26 April 2021
46,KL Rahul,61,51,119.6,7,2,DC,Wankhede Stadium,18 April 2021
47,Kieron Pollard,87,34,255.88,6,8,CSK,Arun Jaitley Stadium,01 May 2021
48,Yashasvi Jaiswal,50,21,238.09,6,3,CSK,Zayed Cricket Stadium,02 October 2021
49,Chris Gayle,46,24,191.66,6,2,RCB,Narendra Modi Stadium,30 April 2021
50,Glenn Maxwell,50,30,166.66,6,1,RR,Dubai International Stadium,29 September 2021
51,Jason Roy,34,21,161.9,6,0,MI,Zayed Cricket Stadium,08 October 2021
52,Virat Kohli,72,47,153.19,6,3,RR,Wankhede Stadium,22 April 2021
53,Ruturaj Gaikwad,64,42,152.38,6,4,KKR,Wankhede Stadium,21 April 2021
54,Glenn Maxwell,56,37,151.35,6,3,MI,Dubai International Stadium,26 September 2021
55,Faf du Plessis,56,38,147.36,6,1,SRH,Arun Jaitley Stadium,28 April 2021
56,Shikhar Dhawan,69,47,146.8,6,2,PBKS,Narendra Modi Stadium,02 May 2021
57,Aiden Markram,42,29,144.82,6,0,MI,Zayed Cricket Stadium,28 September 2021
58,Shubman Gill,48,34,141.17,6,1,RCB,Zayed Cricket Stadium,20 September 2021
59,Quinton de Kock,70,50,140,6,2,RR,Arun Jaitley Stadium,29 April 2021
60,Yashasvi Jaiswal,49,36,136.11,6,2,PBKS,Dubai International Stadium,21 September 2021
61,Mayank Agarwal,57,42,135.71,6,2,RCB,Sharjah Cricket Stadium,03 October 2021
62,Virat Kohli,53,41,129.26,6,1,CSK,Sharjah Cricket Stadium,24 September 2021
