POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Shreyas Iyer,96,57,168.42,15,2,GL,Green Park,10 May 2017
2,Shaun Marsh,84,50,168,14,2,SRH,IS Bindra Stadium,28 April 2017
3,Gautam Gambhir,76,48,158.33,12,0,GL,Saurashtra Cricket Association Stadium,07 April 2017
4,Yuvraj Singh,70,41,170.73,11,1,DC,Arun Jaitley Stadium,02 May 2017
5,Wriddhiman Saha,93,55,169.09,11,3,MI,Wankhede Stadium,11 May 2017
6,Gautam Gambhir,72,49,146.93,11,0,PBKS,Eden Gardens,13 April 2017
7,Gautam Gambhir,71,52,136.53,11,0,DC,Eden Gardens,28 April 2017
8,David Warner,126,59,213.55,10,8,KKR,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
9,Sunil Narine,42,17,247.05,9,1,GL,Eden Gardens,21 April 2017
10,Manan Vohra,95,50,190,9,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
11,Suresh Raina,84,46,182.6,9,4,KKR,Eden Gardens,21 April 2017
12,Rahul Tripathi,93,52,178.84,9,7,KKR,Eden Gardens,03 May 2017
13,Hashim Amla,65,40,162.5,9,2,GL,Saurashtra Cricket Association Stadium,23 April 2017
14,Shikhar Dhawan,77,48,160.41,9,1,PBKS,IS Bindra Stadium,28 April 2017
15,Parthiv Patel,70,44,159.09,9,1,GL,Saurashtra Cricket Association Stadium,29 April 2017
16,Vijay Shankar,63,44,143.18,9,0,GL,Green Park,13 May 2017
17,Karun Nair,64,45,142.22,9,0,RPS,Arun Jaitley Stadium,12 May 2017
18,Sam Billings,55,40,137.5,9,0,PBKS,Arun Jaitley Stadium,15 April 2017
19,David Warner,69,52,132.69,9,0,GL,Green Park,13 May 2017
20,Saurabh Tiwary,52,43,120.93,9,0,KKR,Eden Gardens,13 May 2017
21,Dwayne Smith,74,39,189.74,8,4,PBKS,IS Bindra Stadium,07 May 2017
22,Hashim Amla,104,60,173.33,8,5,GL,IS Bindra Stadium,07 May 2017
23,Hashim Amla,104,60,173.33,8,6,MI,Holkar Cricket Stadium,20 April 2017
24,Sanju Samson,102,63,161.9,8,5,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
25,Chris Lynn,84,52,161.53,8,3,PBKS,IS Bindra Stadium,09 May 2017
26,Dwayne Smith,47,30,156.66,8,1,RPS,Saurashtra Cricket Association Stadium,14 April 2017
27,Krunal Pandya,45,30,150,8,0,KKR,M. Chinnaswamy Stadium,19 May 2017
28,Robin Uthappa,72,48,150,8,2,GL,Eden Gardens,21 April 2017
29,Yuvraj Singh,62,27,229.62,7,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
30,Jos Buttler,77,37,208.1,7,5,PBKS,Holkar Cricket Stadium,20 April 2017
31,Robin Uthappa,87,47,185.1,7,6,RPS,Maharashtra Cricket Association's International Stadium,26 April 2017
32,Parthiv Patel,38,23,165.21,7,0,PBKS,Wankhede Stadium,11 May 2017
33,Rahul Tripathi,38,23,165.21,7,0,KKR,Maharashtra Cricket Association's International Stadium,26 April 2017
