POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,AB de Villiers,133,59,225.42,19,4,MI,Wankhede Stadium,10 May 2015
2,Rohit Sharma,98,65,150.76,12,4,KKR,Eden Gardens,08 April 2015
3,David Warner,61,28,217.85,11,1,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015
4,Shreyas Iyer,70,49,142.85,10,1,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
5,David Warner,58,41,141.46,10,1,PBKS,IS Bindra Stadium,27 April 2015
6,Andre Russell,66,36,183.33,9,2,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015
7,Quinton de Kock,69,39,176.92,9,3,RCB,M. Chinnaswamy Stadium,17 May 2015
8,Shane Watson,104,59,176.27,9,5,KKR,Brabourne Stadium,16 May 2015
9,Steve Smith,68,40,170,9,2,SRH,Brabourne Stadium,07 May 2015
10,Ajinkya Rahane,91,54,168.51,9,3,DC,Brabourne Stadium,03 May 2015
11,David Warner,91,55,165.45,9,4,KKR,ACA-VDCA Stadium,22 April 2015
12,Quinton de Kock,50,31,161.29,9,1,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
13,Parthiv Patel,51,37,137.83,9,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
14,Lendl Simmons,59,44,134.09,9,2,RCB,M. Chinnaswamy Stadium,19 April 2015
15,Lendl Simmons,71,56,126.78,9,1,PBKS,IS Bindra Stadium,03 May 2015
16,AB de Villiers,57,45,126.66,9,1,RR,M. Chinnaswamy Stadium,29 April 2015
17,Dwayne Smith,57,48,118.75,9,1,MI,Eden Gardens,24 May 2015
18,Ajinkya Rahane,62,56,110.71,9,0,SRH,ACA-VDCA Stadium,16 April 2015
19,Dwayne Smith,62,30,206.66,8,4,MI,Wankhede Stadium,17 April 2015
20,Hardik Pandya,61,31,196.77,8,2,KKR,Wankhede Stadium,14 May 2015
21,Kedar Jadhav,63,34,185.29,8,2,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
22,Dwayne Bravo,62,36,172.22,8,1,RR,Narendra Modi Stadium,19 April 2015
23,Unmukt Chand,58,37,156.75,8,2,RCB,M. Chinnaswamy Stadium,19 April 2015
24,Lendl Simmons,68,45,151.11,8,3,CSK,Eden Gardens,24 May 2015
25,Brendon McCullum,66,44,150,8,3,PBKS,Chidambaram,25 April 2015
26,Steve Smith,79,53,149.05,8,1,MI,Narendra Modi Stadium,14 April 2015
27,Albie Morkel,73,55,132.72,8,1,CSK,Chidambaram,09 April 2015
28,Gautam Gambhir,60,49,122.44,8,0,DC,Arun Jaitley Stadium,20 April 2015
29,Kieron Pollard,70,34,205.88,7,5,RR,Narendra Modi Stadium,14 April 2015
30,Chris Gayle,117,57,205.26,7,12,PBKS,M. Chinnaswamy Stadium,06 May 2015
31,Brendon McCullum,100,56,178.57,7,9,SRH,Chidambaram,11 April 2015
32,Chris Gayle,96,56,171.42,7,7,KKR,Eden Gardens,11 April 2015
33,Sanju Samson,76,46,165.21,7,3,MI,Wankhede Stadium,01 May 2015
34,Mandeep Singh,54,34,158.82,7,2,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
35,Shreyas Iyer,83,56,148.21,7,5,MI,Arun Jaitley Stadium,23 April 2015
36,Shikhar Dhawan,42,29,144.82,7,1,MI,Wankhede Stadium,25 April 2015
37,Mayank Agarwal,68,48,141.66,7,2,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
38,Robin Uthappa,80,58,137.93,7,1,CSK,Eden Gardens,30 April 2015
39,Brendon McCullum,81,61,132.78,7,4,RR,Chidambaram,10 May 2015
40,Gautam Gambhir,57,43,132.55,7,1,MI,Eden Gardens,08 April 2015
41,Yuvraj Singh,57,44,129.54,7,2,MI,Wankhede Stadium,05 May 2015
42,Gautam Gambhir,58,46,126.08,7,1,RCB,Eden Gardens,11 April 2015
43,Andre Russell,41,17,241.17,6,2,RCB,Eden Gardens,11 April 2015
44,Brendon McCullum,46,20,230,6,2,MI,Wankhede Stadium,17 April 2015
45,Robin Uthappa,39,17,229.41,6,1,CSK,Chidambaram,28 April 2015
46,Sarfaraz Khan,45,21,214.28,6,1,RR,M. Chinnaswamy Stadium,29 April 2015
47,David Warner,57,27,211.11,6,4,RCB,M. Chinnaswamy Stadium,13 April 2015
48,Kieron Pollard,49,24,204.16,6,2,RCB,Wankhede Stadium,10 May 2015
49,Rohit Sharma,50,26,192.3,6,2,CSK,Eden Gardens,24 May 2015
50,Virender Sehwag,36,19,189.47,6,1,MI,Wankhede Stadium,12 April 2015
51,David Wiese,47,25,188,6,2,MI,M. Chinnaswamy Stadium,19 April 2015
52,Mayank Agarwal,37,21,176.19,6,1,RR,Arun Jaitley Stadium,12 April 2015
53,Virat Kohli,82,50,164,6,4,MI,Wankhede Stadium,10 May 2015
54,Karun Nair,61,38,160.52,6,2,DC,Brabourne Stadium,03 May 2015
55,David Warner,81,52,155.76,6,5,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
56,Shane Watson,73,47,155.31,6,4,CSK,Narendra Modi Stadium,19 April 2015
57,Chris Gayle,62,40,155,6,4,DC,Arun Jaitley Stadium,26 April 2015
58,Shikhar Dhawan,54,35,154.28,6,2,RR,Brabourne Stadium,07 May 2015
59,Yusuf Pathan,40,26,153.84,6,1,DC,Arun Jaitley Stadium,20 April 2015
60,Virat Kohli,35,23,152.17,6,0,DC,Arun Jaitley Stadium,26 April 2015
61,Parthiv Patel,45,32,140.62,6,0,CSK,Chidambaram,08 May 2015
62,AB de Villiers,47,34,138.23,6,0,RR,Narendra Modi Stadium,24 April 2015
63,Ajinkya Rahane,76,55,138.18,6,2,CSK,Narendra Modi Stadium,19 April 2015
64,Ajinkya Rahane,74,54,137.03,6,2,PBKS,Narendra Modi Stadium,21 April 2015
65,Mayank Agarwal,52,40,130,6,1,PBKS,Arun Jaitley Stadium,01 May 2015
66,Lendl Simmons,51,42,121.42,6,1,SRH,Wankhede Stadium,25 April 2015
67,Murali Vijay,35,29,120.68,6,0,MI,Wankhede Stadium,12 April 2015
68,Dwayne Smith,34,31,109.67,6,0,DC,Chidambaram,09 April 2015
69,AB de Villiers,41,11,372.72,5,3,MI,M. Chinnaswamy Stadium,19 April 2015
70,Harbhajan Singh,64,24,266.66,5,6,PBKS,Wankhede Stadium,12 April 2015
71,Andre Russell,45,17,264.7,5,3,RCB,M. Chinnaswamy Stadium,02 May 2015
72,Moises Henriques,57,22,259.09,5,4,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
73,Wriddhiman Saha,31,12,258.33,5,1,RCB,IS Bindra Stadium,13 May 2015
74,Andre Russell,51,21,242.85,5,4,PBKS,Eden Gardens,09 May 2015
75,Axar Patel,40,21,190.47,5,2,RCB,M. Chinnaswamy Stadium,06 May 2015
76,Faf du Plessis,20,11,181.81,5,0,KKR,Eden Gardens,30 April 2015
77,Parthiv Patel,23,14,164.28,5,0,RR,Wankhede Stadium,01 May 2015
78,AB de Villiers,46,28,164.28,5,2,SRH,M. Chinnaswamy Stadium,13 April 2015
79,Parthiv Patel,59,36,163.88,5,3,PBKS,IS Bindra Stadium,03 May 2015
80,Shaun Marsh,65,40,162.5,5,3,RR,Narendra Modi Stadium,21 April 2015
81,David Warner,52,32,162.5,5,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
82,Rohit Sharma,50,31,161.29,5,1,CSK,Wankhede Stadium,17 April 2015
83,AB de Villiers,21,14,150,5,0,CSK,Chidambaram,04 May 2015
84,Shikhar Dhawan,26,18,144.44,5,0,CSK,Chidambaram,11 April 2015
85,Steve Smith,33,23,143.47,5,0,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015
86,Rohit Sharma,30,21,142.85,5,0,KKR,Wankhede Stadium,14 May 2015
87,Yusuf Pathan,52,37,140.54,5,2,MI,Wankhede Stadium,14 May 2015
88,Yuvraj Singh,54,39,138.46,5,3,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
89,Gautam Gambhir,31,23,134.78,5,0,SRH,Eden Gardens,04 May 2015
90,Faf du Plessis,55,41,134.14,5,1,PBKS,IS Bindra Stadium,16 May 2015
91,George Bailey,60,45,133.33,5,2,KKR,Maharashtra Cricket Association's International Stadium,18 April 2015
92,David Warner,24,18,133.33,5,0,RR,Brabourne Stadium,07 May 2015
93,Faf du Plessis,45,34,132.35,5,1,MI,Wankhede Stadium,19 May 2015
94,JP Duminy,54,41,131.7,5,2,SRH,ACA-VDCA Stadium,18 April 2015
95,Corey Anderson,50,38,131.57,5,3,RR,Narendra Modi Stadium,14 April 2015
96,Gautam Gambhir,38,29,131.03,5,0,MI,Wankhede Stadium,14 May 2015
97,Shane Watson,45,35,128.57,5,2,PBKS,Narendra Modi Stadium,21 April 2015
98,Lendl Simmons,68,53,128.3,5,3,RCB,Wankhede Stadium,10 May 2015
99,Yusuf Pathan,44,35,125.71,5,1,RR,Brabourne Stadium,16 May 2015
