POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Glenn Maxwell,95,43,220.93,15,2,CSK,Zayed Cricket Stadium,18 April 2014
2,Lendl Simmons,100,61,163.93,14,2,PBKS,IS Bindra Stadium,21 May 2014
3,Suresh Raina,87,25,348,12,6,PBKS,Wankhede Stadium,30 May 2014
4,Virender Sehwag,122,58,210.34,12,8,CSK,Wankhede Stadium,30 May 2014
5,David Warner,90,45,200,12,3,CSK,JSCA Stadium,22 May 2014
6,Virender Sehwag,72,50,144,11,1,KKR,Barabati Stadium,11 May 2014
7,Wriddhiman Saha,115,55,209.09,10,8,KKR,M. Chinnaswamy Stadium,01 June 2014
8,Robin Uthappa,67,39,171.79,10,1,CSK,Eden Gardens,20 May 2014
9,Robin Uthappa,83,51,162.74,10,1,RCB,Eden Gardens,22 May 2014
10,Corey Anderson,95,44,215.9,9,6,RR,Wankhede Stadium,25 May 2014
11,Robin Uthappa,80,52,153.84,9,3,MI,Barabati Stadium,14 May 2014
12,Kevin Pietersen,58,41,141.46,9,0,PBKS,IS Bindra Stadium,25 May 2014
13,David Miller,66,29,227.58,8,3,RCB,M. Chinnaswamy Stadium,09 May 2014
14,Wriddhiman Saha,54,26,207.69,8,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
15,Glenn Maxwell,89,45,197.77,8,6,RR,Sharjah Cricket Stadium,20 April 2014
16,Aaron Finch,88,53,166.03,8,4,DC,Dubai International Stadium,25 April 2014
17,Robin Uthappa,46,28,164.28,8,1,PBKS,Barabati Stadium,11 May 2014
18,Karun Nair,73,50,146,8,2,DC,Arun Jaitley Stadium,03 May 2014
19,Karun Nair,56,39,143.58,8,0,RCB,M. Chinnaswamy Stadium,11 May 2014
20,Yogesh Takawale,40,28,142.85,8,0,KKR,Sharjah Cricket Stadium,24 April 2014
21,Brendon McCullum,71,53,133.96,8,2,MI,Dubai International Stadium,25 April 2014
22,Ajinkya Rahane,64,50,128,8,1,DC,Narendra Modi Stadium,15 May 2014
23,Yuvraj Singh,83,38,218.42,7,7,RR,M. Chinnaswamy Stadium,11 May 2014
24,Faf du Plessis,52,25,208,7,1,PBKS,Barabati Stadium,07 May 2014
25,Manish Pandey,94,50,188,7,6,PBKS,M. Chinnaswamy Stadium,01 June 2014
26,Karun Nair,50,27,185.18,7,2,MI,Wankhede Stadium,25 May 2014
27,Michael Hussey,56,33,169.69,7,2,DC,Wankhede Stadium,23 May 2014
28,Shikhar Dhawan,33,20,165,7,0,RR,Narendra Modi Stadium,08 May 2014
29,Sanju Samson,74,47,157.44,7,3,MI,Wankhede Stadium,25 May 2014
30,Dinesh Karthik,69,44,156.81,7,3,PBKS,Arun Jaitley Stadium,19 May 2014
31,Ambati Rayudu,68,46,147.82,7,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
32,Gautam Gambhir,63,45,140,7,0,PBKS,Barabati Stadium,11 May 2014
33,Murali Vijay,52,40,130,7,1,SRH,Dubai International Stadium,25 April 2014
34,Shikhar Dhawan,50,39,128.2,7,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
35,Parthiv Patel,57,45,126.66,7,0,MI,Dubai International Stadium,19 April 2014
36,Aaron Finch,68,62,109.67,7,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
37,George Bailey,40,13,307.69,6,2,CSK,Barabati Stadium,07 May 2014
38,Glenn Maxwell,90,38,236.84,6,8,CSK,Barabati Stadium,07 May 2014
39,Shakib Al Hasan,46,21,219.04,6,2,CSK,Eden Gardens,20 May 2014
40,AB de Villiers,89,41,217.07,6,8,SRH,M. Chinnaswamy Stadium,04 May 2014
41,Dwayne Smith,50,28,178.57,6,3,RR,Dubai International Stadium,23 April 2014
42,David Warner,55,31,177.41,6,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
43,Suresh Raina,47,27,174.07,6,1,DC,Arun Jaitley Stadium,05 May 2014
44,Quinton de Kock,48,30,160,6,1,SRH,Dubai International Stadium,25 April 2014
45,Gautam Gambhir,54,34,158.82,6,1,RR,Narendra Modi Stadium,05 May 2014
46,Dwayne Smith,66,43,153.48,6,3,PBKS,Zayed Cricket Stadium,18 April 2014
47,Kevin Pietersen,49,32,153.12,6,1,PBKS,Arun Jaitley Stadium,19 May 2014
