POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Rishabh Pant,128,63,203.17,15,7,SRH,Arun Jaitley Stadium,10 May 2018
2,Shikhar Dhawan,78,57,136.84,13,1,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2018
3,AB de Villiers,69,39,176.92,12,1,SRH,M. Chinnaswamy Stadium,17 May 2018
4,Shane Watson,117,57,205.26,11,8,SRH,Wankhede Stadium,27 May 2018
5,Jos Buttler,95,60,158.33,11,2,CSK,Sawai Mansingh Stadium,11 May 2018
6,KL Rahul,95,70,135.71,11,2,RR,Sawai Mansingh Stadium,08 May 2018
7,AB de Villiers,90,39,230.76,10,5,DC,M. Chinnaswamy Stadium,21 April 2018
8,Rohit Sharma,94,52,180.76,10,5,RCB,Wankhede Stadium,17 April 2018
9,Shikhar Dhawan,79,49,161.22,10,3,CSK,Maharashtra Cricket Association's International Stadium,13 May 2018
10,KL Rahul,94,60,156.66,10,3,MI,Wankhede Stadium,16 May 2018
11,KL Rahul,60,27,222.22,9,2,KKR,Eden Gardens,21 April 2018
12,Ambati Rayudu,79,37,213.51,9,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
13,Sunil Narine,75,36,208.33,9,4,PBKS,Holkar Cricket Stadium,12 May 2018
14,Shane Watson,106,57,185.96,9,6,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
15,Shikhar Dhawan,92,50,184,9,4,DC,Arun Jaitley Stadium,10 May 2018
16,Jos Buttler,94,53,177.35,9,5,MI,Wankhede Stadium,13 May 2018
17,Suresh Raina,46,29,158.62,9,0,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
18,Jos Buttler,82,58,141.37,9,1,PBKS,Sawai Mansingh Stadium,08 May 2018
19,Shikhar Dhawan,45,28,160.71,8,0,MI,Rajiv Gandhi Intl. Cricket Stadium,12 April 2018
20,Kane Williamson,83,53,156.6,8,2,DC,Arun Jaitley Stadium,10 May 2018
21,Dinesh Karthik,45,18,250,7,1,CSK,Eden Gardens,03 May 2018
22,Rishabh Pant,69,29,237.93,7,5,RR,Arun Jaitley Stadium,02 May 2018
23,Kane Williamson,81,42,192.85,7,5,RCB,M. Chinnaswamy Stadium,17 May 2018
