POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Ajinkya Rahane,98,66,148.48,16,1,PBKS,Sawai Mansingh Stadium,06 April 2012
2,Murali Vijay,113,58,194.82,15,4,DC,Chidambaram,25 May 2012
3,Virender Sehwag,73,38,192.1,12,1,RR,Sawai Mansingh Stadium,01 May 2012
4,Rohit Sharma,109,60,181.66,12,5,KKR,Eden Gardens,12 May 2012
5,Ajinkya Rahane,103,60,171.66,12,5,RCB,M. Chinnaswamy Stadium,15 April 2012
6,Sachin Tendulkar,74,44,168.18,11,1,CSK,Wankhede Stadium,06 May 2012
7,David Warner,109,54,201.85,10,7,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
8,Virender Sehwag,87,48,181.25,10,3,PWI,Maharashtra Cricket Association's International Stadium,24 April 2012
9,David Warner,79,44,179.54,10,4,PBKS,HPCA Stadium,19 May 2012
10,Shane Watson,90,51,176.47,10,4,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
11,Kumar Sangakkara,82,52,157.69,10,2,PWI,Barabati Stadium,01 May 2012
12,Dwayne Smith,87,58,150,10,3,RR,Sawai Mansingh Stadium,20 May 2012
13,Shikhar Dhawan,73,52,140.38,10,1,RCB,M. Chinnaswamy Stadium,06 May 2012
14,Tillakaratne Dilshan,76,58,131.03,10,1,RR,Sawai Mansingh Stadium,23 April 2012
15,Gautam Gambhir,93,51,182.35,9,5,RCB,Eden Gardens,28 April 2012
16,Shikhar Dhawan,84,49,171.42,9,5,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
17,Gautam Gambhir,64,39,164.1,9,1,RCB,M. Chinnaswamy Stadium,10 April 2012
18,Robin Uthappa,69,45,153.33,9,2,RCB,M. Chinnaswamy Stadium,17 April 2012
19,Cameron White,77,53,145.28,9,2,CSK,Chidambaram,04 May 2012
20,Adam Gilchrist,64,46,139.13,9,2,CSK,HPCA Stadium,17 May 2012
21,Virat Kohli,73,53,137.73,9,1,DC,Arun Jaitley Stadium,17 May 2012
22,Ajinkya Rahane,84,63,133.33,9,1,DC,Arun Jaitley Stadium,29 April 2012
23,Virender Sehwag,73,39,187.17,8,4,MI,Arun Jaitley Stadium,27 April 2012
24,Manvinder Bisla,89,48,185.41,8,5,CSK,Chidambaram,27 May 2012
25,Cameron White,67,41,163.41,8,1,PBKS,IS Bindra Stadium,13 May 2012
26,Virender Sehwag,63,39,161.53,8,2,RR,Arun Jaitley Stadium,29 April 2012
27,Mandeep Singh,75,48,156.25,8,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
28,Chris Gayle,87,56,155.35,8,4,PBKS,IS Bindra Stadium,20 April 2012
29,Rahul Dravid,58,42,138.09,8,0,RCB,Sawai Mansingh Stadium,23 April 2012
30,Tillakaratne Dilshan,71,54,131.48,8,2,DEC,M. Chinnaswamy Stadium,06 May 2012
31,Mahela Jayawardena,55,42,130.95,8,0,MI,Arun Jaitley Stadium,27 April 2012
32,Michael Hussey,49,39,125.64,8,1,MI,M. Chinnaswamy Stadium,23 May 2012
33,Shikhar Dhawan,52,43,120.93,8,0,RR,Sawai Mansingh Stadium,17 April 2012
34,Subramaniam Badrinath,57,48,118.75,8,0,PWI,Chidambaram,19 April 2012
35,Rahul Dravid,46,39,117.94,8,0,PBKS,IS Bindra Stadium,05 May 2012
36,Brendon McCullum,43,37,116.21,8,0,RCB,Eden Gardens,28 April 2012
37,Mahela Jayawardena,56,49,114.28,8,0,PBKS,Arun Jaitley Stadium,15 May 2012
38,Ross Taylor,55,26,211.53,7,2,RCB,Arun Jaitley Stadium,17 May 2012
39,Chris Gayle,128,62,206.45,7,13,DC,Arun Jaitley Stadium,17 May 2012
40,Rahul Dravid,42,24,175,7,1,DEC,Sawai Mansingh Stadium,17 April 2012
41,Cameron White,65,40,162.5,7,2,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
42,Gautam Gambhir,66,44,150,7,1,PBKS,IS Bindra Stadium,18 April 2012
43,Jesse Ryder,86,58,148.27,7,4,DC,Arun Jaitley Stadium,21 April 2012
44,Chris Gayle,86,58,148.27,7,6,KKR,Eden Gardens,28 April 2012
45,Manish Pandey,80,56,142.85,7,3,DC,Maharashtra Cricket Association's International Stadium,24 April 2012
46,Dinesh Karthik,40,28,142.85,7,0,DC,Arun Jaitley Stadium,27 April 2012
47,Jacques Kallis,69,49,140.81,7,1,CSK,Chidambaram,27 May 2012
48,Rahul Dravid,57,43,132.55,7,0,DC,Sawai Mansingh Stadium,01 May 2012
49,Michael Clarke,41,31,132.25,7,0,DEC,Barabati Stadium,01 May 2012
