POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Dinesh Karthik,86,48,179.16,14,2,DC,Wankhede Stadium,09 April 2013
2,Manvinder Bisla,92,61,150.81,14,2,CSK,Chidambaram,28 April 2013
3,Chris Gayle,175,66,265.15,13,17,PWI,M. Chinnaswamy Stadium,23 April 2013
4,Shane Watson,98,53,184.9,13,4,SRH,Sawai Mansingh Stadium,27 April 2013
5,Michael Hussey,88,51,172.54,13,1,RR,Chidambaram,22 April 2013
6,Virender Sehwag,95,57,166.66,13,2,MI,Arun Jaitley Stadium,21 April 2013
7,Virat Kohli,93,47,197.87,11,4,SRH,M. Chinnaswamy Stadium,09 April 2013
8,Suresh Raina,99,52,190.38,11,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
9,Michael Hussey,95,59,161.01,11,2,KKR,Chidambaram,28 April 2013
10,Michael Hussey,86,54,159.25,11,2,PBKS,IS Bindra Stadium,10 April 2013
11,Chris Gayle,92,58,158.62,11,5,MI,M. Chinnaswamy Stadium,04 April 2013
12,Shaun Marsh,63,47,134.04,11,0,MI,HPCA Stadium,18 May 2013
13,Virat Kohli,99,58,170.68,10,4,DC,Arun Jaitley Stadium,10 May 2013
14,Adam Gilchrist,85,54,157.4,10,3,RCB,M. Chinnaswamy Stadium,14 May 2013
15,Aaron Finch,67,45,148.88,10,2,CSK,Chidambaram,15 April 2013
16,Michael Hussey,86,58,148.27,10,2,MI,Arun Jaitley Stadium,21 May 2013
17,Shikhar Dhawan,63,45,140,10,0,CSK,Chidambaram,25 April 2013
18,Ben Rohrer,64,40,160,9,1,RR,Sawai Mansingh Stadium,07 May 2013
19,Gautam Gambhir,60,39,153.84,9,0,PBKS,IS Bindra Stadium,16 April 2013
20,Rahul Dravid,58,40,145,9,1,PWI,Sawai Mansingh Stadium,05 May 2013
21,David Warner,77,56,137.5,9,1,RR,Arun Jaitley Stadium,06 April 2013
22,Shikhar Dhawan,73,55,132.72,9,1,MI,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013
23,David Miller,101,38,265.78,8,7,RCB,IS Bindra Stadium,06 May 2013
24,AB de Villiers,64,32,200,8,1,CSK,Chidambaram,13 April 2013
25,Azhar Mahmood,80,44,181.81,8,4,MI,HPCA Stadium,18 May 2013
26,Sachin Tendulkar,48,28,171.42,8,0,KKR,Wankhede Stadium,07 May 2013
27,Yusuf Pathan,72,44,163.63,8,2,PWI,JSCA Stadium,15 May 2013
28,Aditya Tare,59,37,159.45,8,1,RR,Wankhede Stadium,15 May 2013
29,Aaron Finch,64,42,152.38,8,2,PBKS,IS Bindra Stadium,21 April 2013
30,Azhar Mahmood,61,41,148.78,8,1,RCB,M. Chinnaswamy Stadium,14 May 2013
31,Darren Sammy,60,41,146.34,8,1,RR,Sawai Mansingh Stadium,27 April 2013
32,Shaun Marsh,73,51,143.13,8,2,CSK,Chidambaram,02 May 2013
33,Manish Pandey,66,47,140.42,8,1,KKR,JSCA Stadium,15 May 2013
34,Mahela Jayawardena,59,43,137.2,8,1,MI,Arun Jaitley Stadium,21 April 2013
35,Robin Uthappa,54,41,131.7,8,1,RR,Sawai Mansingh Stadium,05 May 2013
36,Mahela Jayawardena,66,52,126.92,8,1,KKR,Eden Gardens,03 April 2013
37,Ajinkya Rahane,68,54,125.92,8,1,MI,Sawai Mansingh Stadium,17 April 2013
38,Rahul Dravid,54,48,112.5,8,0,PWI,Maharashtra Cricket Association's International Stadium,11 April 2013
39,Cheteshwar Pujara,51,48,106.25,8,0,PBKS,IS Bindra Stadium,06 May 2013
40,Luke Wright,44,23,191.3,7,1,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
41,Suresh Raina,100,53,188.67,7,6,PBKS,Chidambaram,02 May 2013
42,Kieron Pollard,60,32,187.5,7,3,CSK,Eden Gardens,26 May 2013
43,MS Dhoni,67,37,181.08,7,4,SRH,Chidambaram,25 April 2013
44,Shane Watson,32,19,168.42,7,0,PBKS,Sawai Mansingh Stadium,14 April 2013
45,Sanju Samson,63,41,153.65,7,2,RCB,Sawai Mansingh Stadium,29 April 2013
46,Manan Vohra,43,28,153.57,7,0,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
47,Sachin Tendulkar,44,29,151.72,7,1,PWI,Wankhede Stadium,13 April 2013
48,Brad Hodge,46,31,148.38,7,0,KKR,Sawai Mansingh Stadium,08 April 2013
49,Brad Hodge,39,27,144.44,7,0,MI,Wankhede Stadium,15 May 2013
50,Aaron Finch,45,32,140.62,7,0,RR,Sawai Mansingh Stadium,05 May 2013
51,Mandeep Singh,77,58,132.75,7,0,PWI,IS Bindra Stadium,21 April 2013
52,Virat Kohli,65,50,130,7,1,DC,M. Chinnaswamy Stadium,16 April 2013
53,Gautam Gambhir,59,46,128.26,7,1,RCB,M. Chinnaswamy Stadium,11 April 2013
54,Parthiv Patel,47,37,127.02,7,0,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013
55,Rahul Dravid,43,37,116.21,7,0,MI,Eden Gardens,24 May 2013
56,Rahul Dravid,53,48,110.41,7,0,DC,Sawai Mansingh Stadium,07 May 2013
57,Shaun Marsh,45,44,102.27,7,0,DC,HPCA Stadium,16 May 2013
58,Dwayne Smith,47,53,88.67,7,0,KKR,Wankhede Stadium,07 May 2013
59,Luke Wright,34,10,340,6,1,PBKS,IS Bindra Stadium,21 April 2013
60,Dwayne Smith,68,28,242.85,6,5,CSK,Arun Jaitley Stadium,21 May 2013
61,AB de Villiers,50,23,217.39,6,2,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
62,Chris Gayle,34,16,212.5,6,1,RR,Sawai Mansingh Stadium,29 April 2013
63,Shane Watson,70,34,205.88,6,6,CSK,Sawai Mansingh Stadium,12 May 2013
64,Rohit Sharma,79,39,202.56,6,6,PBKS,Wankhede Stadium,29 April 2013
65,Virat Kohli,56,29,193.1,6,4,CSK,M. Chinnaswamy Stadium,18 May 2013
66,Chris Gayle,61,33,184.84,6,3,PBKS,IS Bindra Stadium,06 May 2013
67,Shane Watson,101,61,165.57,6,6,CSK,Chidambaram,22 April 2013
68,David Warner,66,42,157.14,6,3,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
69,Jacques Kallis,41,27,151.85,6,0,SRH,Eden Gardens,14 April 2013
70,Parthiv Patel,44,30,146.66,6,1,CSK,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
71,Shikhar Dhawan,59,41,143.9,6,2,MI,Wankhede Stadium,13 May 2013
72,Dwayne Smith,62,44,140.9,6,2,RR,Eden Gardens,24 May 2013
