POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Paul Valthaty,120,63,190.47,19,2,CSK,IS Bindra Stadium,13 April 2011
2,Shikhar Dhawan,95,57,166.66,14,1,PBKS,HPCA Stadium,21 May 2011
3,Virender Sehwag,119,56,212.5,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
4,Sachin Tendulkar,100,66,151.51,12,3,KTK,Wankhede Stadium,15 April 2011
5,Gautam Gambhir,75,44,170.45,11,1,RR,Sawai Mansingh Stadium,15 April 2011
6,Michael Hussey,83,56,148.21,11,1,RCB,Chidambaram,16 April 2011
7,Chris Gayle,107,49,218.36,10,9,PBKS,M. Chinnaswamy Stadium,06 May 2011
8,Chris Gayle,102,55,185.45,10,7,KKR,Eden Gardens,22 April 2011
9,Kumar Sangakkara,65,47,138.29,10,0,KTK,Jawaharlal Nehru Stadium,27 April 2011
10,Brendon McCullum,81,60,135,10,2,MI,Wankhede Stadium,15 April 2011
11,Rahul Dravid,66,51,129.41,10,0,CSK,Chidambaram,04 May 2011
12,James Hopes,55,44,125,10,0,MI,Wankhede Stadium,07 May 2011
13,Shaun Marsh,95,46,206.52,9,6,DC,Arun Jaitley Stadium,23 April 2011
14,Chris Gayle,89,47,189.36,9,5,MI,Chidambaram,27 May 2011
15,Shane Watson,89,47,189.36,9,6,MI,Wankhede Stadium,20 May 2011
16,Mahela Jayawardena,56,36,155.55,9,0,MI,Wankhede Stadium,15 April 2011
17,Ambati Rayudu,63,50,126,9,0,RCB,M. Chinnaswamy Stadium,12 April 2011
18,Virender Sehwag,77,35,220,8,4,PBKS,Arun Jaitley Stadium,23 April 2011
19,Adam Gilchrist,106,55,192.72,8,9,RCB,HPCA Stadium,17 May 2011
20,Rohit Sharma,87,48,181.25,8,5,CSK,Wankhede Stadium,22 April 2011
21,Virender Sehwag,80,47,170.21,8,5,KTK,Jawaharlal Nehru Stadium,30 April 2011
22,Tillakaratne Dilshan,52,31,167.74,8,1,KTK,M. Chinnaswamy Stadium,08 May 2011
23,Aiden Blizzard,37,23,160.86,8,0,DC,Wankhede Stadium,07 May 2011
24,Paul Valthaty,75,47,159.57,8,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
25,Tillakaratne Dilshan,38,24,158.33,8,0,RR,Sawai Mansingh Stadium,11 May 2011
26,Michael Hussey,46,30,153.33,8,0,RR,Sawai Mansingh Stadium,09 May 2011
27,Sunny Sohal,62,41,151.21,8,1,DC,Arun Jaitley Stadium,19 April 2011
28,Virat Kohli,56,38,147.36,8,2,DC,Arun Jaitley Stadium,26 April 2011
29,Mahela Jayawardena,76,52,146.15,8,2,PBKS,Holkar Cricket Stadium,13 May 2011
30,Michael Hussey,79,55,143.63,8,1,RR,Chidambaram,04 May 2011
31,Johan Botha,67,47,142.55,8,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
32,Kumar Sangakkara,49,35,140,8,1,DC,Arun Jaitley Stadium,19 April 2011
33,Ambati Rayudu,51,37,137.83,8,1,PBKS,Wankhede Stadium,02 May 2011
34,Shaun Marsh,61,47,129.78,8,0,MI,Wankhede Stadium,02 May 2011
35,Eoin Morgan,66,51,129.41,8,2,KTK,Jawaharlal Nehru Stadium,05 May 2011
36,Adam Gilchrist,42,33,127.27,8,1,DC,Arun Jaitley Stadium,23 April 2011
37,Kumar Sangakkara,44,36,122.22,8,0,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
38,Subramaniam Badrinath,66,56,117.85,8,0,PBKS,IS Bindra Stadium,13 April 2011
39,Dinesh Karthik,69,33,209.09,7,5,KTK,Holkar Cricket Stadium,13 May 2011
40,Aiden Blizzard,51,30,170,7,2,KKR,Wankhede Stadium,25 May 2011
41,Robin Uthappa,35,21,166.66,7,0,RR,Sawai Mansingh Stadium,01 May 2011
42,Sachin Tendulkar,40,24,166.66,7,0,RCB,Chidambaram,27 May 2011
43,Shaun Marsh,79,49,161.22,7,5,RCB,HPCA Stadium,17 May 2011
44,David Warner,77,48,160.41,7,4,PBKS,Arun Jaitley Stadium,23 April 2011
45,Chris Gayle,70,44,159.09,7,4,RR,Sawai Mansingh Stadium,11 May 2011
46,Ambati Rayudu,59,39,151.28,7,2,DC,Wankhede Stadium,07 May 2011
47,Subramaniam Badrinath,71,48,147.91,7,2,MI,Wankhede Stadium,22 April 2011
48,Ajinkya Rahane,52,36,144.44,7,0,CSK,Sawai Mansingh Stadium,09 May 2011
49,Jacques Kallis,54,42,128.57,7,0,CSK,Chidambaram,08 April 2011
50,James Hopes,54,43,125.58,7,0,RCB,Arun Jaitley Stadium,26 April 2011
51,Paul Valthaty,62,50,124,7,3,DC,HPCA Stadium,15 May 2011
52,Jacques Kallis,80,65,123.07,7,2,RR,Sawai Mansingh Stadium,15 April 2011
53,Sachin Tendulkar,55,46,119.56,7,0,RCB,M. Chinnaswamy Stadium,12 April 2011
54,Jacques Kallis,53,45,117.77,7,1,DEC,Eden Gardens,11 April 2011
55,Gautam Gambhir,54,46,117.39,7,0,PWI,DY Patil Stadium,19 May 2011
56,Chris Gayle,38,12,316.66,6,2,KKR,M. Chinnaswamy Stadium,14 May 2011
57,Sunny Sohal,56,30,186.66,6,4,CSK,Chidambaram,01 May 2011
58,Eoin Morgan,28,15,186.66,6,0,PBKS,Eden Gardens,30 April 2011
59,Jesse Ryder,31,17,182.35,6,0,PBKS,DY Patil Stadium,10 April 2011
60,Murali Vijay,74,43,172.09,6,4,PBKS,IS Bindra Stadium,13 April 2011
61,Shaun Marsh,71,42,169.04,6,3,RR,IS Bindra Stadium,21 April 2011
62,Suresh Raina,59,35,168.57,6,2,DEC,Chidambaram,01 May 2011
63,David Warner,46,28,164.28,6,2,PWI,DY Patil Stadium,17 April 2011
64,Virender Sehwag,37,23,160.86,6,0,PWI,DY Patil Stadium,17 April 2011
65,Suresh Raina,43,27,159.25,6,0,RR,Sawai Mansingh Stadium,09 May 2011
66,Murali Vijay,28,18,155.55,6,0,KTK,Jawaharlal Nehru Stadium,18 April 2011
67,Subramaniam Badrinath,63,44,143.18,6,2,PWI,DY Patil Stadium,27 April 2011
68,Ryan ten Doeschate,70,49,142.85,6,3,MI,Wankhede Stadium,25 May 2011
69,Sachin Tendulkar,38,27,140.74,6,0,KKR,Eden Gardens,22 May 2011
70,Adam Gilchrist,51,37,137.83,6,2,DEC,HPCA Stadium,21 May 2011
71,Rahul Dravid,43,32,134.37,6,0,MI,Wankhede Stadium,20 May 2011
72,Sachin Tendulkar,36,28,128.57,6,0,KKR,Wankhede Stadium,25 May 2011
73,Subramaniam Badrinath,55,43,127.9,6,1,DC,Chidambaram,12 May 2011
74,Michael Hussey,61,48,127.08,6,1,PWI,Chidambaram,25 April 2011
75,Gautam Gambhir,48,38,126.31,6,0,RCB,Eden Gardens,22 April 2011
76,Michael Hussey,41,33,124.24,6,0,MI,Wankhede Stadium,22 April 2011
77,David Warner,54,44,122.72,6,1,RR,Sawai Mansingh Stadium,12 April 2011
78,Tillakaratne Dilshan,38,31,122.58,6,0,KKR,Eden Gardens,22 April 2011
79,Rahul Dravid,38,31,122.58,6,1,DC,Sawai Mansingh Stadium,12 April 2011
80,Robin Uthappa,45,37,121.62,6,1,MI,Wankhede Stadium,20 April 2011
81,Bharat Chipli,48,40,120,6,1,KKR,Eden Gardens,11 April 2011
82,Rahul Dravid,37,31,119.35,6,0,RCB,Sawai Mansingh Stadium,11 May 2011
83,Ryan McLaren,51,43,118.6,6,1,PWI,DY Patil Stadium,10 April 2011
84,Manish Pandey,49,42,116.66,6,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
85,Srikkanth Anirudha,64,55,116.36,6,2,KKR,Chidambaram,08 April 2011
86,Yuvraj Singh,35,15,233.33,5,2,PBKS,IS Bindra Stadium,08 May 2011
87,Jesse Ryder,60,27,222.22,5,5,DC,DY Patil Stadium,17 April 2011
88,MS Dhoni,63,31,203.22,5,4,DC,Chidambaram,12 May 2011
89,James Franklin,45,23,195.65,5,1,KKR,Eden Gardens,22 May 2011
90,Brendon McCullum,37,19,194.73,5,2,DC,Arun Jaitley Stadium,02 May 2011
91,Brad Hodge,33,17,194.11,5,2,RR,Holkar Cricket Stadium,15 May 2011
92,Travis Birt,27,15,180,5,0,KTK,Arun Jaitley Stadium,02 May 2011
93,Jesse Ryder,35,20,175,5,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
94,Bharat Chipli,61,35,174.28,5,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
95,Rohit Sharma,56,34,164.7,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
96,Shaun Marsh,46,28,164.28,5,3,DC,HPCA Stadium,15 May 2011
97,Shikhar Dhawan,29,18,161.11,5,0,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
98,Davy Jacobs,32,20,160,5,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
99,Virat Kohli,70,44,159.09,5,3,CSK,Wankhede Stadium,24 May 2011
100,Manoj Tiwary,35,22,159.09,5,1,MI,Eden Gardens,22 May 2011
101,Virender Sehwag,34,23,147.82,5,1,KKR,Arun Jaitley Stadium,28 April 2011
102,AB de Villiers,65,44,147.72,5,2,CSK,Chidambaram,16 April 2011
103,Dwaraka Ravi Teja,60,41,146.34,5,2,PBKS,HPCA Stadium,21 May 2011
104,Shaun Marsh,42,30,140,5,2,KTK,Holkar Cricket Stadium,13 May 2011
105,Virat Kohli,71,51,139.21,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
106,Adam Gilchrist,61,46,132.6,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
107,Shaun Marsh,43,34,126.47,5,0,MI,IS Bindra Stadium,10 May 2011
108,Shikhar Dhawan,45,36,125,5,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
109,Kumar Sangakkara,35,28,125,5,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
110,Suresh Raina,50,40,125,5,1,KTK,Jawaharlal Nehru Stadium,18 April 2011
111,Rohit Sharma,58,47,123.4,5,1,RR,Wankhede Stadium,20 May 2011
112,Shane Watson,32,26,123.07,5,0,CSK,Chidambaram,04 May 2011
113,Parthiv Patel,37,31,119.35,5,0,DC,Arun Jaitley Stadium,02 May 2011
114,Rahul Dravid,44,37,118.91,5,1,KTK,Sawai Mansingh Stadium,24 April 2011
115,Shikhar Dhawan,25,22,113.63,5,0,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
116,Michael Hussey,46,41,112.19,5,0,DEC,Chidambaram,01 May 2011
117,Venugopal Rao,40,36,111.11,5,0,KTK,Arun Jaitley Stadium,02 May 2011
118,Jacques Kallis,45,41,109.75,5,0,KTK,Jawaharlal Nehru Stadium,05 May 2011
119,Mithun Manhas,35,32,109.37,5,1,PBKS,DY Patil Stadium,10 April 2011
120,Virat Kohli,31,29,106.89,5,0,CSK,M. Chinnaswamy Stadium,22 May 2011
121,David Warner,51,48,106.25,5,1,DEC,Arun Jaitley Stadium,19 April 2011
122,Subramaniam Badrinath,34,32,106.25,5,0,RCB,Wankhede Stadium,24 May 2011
123,Harbhajan Singh,30,29,103.44,5,0,KKR,Eden Gardens,22 May 2011
124,Mayank Agarwal,34,33,103.03,5,0,CSK,Wankhede Stadium,24 May 2011
125,Sunny Sohal,38,37,102.7,5,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
126,Sachin Tendulkar,24,24,100,5,0,PWI,DY Patil Stadium,04 May 2011
127,Mahela Jayawardena,25,27,92.59,5,0,KKR,Eden Gardens,20 April 2011
128,Amit Mishra,18,6,300,4,0,MI,Wankhede Stadium,14 May 2011
129,MS Dhoni,43,20,215,4,2,PBKS,IS Bindra Stadium,13 April 2011
130,Yuvraj Singh,66,32,206.25,4,5,DC,DY Patil Stadium,17 April 2011
131,Chris Gayle,49,26,188.46,4,4,PWI,M. Chinnaswamy Stadium,29 April 2011
132,Chris Gayle,26,14,185.71,4,1,DC,Arun Jaitley Stadium,26 April 2011
133,Murali Vijay,95,52,182.69,4,6,RCB,Chidambaram,28 May 2011
134,Tillakaratne Dilshan,16,9,177.77,4,0,PBKS,M. Chinnaswamy Stadium,06 May 2011
135,Adam Gilchrist,28,16,175,4,1,RR,IS Bindra Stadium,21 April 2011
136,Cheteshwar Pujara,25,15,166.66,4,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
137,Shakib Al Hasan,26,16,162.5,4,0,MI,Wankhede Stadium,25 May 2011
138,Gautam Gambhir,29,18,161.11,4,0,DEC,Eden Gardens,11 April 2011
139,Virat Kohli,67,42,159.52,4,4,PWI,M. Chinnaswamy Stadium,29 April 2011
140,Jesse Ryder,19,12,158.33,4,0,CSK,DY Patil Stadium,27 April 2011
141,Shane Watson,24,16,150,4,0,PBKS,IS Bindra Stadium,21 April 2011
142,Chris Gayle,75,50,150,4,6,CSK,M. Chinnaswamy Stadium,22 May 2011
143,Venugopal Rao,60,40,150,4,4,RR,Sawai Mansingh Stadium,12 April 2011
144,Jesse Ryder,51,34,150,4,2,RCB,M. Chinnaswamy Stadium,29 April 2011
145,Paul Valthaty,46,31,148.38,4,3,RR,IS Bindra Stadium,21 April 2011
146,Yusuf Pathan,22,15,146.66,4,0,DEC,Eden Gardens,11 April 2011
147,Suresh Raina,73,50,146,4,6,RCB,Wankhede Stadium,24 May 2011
148,Brendon McCullum,47,33,142.42,4,3,CSK,Jawaharlal Nehru Stadium,18 April 2011
149,Dinesh Karthik,27,19,142.1,4,0,DC,HPCA Stadium,15 May 2011
150,Brendon McCullum,45,32,140.62,4,2,RCB,Jawaharlal Nehru Stadium,09 April 2011
