POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Deepak Chahar,4,13,4,1,18,6,PBKS,Wankhede Stadium,16 April 2021
2,Jasprit Bumrah,4,14,2,0,18,12,RR,Sharjah Cricket Stadium,05 October 2021
3,Chris Morris,4,23,4,0,18,6,KKR,Wankhede Stadium,24 April 2021
4,Shardul Thakur,4,11,1,0,17,24,RCB,Wankhede Stadium,25 April 2021
5,Mohammad Shami,4,14,2,1,17,12,SRH,Sharjah Cricket Stadium,25 September 2021
6,Lockie Ferguson,4,18,3,0,17,8,RR,Sharjah Cricket Stadium,07 October 2021
7,Shivam Mavi,4,19,1,0,17,24,RR,Wankhede Stadium,24 April 2021
8,Mohammad Shami,4,25,1,0,17,24,KKR,Narendra Modi Stadium,26 April 2021
9,Yuzvendra Chahal,4,11,3,1,16,8,MI,Dubai International Stadium,26 September 2021
10,Nathan Coulter-Nile,4,14,4,0,16,6,RR,Sharjah Cricket Stadium,05 October 2021
11,Varun Chakaravarthy,4,14,1,0,16,24,RR,Sharjah Cricket Stadium,07 October 2021
12,Avesh Khan,4,15,3,0,16,8,MI,Sharjah Cricket Stadium,02 October 2021
13,Trent Boult,4,17,1,0,16,24,RCB,Dubai International Stadium,26 September 2021
14,Jayant Yadav,4,20,0,0,16,0,PBKS,Chidambaram,23 April 2021
15,Mohammed Siraj,4,27,3,0,16,8,RR,Wankhede Stadium,22 April 2021
16,Ravindra Jadeja,4,13,3,1,15,8,RCB,Wankhede Stadium,25 April 2021
17,Varun Chakaravarthy,4,13,3,0,15,8,RCB,Zayed Cricket Stadium,20 September 2021
18,Shivam Mavi,4,13,1,0,15,24,PBKS,Narendra Modi Stadium,26 April 2021
19,Jaydev Unadkat,4,15,3,0,15,8,DC,Wankhede Stadium,15 April 2021
20,Harpreet Brar,4,19,3,1,15,8,RCB,Narendra Modi Stadium,30 April 2021
21,Anrich Nortje,4,19,1,1,15,24,MI,Sharjah Cricket Stadium,02 October 2021
22,Pat Cummins,4,24,3,0,15,8,DC,Narendra Modi Stadium,29 April 2021
23,Lungi Ngidi,4,28,3,0,15,8,KKR,Wankhede Stadium,21 April 2021
24,Anrich Nortje,4,12,2,0,14,12,SRH,Dubai International Stadium,22 September 2021
25,Imran Tahir,4,16,2,0,14,12,RCB,Wankhede Stadium,25 April 2021
26,Ravindra Jadeja,4,19,0,0,14,0,PBKS,Wankhede Stadium,16 April 2021
27,Ravichandran Ashwin,4,20,1,0,14,24,RR,Zayed Cricket Stadium,25 September 2021
28,Bhuvneshwar Kumar,4,20,0,0,14,0,KKR,Dubai International Stadium,03 October 2021
29,Adam Milne,4,21,2,0,14,12,CSK,Dubai International Stadium,19 September 2021
30,Mohammad Shami,4,22,1,0,14,24,CSK,Dubai International Stadium,07 October 2021
31,Riley Meredith,3.4,21,0,0,14,0,CSK,Wankhede Stadium,16 April 2021
32,Sam Curran,4,24,2,0,14,12,RR,Wankhede Stadium,19 April 2021
33,Prasidh Krishna,4,24,1,0,14,24,RCB,Zayed Cricket Stadium,20 September 2021
34,Mohammed Siraj,4,25,2,1,14,12,SRH,Chidambaram,14 April 2021
35,Harpreet Brar,4,26,0,0,14,0,RCB,Sharjah Cricket Stadium,03 October 2021
36,Deepak Chahar,4,29,4,0,14,6,KKR,Wankhede Stadium,21 April 2021
37,Jimmy Neesham,4,12,3,0,13,8,RR,Sharjah Cricket Stadium,05 October 2021
38,Moises Henriques,4,12,3,0,13,8,RCB,Sharjah Cricket Stadium,03 October 2021
39,Krunal Pandya,4,13,1,0,13,24,KKR,Chidambaram,13 April 2021
40,Rahul Chahar,4,19,3,0,13,8,SRH,Chidambaram,17 April 2021
41,Deepak Chahar,4,19,2,0,13,12,MI,Dubai International Stadium,19 September 2021
42,Nathan Ellis,4,20,1,0,13,24,MI,Zayed Cricket Stadium,28 September 2021
43,Mohammad Shami,4,21,3,0,13,8,RR,Dubai International Stadium,21 September 2021
44,Chris Woakes,4,22,2,0,13,12,RR,Wankhede Stadium,15 April 2021
45,Mustafizur Rahman,4,22,1,0,13,24,KKR,Wankhede Stadium,24 April 2021
46,Fabian Allen,4,22,1,1,13,24,SRH,Chidambaram,21 April 2021
47,Kagiso Rabada,4,23,2,0,13,12,KKR,Sharjah Cricket Stadium,13 October 2021
48,Rashid Khan,4,23,1,0,13,24,KKR,Dubai International Stadium,03 October 2021
