POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Amit Mishra,4,8,2,0,18,12,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
2,Praveen Kumar,4,10,2,1,17,12,RR,Sawai Mansingh Stadium,14 April 2013
3,Sunil Narine,4,11,0,1,17,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013
4,Ryan Harris,4,12,1,0,17,24,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
5,RP Singh,4,13,3,0,17,8,RR,M. Chinnaswamy Stadium,20 April 2013
6,Mitchell Johnson,4,8,2,0,16,12,PWI,Maharashtra Cricket Association's International Stadium,11 May 2013
7,Karn Sharma,4,8,0,1,16,0,CSK,Chidambaram,25 April 2013
8,Dale Steyn,4,15,1,1,16,24,RR,Sawai Mansingh Stadium,27 April 2013
9,Bhuvneshwar Kumar,4,18,3,0,16,8,SRH,Maharashtra Cricket Association's International Stadium,17 April 2013
10,Sachithra Senanayake,4,18,1,0,16,24,CSK,Eden Gardens,20 April 2013
11,Mohit Sharma,4,20,0,0,16,0,MI,Wankhede Stadium,05 May 2013
12,Dale Steyn,4,11,2,1,15,12,DC,Arun Jaitley Stadium,12 April 2013
13,Bhuvneshwar Kumar,4,12,2,1,15,12,CSK,Chidambaram,15 April 2013
14,Sunil Narine,4,12,2,0,15,12,PWI,Maharashtra Cricket Association's International Stadium,09 May 2013
15,Ishant Sharma,4,15,2,1,15,12,MI,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013
16,Irfan Pathan,4,16,1,0,15,24,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
17,Amit Mishra,4,16,1,1,15,24,RR,Arun Jaitley Stadium,22 May 2013
18,Murali Kartik,4,17,1,0,15,24,KKR,JSCA Stadium,12 May 2013
19,Manpreet Gony,4,18,1,0,15,24,KKR,IS Bindra Stadium,16 April 2013
20,Dhawal Kulkarni,4,19,3,0,15,8,RCB,Wankhede Stadium,27 April 2013
21,Piyush Chawla,4,20,2,0,15,12,MI,HPCA Stadium,18 May 2013
22,Ravi Rampaul,3.4,19,2,1,15,11,RR,M. Chinnaswamy Stadium,20 April 2013
23,Harbhajan Singh,4,21,1,0,15,24,RCB,M. Chinnaswamy Stadium,04 April 2013
24,Mohit Sharma,4,22,2,0,15,12,DC,Chidambaram,14 May 2013
25,Mitchell Johnson,4,22,1,0,15,24,CSK,Chidambaram,06 April 2013
26,Dale Steyn,4,23,1,0,15,24,RR,Arun Jaitley Stadium,22 May 2013
27,Bhuvneshwar Kumar,4,23,0,0,15,0,RCB,M. Chinnaswamy Stadium,23 April 2013
28,Dale Steyn,3.5,11,3,0,14,7.66,PWI,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013
29,Sunil Narine,4,13,4,0,14,6,DC,Eden Gardens,03 April 2013
30,Mitchell Johnson,4,13,2,0,14,12,KKR,Wankhede Stadium,07 May 2013
31,Dale Steyn,4,14,1,0,14,24,PBKS,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013
32,Sunil Narine,4,14,0,0,14,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
33,Parvinder Awana,4,16,1,0,14,24,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
34,Siddharth Trivedi,4,17,1,1,14,24,MI,Sawai Mansingh Stadium,17 April 2013
35,Dirk Nannes,3.5,17,2,0,14,11.5,PBKS,IS Bindra Stadium,10 April 2013
36,Shanthakumaran Sreesanth,4,18,1,0,14,24,DC,Arun Jaitley Stadium,06 April 2013
37,Jason Holder,4,20,2,0,14,12,RR,Sawai Mansingh Stadium,12 May 2013
38,Brett Lee,4,20,1,0,14,24,RR,Sawai Mansingh Stadium,08 April 2013
39,RP Singh,4,20,1,0,14,24,PWI,M. Chinnaswamy Stadium,23 April 2013
40,Ravichandran Ashwin,4,21,2,1,14,12,KKR,Eden Gardens,20 April 2013
41,Dale Steyn,4,21,2,0,14,12,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
42,Ravi Rampaul,4,21,2,0,14,12,PWI,M. Chinnaswamy Stadium,23 April 2013
43,Mohit Sharma,4,21,1,0,14,24,RR,Sawai Mansingh Stadium,12 May 2013
44,Ravichandran Ashwin,4,21,1,0,14,24,MI,Chidambaram,06 April 2013
45,Morne Morkel,4,22,1,0,14,24,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
46,Sandeep Sharma,4,23,3,1,14,8,DC,HPCA Stadium,16 May 2013
47,Mitchell Johnson,4,23,2,0,14,12,RR,Wankhede Stadium,15 May 2013
48,Ravindra Jadeja,4,26,1,0,14,24,PWI,Maharashtra Cricket Association's International Stadium,30 April 2013
49,Jacques Kallis,4,30,0,1,14,0,RCB,M. Chinnaswamy Stadium,11 April 2013
50,Ashok Dinda,4,31,3,0,14,8,DC,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
51,Lakshmipathy Balaji,3,7,0,1,13,0,MI,Wankhede Stadium,07 May 2013
52,Jacques Kallis,4,13,3,0,13,8,SRH,Eden Gardens,14 April 2013
53,Harbhajan Singh,4,13,1,0,13,24,CSK,Wankhede Stadium,05 May 2013
54,Thisara Perera,3.1,11,2,0,13,9.5,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
55,Ishant Sharma,3,11,1,1,13,18,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
56,Amit Mishra,4,15,1,0,13,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,07 April 2013
57,James Faulkner,4,16,0,0,13,0,KKR,Eden Gardens,03 May 2013
58,Dale Steyn,4,16,0,0,13,0,RCB,M. Chinnaswamy Stadium,09 April 2013
59,James Faulkner,4,17,2,0,13,12,PWI,Maharashtra Cricket Association's International Stadium,11 April 2013
60,Ravi Rampaul,4,17,1,1,13,24,KKR,JSCA Stadium,12 May 2013
61,Roelof van der Merwe,4,17,1,1,13,24,PBKS,Arun Jaitley Stadium,23 April 2013
62,Sunil Narine,4,17,0,0,13,0,RCB,M. Chinnaswamy Stadium,11 April 2013
63,Dale Steyn,4,17,0,1,13,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
64,Ajit Chandila,3,13,2,0,13,9,SRH,Sawai Mansingh Stadium,27 April 2013
65,Vinay Kumar,4,18,3,0,13,8,RR,M. Chinnaswamy Stadium,20 April 2013
66,Mitchell Johnson,4,19,2,0,13,12,CSK,Eden Gardens,26 May 2013
67,Praveen Kumar,4,19,1,0,13,24,DC,HPCA Stadium,16 May 2013
68,James Faulkner,4,20,5,0,13,4.8,SRH,Sawai Mansingh Stadium,27 April 2013
69,Thisara Perera,4,20,3,0,13,8,PWI,Maharashtra Cricket Association's International Stadium,17 April 2013
70,Shanthakumaran Sreesanth,4,20,2,1,13,12,PBKS,Sawai Mansingh Stadium,14 April 2013
71,Dale Steyn,4,20,2,0,13,12,PBKS,IS Bindra Stadium,11 May 2013
72,Ashok Dinda,4,21,2,0,13,12,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
73,Lasith Malinga,4,22,2,0,13,12,CSK,Eden Gardens,26 May 2013
74,Ishant Sharma,4,22,1,0,13,24,PWI,Maharashtra Cricket Association's International Stadium,17 April 2013
75,Anand Rajan,4,22,1,0,13,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013
76,Ishant Sharma,4,22,0,0,13,0,PWI,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013
77,Umesh Yadav,4,24,2,0,13,12,PWI,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
78,Dale Steyn,4,24,2,0,13,12,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013
79,Jaydev Unadkat,4,25,5,0,13,4.8,DC,Arun Jaitley Stadium,10 May 2013
80,Shanthakumaran Sreesanth,4,25,1,0,13,24,KKR,Sawai Mansingh Stadium,08 April 2013
81,Mitchell Johnson,4,26,2,0,13,12,KKR,Eden Gardens,24 April 2013
82,Mohit Sharma,4,26,1,0,13,24,MI,Eden Gardens,26 May 2013
83,Praveen Kumar,4,28,0,0,13,0,KKR,Eden Gardens,26 April 2013
84,Ryan Harris,4,30,0,0,13,0,RR,Sawai Mansingh Stadium,14 April 2013
85,Bhuvneshwar Kumar,4,30,0,0,13,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
86,Dirk Nannes,4,31,1,0,13,24,RCB,Chidambaram,13 April 2013
87,Ishant Sharma,3.4,30,1,0,13,22,RCB,M. Chinnaswamy Stadium,09 April 2013
88,Wayne Parnell,4,34,2,0,13,12,KKR,JSCA Stadium,15 May 2013
89,Azhar Mahmood,4,35,3,0,13,8,KKR,Eden Gardens,26 April 2013
90,Lasith Malinga,3,6,2,0,12,9,CSK,Wankhede Stadium,05 May 2013
91,Ankeet Chavan,3,10,0,0,12,0,MI,Sawai Mansingh Stadium,17 April 2013
92,Ali Murtaza,4,15,3,0,12,8,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
93,Ajantha Mendis,4,15,1,0,12,24,MI,Maharashtra Cricket Association's International Stadium,11 May 2013
94,James Faulkner,4,16,5,1,12,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
95,Dale Steyn,4,17,2,0,12,12,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
96,Mohit Sharma,3,13,0,0,12,0,KKR,Eden Gardens,20 April 2013
97,Vikramjeet Malik,3,14,2,0,12,9,SRH,Arun Jaitley Stadium,22 May 2013
98,Ajit Chandila,3,14,0,0,12,0,PBKS,Sawai Mansingh Stadium,14 April 2013
99,Lasith Malinga,4,20,1,0,12,24,DC,Wankhede Stadium,09 April 2013
100,Sandeep Sharma,4,21,3,0,12,8,SRH,IS Bindra Stadium,11 May 2013
101,Rahul Sharma,4,21,2,0,12,12,SRH,Maharashtra Cricket Association's International Stadium,17 April 2013
102,Dhawal Kulkarni,4,21,2,0,12,12,RR,Wankhede Stadium,15 May 2013
103,Siddharth Trivedi,4,21,1,0,12,24,DC,Sawai Mansingh Stadium,07 May 2013
104,Thisara Perera,4,21,1,0,12,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,07 April 2013
105,Vinay Kumar,4,21,1,0,12,24,DC,M. Chinnaswamy Stadium,16 April 2013
106,Morne Morkel,4,22,1,0,12,24,PBKS,HPCA Stadium,16 May 2013
107,Ishant Sharma,4,22,0,0,12,0,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
108,Siddharth Trivedi,4,23,3,0,12,8,KKR,Sawai Mansingh Stadium,08 April 2013
109,Shane Watson,4,23,0,0,12,0,CSK,Sawai Mansingh Stadium,12 May 2013
110,Jaydev Unadkat,4,24,2,0,12,12,DC,M. Chinnaswamy Stadium,16 April 2013
111,Mitchell Johnson,4,27,0,0,12,0,RCB,Wankhede Stadium,27 April 2013
112,Ravi Rampaul,4,28,2,1,12,12,RR,Sawai Mansingh Stadium,29 April 2013
113,Mohit Sharma,4,28,2,0,12,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
114,Parvinder Awana,4,28,1,0,12,24,DC,HPCA Stadium,16 May 2013
115,Munaf Patel,4,29,3,0,12,8,CSK,Chidambaram,06 April 2013
116,Ravindra Jadeja,4,29,3,0,12,8,MI,Wankhede Stadium,05 May 2013
117,Irfan Pathan,4,29,2,1,12,12,PWI,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
