POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Deepak Chahar,4,20,3,0,20,8,KKR,Chidambaram,09 April 2019
2,Yuzvendra Chahal,4,6,1,1,18,24,CSK,Chidambaram,23 March 2019
3,Imran Tahir,4,9,3,1,18,8,RCB,Chidambaram,23 March 2019
4,Varun Aaron,4,20,2,1,17,12,KKR,Eden Gardens,25 April 2019
5,Deepak Chahar,4,26,3,1,17,8,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
6,Mohammad Nabi,4,11,4,0,16,6,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
7,Shreyas Gopal,4,12,3,1,16,8,RCB,Sawai Mansingh Stadium,02 April 2019
8,Alzarri Joseph,3.4,12,6,1,16,3.66,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
9,Rashid Khan,4,15,2,1,16,12,DC,ACA-VDCA Stadium,08 May 2019
10,Navdeep Saini,4,24,0,0,16,0,CSK,Chidambaram,23 March 2019
11,Deepak Chahar,4,25,2,0,16,12,RCB,M. Chinnaswamy Stadium,21 April 2019
12,Mitchell Santner,4,13,2,0,15,12,MI,Chidambaram,26 April 2019
13,Jofra Archer,4,15,3,0,15,8,PBKS,IS Bindra Stadium,16 April 2019
14,Harbhajan Singh,4,15,2,0,15,12,KKR,Chidambaram,09 April 2019
15,Ravindra Jadeja,4,15,2,1,15,12,RCB,Chidambaram,23 March 2019
16,Axar Patel,4,16,0,0,15,0,CSK,Arun Jaitley Stadium,26 March 2019
17,Ravindra Jadeja,4,17,1,0,15,24,KKR,Chidambaram,09 April 2019
18,Bhuvneshwar Kumar,4,18,1,1,15,24,CSK,Chidambaram,23 April 2019
19,Rahul Chahar,4,19,3,0,15,8,DC,Arun Jaitley Stadium,18 April 2019
20,Moeen Ali,4,19,1,0,15,24,CSK,Chidambaram,23 March 2019
21,Imran Tahir,4,21,2,0,15,12,KKR,Chidambaram,09 April 2019
22,Jason Behrendorff,4,22,2,0,15,12,CSK,Wankhede Stadium,03 April 2019
23,Navdeep Saini,4,24,1,0,15,24,CSK,M. Chinnaswamy Stadium,21 April 2019
24,Shardul Thakur,4,18,2,0,14,12,KKR,Eden Gardens,14 April 2019
25,Ravindra Jadeja,4,18,0,0,14,0,MI,Chidambaram,07 May 2019
26,Jasprit Bumrah,4,20,3,0,14,8,RCB,M. Chinnaswamy Stadium,28 March 2019
27,Hardik Pandya,4,20,3,0,14,8,CSK,Wankhede Stadium,03 April 2019
28,Piyush Chawla,4,20,3,0,14,8,RR,Eden Gardens,25 April 2019
29,Ishant Sharma,4,21,1,1,14,24,KKR,Eden Gardens,12 April 2019
30,Jofra Archer,4,22,1,0,14,24,MI,Sawai Mansingh Stadium,20 April 2019
31,Khaleel Ahmed,4,22,1,0,14,24,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
32,Jasprit Bumrah,4,22,0,1,14,0,RCB,Wankhede Stadium,15 April 2019
33,Bhuvneshwar Kumar,4,22,0,0,14,0,RR,Sawai Mansingh Stadium,27 April 2019
34,Harbhajan Singh,4,25,1,0,14,24,MI,Chidambaram,07 May 2019
35,Deepak Chahar,4,28,0,0,14,0,PBKS,IS Bindra Stadium,05 May 2019
36,Rahul Chahar,4,14,2,0,13,12,CSK,Chidambaram,07 May 2019
37,Jasprit Bumrah,4,14,2,0,13,12,CSK,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
38,Rahul Chahar,4,14,1,0,13,24,CSK,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
39,Jofra Archer,4,17,2,1,13,12,CSK,Chidambaram,31 March 2019
40,Rashid Khan,4,17,2,0,13,12,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
41,Jofra Archer,4,17,0,0,13,0,PBKS,Sawai Mansingh Stadium,25 March 2019
42,Jasprit Bumrah,4,18,2,0,13,12,DC,Arun Jaitley Stadium,18 April 2019
43,Rashid Khan,4,18,1,0,13,24,DC,Arun Jaitley Stadium,04 April 2019
44,Mitchell McClenaghan,4,19,0,1,13,0,KKR,Wankhede Stadium,05 May 2019
45,Piyush Chawla,4,19,0,0,13,0,RR,Sawai Mansingh Stadium,07 April 2019
46,Sandeep Sharma,3.5,19,3,0,13,7.66,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
47,Harbhajan Singh,4,20,3,0,13,8,RCB,Chidambaram,23 March 2019
48,Imran Tahir,4,20,2,0,13,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
49,Mohammad Shami,4,21,3,0,13,8,MI,Wankhede Stadium,10 April 2019
50,Rahul Chahar,4,21,2,0,13,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
51,Shreyas Gopal,4,21,2,0,13,12,DC,Arun Jaitley Stadium,04 May 2019
52,Krunal Pandya,4,21,1,0,13,24,CSK,Chidambaram,07 May 2019
53,Sunil Narine,4,22,0,0,13,0,RR,Sawai Mansingh Stadium,07 April 2019
54,Kagiso Rabada,4,23,2,0,13,12,PBKS,Arun Jaitley Stadium,20 April 2019
55,Harbhajan Singh,4,23,0,0,13,0,MI,Chidambaram,26 April 2019
56,Navdeep Saini,4,23,0,0,13,0,PBKS,IS Bindra Stadium,13 April 2019
57,Navdeep Saini,4,24,2,0,13,12,DC,M. Chinnaswamy Stadium,07 April 2019
58,Yuzvendra Chahal,4,27,2,0,13,12,MI,Wankhede Stadium,15 April 2019
59,Rashid Khan,4,27,1,0,13,24,MI,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
60,Khaleel Ahmed,4,30,3,0,13,8,DC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
61,Marcus Stoinis,4,32,1,0,13,24,KKR,Eden Gardens,19 April 2019
62,Lasith Malinga,4,34,3,0,13,8,CSK,Wankhede Stadium,03 April 2019
63,Ishant Sharma,4,34,2,0,13,12,MI,Wankhede Stadium,24 March 2019
64,Bhuvneshwar Kumar,4,34,1,0,13,24,MI,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
65,Mohammed Siraj,4,38,0,0,13,0,KKR,Eden Gardens,19 April 2019
66,Krunal Pandya,3,7,2,0,12,9,CSK,Chidambaram,26 April 2019
67,Mohammad Nabi,4,13,1,0,12,24,MI,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
68,Jasprit Bumrah,3,10,2,0,12,9,CSK,Chidambaram,26 April 2019
69,Rahul Tewatia,3,10,1,0,12,18,SRH,Arun Jaitley Stadium,04 April 2019
70,Imran Tahir,3.2,12,4,0,12,5,DC,Chidambaram,01 May 2019
71,Axar Patel,4,16,0,0,12,0,RR,Arun Jaitley Stadium,04 May 2019
72,Kuldeep Yadav,4,16,0,0,12,0,CSK,Chidambaram,09 April 2019
73,Deepak Chahar,4,17,0,0,12,0,RCB,Chidambaram,23 March 2019
74,Moeen Ali,4,18,2,0,12,12,MI,Wankhede Stadium,15 April 2019
75,Jofra Archer,3,14,0,0,12,0,KKR,Sawai Mansingh Stadium,07 April 2019
76,Deepak Chahar,4,19,2,1,12,12,RR,Chidambaram,31 March 2019
77,Sunil Narine,4,19,2,1,12,12,CSK,Eden Gardens,14 April 2019
78,Deepak Chahar,4,20,1,0,12,24,DC,Arun Jaitley Stadium,26 March 2019
79,Rashid Khan,4,21,3,0,12,8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
80,Bhuvneshwar Kumar,4,21,0,0,12,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
81,Jasprit Bumrah,4,23,2,0,12,12,RR,Wankhede Stadium,13 April 2019
82,Rashid Khan,4,23,1,0,12,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
83,Prasidh Krishna,4,23,0,0,12,0,CSK,Chidambaram,09 April 2019
84,Bhuvneshwar Kumar,4,24,2,0,12,12,RCB,M. Chinnaswamy Stadium,04 May 2019
85,Mitchell McClenaghan,4,24,0,0,12,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
86,Jasprit Bumrah,3.4,23,0,0,12,0,PBKS,IS Bindra Stadium,30 March 2019
87,Khaleel Ahmed,4,26,0,0,12,0,CSK,Chidambaram,23 April 2019
88,Mohammad Shami,4,27,2,0,12,12,DC,IS Bindra Stadium,01 April 2019
89,Jasprit Bumrah,4,27,0,0,12,0,CSK,Wankhede Stadium,03 April 2019
90,Rahul Chahar,4,27,0,0,12,0,PBKS,Wankhede Stadium,10 April 2019
91,Jofra Archer,4,28,0,0,12,0,KKR,Eden Gardens,25 April 2019
92,Sandeep Lamichhane,4,29,1,0,12,24,KKR,Arun Jaitley Stadium,30 March 2019
93,Ishant Sharma,4,29,1,0,12,24,RR,Sawai Mansingh Stadium,22 April 2019
94,Mohammad Shami,4,30,1,0,12,24,SRH,IS Bindra Stadium,08 April 2019
95,Jasprit Bumrah,4,31,2,0,12,12,KKR,Wankhede Stadium,05 May 2019
96,Navdeep Saini,4,31,1,0,12,24,KKR,Eden Gardens,19 April 2019
97,Navdeep Saini,4,34,2,0,12,12,KKR,M. Chinnaswamy Stadium,05 April 2019
98,Bhuvneshwar Kumar,4,34,0,0,12,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
99,Bhuvneshwar Kumar,4,35,2,0,12,12,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
100,Navdeep Saini,4,35,0,0,12,0,RR,Sawai Mansingh Stadium,02 April 2019
101,Dhawal Kulkarni,4,37,1,0,12,24,CSK,Chidambaram,31 March 2019
102,Ishant Sharma,4,38,3,0,12,8,RR,Arun Jaitley Stadium,04 May 2019
103,Sandeep Lamichhane,4,40,3,0,12,8,PBKS,Arun Jaitley Stadium,20 April 2019
104,Dale Steyn,4,40,2,0,12,12,KKR,Eden Gardens,19 April 2019
105,Navdeep Saini,4,40,0,0,12,0,MI,M. Chinnaswamy Stadium,28 March 2019
106,Bhuvneshwar Kumar,4,42,2,0,12,12,DC,ACA-VDCA Stadium,08 May 2019
107,Krunal Pandya,4,14,0,0,11,0,KKR,Wankhede Stadium,05 May 2019
108,Amit Mishra,4,17,3,0,11,8,RR,Arun Jaitley Stadium,04 May 2019
109,Yuzvendra Chahal,4,17,2,0,11,12,RR,Sawai Mansingh Stadium,02 April 2019
110,Dhawal Kulkarni,3,14,1,1,11,18,CSK,Sawai Mansingh Stadium,11 April 2019
111,Dwayne Bravo,4,19,2,0,11,12,DC,ACA-VDCA Stadium,10 May 2019
112,Jofra Archer,4,19,1,1,11,24,CSK,Sawai Mansingh Stadium,11 April 2019
113,Trent Boult,4,20,1,0,11,24,CSK,ACA-VDCA Stadium,10 May 2019
114,Mohammad Shami,4,21,1,0,11,24,DC,Arun Jaitley Stadium,20 April 2019
115,Rashid Khan,4,21,0,0,11,0,MI,Wankhede Stadium,02 May 2019
116,Siddarth Kaul,3,16,0,0,11,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
117,Rashid Khan,4,22,1,0,11,24,DC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
118,Kagiso Rabada,3.5,22,4,0,11,5.75,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
119,Murugan Ashwin,4,25,2,0,11,12,MI,IS Bindra Stadium,30 March 2019
120,Mitchell Santner,4,25,1,0,11,24,RR,Sawai Mansingh Stadium,11 April 2019
121,Mohammed Siraj,4,25,1,0,11,24,RR,Sawai Mansingh Stadium,02 April 2019
122,Bhuvneshwar Kumar,4,25,0,0,11,0,PBKS,IS Bindra Stadium,08 April 2019
123,Umesh Yadav,4,26,2,0,11,12,MI,M. Chinnaswamy Stadium,28 March 2019
124,Bhuvneshwar Kumar,4,27,2,0,11,12,DC,Arun Jaitley Stadium,04 April 2019
125,Jagadeesha Suchith,4,28,2,0,11,12,CSK,Chidambaram,01 May 2019
126,Jason Behrendorff,4,28,1,0,11,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
127,Ishant Sharma,4,29,0,0,11,0,PBKS,Arun Jaitley Stadium,20 April 2019
128,Sandeep Warrier,4,29,0,0,11,0,MI,Eden Gardens,28 April 2019
129,Deepak Chahar,4,30,1,0,11,24,SRH,Chidambaram,23 April 2019
130,Prasidh Krishna,4,30,0,0,11,0,CSK,Eden Gardens,14 April 2019
131,Mujeeb Ur Rahman,4,31,2,0,11,12,RR,Sawai Mansingh Stadium,25 March 2019
132,Ishant Sharma,4,31,0,0,11,0,RCB,M. Chinnaswamy Stadium,07 April 2019
133,Kagiso Rabada,4,32,2,0,11,12,PBKS,IS Bindra Stadium,01 April 2019
134,Ish Sodhi,3.1,26,3,1,11,6.33,DC,Arun Jaitley Stadium,04 May 2019
135,Deepak Chahar,4,33,2,0,11,12,RR,Sawai Mansingh Stadium,11 April 2019
136,Lasith Malinga,4,35,3,0,11,8,KKR,Wankhede Stadium,05 May 2019
137,Umesh Yadav,4,36,3,0,11,8,PBKS,M. Chinnaswamy Stadium,24 April 2019
138,Hardus Viljoen,4,36,1,0,11,24,KKR,Eden Gardens,27 March 2019
139,Yuzvendra Chahal,4,36,0,0,11,0,DC,M. Chinnaswamy Stadium,07 April 2019
140,Dhawal Kulkarni,4,37,1,0,11,24,PBKS,IS Bindra Stadium,16 April 2019
141,Trent Boult,4,37,0,0,11,0,CSK,Chidambaram,01 May 2019
142,Mohammed Siraj,4,38,2,0,11,12,MI,M. Chinnaswamy Stadium,28 March 2019
143,Umesh Yadav,4,47,2,0,11,12,CSK,M. Chinnaswamy Stadium,21 April 2019
144,Ravichandran Ashwin,4,15,1,0,10,24,RCB,M. Chinnaswamy Stadium,24 April 2019
145,Amit Mishra,4,16,1,0,10,24,SRH,ACA-VDCA Stadium,08 May 2019
146,Keemo Paul,4,17,3,0,10,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
147,Harbhajan Singh,4,17,2,1,10,12,PBKS,Chidambaram,06 April 2019
148,Axar Patel,4,18,1,0,10,24,SRH,Arun Jaitley Stadium,04 April 2019
149,Moeen Ali,4,19,1,0,10,24,PBKS,IS Bindra Stadium,13 April 2019
150,Krishnappa Gowtham,4,19,0,0,10,0,RCB,Sawai Mansingh Stadium,02 April 2019
