POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
88,Kagiso Rabada,4,33,1,1,12,24,CSK,Sharjah Cricket Stadium,17 October 2020
89,Ravi Bishnoi,4,34,0,0,12,0,RR,Sharjah Cricket Stadium,27 September 2020
90,Varun Aaron,4,47,0,0,12,0,PBKS,Zayed Cricket Stadium,30 October 2020
91,Axar Patel,4,14,1,0,11,24,PBKS,Dubai International Stadium,20 September 2020
92,Axar Patel,4,16,0,0,11,0,MI,Dubai International Stadium,10 November 2020
93,Yuzvendra Chahal,4,18,3,0,11,8,SRH,Dubai International Stadium,21 September 2020
94,Rahul Tewatia,4,18,1,0,11,24,CSK,Zayed Cricket Stadium,19 October 2020
95,Ravichandran Ashwin,4,18,0,0,11,0,MI,Dubai International Stadium,31 October 2020
96,Shahbaz Nadeem,4,19,2,0,11,12,MI,Sharjah Cricket Stadium,03 November 2020
97,Pat Cummins,4,19,1,0,11,24,SRH,Zayed Cricket Stadium,26 September 2020
98,Ravi Bishnoi,4,20,2,1,11,12,KKR,Sharjah Cricket Stadium,26 October 2020
99,Rahul Tewatia,4,20,1,0,11,24,DC,Sharjah Cricket Stadium,09 October 2020
100,Jofra Archer,4,20,1,0,11,24,CSK,Zayed Cricket Stadium,19 October 2020
101,Kagiso Rabada,4,21,2,0,11,12,SRH,Zayed Cricket Stadium,29 September 2020
102,Piyush Chawla,4,21,1,0,11,24,MI,Zayed Cricket Stadium,19 September 2020
103,Krunal Pandya,4,22,1,0,11,24,DC,Dubai International Stadium,05 November 2020
104,Rashid Khan,4,22,1,0,11,24,MI,Sharjah Cricket Stadium,04 October 2020
105,Rashid Khan,4,22,0,0,11,0,RCB,Zayed Cricket Stadium,06 November 2020
106,Krunal Pandya,4,23,0,0,11,0,KKR,Zayed Cricket Stadium,16 October 2020
107,Jofra Archer,4,24,3,0,11,8,DC,Sharjah Cricket Stadium,09 October 2020
108,Sam Curran,3,18,1,0,11,18,SRH,Dubai International Stadium,13 October 2020
109,Rahul Tewatia,4,25,3,0,11,8,KKR,Dubai International Stadium,01 November 2020
110,Chris Jordan,4,25,2,0,11,12,KKR,Sharjah Cricket Stadium,26 October 2020
111,Pat Cummins,4,25,0,0,11,0,CSK,Zayed Cricket Stadium,07 October 2020
112,Bhuvneshwar Kumar,4,25,0,0,11,0,RCB,Dubai International Stadium,21 September 2020
113,T Natarajan,3.5,24,2,0,11,11.5,PBKS,Dubai International Stadium,08 October 2020
114,Kagiso Rabada,4,26,3,0,11,8,CSK,Dubai International Stadium,25 September 2020
115,T Natarajan,4,26,2,0,11,12,DC,Dubai International Stadium,27 October 2020
116,Rahul Chahar,4,26,2,0,11,12,KKR,Zayed Cricket Stadium,23 September 2020
117,Sandeep Sharma,4,27,2,0,11,12,DC,Dubai International Stadium,27 October 2020
118,Trent Boult,4,28,2,0,11,12,SRH,Sharjah Cricket Stadium,04 October 2020
