POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Bhuvneshwar Kumar,4,16,2,0,18,12,RCB,M. Chinnaswamy Stadium,04 May 2014
2,Harbhajan Singh,4,13,2,0,17,12,RR,Narendra Modi Stadium,19 May 2014
3,Bhuvneshwar Kumar,4,14,4,0,17,6,RR,Narendra Modi Stadium,08 May 2014
4,Ravichandran Ashwin,4,16,2,1,17,12,RCB,JSCA Stadium,18 May 2014
5,Wayne Parnell,4,17,1,0,17,24,MI,Sharjah Cricket Stadium,27 April 2014
6,Mitchell Starc,4,15,0,0,16,0,PBKS,Dubai International Stadium,28 April 2014
7,Morne Morkel,4,16,1,0,16,24,MI,Zayed Cricket Stadium,16 April 2014
8,Bhuvneshwar Kumar,4,17,2,0,16,12,MI,Dubai International Stadium,30 April 2014
9,Morne Morkel,4,20,2,0,16,12,PBKS,Barabati Stadium,11 May 2014
10,Praveen Kumar,4,20,1,0,16,24,PBKS,IS Bindra Stadium,21 May 2014
11,Sandeep Sharma,4,21,3,1,16,8,KKR,Zayed Cricket Stadium,26 April 2014
12,Umesh Yadav,4,13,3,0,15,8,PBKS,Eden Gardens,28 May 2014
13,Bhuvneshwar Kumar,4,19,3,0,15,8,PBKS,Sharjah Cricket Stadium,22 April 2014
14,Samuel Badree,4,19,1,0,15,24,RR,JSCA Stadium,13 May 2014
15,Dale Steyn,4,20,2,0,15,12,MI,Dubai International Stadium,30 April 2014
16,Sandeep Sharma,4,25,3,0,15,8,RCB,M. Chinnaswamy Stadium,09 May 2014
17,Morne Morkel,4,32,1,1,15,24,SRH,Eden Gardens,24 May 2014
18,Ishwar Pandey,4,34,1,0,15,24,MI,Wankhede Stadium,10 May 2014
19,Ravindra Jadeja,4,12,4,0,14,6,KKR,JSCA Stadium,02 May 2014
20,Mohit Sharma,4,14,4,0,14,6,MI,Dubai International Stadium,25 April 2014
21,Karn Sharma,4,17,3,0,14,8,RCB,M. Chinnaswamy Stadium,04 May 2014
22,Lasith Malinga,4,17,2,0,14,12,DC,Sharjah Cricket Stadium,27 April 2014
23,Sunil Narine,4,17,1,0,14,24,RCB,Sharjah Cricket Stadium,24 April 2014
24,Pravin Tambe,4,20,4,0,14,6,RCB,Zayed Cricket Stadium,26 April 2014
25,Morne Morkel,4,21,0,0,14,0,RCB,Eden Gardens,22 May 2014
26,Ishwar Pandey,4,22,1,1,14,24,RR,Dubai International Stadium,23 April 2014
27,Axar Patel,4,22,1,0,14,24,RR,Sharjah Cricket Stadium,20 April 2014
28,Morne Morkel,4,23,2,0,14,12,PBKS,Eden Gardens,28 May 2014
29,Mitchell Starc,4,29,2,0,14,12,RR,Zayed Cricket Stadium,26 April 2014
30,Mohammad Shami,4,30,1,0,14,24,RCB,Sharjah Cricket Stadium,17 April 2014
31,Morne Morkel,4,35,2,0,14,12,MI,Barabati Stadium,14 May 2014
32,Axar Patel,4,11,2,1,13,12,KKR,Eden Gardens,28 May 2014
33,Amit Mishra,4,13,0,0,13,0,RR,Narendra Modi Stadium,08 May 2014
34,Varun Aaron,4,16,3,0,13,8,KKR,Sharjah Cricket Stadium,24 April 2014
35,Ravi Rampaul,4,16,0,0,13,0,RR,Zayed Cricket Stadium,26 April 2014
36,Sunil Narine,4,20,4,0,13,6,MI,Zayed Cricket Stadium,16 April 2014
37,Sunil Narine,4,21,1,0,13,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
38,Shakib Al Hasan,4,21,1,0,13,24,MI,Barabati Stadium,14 May 2014
39,Yuzvendra Chahal,3,17,1,1,13,18,RR,Zayed Cricket Stadium,26 April 2014
40,Ishwar Pandey,4,23,2,0,13,12,DC,Zayed Cricket Stadium,21 April 2014
41,Jasprit Bumrah,4,25,0,0,13,0,PBKS,Wankhede Stadium,03 May 2014
42,Morne Morkel,4,26,1,0,13,24,PBKS,Zayed Cricket Stadium,26 April 2014
43,Muttiah Muralitharan,4,26,0,0,13,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
44,Mohit Sharma,4,31,3,0,13,8,RR,JSCA Stadium,13 May 2014
45,Ben Hilfenhaus,4,34,1,0,13,24,DC,Arun Jaitley Stadium,05 May 2014
46,Varun Aaron,3,9,1,1,12,18,DC,Sharjah Cricket Stadium,17 April 2014
47,Lakshmipathy Balaji,4,13,4,0,12,6,SRH,Sharjah Cricket Stadium,22 April 2014
48,Shakib Al Hasan,4,13,1,0,12,24,DC,Arun Jaitley Stadium,07 May 2014
49,Ashok Dinda,4,14,1,0,12,24,MI,Dubai International Stadium,19 April 2014
50,Harbhajan Singh,4,14,0,0,12,0,RCB,Dubai International Stadium,19 April 2014
51,Karanveer Singh,4,16,2,0,12,12,RR,IS Bindra Stadium,23 May 2014
52,Axar Patel,4,18,1,1,12,24,DC,Arun Jaitley Stadium,19 May 2014
53,Mitchell Johnson,4,19,2,0,12,12,RCB,Dubai International Stadium,28 April 2014
