POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Rashid Khan,4,13,1,0,18,24,MI,Rajiv Gandhi Intl. Cricket Stadium,12 April 2018
2,Ankit Rajpoot,4,19,2,1,18,12,CSK,Maharashtra Cricket Association's International Stadium,20 May 2018
3,Ankit Rajpoot,4,14,5,0,17,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
4,Deepak Chahar,4,15,3,1,17,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
5,Lungi Ngidi,4,10,4,1,16,6,PBKS,Maharashtra Cricket Association's International Stadium,20 May 2018
6,Rashid Khan,4,11,2,1,16,12,MI,Wankhede Stadium,24 April 2018
7,Bhuvneshwar Kumar,4,17,0,1,16,0,CSK,Wankhede Stadium,27 May 2018
8,Andrew Tye,4,16,4,0,15,6,MI,Wankhede Stadium,16 May 2018
9,Billy Stanlake,4,21,2,0,15,12,KKR,Eden Gardens,14 April 2018
10,Umesh Yadav,4,23,3,0,15,8,PBKS,Holkar Cricket Stadium,14 May 2018
11,Ankit Rajpoot,4,23,2,0,15,12,DC,Arun Jaitley Stadium,23 April 2018
12,Lungi Ngidi,4,24,1,0,15,24,RCB,Maharashtra Cricket Association's International Stadium,05 May 2018
13,Chris Woakes,4,36,3,0,15,8,KKR,Eden Gardens,08 April 2018
14,Rashid Khan,4,11,2,0,14,12,CSK,Wankhede Stadium,22 May 2018
15,Sandeep Sharma,3,9,1,0,14,18,MI,Wankhede Stadium,24 April 2018
16,Ravindra Jadeja,4,13,1,0,14,24,SRH,Wankhede Stadium,22 May 2018
17,Ben Stokes,4,15,3,1,14,8,KKR,Eden Gardens,15 May 2018
18,Sandeep Sharma,4,15,1,0,14,24,RR,Sawai Mansingh Stadium,29 April 2018
19,Jofra Archer,4,16,2,0,14,12,MI,Wankhede Stadium,13 May 2018
20,Deepak Chahar,4,16,1,0,14,24,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
21,Shardul Thakur,4,22,1,0,14,24,RR,Sawai Mansingh Stadium,11 May 2018
22,Yuzvendra Chahal,4,23,0,0,14,0,MI,M. Chinnaswamy Stadium,01 May 2018
23,Tim Southee,4,25,2,0,14,12,MI,M. Chinnaswamy Stadium,01 May 2018
24,Sandeep Sharma,4,17,2,0,13,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
25,Kuldeep Yadav,4,18,1,0,13,24,RR,Eden Gardens,23 May 2018
26,Amit Mishra,4,19,3,0,13,8,MI,Arun Jaitley Stadium,20 May 2018
27,Hardik Pandya,4,19,2,0,13,12,KKR,Wankhede Stadium,06 May 2018
28,Umesh Yadav,3,15,2,0,13,9,CSK,Maharashtra Cricket Association's International Stadium,05 May 2018
29,Jofra Archer,4,22,3,0,13,8,MI,Sawai Mansingh Stadium,22 April 2018
30,Siddarth Kaul,4,23,3,0,13,8,MI,Wankhede Stadium,24 April 2018
31,Umesh Yadav,4,23,3,0,13,8,PBKS,M. Chinnaswamy Stadium,13 April 2018
32,Sandeep Sharma,4,25,2,0,13,12,MI,Rajiv Gandhi Intl. Cricket Stadium,12 April 2018
33,Bhuvneshwar Kumar,4,26,3,0,13,8,KKR,Eden Gardens,14 April 2018
34,Siddarth Kaul,4,26,2,0,13,12,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
35,Umesh Yadav,4,27,2,0,13,12,KKR,Eden Gardens,08 April 2018
36,Trent Boult,4,29,2,1,13,12,KKR,Eden Gardens,16 April 2018
37,Mitchell McClenaghan,4,34,1,0,13,24,RCB,M. Chinnaswamy Stadium,01 May 2018
38,Billy Stanlake,4,42,2,0,13,12,MI,Rajiv Gandhi Intl. Cricket Stadium,12 April 2018
39,Ish Sodhi,4,14,1,0,12,24,PBKS,Sawai Mansingh Stadium,08 May 2018
40,Krunal Pandya,3.1,12,2,0,12,9.5,KKR,Eden Gardens,09 May 2018
41,Liam Plunkett,4,17,3,0,12,8,PBKS,Arun Jaitley Stadium,23 April 2018
42,Bhuvneshwar Kumar,3.1,14,1,0,12,19,CSK,Wankhede Stadium,22 May 2018
43,Deepak Chahar,3,14,1,0,12,18,MI,Wankhede Stadium,07 April 2018
44,Rashid Khan,4,19,3,0,12,8,KKR,Eden Gardens,25 May 2018
45,Mustafizur Rahman,3.4,18,1,0,12,22,SRH,Wankhede Stadium,24 April 2018
46,Shreyas Gopal,4,20,3,0,12,8,CSK,Maharashtra Cricket Association's International Stadium,20 April 2018
47,Trent Boult,4,20,2,0,12,12,CSK,Arun Jaitley Stadium,18 May 2018
48,Amit Mishra,4,20,2,0,12,12,CSK,Arun Jaitley Stadium,18 May 2018
49,Yuzvendra Chahal,4,22,2,0,12,12,RR,M. Chinnaswamy Stadium,15 April 2018
50,Murugan Ashwin,3,17,1,0,12,18,CSK,Maharashtra Cricket Association's International Stadium,05 May 2018
51,Krishnappa Gowtham,4,23,2,0,12,12,KKR,Sawai Mansingh Stadium,18 April 2018
52,Umesh Yadav,4,23,1,0,12,24,CSK,M. Chinnaswamy Stadium,25 April 2018
53,Hardik Pandya,4,24,3,0,12,8,CSK,Wankhede Stadium,07 April 2018
54,David Willey,4,24,1,0,12,24,RCB,Maharashtra Cricket Association's International Stadium,05 May 2018
55,Mohammed Siraj,4,25,3,0,12,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,07 May 2018
56,Umesh Yadav,4,25,3,1,12,8,RR,Sawai Mansingh Stadium,19 May 2018
57,Mujeeb Ur Rahman,4,25,2,0,12,12,DC,Arun Jaitley Stadium,23 April 2018
58,Jasprit Bumrah,4,25,0,0,12,0,CSK,Maharashtra Cricket Association's International Stadium,28 April 2018
59,Dhawal Kulkarni,2.5,18,0,0,12,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,09 April 2018
60,Lungi Ngidi,4,26,1,0,12,24,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
61,Jaydev Unadkat,4,26,0,0,12,0,PBKS,Holkar Cricket Stadium,06 May 2018
62,Rashid Khan,4,27,3,0,12,8,RCB,M. Chinnaswamy Stadium,17 May 2018
63,Jasprit Bumrah,4,28,2,0,12,12,RCB,Wankhede Stadium,17 April 2018
64,Mitchell McClenaghan,4,28,0,0,12,0,RR,Wankhede Stadium,13 May 2018
65,Avesh Khan,4,29,2,0,12,12,KKR,Arun Jaitley Stadium,27 April 2018
66,Shane Watson,4,29,2,0,12,12,MI,Wankhede Stadium,07 April 2018
