POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Lockie Ferguson,4,7,2,1,17,12,RCB,Maharashtra Cricket Association's International Stadium,29 April 2017
2,Pawan Negi,4,21,1,0,17,24,GL,Saurashtra Cricket Association Stadium,18 April 2017
3,Samuel Badree,4,9,4,1,16,6,MI,M. Chinnaswamy Stadium,14 April 2017
4,Krunal Pandya,4,14,3,0,16,8,GL,Saurashtra Cricket Association Stadium,29 April 2017
5,Shardul Thakur,4,19,3,0,16,8,PBKS,Maharashtra Cricket Association's International Stadium,14 May 2017
6,Chris Morris,4,21,3,0,16,8,RCB,M. Chinnaswamy Stadium,08 April 2017
7,Glenn Maxwell,4,12,1,0,15,24,DC,IS Bindra Stadium,30 April 2017
8,Mohammad Nabi,4,13,1,0,15,24,MI,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
9,Washington Sundar,4,13,0,0,15,0,MI,Rajiv Gandhi Intl. Cricket Stadium,21 May 2017
10,Harbhajan Singh,4,22,3,0,15,8,DC,Arun Jaitley Stadium,06 May 2017
11,Sandeep Sharma,4,22,3,0,15,8,RCB,M. Chinnaswamy Stadium,05 May 2017
12,Sandeep Sharma,4,26,1,0,15,24,RCB,Holkar Cricket Stadium,10 April 2017
13,Jaydev Unadkat,4,28,2,1,15,12,KKR,Eden Gardens,03 May 2017
14,Jasprit Bumrah,3,7,3,1,14,6,KKR,M. Chinnaswamy Stadium,19 May 2017
15,Jaydev Unadkat,3,12,2,1,14,9,PBKS,Maharashtra Cricket Association's International Stadium,14 May 2017
16,Bhuvneshwar Kumar,4,19,5,0,14,4.8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
17,Sunil Narine,4,19,1,0,14,24,PBKS,Eden Gardens,13 April 2017
18,Sandeep Sharma,4,20,4,0,14,6,DC,IS Bindra Stadium,30 April 2017
19,Harbhajan Singh,4,23,2,0,14,12,SRH,Wankhede Stadium,12 April 2017
20,Mitchell Johnson,4,23,0,1,14,0,DC,Wankhede Stadium,22 April 2017
21,Karn Sharma,3.4,11,3,0,13,7.33,DC,Arun Jaitley Stadium,06 May 2017
22,Axar Patel,4,12,1,0,13,24,RCB,Holkar Cricket Stadium,10 April 2017
23,Washington Sundar,4,16,3,0,13,8,MI,Wankhede Stadium,16 May 2017
