POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Morne Morkel,4,32,1,0,18,24,PBKS,Arun Jaitley Stadium,23 April 2011
2,Rahul Sharma,4,7,2,0,17,12,MI,DY Patil Stadium,04 May 2011
3,Rahul Sharma,4,13,3,1,17,8,RR,Sawai Mansingh Stadium,01 May 2011
4,RP Singh,4,17,1,0,17,24,RR,Holkar Cricket Stadium,15 May 2011
5,Munaf Patel,4,18,2,1,17,12,RR,Sawai Mansingh Stadium,29 April 2011
6,Praveen Kumar,4,19,2,1,17,12,MI,IS Bindra Stadium,10 May 2011
7,Amit Mishra,4,9,4,1,16,6,PBKS,HPCA Stadium,21 May 2011
8,Brad Hodge,4,13,4,0,16,6,RR,Holkar Cricket Stadium,15 May 2011
9,Lasith Malinga,3.4,13,5,1,16,4.4,DC,Arun Jaitley Stadium,10 April 2011
10,Ishant Sharma,4,16,2,0,16,12,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
11,Shanthakumaran Sreesanth,4,16,2,0,16,12,RR,Holkar Cricket Stadium,15 May 2011
12,Pragyan Ojha,4,16,0,0,16,0,MI,Wankhede Stadium,14 May 2011
13,Dale Steyn,4,18,2,0,16,12,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
14,Amit Singh,4,18,1,1,16,24,DC,Sawai Mansingh Stadium,12 April 2011
15,Dale Steyn,3.3,16,3,1,16,7,KTK,Jawaharlal Nehru Stadium,27 April 2011
16,Wayne Parnell,4,20,1,0,16,24,PBKS,DY Patil Stadium,10 April 2011
17,Shanthakumaran Sreesanth,4,22,0,1,16,0,DEC,Jawaharlal Nehru Stadium,27 April 2011
18,RP Singh,4,25,4,0,16,6,PBKS,Holkar Cricket Stadium,13 May 2011
19,Brett Lee,4,8,0,0,15,0,CSK,Eden Gardens,07 May 2011
20,Shanthakumaran Sreesanth,4,10,2,1,15,12,DC,Jawaharlal Nehru Stadium,30 April 2011
21,Amit Singh,4,14,2,0,15,12,MI,Sawai Mansingh Stadium,29 April 2011
22,Daniel Vettori,4,15,2,0,15,12,CSK,M. Chinnaswamy Stadium,22 May 2011
23,Piyush Chawla,4,17,4,0,15,6,RCB,HPCA Stadium,17 May 2011
24,Shane Warne,4,17,2,0,15,12,DC,Sawai Mansingh Stadium,12 April 2011
25,Praveen Kumar,4,17,1,1,15,24,PWI,IS Bindra Stadium,08 May 2011
26,Zaheer Khan,4,19,2,1,15,12,CSK,M. Chinnaswamy Stadium,22 May 2011
27,Albie Morkel,4,19,1,1,15,24,MI,Wankhede Stadium,22 April 2011
28,Irfan Pathan,4,23,1,1,15,24,MI,Wankhede Stadium,07 May 2011
29,RP Singh,4,24,1,0,15,24,CSK,Jawaharlal Nehru Stadium,18 April 2011
30,Zaheer Khan,4,31,2,0,15,12,CSK,Wankhede Stadium,24 May 2011
31,Praveen Kumar,4,32,1,1,15,24,DC,HPCA Stadium,15 May 2011
32,Sreenath Aravind,4,14,4,0,14,6,PBKS,M. Chinnaswamy Stadium,06 May 2011
33,Amit Mishra,4,14,2,0,14,12,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
34,Raiphi Gomez,4,14,2,1,14,12,KKR,Jawaharlal Nehru Stadium,05 May 2011
35,Ali Murtaza,4,15,0,0,14,0,RR,Sawai Mansingh Stadium,29 April 2011
36,Piyush Chawla,4,16,3,0,14,8,DC,HPCA Stadium,15 May 2011
37,Alfonso Thomas,4,16,1,0,14,24,MI,Wankhede Stadium,20 April 2011
38,Ryan Harris,4,16,1,0,14,24,DC,HPCA Stadium,15 May 2011
39,Roelof van der Merwe,4,16,0,0,14,0,MI,Arun Jaitley Stadium,10 April 2011
40,Ankeet Chavan,4,17,0,0,14,0,MI,Wankhede Stadium,20 May 2011
41,Dan Christian,3,13,2,0,14,9,PWI,DY Patil Stadium,16 May 2011
42,Jacques Kallis,4,18,2,0,14,12,MI,Wankhede Stadium,25 May 2011
43,Iqbal Abdulla,4,19,2,0,14,12,PBKS,Eden Gardens,30 April 2011
44,Sreenath Aravind,4,20,2,0,14,12,CSK,M. Chinnaswamy Stadium,22 May 2011
45,Lasith Malinga,4,20,1,0,14,24,RR,Sawai Mansingh Stadium,29 April 2011
46,Doug Bollinger,4,21,3,1,14,8,PWI,DY Patil Stadium,27 April 2011
47,Ishant Sharma,4,21,1,0,14,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
48,Chris Gayle,4,26,1,0,14,24,KTK,M. Chinnaswamy Stadium,08 May 2011
49,Varun Aaron,4,26,0,0,14,0,PBKS,HPCA Stadium,15 May 2011
50,P Parameswaran,4,29,2,0,14,12,DC,Arun Jaitley Stadium,02 May 2011
51,Johan van der Wath,4,30,1,0,14,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
52,Pragyan Ojha,4,35,2,0,14,12,PWI,DY Patil Stadium,16 May 2011
53,Lasith Malinga,4,9,3,0,13,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
54,Morne Morkel,4,11,1,0,13,24,RR,Sawai Mansingh Stadium,12 April 2011
55,Wayne Parnell,4,12,2,0,13,12,PBKS,IS Bindra Stadium,08 May 2011
56,Shane Warne,4,13,1,0,13,24,MI,Sawai Mansingh Stadium,29 April 2011
57,Praveen Kumar,3,11,0,1,13,0,RCB,HPCA Stadium,17 May 2011
58,Siddharth Trivedi,4,15,3,0,13,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
59,Iqbal Abdulla,4,15,1,0,13,24,CSK,Eden Gardens,07 May 2011
60,Shakib Al Hasan,4,16,2,0,13,12,PWI,DY Patil Stadium,19 May 2011
61,Ali Murtaza,4,18,2,0,13,12,PWI,Wankhede Stadium,20 April 2011
62,Rahul Sharma,4,18,1,0,13,24,KTK,DY Patil Stadium,13 April 2011
63,Rajat Bhatia,4,18,0,0,13,0,PBKS,Eden Gardens,30 April 2011
64,Sreenath Aravind,4,20,2,0,13,12,KTK,M. Chinnaswamy Stadium,08 May 2011
65,Munaf Patel,4,21,5,0,13,4.8,PBKS,IS Bindra Stadium,10 May 2011
66,Shane Warne,4,21,2,0,13,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
67,Ali Murtaza,4,21,1,0,13,24,DC,Arun Jaitley Stadium,10 April 2011
68,Lakshmipathy Balaji,4,23,0,0,13,0,KTK,Eden Gardens,20 April 2011
69,Dale Steyn,4,24,3,0,13,8,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
70,Jaydev Unadkat,4,24,1,0,13,24,DC,Arun Jaitley Stadium,28 April 2011
71,Lasith Malinga,4,25,3,0,13,8,PWI,DY Patil Stadium,04 May 2011
72,Morne Morkel,4,25,3,0,13,8,RCB,Arun Jaitley Stadium,26 April 2011
73,Ryan Harris,4,25,1,0,13,24,CSK,IS Bindra Stadium,13 April 2011
74,Ryan Harris,4,26,1,0,13,24,PWI,IS Bindra Stadium,08 May 2011
75,Harmeet Singh Bansal,4,27,2,0,13,12,DC,Arun Jaitley Stadium,19 April 2011
76,Shaun Tait,3.5,29,1,0,13,23,KKR,Eden Gardens,17 April 2011
77,Zaheer Khan,4,36,0,0,13,0,MI,M. Chinnaswamy Stadium,12 April 2011
78,Ishant Sharma,3,12,5,0,12,3.6,KTK,Jawaharlal Nehru Stadium,27 April 2011
79,Ravichandran Ashwin,3,12,2,0,12,9,KKR,Eden Gardens,07 May 2011
80,Rahul Sharma,4,17,2,0,12,12,PBKS,IS Bindra Stadium,08 May 2011
81,Lasith Malinga,4,17,1,0,12,24,DEC,Wankhede Stadium,14 May 2011
82,Morne Morkel,4,18,3,0,12,8,KTK,Jawaharlal Nehru Stadium,30 April 2011
83,Ravichandran Ashwin,4,18,1,0,12,24,RCB,M. Chinnaswamy Stadium,22 May 2011
84,Shane Watson,4,19,3,0,12,8,MI,Wankhede Stadium,20 May 2011
85,Ravichandran Ashwin,4,19,2,1,12,12,PWI,Chidambaram,25 April 2011
86,Ravichandran Ashwin,4,19,2,0,12,12,DC,Chidambaram,12 May 2011
87,Yusuf Pathan,4,20,3,1,12,8,KTK,Eden Gardens,20 April 2011
88,Lasith Malinga,4,20,2,0,12,12,CSK,Wankhede Stadium,22 April 2011
89,Syed Mohammad,4,20,1,0,12,24,KKR,Eden Gardens,22 April 2011
90,Shane Watson,4,20,0,0,12,0,KKR,Eden Gardens,17 April 2011
91,Dhawal Kulkarni,4,20,0,0,12,0,PWI,DY Patil Stadium,04 May 2011
92,RP Singh,4,21,2,0,12,12,DEC,Jawaharlal Nehru Stadium,27 April 2011
93,Dwayne Bravo,4,21,0,0,12,0,RCB,M. Chinnaswamy Stadium,22 May 2011
94,Lasith Malinga,3.2,18,2,1,12,10,DC,Wankhede Stadium,07 May 2011
95,Doug Bollinger,4,22,3,0,12,8,RR,Sawai Mansingh Stadium,09 May 2011
96,Johan Botha,4,23,1,0,12,24,CSK,Sawai Mansingh Stadium,09 May 2011
97,Johan Botha,4,23,1,0,12,24,PWI,Sawai Mansingh Stadium,01 May 2011
98,Ishant Sharma,4,23,0,0,12,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
99,Iqbal Abdulla,4,24,3,0,12,8,DEC,Eden Gardens,11 April 2011
100,Harbhajan Singh,4,24,2,0,12,12,DC,Wankhede Stadium,07 May 2011
101,Yusuf Pathan,4,24,1,0,12,24,PBKS,Eden Gardens,30 April 2011
102,Dale Steyn,4,24,0,0,12,0,DC,Arun Jaitley Stadium,19 April 2011
103,Jaydev Unadkat,4,25,2,0,12,12,KTK,Jawaharlal Nehru Stadium,05 May 2011
104,Iqbal Abdulla,4,26,1,0,12,24,MI,Eden Gardens,22 May 2011
105,Shalabh Srivastava,3,20,2,0,12,9,PWI,IS Bindra Stadium,08 May 2011
106,Zaheer Khan,4,27,1,0,12,24,DC,Arun Jaitley Stadium,26 April 2011
107,Irfan Pathan,4,28,3,0,12,8,PBKS,HPCA Stadium,15 May 2011
108,Amit Mishra,4,28,2,0,12,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
109,Lasith Malinga,4,28,2,0,12,12,PWI,Wankhede Stadium,20 April 2011
110,Irfan Pathan,4,28,1,0,12,24,DEC,Arun Jaitley Stadium,19 April 2011
111,Vinay Kumar,3.4,26,1,0,12,22,RCB,Jawaharlal Nehru Stadium,09 April 2011
112,Yuvraj Singh,4,29,4,0,12,6,DC,DY Patil Stadium,17 April 2011
113,Doug Bollinger,4,30,2,0,12,12,MI,Wankhede Stadium,22 April 2011
114,Dale Steyn,4,30,0,0,12,0,PWI,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
115,Amit Mishra,3.2,26,1,0,12,20,PWI,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
116,Irfan Pathan,3,26,1,1,12,18,PBKS,Arun Jaitley Stadium,23 April 2011
117,Praveen Kumar,4,37,2,1,12,12,CSK,IS Bindra Stadium,13 April 2011
118,Praveen Kumar,4,37,0,0,12,0,RCB,M. Chinnaswamy Stadium,06 May 2011
119,Amit Mishra,4,12,1,0,11,24,KTK,Jawaharlal Nehru Stadium,27 April 2011
120,Jesse Ryder,3,9,1,1,11,18,PBKS,DY Patil Stadium,10 April 2011
121,Shane Warne,4,16,3,0,11,8,KTK,Sawai Mansingh Stadium,24 April 2011
122,Irfan Pathan,4,16,1,0,11,24,KKR,Arun Jaitley Stadium,28 April 2011
123,Iqbal Abdulla,3,12,1,0,11,18,PWI,DY Patil Stadium,19 May 2011
124,Suresh Raina,4,16,0,0,11,0,DC,Chidambaram,12 May 2011
125,Dan Christian,3,12,0,0,11,0,KTK,Jawaharlal Nehru Stadium,27 April 2011
126,Daniel Vettori,4,17,1,0,11,24,KTK,Jawaharlal Nehru Stadium,09 April 2011
127,Dale Steyn,3,13,1,0,11,18,PBKS,HPCA Stadium,21 May 2011
128,Daniel Vettori,4,18,0,0,11,0,MI,M. Chinnaswamy Stadium,12 April 2011
129,Harbhajan Singh,3,14,2,0,11,9,DC,Arun Jaitley Stadium,10 April 2011
130,Siddharth Trivedi,4,19,3,0,11,8,KTK,Sawai Mansingh Stadium,24 April 2011
131,Amit Mishra,4,19,2,0,11,12,KKR,Eden Gardens,11 April 2011
132,Doug Bollinger,4,20,1,0,11,24,RCB,Wankhede Stadium,24 May 2011
133,Varun Aaron,4,20,1,0,11,24,CSK,Chidambaram,12 May 2011
134,Shrikant Wagh,3,16,3,0,11,6,PBKS,DY Patil Stadium,10 April 2011
135,Shaun Tait,4,22,3,1,11,8,PBKS,IS Bindra Stadium,21 April 2011
136,Praveen Kumar,4,22,2,0,11,12,RR,IS Bindra Stadium,21 April 2011
137,Bhargav Bhatt,4,22,2,0,11,12,KKR,Eden Gardens,30 April 2011
138,Morne Morkel,4,22,1,0,11,24,PBKS,HPCA Stadium,15 May 2011
139,Bipul Sharma,4,22,1,0,11,24,MI,Wankhede Stadium,02 May 2011
140,P Parameswaran,3.3,20,2,0,11,10.5,RR,Holkar Cricket Stadium,15 May 2011
141,Alfonso Thomas,4,23,2,0,11,12,RCB,M. Chinnaswamy Stadium,29 April 2011
142,JP Duminy,4,23,1,0,11,24,PBKS,HPCA Stadium,21 May 2011
143,Ravichandran Ashwin,4,23,1,0,11,24,RCB,Chidambaram,16 April 2011
144,Suraj Randiv,4,23,0,0,11,0,PWI,Chidambaram,25 April 2011
145,Albie Morkel,4,24,2,0,11,12,RR,Chidambaram,04 May 2011
146,Dale Steyn,4,24,2,0,11,12,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
147,Piyush Chawla,4,24,1,0,11,24,RR,IS Bindra Stadium,21 April 2011
148,Shanthakumaran Sreesanth,4,24,1,0,11,24,DC,Arun Jaitley Stadium,02 May 2011
149,Brett Lee,4,24,0,0,11,0,DC,Arun Jaitley Stadium,28 April 2011
150,Ishant Sharma,4,24,0,0,11,0,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
