POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Dirk Nannes,4,12,2,0,18,12,PBKS,IS Bindra Stadium,13 March 2010
2,Ravichandran Ashwin,4,13,2,0,18,12,DEC,Vidarbha Cricket Association Stadium,10 April 2010
3,Doug Bollinger,4,13,4,1,17,6,DEC,DY Patil Stadium,22 April 2010
4,Doug Bollinger,4,15,2,1,17,12,KKR,Chidambaram,13 April 2010
5,Ramesh Powar,4,25,0,0,17,0,DC,Arun Jaitley Stadium,11 April 2010
6,Dale Steyn,4,15,1,0,16,24,RR,Sawai Mansingh Stadium,14 April 2010
7,Sanath Jayasuriya,4,17,2,0,16,12,DC,Arun Jaitley Stadium,17 March 2010
8,Ravichandran Ashwin,4,14,1,0,15,24,DEC,DY Patil Stadium,22 April 2010
9,Dale Steyn,3,11,1,1,15,18,DEC,DY Patil Stadium,24 April 2010
10,Ravichandran Ashwin,4,16,3,0,15,8,KKR,Chidambaram,13 April 2010
11,Muttiah Muralitharan,4,16,3,0,15,8,PBKS,Chidambaram,21 March 2010
12,Praveen Kumar,4,18,3,0,15,8,RR,M. Chinnaswamy Stadium,18 March 2010
13,Shane Bond,4,20,1,1,15,24,RR,Eden Gardens,17 April 2010
14,Doug Bollinger,4,15,2,0,14,12,RR,Chidambaram,03 April 2010
15,Piyush Chawla,4,16,2,0,14,12,DC,Arun Jaitley Stadium,11 April 2010
16,Shadab Jakati,4,17,2,1,14,12,RCB,Chidambaram,31 March 2010
17,Zaheer Khan,4,17,2,1,14,12,RR,Sawai Mansingh Stadium,11 April 2010
18,Anil Kumble,4,17,1,0,14,24,KKR,M. Chinnaswamy Stadium,10 April 2010
19,Nayan Doshi,4,17,1,0,14,24,DEC,DY Patil Stadium,24 April 2010
20,Dale Steyn,4,18,0,0,14,0,RR,M. Chinnaswamy Stadium,18 March 2010
21,Anil Kumble,4,19,0,0,14,0,KKR,Eden Gardens,14 March 2010
22,Ramesh Powar,4,22,1,0,14,24,CSK,Chidambaram,21 March 2010
23,Dale Steyn,4,26,3,0,14,8,MI,Brabourne Stadium,20 March 2010
24,Zaheer Khan,4,27,2,0,14,12,KKR,Brabourne Stadium,22 March 2010
25,Chaminda Vaas,4,27,2,0,14,12,PBKS,Barabati Stadium,19 March 2010
26,Kemar Roach,4,32,0,0,14,0,MI,DY Patil Stadium,28 March 2010
27,Anil Kumble,3.5,9,3,0,13,7.66,RR,M. Chinnaswamy Stadium,18 March 2010
28,Amit Mishra,4,13,1,0,13,24,CSK,Chidambaram,15 April 2010
29,Lasith Malinga,3.4,12,3,0,13,7.33,DEC,DY Patil Stadium,28 March 2010
30,Muttiah Muralitharan,4,16,1,0,13,24,DEC,DY Patil Stadium,22 April 2010
31,RP Singh,4,17,3,0,13,8,RR,Vidarbha Cricket Association Stadium,05 April 2010
32,MF Maharoof,3,13,2,0,13,9,RR,Arun Jaitley Stadium,31 March 2010
33,Dale Steyn,4,18,3,0,13,8,DEC,Vidarbha Cricket Association Stadium,12 April 2010
34,Virender Sehwag,4,18,2,0,13,12,CSK,Chidambaram,15 April 2010
35,Praveen Kumar,4,18,2,0,13,12,DEC,DY Patil Stadium,24 April 2010
36,Anil Kumble,3.3,16,4,0,13,5.25,DEC,DY Patil Stadium,24 April 2010
37,Shane Watson,4,19,1,0,13,24,PBKS,Sawai Mansingh Stadium,07 April 2010
38,Sudeep Tyagi,4,19,0,0,13,0,RCB,M. Chinnaswamy Stadium,23 March 2010
39,Pradeep Sangwan,4,20,1,0,13,24,RR,Narendra Modi Stadium,15 March 2010
40,Shane Warne,4,21,4,0,13,6,DEC,Vidarbha Cricket Association Stadium,05 April 2010
41,Chaminda Vaas,4,21,3,1,13,8,CSK,Chidambaram,14 March 2010
42,Shane Watson,3,17,0,0,13,0,KKR,Eden Gardens,17 April 2010
43,Albie Morkel,4,23,2,0,13,12,PBKS,Chidambaram,21 March 2010
44,Dilhara Fernando,4,24,2,0,13,12,RCB,M. Chinnaswamy Stadium,17 April 2010
45,Shane Bond,4,24,2,0,13,12,PBKS,IS Bindra Stadium,27 March 2010
46,Shane Watson,4,24,0,0,13,0,RCB,Sawai Mansingh Stadium,14 April 2010
47,Ravichandran Ashwin,4,24,0,1,13,0,MI,DY Patil Stadium,25 April 2010
48,Muttiah Muralitharan,4,25,3,0,13,8,RCB,M. Chinnaswamy Stadium,23 March 2010
49,Amit Mishra,4,25,3,0,13,8,RR,Arun Jaitley Stadium,31 March 2010
50,Harmeet Singh Bansal,4,25,2,0,13,12,RR,Vidarbha Cricket Association Stadium,05 April 2010
51,Vinay Kumar,4,25,0,0,13,0,RR,M. Chinnaswamy Stadium,18 March 2010
52,Ashish Nehra,4,26,3,0,13,8,CSK,Chidambaram,15 April 2010
53,Dale Steyn,4,27,1,0,13,24,KKR,M. Chinnaswamy Stadium,10 April 2010
54,Shane Warne,4,28,1,0,13,24,RCB,Sawai Mansingh Stadium,14 April 2010
55,Amit Mishra,4,32,3,0,13,8,RCB,Arun Jaitley Stadium,04 April 2010
56,Sarabjit Ladda,4,37,1,0,13,24,RR,Arun Jaitley Stadium,31 March 2010
57,Praveen Kumar,4,16,1,0,12,24,KKR,Eden Gardens,14 March 2010
58,Muttiah Muralitharan,4,16,1,0,12,24,KKR,Eden Gardens,16 March 2010
59,Juan Theron,4,17,2,0,12,12,CSK,Chidambaram,21 March 2010
60,Dirk Nannes,4,18,1,0,12,24,CSK,Arun Jaitley Stadium,19 March 2010
61,Ryan Harris,3,14,0,0,12,0,RCB,DY Patil Stadium,24 April 2010
62,Dirk Nannes,3.1,15,1,0,12,19,KKR,Arun Jaitley Stadium,29 March 2010
63,Pragyan Ojha,4,19,0,0,12,0,KKR,DY Patil Stadium,12 March 2010
64,Ashok Dinda,4,21,2,0,12,12,DC,Eden Gardens,07 April 2010
65,Chaminda Vaas,4,21,1,0,12,24,DC,Barabati Stadium,21 March 2010
66,Pragyan Ojha,3.5,22,0,0,12,0,RCB,DY Patil Stadium,24 April 2010
67,Dilhara Fernando,4,23,2,0,12,12,CSK,DY Patil Stadium,25 April 2010
68,Pragyan Ojha,4,24,2,0,12,12,MI,DY Patil Stadium,28 March 2010
69,Umesh Yadav,4,24,2,0,12,12,DEC,Arun Jaitley Stadium,18 April 2010
70,Doug Bollinger,4,24,2,0,12,12,DC,Chidambaram,15 April 2010
71,Dale Steyn,4,25,0,0,12,0,CSK,M. Chinnaswamy Stadium,23 March 2010
