POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Sohail Tanvir,4,10,3,0,18,8,RCB,Sawai Mansingh Stadium,17 May 2008
2,Dale Steyn,4,28,2,0,18,12,CSK,Chidambaram,21 May 2008
3,Brett Lee,4,9,1,0,17,24,MI,IS Bindra Stadium,25 April 2008
4,Shaun Pollock,4,9,1,1,17,24,CSK,Wankhede Stadium,14 May 2008
5,Irfan Pathan,4,10,1,0,17,24,RR,IS Bindra Stadium,28 May 2008
6,Shaun Pollock,4,12,3,0,17,8,KKR,Wankhede Stadium,16 May 2008
7,Dale Steyn,4,14,1,0,17,24,MI,M. Chinnaswamy Stadium,28 May 2008
8,Shanthakumaran Sreesanth,4,16,2,0,17,12,RCB,M. Chinnaswamy Stadium,05 May 2008
9,Shane Watson,4,19,1,0,17,24,CSK,Sawai Mansingh Stadium,04 May 2008
10,Vinay Kumar,4,27,3,0,17,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008
11,Glenn McGrath,4,12,0,0,16,0,RR,Sawai Mansingh Stadium,11 May 2008
12,Sohail Tanvir,4,14,6,0,16,4,CSK,Sawai Mansingh Stadium,04 May 2008
13,Manpreet Gony,4,14,2,1,16,12,PBKS,Wankhede Stadium,31 May 2008
14,Glenn McGrath,4,15,2,0,16,12,RCB,M. Chinnaswamy Stadium,19 May 2008
15,Munaf Patel,4,17,3,0,16,8,DC,Wankhede Stadium,30 May 2008
16,Dilhara Fernando,4,18,4,0,16,6,RCB,M. Chinnaswamy Stadium,28 May 2008
17,Mohammad Asif,4,19,2,0,16,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
18,Glenn McGrath,4,21,1,1,16,24,RR,Arun Jaitley Stadium,19 April 2008
19,Ashok Dinda,4,12,1,0,15,24,MI,Eden Gardens,29 April 2008
20,Sohail Tanvir,4,14,4,0,15,6,MI,Sawai Mansingh Stadium,26 May 2008
21,Shaun Pollock,4,16,2,0,15,12,DC,DY Patil Stadium,04 May 2008
22,Piyush Chawla,4,16,2,0,15,12,MI,IS Bindra Stadium,25 April 2008
23,Irfan Pathan,4,18,2,0,15,12,KKR,IS Bindra Stadium,03 May 2008
24,Irfan Pathan,4,19,2,1,15,12,MI,IS Bindra Stadium,25 April 2008
25,Shane Watson,4,20,2,0,15,12,RCB,M. Chinnaswamy Stadium,26 April 2008
26,Glenn McGrath,4,22,0,1,15,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
27,Ajit Agarkar,4,25,3,0,15,8,RCB,M. Chinnaswamy Stadium,18 April 2008
28,Praveen Kumar,4,26,1,0,15,24,CSK,Chidambaram,21 May 2008
29,Mohammad Hafeez,4,8,1,0,14,24,DEC,Eden Gardens,20 April 2008
30,Ishant Sharma,4,9,2,0,14,12,RCB,M. Chinnaswamy Stadium,18 April 2008
31,Muttiah Muralitharan,4,12,0,0,14,0,KKR,Chidambaram,26 April 2008
32,Sanath Jayasuriya,4,14,3,1,14,8,KKR,Eden Gardens,29 April 2008
33,RP Singh,4,15,2,1,14,12,MI,DY Patil Stadium,27 April 2008
34,Irfan Pathan,3.2,13,1,0,14,20,RCB,M. Chinnaswamy Stadium,05 May 2008
35,Dale Steyn,4,16,0,0,14,0,PBKS,M. Chinnaswamy Stadium,05 May 2008
36,Manpreet Gony,4,18,1,1,14,24,MI,Chidambaram,23 April 2008
37,Murali Kartik,3.4,17,3,0,14,7.33,DEC,Eden Gardens,20 April 2008
38,Scott Styris,4,19,0,0,14,0,KKR,Eden Gardens,20 April 2008
39,Makhaya Ntini,4,21,4,0,14,6,KKR,Eden Gardens,18 May 2008
40,Munaf Patel,4,22,2,1,14,12,KKR,Eden Gardens,20 May 2008
41,Makhaya Ntini,4,23,2,0,14,12,PBKS,Wankhede Stadium,31 May 2008
42,Shane Warne,4,23,1,1,14,24,RCB,M. Chinnaswamy Stadium,26 April 2008
43,Zaheer Khan,4,24,1,0,14,24,RR,M. Chinnaswamy Stadium,26 April 2008
44,Manpreet Gony,4,11,2,1,13,12,RCB,Chidambaram,21 May 2008
45,Anil Kumble,4,14,3,0,13,8,CSK,Chidambaram,21 May 2008
46,Jacques Kallis,4,15,0,0,13,0,CSK,Chidambaram,21 May 2008
47,Sohail Tanvir,3.1,13,0,0,13,0,MI,DY Patil Stadium,07 May 2008
48,Zaheer Khan,4,17,2,0,13,12,MI,Wankhede Stadium,20 April 2008
49,Manpreet Gony,4,17,0,0,13,0,KKR,Eden Gardens,18 May 2008
50,Muttiah Muralitharan,4,20,1,0,13,24,RR,Sawai Mansingh Stadium,04 May 2008
51,Dale Steyn,4,20,0,0,13,0,DEC,M. Chinnaswamy Stadium,03 May 2008
52,Praveen Kumar,4,22,2,1,13,12,PBKS,M. Chinnaswamy Stadium,05 May 2008
53,MF Maharoof,4,22,1,0,13,24,RR,Sawai Mansingh Stadium,11 May 2008
54,Piyush Chawla,4,22,1,0,13,24,MI,Wankhede Stadium,21 May 2008
55,Umar Gul,4,23,4,0,13,6,PBKS,Eden Gardens,25 May 2008
56,Ajit Agarkar,4,23,1,0,13,24,MI,Eden Gardens,29 April 2008
57,Irfan Pathan,4,24,1,0,13,24,CSK,Wankhede Stadium,31 May 2008
58,RP Singh,4,24,1,0,13,24,RR,Sawai Mansingh Stadium,09 May 2008
59,Shanthakumaran Sreesanth,4,25,2,0,13,12,KKR,IS Bindra Stadium,03 May 2008
60,Sanjay Bangar,3,19,0,0,13,0,KKR,Eden Gardens,20 April 2008
61,Albie Morkel,4,26,1,0,13,24,DEC,Chidambaram,06 May 2008
62,Yo Mahesh,4,31,1,0,13,24,CSK,Chidambaram,02 May 2008
63,Sohail Tanvir,4,31,0,0,13,0,RCB,M. Chinnaswamy Stadium,26 April 2008
64,Shane Watson,4,32,1,0,13,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
65,Dhawal Kulkarni,4,33,3,0,13,8,CSK,Wankhede Stadium,14 May 2008
66,Ishant Sharma,3.4,33,1,0,13,22,MI,Eden Gardens,29 April 2008
67,Dominic Thornely,3,7,2,0,12,9,KKR,Wankhede Stadium,16 May 2008
68,Ishant Sharma,3,9,1,1,12,18,DEC,Eden Gardens,20 April 2008
69,Shane Watson,3,10,3,0,12,6,DC,Wankhede Stadium,30 May 2008
70,Shoaib Akhtar,3,11,4,0,12,4.5,DC,Eden Gardens,13 May 2008
71,Munaf Patel,4,16,2,0,12,12,CSK,Sawai Mansingh Stadium,04 May 2008
72,Rajat Bhatia,4,17,2,0,12,12,RR,Arun Jaitley Stadium,19 April 2008
73,Ashish Nehra,3,13,3,0,12,6,RR,DY Patil Stadium,07 May 2008
74,Dwayne Bravo,3,13,2,1,12,9,KKR,Wankhede Stadium,16 May 2008
75,Anil Kumble,4,18,2,0,12,12,DC,M. Chinnaswamy Stadium,19 May 2008
76,Dale Steyn,4,19,2,0,12,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008
77,Muttiah Muralitharan,4,19,1,0,12,24,PBKS,Wankhede Stadium,31 May 2008
78,Ramesh Powar,4,20,1,0,12,24,DEC,IS Bindra Stadium,23 May 2008
79,Munaf Patel,4,21,2,0,12,12,RCB,Sawai Mansingh Stadium,17 May 2008
80,Manpreet Gony,4,21,1,0,12,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008
81,Lakshmipathy Balaji,4,24,5,0,12,4.8,PBKS,Chidambaram,10 May 2008
82,Dwayne Bravo,4,24,3,0,12,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008
83,Makhaya Ntini,4,24,1,0,12,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008
84,Piyush Chawla,4,25,3,0,12,8,RCB,M. Chinnaswamy Stadium,05 May 2008
85,Siddharth Trivedi,4,25,2,0,12,12,PBKS,Sawai Mansingh Stadium,21 April 2008
86,Yo Mahesh,4,25,0,0,12,0,RCB,M. Chinnaswamy Stadium,19 May 2008
87,Sohail Tanvir,4,26,3,0,12,8,KKR,Eden Gardens,20 May 2008
88,Albie Morkel,4,27,2,0,12,12,PBKS,Wankhede Stadium,31 May 2008
89,Makhaya Ntini,4,27,0,0,12,0,RCB,Chidambaram,21 May 2008
90,Zaheer Khan,4,29,2,0,12,12,PBKS,M. Chinnaswamy Stadium,05 May 2008
91,Siddharth Trivedi,4,29,1,0,12,24,RCB,M. Chinnaswamy Stadium,26 April 2008
92,Piyush Chawla,4,29,0,0,12,0,DC,IS Bindra Stadium,27 April 2008
93,Shanthakumaran Sreesanth,4,31,2,0,12,12,MI,IS Bindra Stadium,25 April 2008
94,Piyush Chawla,4,31,0,0,12,0,DEC,IS Bindra Stadium,23 May 2008
95,RP Singh,4,32,0,0,12,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008
96,Ashok Dinda,4,33,3,0,12,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
97,RP Singh,4,35,3,0,12,8,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008
98,Shanthakumaran Sreesanth,4,35,2,0,12,12,MI,Wankhede Stadium,21 May 2008
99,Brett Lee,4,35,1,0,12,24,CSK,IS Bindra Stadium,19 April 2008
100,Ashish Nehra,4,35,1,0,12,24,CSK,Chidambaram,23 April 2008
101,Brett Lee,4,35,1,0,12,24,RR,Sawai Mansingh Stadium,21 April 2008
102,Munaf Patel,4,36,1,0,12,24,PBKS,Sawai Mansingh Stadium,21 April 2008
103,Munaf Patel,4,37,0,0,12,0,PBKS,IS Bindra Stadium,28 May 2008
104,Glenn McGrath,4,38,0,0,12,0,RR,Wankhede Stadium,30 May 2008
105,Shane Watson,4,39,0,0,12,0,PBKS,Sawai Mansingh Stadium,21 April 2008
106,Chaminda Vaas,3,9,2,0,11,9,KKR,Eden Gardens,20 April 2008
107,MF Maharoof,4,13,2,0,11,12,RCB,M. Chinnaswamy Stadium,19 May 2008
108,Amit Mishra,4,17,5,0,11,4.8,DEC,Arun Jaitley Stadium,15 May 2008
109,Pragyan Ojha,4,18,2,0,11,12,KKR,Eden Gardens,20 April 2008
110,Shane Warne,4,19,3,0,11,8,PBKS,Sawai Mansingh Stadium,21 April 2008
111,Muttiah Muralitharan,4,19,1,0,11,24,RCB,Chidambaram,21 May 2008
112,Shane Warne,4,21,2,0,11,12,DC,Wankhede Stadium,30 May 2008
113,Shane Watson,4,21,2,0,11,12,DC,Sawai Mansingh Stadium,11 May 2008
114,Sourav Ganguly,4,21,2,0,11,12,RCB,M. Chinnaswamy Stadium,18 April 2008
115,Irfan Pathan,4,21,1,0,11,24,RR,Sawai Mansingh Stadium,21 April 2008
116,Glenn McGrath,4,21,1,0,11,24,CSK,Chidambaram,02 May 2008
117,Makhaya Ntini,4,21,0,1,11,0,RR,DY Patil Stadium,01 June 2008
118,Paidikalva Vijaykumar,3,17,1,0,11,18,CSK,Chidambaram,06 May 2008
119,Ashish Nehra,3,17,0,0,11,0,KKR,Wankhede Stadium,16 May 2008
120,Praveen Kumar,4,23,3,0,11,8,DEC,M. Chinnaswamy Stadium,03 May 2008
121,Muttiah Muralitharan,4,24,1,0,11,24,DEC,Chidambaram,06 May 2008
122,Paidikalva Vijaykumar,4,24,1,0,11,24,DC,Arun Jaitley Stadium,15 May 2008
123,Dwayne Bravo,4,25,1,0,11,24,KKR,Eden Gardens,29 April 2008
124,Dwayne Smith,4,26,3,0,11,8,RCB,M. Chinnaswamy Stadium,28 May 2008
125,Ishant Sharma,4,26,1,0,11,24,RR,Sawai Mansingh Stadium,01 May 2008
126,Shaun Pollock,4,27,2,0,11,12,KKR,Eden Gardens,29 April 2008
127,Dilhara Fernando,4,27,2,0,11,12,RR,Sawai Mansingh Stadium,26 May 2008
128,MF Maharoof,4,27,1,0,11,24,MI,Arun Jaitley Stadium,24 May 2008
129,Vikram Singh,4,28,2,0,11,12,KKR,Eden Gardens,25 May 2008
130,Pradeep Sangwan,4,29,1,0,11,24,KKR,Eden Gardens,13 May 2008
131,Praveen Kumar,4,29,1,0,11,24,MI,Wankhede Stadium,20 April 2008
132,Nuwan Zoysa,4,30,1,0,11,24,MI,DY Patil Stadium,27 April 2008
133,Ashok Dinda,4,30,0,0,11,0,RR,Sawai Mansingh Stadium,01 May 2008
134,Ashish Nehra,4,31,0,0,11,0,CSK,Wankhede Stadium,14 May 2008
135,Ashok Dinda,3,24,1,0,11,18,PBKS,IS Bindra Stadium,03 May 2008
136,Sohail Tanvir,4,33,3,0,11,8,CSK,Chidambaram,24 May 2008
137,Ashok Dinda,3,25,0,0,11,0,CSK,Chidambaram,26 April 2008
138,Umar Gul,3.3,30,2,1,11,10.5,RR,Eden Gardens,20 May 2008
139,Yo Mahesh,4,36,4,0,11,6,MI,Arun Jaitley Stadium,24 May 2008
140,Irfan Pathan,4,37,0,0,11,0,MI,Wankhede Stadium,21 May 2008
141,Zaheer Khan,4,38,3,0,11,8,CSK,M. Chinnaswamy Stadium,28 April 2008
142,Manpreet Gony,4,38,1,0,11,24,PBKS,Chidambaram,10 May 2008
143,Dale Steyn,4,40,0,0,11,0,CSK,M. Chinnaswamy Stadium,28 April 2008
144,Sourav Ganguly,3,7,1,0,10,18,RCB,Eden Gardens,08 May 2008
145,Siddharth Trivedi,3,8,1,0,10,18,DEC,Sawai Mansingh Stadium,09 May 2008
146,MF Maharoof,4,11,2,0,10,12,RR,Arun Jaitley Stadium,19 April 2008
147,Yusuf Pathan,3,9,0,0,10,0,MI,Sawai Mansingh Stadium,26 May 2008
148,Vikram Singh,4,15,1,0,10,24,RCB,IS Bindra Stadium,12 May 2008
149,RP Singh,3,12,2,0,10,9,CSK,Chidambaram,06 May 2008
150,Shaun Pollock,4,17,0,0,10,0,RCB,Wankhede Stadium,20 April 2008
