POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Moeen Ali,3,7,3,11,2.33,6,RR,Wankhede Stadium,19 April 2021
2,Yuzvendra Chahal,4,11,3,16,2.75,8,MI,Dubai International Stadium,26 September 2021
3,Shardul Thakur,4,11,1,17,2.75,24,RCB,Wankhede Stadium,25 April 2021
4,Andre Russell,3,9,3,10,3,6,RCB,Zayed Cricket Stadium,20 September 2021
5,Moises Henriques,4,12,3,13,3,8,RCB,Sharjah Cricket Stadium,03 October 2021
6,Jimmy Neesham,4,12,3,13,3,8,RR,Sharjah Cricket Stadium,05 October 2021
7,Anrich Nortje,4,12,2,14,3,12,SRH,Dubai International Stadium,22 September 2021
8,Sunil Narine,4,12,0,12,3,0,SRH,Dubai International Stadium,03 October 2021
9,Deepak Chahar,4,13,4,18,3.25,6,PBKS,Wankhede Stadium,16 April 2021
10,Varun Chakaravarthy,4,13,3,15,3.25,8,RCB,Zayed Cricket Stadium,20 September 2021
11,Ravindra Jadeja,4,13,3,15,3.25,8,RCB,Wankhede Stadium,25 April 2021
12,Shardul Thakur,4,13,2,12,3.25,12,DC,Dubai International Stadium,04 October 2021
13,Krunal Pandya,4,13,1,13,3.25,24,KKR,Chidambaram,13 April 2021
14,Shivam Mavi,4,13,1,15,3.25,24,PBKS,Narendra Modi Stadium,26 April 2021
15,Nathan Coulter-Nile,4,14,4,16,3.5,6,RR,Sharjah Cricket Stadium,05 October 2021
16,Shahbaz Ahmed,2,7,3,6,3.5,4,SRH,Chidambaram,14 April 2021
17,Jasprit Bumrah,4,14,2,18,3.5,12,RR,Sharjah Cricket Stadium,05 October 2021
18,Mohammad Shami,4,14,2,17,3.5,12,SRH,Sharjah Cricket Stadium,25 September 2021
19,Jasprit Bumrah,4,14,1,12,3.5,24,SRH,Chidambaram,17 April 2021
20,Varun Chakaravarthy,4,14,1,16,3.5,24,RR,Sharjah Cricket Stadium,07 October 2021
21,Arshdeep Singh,2,7,1,8,3.5,12,CSK,Wankhede Stadium,16 April 2021
22,Avesh Khan,4,15,3,16,3.75,8,MI,Sharjah Cricket Stadium,02 October 2021
23,Jaydev Unadkat,4,15,3,15,3.75,8,DC,Wankhede Stadium,15 April 2021
24,Jasprit Bumrah,4,15,1,12,3.75,24,RR,Arun Jaitley Stadium,29 April 2021
25,Imran Tahir,4,16,2,14,4,12,RCB,Wankhede Stadium,25 April 2021
26,Yuzvendra Chahal,4,16,2,8,4,12,KKR,Sharjah Cricket Stadium,11 October 2021
27,Sam Curran,3,12,1,12,4,18,PBKS,Wankhede Stadium,16 April 2021
28,Moises Henriques,3,12,0,9,4,0,MI,Chidambaram,23 April 2021
29,Harshal Patel,4,17,2,7,4.25,12,KKR,Chidambaram,18 April 2021
30,Ravi Bishnoi,4,17,2,10,4.25,12,RCB,Narendra Modi Stadium,30 April 2021
31,Dwayne Bravo,4,17,2,10,4.25,12,SRH,Sharjah Cricket Stadium,30 September 2021
32,Trent Boult,4,17,1,16,4.25,24,RCB,Dubai International Stadium,26 September 2021
33,Rashid Khan,4,17,1,11,4.25,24,PBKS,Chidambaram,21 April 2021
34,Rashid Khan,4,17,1,11,4.25,24,PBKS,Sharjah Cricket Stadium,25 September 2021
35,Lalit Yadav,4,17,1,7,4.25,24,MI,Chidambaram,20 April 2021
36,Avesh Khan,3,13,3,9,4.33,6,KKR,Sharjah Cricket Stadium,28 September 2021
37,Lalit Yadav,3,13,2,6,4.33,9,KKR,Narendra Modi Stadium,29 April 2021
38,Axar Patel,3,13,0,10,4.33,0,KKR,Sharjah Cricket Stadium,28 September 2021
39,Lockie Ferguson,4,18,3,17,4.5,8,RR,Sharjah Cricket Stadium,07 October 2021
40,Sunil Narine,4,18,2,10,4.5,12,DC,Sharjah Cricket Stadium,28 September 2021
41,Rashid Khan,4,18,2,10,4.5,12,RCB,Chidambaram,14 April 2021
42,Axar Patel,4,18,2,6,4.5,12,CSK,Dubai International Stadium,04 October 2021
43,Anrich Nortje,4,18,2,12,4.5,12,RR,Zayed Cricket Stadium,25 September 2021
44,Yuzvendra Chahal,4,18,2,11,4.5,12,RR,Dubai International Stadium,29 September 2021
45,Kieron Pollard,2,9,0,3,4.5,0,RR,Sharjah Cricket Stadium,05 October 2021
46,Abhishek Sharma,2,9,0,6,4.5,0,CSK,Sharjah Cricket Stadium,30 September 2021
47,Siddarth Kaul,3.4,17,1,11,4.63,22,KKR,Dubai International Stadium,03 October 2021
48,Dan Christian,3,14,2,8,4.66,9,SRH,Zayed Cricket Stadium,06 October 2021
49,Ravindra Jadeja,3,14,1,5,4.66,18,SRH,Sharjah Cricket Stadium,30 September 2021
50,Ravichandran Ashwin,3,14,0,5,4.66,0,RR,Wankhede Stadium,15 April 2021
51,Jason Holder,4,19,3,9,4.75,8,PBKS,Sharjah Cricket Stadium,25 September 2021
52,Harpreet Brar,4,19,3,15,4.75,8,RCB,Narendra Modi Stadium,30 April 2021
53,Rahul Chahar,4,19,3,13,4.75,8,SRH,Chidambaram,17 April 2021
54,Deepak Chahar,4,19,2,13,4.75,12,MI,Dubai International Stadium,19 September 2021
55,Mohammed Siraj,4,19,2,10,4.75,12,KKR,Sharjah Cricket Stadium,11 October 2021
56,Harshal Patel,4,19,2,10,4.75,12,KKR,Sharjah Cricket Stadium,11 October 2021
57,Nathan Coulter-Nile,4,19,1,12,4.75,24,DC,Sharjah Cricket Stadium,02 October 2021
58,Shivam Mavi,4,19,1,17,4.75,24,RR,Wankhede Stadium,24 April 2021
59,Rahul Chahar,4,19,1,8,4.75,24,PBKS,Chidambaram,23 April 2021
60,Anrich Nortje,4,19,1,15,4.75,24,MI,Sharjah Cricket Stadium,02 October 2021
61,Ravi Bishnoi,4,19,0,9,4.75,0,KKR,Narendra Modi Stadium,26 April 2021
62,Ravindra Jadeja,4,19,0,14,4.75,0,PBKS,Wankhede Stadium,16 April 2021
63,Nathan Coulter-Nile,4,19,0,10,4.75,0,PBKS,Zayed Cricket Stadium,28 September 2021
64,Mustafizur Rahman,4,20,3,12,5,8,SRH,Arun Jaitley Stadium,02 May 2021
65,Shahbaz Ahmed,2,10,2,2,5,6,RR,Dubai International Stadium,29 September 2021
66,Shardul Thakur,4,20,2,10,5,12,KKR,Zayed Cricket Stadium,26 September 2021
67,Lockie Ferguson,2,10,2,6,5,6,DC,Sharjah Cricket Stadium,28 September 2021
68,Shakib Al Hasan,4,20,1,10,5,24,SRH,Dubai International Stadium,03 October 2021
69,Dwayne Bravo,2,10,1,6,5,12,PBKS,Wankhede Stadium,16 April 2021
70,Mohammed Siraj,3,15,1,12,5,18,MI,Dubai International Stadium,26 September 2021
71,Deepak Hooda,3,15,1,9,5,18,MI,Chidambaram,23 April 2021
72,Sunil Narine,4,20,1,10,5,24,MI,Zayed Cricket Stadium,23 September 2021
73,Sandeep Sharma,4,20,1,12,5,24,PBKS,Sharjah Cricket Stadium,25 September 2021
74,Ravichandran Ashwin,4,20,1,14,5,24,RR,Zayed Cricket Stadium,25 September 2021
75,Nathan Ellis,4,20,1,13,5,24,MI,Zayed Cricket Stadium,28 September 2021
76,Ravichandran Ashwin,4,20,1,8,5,24,CSK,Dubai International Stadium,04 October 2021
77,Sunil Narine,4,20,0,12,5,0,RCB,Zayed Cricket Stadium,20 September 2021
78,Kieron Pollard,2,10,0,5,5,0,SRH,Chidambaram,17 April 2021
79,Jayant Yadav,4,20,0,16,5,0,PBKS,Chidambaram,23 April 2021
80,Yuzvendra Chahal,2,10,0,5,5,0,DC,Narendra Modi Stadium,27 April 2021
81,Sunil Narine,4,20,0,11,5,0,RR,Wankhede Stadium,24 April 2021
82,Varun Chakaravarthy,4,20,0,7,5,0,RCB,Sharjah Cricket Stadium,11 October 2021
83,Bhuvneshwar Kumar,4,20,0,14,5,0,KKR,Dubai International Stadium,03 October 2021
84,Sunil Narine,4,21,4,11,5.25,6,RCB,Sharjah Cricket Stadium,11 October 2021
85,Mohammad Shami,4,21,3,13,5.25,8,RR,Dubai International Stadium,21 September 2021
86,Axar Patel,4,21,3,8,5.25,8,MI,Sharjah Cricket Stadium,02 October 2021
87,Khaleel Ahmed,4,21,3,9,5.25,8,PBKS,Chidambaram,21 April 2021
88,Mohammad Shami,4,21,2,7,5.25,12,MI,Chidambaram,23 April 2021
89,Mohammad Shami,4,21,2,11,5.25,12,CSK,Wankhede Stadium,16 April 2021
90,Ravi Bishnoi,4,21,2,10,5.25,12,MI,Chidambaram,23 April 2021
91,Adam Milne,4,21,2,14,5.25,12,CSK,Dubai International Stadium,19 September 2021
92,Axar Patel,4,21,2,9,5.25,12,SRH,Dubai International Stadium,22 September 2021
93,Ravindra Jadeja,4,21,1,5,5.25,24,KKR,Zayed Cricket Stadium,26 September 2021
94,Axar Patel,4,21,1,11,5.25,24,PBKS,Narendra Modi Stadium,02 May 2021
95,Umran Malik,4,21,1,11,5.25,24,RCB,Zayed Cricket Stadium,06 October 2021
96,Jagadeesha Suchith,4,21,0,9,5.25,0,DC,Chidambaram,25 April 2021
97,Kagiso Rabada,4,21,0,12,5.25,0,CSK,Dubai International Stadium,04 October 2021
98,Shahbaz Ahmed,4,21,0,7,5.25,0,SRH,Zayed Cricket Stadium,06 October 2021
99,Bhuvneshwar Kumar,3,16,1,7,5.33,18,PBKS,Chidambaram,21 April 2021
100,Moeen Ali,3,16,0,8,5.33,0,DC,Dubai International Stadium,04 October 2021
101,Moeen Ali,3,16,0,4,5.33,0,MI,Dubai International Stadium,19 September 2021
102,Harshal Patel,3.1,17,4,10,5.36,4.75,MI,Dubai International Stadium,26 September 2021
103,Sunil Narine,4,22,2,10,5.5,12,PBKS,Narendra Modi Stadium,26 April 2021
104,Ravi Bishnoi,4,22,2,9,5.5,12,KKR,Dubai International Stadium,01 October 2021
105,Mustafizur Rahman,4,22,2,6,5.5,12,DC,Zayed Cricket Stadium,25 September 2021
106,Chris Woakes,4,22,2,13,5.5,12,RR,Wankhede Stadium,15 April 2021
107,Mohammad Shami,4,22,1,14,5.5,24,CSK,Dubai International Stadium,07 October 2021
108,Mustafizur Rahman,4,22,1,13,5.5,24,KKR,Wankhede Stadium,24 April 2021
109,Shahbaz Ahmed,2,11,1,2,5.5,12,PBKS,Narendra Modi Stadium,30 April 2021
110,Arshdeep Singh,4,22,1,9,5.5,24,SRH,Sharjah Cricket Stadium,25 September 2021
111,Fabian Allen,4,22,1,13,5.5,24,SRH,Chidambaram,21 April 2021
112,Varun Chakaravarthy,4,22,1,9,5.5,24,CSK,Zayed Cricket Stadium,26 September 2021
113,Avesh Khan,4,22,1,9,5.5,24,KKR,Sharjah Cricket Stadium,13 October 2021
114,Rashid Khan,4,22,0,11,5.5,0,MI,Chidambaram,17 April 2021
115,Deepak Hooda,4,22,0,12,5.5,0,SRH,Chidambaram,21 April 2021
116,Harpreet Brar,4,22,0,12,5.5,0,CSK,Dubai International Stadium,07 October 2021
117,Varun Chakaravarthy,4,22,0,9,5.5,0,MI,Zayed Cricket Stadium,23 September 2021
118,Rahul Chahar,4,22,0,10,5.5,0,CSK,Dubai International Stadium,19 September 2021
119,Murugan Ashwin,4,22,0,7,5.5,0,SRH,Chidambaram,21 April 2021
120,Mohammed Siraj,4,22,0,12,5.5,0,MI,Chidambaram,09 April 2021
121,Deepak Hooda,2,11,0,3,5.5,0,DC,Narendra Modi Stadium,02 May 2021
122,Ravi Bishnoi,3,17,2,8,5.66,9,MI,Zayed Cricket Stadium,28 September 2021
123,Moeen Ali,3,17,1,6,5.66,18,PBKS,Wankhede Stadium,16 April 2021
124,Harpreet Brar,3,17,1,4,5.66,18,RR,Dubai International Stadium,21 September 2021
125,Rahul Tewatia,3,17,1,6,5.66,18,DC,Zayed Cricket Stadium,25 September 2021
126,Mohammed Siraj,3,17,0,11,5.66,0,KKR,Chidambaram,18 April 2021
127,Mohammed Siraj,3,17,0,11,5.66,0,SRH,Zayed Cricket Stadium,06 October 2021
128,Riley Meredith,3.4,21,0,14,5.72,0,CSK,Wankhede Stadium,16 April 2021
129,Chris Morris,4,23,4,18,5.75,6,KKR,Wankhede Stadium,24 April 2021
130,Avesh Khan,4,23,2,11,5.75,12,CSK,Wankhede Stadium,10 April 2021
131,Glenn Maxwell,4,23,2,8,5.75,12,MI,Dubai International Stadium,26 September 2021
132,Kagiso Rabada,4,23,2,13,5.75,12,KKR,Sharjah Cricket Stadium,13 October 2021
133,Rashid Khan,4,23,1,13,5.75,24,KKR,Dubai International Stadium,03 October 2021
134,Shakib Al Hasan,4,23,1,4,5.75,24,MI,Chidambaram,13 April 2021
135,Chetan Sakariya,4,23,1,12,5.75,24,KKR,Sharjah Cricket Stadium,07 October 2021
136,Mohammad Shami,4,23,1,10,5.75,24,KKR,Dubai International Stadium,01 October 2021
137,Trent Boult,4,23,0,13,5.75,0,DC,Chidambaram,20 April 2021
138,Amit Mishra,4,24,4,11,6,6,MI,Chidambaram,20 April 2021
139,Pat Cummins,4,24,3,15,6,8,DC,Narendra Modi Stadium,29 April 2021
140,Josh Hazlewood,4,24,3,13,6,8,SRH,Sharjah Cricket Stadium,30 September 2021
141,Ravi Bishnoi,4,24,3,10,6,8,SRH,Sharjah Cricket Stadium,25 September 2021
142,Dwayne Bravo,4,24,3,10,6,8,RCB,Sharjah Cricket Stadium,24 September 2021
143,Jasprit Bumrah,4,24,2,11,6,12,PBKS,Zayed Cricket Stadium,28 September 2021
144,Anrich Nortje,4,24,2,9,6,12,RCB,Dubai International Stadium,08 October 2021
145,Sam Curran,4,24,2,14,6,12,RR,Wankhede Stadium,19 April 2021
146,Chris Woakes,3,18,2,11,6,9,CSK,Wankhede Stadium,10 April 2021
147,Kieron Pollard,2,12,2,4,6,6,CSK,Arun Jaitley Stadium,01 May 2021
148,Lockie Ferguson,4,24,2,11,6,12,RCB,Zayed Cricket Stadium,20 September 2021
149,Abhishek Sharma,4,24,2,10,6,12,PBKS,Chidambaram,21 April 2021
150,Rashid Khan,4,24,2,10,6,12,KKR,Chidambaram,11 April 2021
