POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Yuzvendra Chahal,4,6,1,18,1.5,24,CSK,Chidambaram,23 March 2019
2,Imran Tahir,4,9,3,18,2.25,8,RCB,Chidambaram,23 March 2019
3,Krunal Pandya,3,7,2,12,2.33,9,CSK,Chidambaram,26 April 2019
4,Mohammed Siraj,2,5,1,8,2.5,12,CSK,Chidambaram,23 March 2019
5,Mohammad Nabi,4,11,4,16,2.75,6,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
6,Ravindra Jadeja,3,9,3,9,3,6,DC,Chidambaram,01 May 2019
7,Shreyas Gopal,4,12,3,16,3,8,RCB,Sawai Mansingh Stadium,02 April 2019
8,Mitchell Santner,4,13,2,15,3.25,12,MI,Chidambaram,26 April 2019
9,Mohammad Nabi,4,13,1,12,3.25,24,MI,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
10,Alzarri Joseph,3.4,12,6,16,3.27,3.66,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
11,Jasprit Bumrah,3,10,2,12,3.33,9,CSK,Chidambaram,26 April 2019
12,Rahul Tewatia,3,10,1,12,3.33,18,SRH,Arun Jaitley Stadium,04 April 2019
13,Rahul Chahar,4,14,2,13,3.5,12,CSK,Chidambaram,07 May 2019
14,Jasprit Bumrah,4,14,2,13,3.5,12,CSK,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
15,Krunal Pandya,2,7,1,6,3.5,12,DC,Arun Jaitley Stadium,18 April 2019
16,Rahul Chahar,4,14,1,13,3.5,24,CSK,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
17,Krunal Pandya,4,14,0,11,3.5,0,KKR,Wankhede Stadium,05 May 2019
18,Imran Tahir,3.2,12,4,12,3.6,5,DC,Chidambaram,01 May 2019
19,Jofra Archer,4,15,3,15,3.75,8,PBKS,IS Bindra Stadium,16 April 2019
20,Harbhajan Singh,4,15,2,15,3.75,12,KKR,Chidambaram,09 April 2019
21,Rashid Khan,4,15,2,16,3.75,12,DC,ACA-VDCA Stadium,08 May 2019
22,Ravindra Jadeja,4,15,2,15,3.75,12,RCB,Chidambaram,23 March 2019
23,Ravichandran Ashwin,4,15,1,10,3.75,24,RCB,M. Chinnaswamy Stadium,24 April 2019
24,Amit Mishra,4,16,1,10,4,24,SRH,ACA-VDCA Stadium,08 May 2019
25,Axar Patel,4,16,0,12,4,0,RR,Arun Jaitley Stadium,04 May 2019
26,Krishnappa Gowtham,4,16,0,9,4,0,DC,Arun Jaitley Stadium,04 May 2019
27,Kuldeep Yadav,4,16,0,12,4,0,CSK,Chidambaram,09 April 2019
28,Axar Patel,4,16,0,15,4,0,CSK,Arun Jaitley Stadium,26 March 2019
29,Amit Mishra,4,17,3,11,4.25,8,RR,Arun Jaitley Stadium,04 May 2019
30,Keemo Paul,4,17,3,10,4.25,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
31,Yuzvendra Chahal,4,17,2,11,4.25,12,RR,Sawai Mansingh Stadium,02 April 2019
32,Jofra Archer,4,17,2,13,4.25,12,CSK,Chidambaram,31 March 2019
33,Harbhajan Singh,4,17,2,10,4.25,12,PBKS,Chidambaram,06 April 2019
34,Rashid Khan,4,17,2,13,4.25,12,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
35,Ravindra Jadeja,4,17,1,15,4.25,24,KKR,Chidambaram,09 April 2019
36,Axar Patel,4,17,1,7,4.25,24,MI,Arun Jaitley Stadium,18 April 2019
37,Deepak Chahar,4,17,0,12,4.25,0,RCB,Chidambaram,23 March 2019
38,Jofra Archer,4,17,0,13,4.25,0,PBKS,Sawai Mansingh Stadium,25 March 2019
39,Umesh Yadav,3,13,0,9,4.33,0,CSK,Chidambaram,23 March 2019
40,Amit Mishra,3,13,0,8,4.33,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
41,Moeen Ali,4,18,2,12,4.5,12,MI,Wankhede Stadium,15 April 2019
42,Shardul Thakur,4,18,2,14,4.5,12,KKR,Eden Gardens,14 April 2019
43,Jasprit Bumrah,4,18,2,13,4.5,12,DC,Arun Jaitley Stadium,18 April 2019
44,Rashid Khan,4,18,1,13,4.5,24,DC,Arun Jaitley Stadium,04 April 2019
45,Axar Patel,4,18,1,10,4.5,24,SRH,Arun Jaitley Stadium,04 April 2019
46,Bhuvneshwar Kumar,4,18,1,15,4.5,24,CSK,Chidambaram,23 April 2019
47,Ravindra Jadeja,4,18,0,14,4.5,0,MI,Chidambaram,07 May 2019
48,Krunal Pandya,2,9,0,4,4.5,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 April 2019
49,Dhawal Kulkarni,3,14,1,11,4.66,18,CSK,Sawai Mansingh Stadium,11 April 2019
50,Jofra Archer,3,14,0,12,4.66,0,KKR,Sawai Mansingh Stadium,07 April 2019
51,Sam Curran,2.2,11,4,8,4.71,3.5,DC,IS Bindra Stadium,01 April 2019
52,Keemo Paul,3.1,15,0,8,4.73,0,RR,Arun Jaitley Stadium,04 May 2019
53,Rahul Chahar,4,19,3,15,4.75,8,DC,Arun Jaitley Stadium,18 April 2019
54,Deepak Chahar,4,19,2,12,4.75,12,RR,Chidambaram,31 March 2019
55,Dwayne Bravo,4,19,2,11,4.75,12,DC,ACA-VDCA Stadium,10 May 2019
56,Sunil Narine,4,19,2,12,4.75,12,CSK,Eden Gardens,14 April 2019
57,Jofra Archer,4,19,1,11,4.75,24,CSK,Sawai Mansingh Stadium,11 April 2019
58,Moeen Ali,4,19,1,10,4.75,24,PBKS,IS Bindra Stadium,13 April 2019
59,Moeen Ali,4,19,1,15,4.75,24,CSK,Chidambaram,23 March 2019
60,Mitchell McClenaghan,4,19,0,13,4.75,0,KKR,Wankhede Stadium,05 May 2019
61,Piyush Chawla,4,19,0,13,4.75,0,RR,Sawai Mansingh Stadium,07 April 2019
62,Krishnappa Gowtham,4,19,0,10,4.75,0,RCB,Sawai Mansingh Stadium,02 April 2019
63,Sandeep Sharma,3.5,19,3,13,4.95,7.66,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
64,Piyush Chawla,4,20,3,14,5,8,RR,Eden Gardens,25 April 2019
65,Deepak Chahar,4,20,3,20,5,8,KKR,Chidambaram,09 April 2019
66,Hardik Pandya,4,20,3,14,5,8,CSK,Wankhede Stadium,03 April 2019
67,Harbhajan Singh,4,20,3,13,5,8,RCB,Chidambaram,23 March 2019
68,Jasprit Bumrah,4,20,3,14,5,8,RCB,M. Chinnaswamy Stadium,28 March 2019
69,Ravindra Jadeja,4,20,2,9,5,12,RR,Sawai Mansingh Stadium,11 April 2019
