POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Varun Aaron,2,3,2,9,1.5,6,DC,IS Bindra Stadium,30 April 2017
2,Lockie Ferguson,4,7,2,17,1.75,12,RCB,Maharashtra Cricket Association's International Stadium,29 April 2017
3,Samuel Badree,4,9,4,16,2.25,6,MI,M. Chinnaswamy Stadium,14 April 2017
4,Jasprit Bumrah,3,7,3,14,2.33,6,KKR,M. Chinnaswamy Stadium,19 May 2017
5,Lasith Malinga,2,5,2,9,2.5,6,DC,Arun Jaitley Stadium,06 May 2017
6,Karn Sharma,3.4,11,3,13,3,7.33,DC,Arun Jaitley Stadium,06 May 2017
7,Chris Woakes,2,6,3,10,3,4,RCB,Eden Gardens,23 April 2017
8,Andrew Tye,4,12,3,12,3,8,RCB,M. Chinnaswamy Stadium,27 April 2017
9,Axar Patel,4,12,1,13,3,24,RCB,Holkar Cricket Stadium,10 April 2017
10,Moises Henriques,2,6,1,7,3,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
11,Glenn Maxwell,4,12,1,15,3,24,DC,IS Bindra Stadium,30 April 2017
12,Mohammad Nabi,4,13,1,15,3.25,24,MI,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
13,Shahbaz Nadeem,4,13,1,12,3.25,24,RCB,M. Chinnaswamy Stadium,08 April 2017
14,Washington Sundar,4,13,0,15,3.25,0,MI,Rajiv Gandhi Intl. Cricket Stadium,21 May 2017
15,Ben Stokes,3,10,0,12,3.33,0,PBKS,Maharashtra Cricket Association's International Stadium,14 May 2017
16,Krunal Pandya,4,14,3,16,3.5,8,GL,Saurashtra Cricket Association Stadium,29 April 2017
17,Washington Sundar,2,7,1,5,3.5,12,RCB,Maharashtra Cricket Association's International Stadium,29 April 2017
18,Nathu Singh,2,7,1,7,3.5,12,PBKS,Saurashtra Cricket Association Stadium,23 April 2017
19,Shardul Thakur,2,7,0,6,3.5,0,MI,Rajiv Gandhi Intl. Cricket Stadium,21 May 2017
20,T Natarajan,2,7,0,9,3.5,0,DC,IS Bindra Stadium,30 April 2017
21,Axar Patel,3,11,3,7,3.66,6,RCB,M. Chinnaswamy Stadium,05 May 2017
22,Amit Mishra,3,11,3,10,3.66,6,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
23,Karn Sharma,4,16,4,11,4,6,KKR,M. Chinnaswamy Stadium,19 May 2017
24,Washington Sundar,4,16,3,13,4,8,MI,Wankhede Stadium,16 May 2017
25,Yuzvendra Chahal,4,16,3,10,4,8,KKR,Eden Gardens,23 April 2017
26,Jaydev Unadkat,3,12,2,14,4,9,PBKS,Maharashtra Cricket Association's International Stadium,14 May 2017
27,Shane Watson,4,16,1,11,4,24,DC,Arun Jaitley Stadium,14 May 2017
28,Rashid Khan,4,16,1,12,4,24,PBKS,IS Bindra Stadium,28 April 2017
29,Pawan Negi,3,12,1,6,4,18,RPS,M. Chinnaswamy Stadium,16 April 2017
30,Ankit Soni,4,16,1,13,4,24,MI,Saurashtra Cricket Association Stadium,29 April 2017
31,Glenn Maxwell,2,8,1,4,4,12,MI,Wankhede Stadium,11 May 2017
32,Ankit Soni,4,16,0,12,4,0,RPS,Maharashtra Cricket Association's International Stadium,01 May 2017
33,Nathu Singh,2,8,0,6,4,0,RCB,M. Chinnaswamy Stadium,27 April 2017
34,Andrew Tye,4,17,5,10,4.25,4.8,RPS,Saurashtra Cricket Association Stadium,14 April 2017
35,Pawan Negi,4,17,2,9,4.25,12,MI,Wankhede Stadium,01 May 2017
36,Aniket Choudhary,4,17,2,13,4.25,12,PBKS,M. Chinnaswamy Stadium,05 May 2017
37,Rashid Khan,4,17,1,10,4.25,24,RPS,Maharashtra Cricket Association's International Stadium,22 April 2017
38,Ben Stokes,4,18,3,11,4.5,8,RCB,M. Chinnaswamy Stadium,16 April 2017
39,Chris Woakes,4,18,3,13,4.5,8,RPS,Eden Gardens,03 May 2017
40,Imran Tahir,4,18,3,12,4.5,8,RCB,Maharashtra Cricket Association's International Stadium,29 April 2017
41,Amit Mishra,4,18,2,13,4.5,12,MI,Wankhede Stadium,22 April 2017
42,Rahul Tewatia,4,18,2,8,4.5,12,KKR,IS Bindra Stadium,09 May 2017
43,Pawan Negi,4,18,1,12,4.5,24,RPS,Maharashtra Cricket Association's International Stadium,29 April 2017
