POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Anil Kumble,3.1,5,5,13,1.57,3.8,RR,Newlands,18 April 2009
2,Muttiah Muralitharan,4,8,2,16,2,12,PBKS,Kingsmead,20 May 2009
3,Amit Singh,4,9,3,15,2.25,8,PBKS,Kingsmead,05 May 2009
4,Harbhajan Singh,4,9,1,15,2.25,24,PBKS,Supersport Park,12 May 2009
5,Praveen Kumar,3,7,2,15,2.33,9,RR,Newlands,18 April 2009
6,Muttiah Muralitharan,4,11,3,16,2.75,8,RCB,St George's Park,20 April 2009
7,Rohit Sharma,2,6,4,6,3,3,MI,Supersport Park,06 May 2009
8,Anil Kumble,4,12,2,14,3,12,CSK,Kingsmead,14 May 2009
9,Lasith Malinga,4,12,2,12,3,12,PBKS,Kingsmead,29 April 2009
10,Murali Kartik,4,12,1,14,3,24,DEC,New Wanderers Stadium,16 May 2009
11,Ashok Dinda,4,12,0,17,3,0,RR,Kingsmead,20 May 2009
12,Dale Steyn,2,6,0,9,3,0,RR,Newlands,18 April 2009
13,Dhawal Kulkarni,3,9,0,9,3,0,DC,Buffalo Park,08 May 2009
14,Yuvraj Singh,4,13,3,15,3.25,8,DEC,New Wanderers Stadium,17 May 2009
15,Albie Morkel,4,13,2,16,3.25,12,RCB,Kingsmead,14 May 2009
16,Ravichandran Ashwin,4,13,2,11,3.25,12,PBKS,Kingsmead,20 May 2009
17,Amit Mishra,4,14,3,15,3.5,8,KKR,New Wanderers Stadium,10 May 2009
18,Pragyan Ojha,4,14,2,13,3.5,12,KKR,Newlands,19 April 2009
19,Munaf Patel,4,14,2,19,3.5,12,KKR,Kingsmead,20 May 2009
20,Tirumalasetti Suman,4,14,2,11,3.5,12,MI,Supersport Park,06 May 2009
21,Munaf Patel,4,14,2,14,3.5,12,DC,Supersport Park,28 April 2009
22,Jesse Ryder,4,14,2,14,3.5,12,RR,Newlands,18 April 2009
23,Muttiah Muralitharan,3,11,2,11,3.66,9,DEC,Buffalo Park,04 May 2009
24,Andrew Flintoff,3,11,1,10,3.66,18,RCB,St George's Park,20 April 2009
25,Charl Langeveldt,4,15,3,16,3.75,8,RR,Kingsmead,20 May 2009
26,Ravindra Jadeja,4,15,3,10,3.75,8,RCB,Supersport Park,07 May 2009
27,Lasith Malinga,4,15,3,13,3.75,8,CSK,Newlands,18 April 2009
28,Brett Lee,4,15,3,17,3.75,8,DC,OUTsurance Oval,15 May 2009
29,Harbhajan Singh,4,15,2,10,3.75,12,RCB,St George's Park,10 May 2009
30,Ishant Sharma,4,15,2,14,3.75,12,RCB,Kingsmead,29 April 2009
31,Kamran Khan,4,15,2,14,3.75,12,PBKS,Newlands,26 April 2009
32,JP Duminy,4,15,2,13,3.75,12,PBKS,Supersport Park,12 May 2009
33,Ishant Sharma,4,15,2,14,3.75,12,RCB,Kingsmead,29 April 2009
34,Ajit Agarkar,4,15,2,15,3.75,12,RR,Kingsmead,20 May 2009
35,JP Duminy,4,15,1,11,3.75,24,DC,Buffalo Park,08 May 2009
36,Andrew Symonds,4,15,1,10,3.75,24,RCB,Supersport Park,21 May 2009
37,Muttiah Muralitharan,4,15,1,13,3.75,24,RCB,New Wanderers Stadium,23 May 2009
