POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Lungi Ngidi,4,10,4,16,2.5,6,PBKS,Maharashtra Cricket Association's International Stadium,20 May 2018
2,Rashid Khan,4,11,2,14,2.75,12,CSK,Wankhede Stadium,22 May 2018
3,Rashid Khan,4,11,2,16,2.75,12,MI,Wankhede Stadium,24 April 2018
4,Yuzvendra Chahal,2,6,1,6,3,12,PBKS,Holkar Cricket Stadium,14 May 2018
5,Sandeep Sharma,3,9,1,14,3,18,MI,Wankhede Stadium,24 April 2018
6,Krishnappa Gowtham,2,6,1,6,3,12,RCB,Sawai Mansingh Stadium,19 May 2018
7,Ravindra Jadeja,4,13,1,14,3.25,24,SRH,Wankhede Stadium,22 May 2018
8,Rashid Khan,4,13,1,18,3.25,24,MI,Rajiv Gandhi Intl. Cricket Stadium,12 April 2018
9,Ankit Rajpoot,4,14,5,17,3.5,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
10,Ish Sodhi,4,14,1,12,3.5,24,PBKS,Sawai Mansingh Stadium,08 May 2018
11,Ben Stokes,4,15,3,14,3.75,8,KKR,Eden Gardens,15 May 2018
12,Deepak Chahar,4,15,3,17,3.75,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
13,Jasprit Bumrah,4,15,3,11,3.75,8,PBKS,Wankhede Stadium,16 May 2018
14,Sandeep Sharma,4,15,1,14,3.75,24,RR,Sawai Mansingh Stadium,29 April 2018
15,Ish Sodhi,4,15,0,11,3.75,0,KKR,Eden Gardens,23 May 2018
16,Krunal Pandya,3.1,12,2,12,3.78,9.5,KKR,Eden Gardens,09 May 2018
17,Shreyas Gopal,4,16,4,10,4,6,RCB,Sawai Mansingh Stadium,19 May 2018
18,Andrew Tye,4,16,4,15,4,6,MI,Wankhede Stadium,16 May 2018
19,Krishnappa Gowtham,3,12,2,10,4,9,PBKS,Sawai Mansingh Stadium,08 May 2018
20,Jofra Archer,4,16,2,14,4,12,MI,Wankhede Stadium,13 May 2018
21,Colin de Grandhomme,2,8,1,6,4,12,PBKS,Holkar Cricket Stadium,14 May 2018
22,Colin de Grandhomme,4,16,1,11,4,24,CSK,Maharashtra Cricket Association's International Stadium,05 May 2018
23,Deepak Chahar,4,16,1,14,4,24,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
24,Liam Plunkett,4,17,3,12,4.25,8,PBKS,Arun Jaitley Stadium,23 April 2018
25,Sunil Narine,4,17,2,11,4.25,12,SRH,Eden Gardens,14 April 2018
26,Sandeep Sharma,4,17,2,13,4.25,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
27,Siddarth Kaul,4,17,2,11,4.25,12,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2018
28,Mujeeb Ur Rahman,4,17,1,11,4.25,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
29,Sunil Narine,4,17,1,9,4.25,24,CSK,Chidambaram,10 April 2018
30,Bhuvneshwar Kumar,4,17,0,16,4.25,0,CSK,Wankhede Stadium,27 May 2018
31,Andre Russell,3,13,2,8,4.33,9,RR,Eden Gardens,15 May 2018
32,Shane Watson,3,13,1,9,4.33,18,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
33,Bhuvneshwar Kumar,3.1,14,1,12,4.42,19,CSK,Wankhede Stadium,22 May 2018
34,Ravindra Jadeja,4,18,3,8,4.5,8,RCB,Maharashtra Cricket Association's International Stadium,05 May 2018
35,Krishnappa Gowtham,4,18,2,10,4.5,12,SRH,Sawai Mansingh Stadium,29 April 2018
36,Kuldeep Yadav,4,18,1,13,4.5,24,RR,Eden Gardens,23 May 2018
37,Piyush Chawla,4,18,1,10,4.5,24,RR,Sawai Mansingh Stadium,18 April 2018
