POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Rashid Khan,4,7,3,17,1.75,8,DC,Dubai International Stadium,27 October 2020
2,Mohammed Siraj,4,8,3,16,2,8,KKR,Zayed Cricket Stadium,21 October 2020
3,T Natarajan,4,11,1,16,2.75,24,RCB,Sharjah Cricket Stadium,31 October 2020
4,Rashid Khan,4,12,3,13,3,8,PBKS,Dubai International Stadium,08 October 2020
5,Adam Zampa,4,12,1,14,3,24,SRH,Zayed Cricket Stadium,06 November 2020
6,Washington Sundar,4,12,1,13,3,24,MI,Dubai International Stadium,28 September 2020
7,Yuzvendra Chahal,4,12,1,13,3,24,KKR,Sharjah Cricket Stadium,12 October 2020
8,Rashid Khan,4,12,0,16,3,0,CSK,Dubai International Stadium,02 October 2020
9,Ravi Bishnoi,4,13,1,14,3.25,24,SRH,Dubai International Stadium,24 October 2020
10,Deepak Chahar,3,10,1,10,3.33,18,RCB,Dubai International Stadium,10 October 2020
11,Jasprit Bumrah,4,14,4,17,3.5,6,DC,Dubai International Stadium,05 November 2020
12,Rashid Khan,4,14,3,13,3.5,8,DC,Zayed Cricket Stadium,29 September 2020
13,Jasprit Bumrah,4,14,3,15,3.5,8,RCB,Zayed Cricket Stadium,28 October 2020
14,Rashid Khan,4,14,2,15,3.5,12,PBKS,Dubai International Stadium,24 October 2020
15,Axar Patel,4,14,1,11,3.5,24,PBKS,Dubai International Stadium,20 September 2020
16,Shreyas Gopal,4,14,1,12,3.5,24,CSK,Zayed Cricket Stadium,19 October 2020
17,Washington Sundar,4,14,1,14,3.5,24,KKR,Zayed Cricket Stadium,21 October 2020
18,Ravindra Jadeja,2,7,0,6,3.5,0,RCB,Dubai International Stadium,10 October 2020
19,Mohammad Shami,4,15,3,15,3.75,8,DC,Dubai International Stadium,20 September 2020
20,Lockie Ferguson,4,15,3,13,3.75,8,SRH,Zayed Cricket Stadium,18 October 2020
21,Yuzvendra Chahal,4,15,2,13,3.75,12,KKR,Zayed Cricket Stadium,21 October 2020
22,Shivam Mavi,4,15,2,14,3.75,12,RR,Dubai International Stadium,01 November 2020
23,Axar Patel,2,8,1,6,4,12,RR,Sharjah Cricket Stadium,09 October 2020
24,Chris Morris,4,16,0,15,4,0,KKR,Zayed Cricket Stadium,21 October 2020
25,Axar Patel,4,16,0,11,4,0,MI,Dubai International Stadium,10 November 2020
26,Chris Jordan,4,17,3,12,4.25,8,SRH,Dubai International Stadium,24 October 2020
27,Pat Cummins,4,17,3,16,4.25,8,DC,Zayed Cricket Stadium,24 October 2020
28,Jasprit Bumrah,4,17,3,15,4.25,8,DC,Dubai International Stadium,31 October 2020
29,Chris Morris,4,17,2,10,4.25,12,KKR,Sharjah Cricket Stadium,12 October 2020
30,Lockie Ferguson,4,17,1,14,4.25,24,RCB,Zayed Cricket Stadium,21 October 2020
31,Ravichandran Ashwin,4,17,1,10,4.25,24,RR,Dubai International Stadium,14 October 2020
32,Murugan Ashwin,4,17,0,8,4.25,0,CSK,Zayed Cricket Stadium,01 November 2020
33,Pat Cummins,3,13,1,12,4.33,18,RR,Dubai International Stadium,30 September 2020
34,Krunal Pandya,3,13,0,9,4.33,0,DC,Dubai International Stadium,31 October 2020
35,Trent Boult,4,18,4,17,4.5,6,CSK,Sharjah Cricket Stadium,23 October 2020
36,Yuzvendra Chahal,4,18,3,11,4.5,8,SRH,Dubai International Stadium,21 September 2020
37,Rahul Chahar,4,18,2,13,4.5,12,KKR,Zayed Cricket Stadium,16 October 2020
38,Jofra Archer,4,18,2,14,4.5,12,KKR,Dubai International Stadium,30 September 2020
39,Axar Patel,4,18,2,10,4.5,12,RCB,Dubai International Stadium,05 October 2020
40,Deepak Chahar,4,18,2,10,4.5,12,DC,Sharjah Cricket Stadium,17 October 2020
41,Jasprit Bumrah,4,18,2,13,4.5,12,PBKS,Zayed Cricket Stadium,01 October 2020
42,Deepak Chahar,4,18,2,17,4.5,12,RR,Zayed Cricket Stadium,19 October 2020
43,Trent Boult,2,9,2,9,4.5,6,DC,Dubai International Stadium,05 November 2020
44,Axar Patel,4,18,1,10,4.5,24,CSK,Dubai International Stadium,25 September 2020
45,Ravichandran Ashwin,4,18,1,10,4.5,24,RCB,Zayed Cricket Stadium,02 November 2020
