POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Mohammad Hafeez,4,8,1,14,2,24,DEC,Eden Gardens,20 April 2008
2,Ishant Sharma,4,9,2,14,2.25,12,RCB,M. Chinnaswamy Stadium,18 April 2008
3,Brett Lee,4,9,1,17,2.25,24,MI,IS Bindra Stadium,25 April 2008
4,Shaun Pollock,4,9,1,17,2.25,24,CSK,Wankhede Stadium,14 May 2008
5,Dominic Thornely,3,7,2,12,2.33,9,KKR,Wankhede Stadium,16 May 2008
6,Sourav Ganguly,3,7,1,10,2.33,18,RCB,Eden Gardens,08 May 2008
7,Sohail Tanvir,4,10,3,18,2.5,8,RCB,Sawai Mansingh Stadium,17 May 2008
8,Irfan Pathan,4,10,1,17,2.5,24,RR,IS Bindra Stadium,28 May 2008
9,Siddharth Trivedi,3,8,1,10,2.66,18,DEC,Sawai Mansingh Stadium,09 May 2008
10,Manpreet Gony,4,11,2,13,2.75,12,RCB,Chidambaram,21 May 2008
11,MF Maharoof,4,11,2,10,2.75,12,RR,Arun Jaitley Stadium,19 April 2008
12,Shaun Pollock,4,12,3,17,3,8,KKR,Wankhede Stadium,16 May 2008
13,Chaminda Vaas,3,9,2,11,3,9,KKR,Eden Gardens,20 April 2008
14,Ishant Sharma,3,9,1,12,3,18,DEC,Eden Gardens,20 April 2008
15,Ashok Dinda,4,12,1,15,3,24,MI,Eden Gardens,29 April 2008
16,Yusuf Pathan,3,9,0,10,3,0,MI,Sawai Mansingh Stadium,26 May 2008
17,Muttiah Muralitharan,4,12,0,14,3,0,KKR,Chidambaram,26 April 2008
18,Glenn McGrath,4,12,0,16,3,0,RR,Sawai Mansingh Stadium,11 May 2008
19,Shane Watson,2,6,0,7,3,0,RCB,Sawai Mansingh Stadium,17 May 2008
20,MF Maharoof,4,13,2,11,3.25,12,RCB,M. Chinnaswamy Stadium,19 May 2008
21,Shane Watson,3,10,3,12,3.33,6,DC,Wankhede Stadium,30 May 2008
22,Sohail Tanvir,4,14,6,16,3.5,4,CSK,Sawai Mansingh Stadium,04 May 2008
23,Sohail Tanvir,4,14,4,15,3.5,6,MI,Sawai Mansingh Stadium,26 May 2008
