POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Zaheer Khan,4,9,2,18,2.25,12,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
2,Ashish Nehra,4,10,4,14,2.5,6,RCB,M. Chinnaswamy Stadium,22 April 2015
3,Ravichandran Ashwin,2,5,2,8,2.5,6,KKR,Chidambaram,28 April 2015
4,Ravindra Jadeja,4,11,4,11,2.75,6,RR,Chidambaram,10 May 2015
5,Harbhajan Singh,4,11,2,15,2.75,12,DC,Wankhede Stadium,05 May 2015
6,Dhawal Kulkarni,3,9,2,13,3,9,SRH,ACA-VDCA Stadium,16 April 2015
7,Sandeep Sharma,4,12,1,14,3,24,MI,Wankhede Stadium,12 April 2015
8,Ravichandran Ashwin,4,13,1,16,3.25,24,RCB,JSCA Stadium,22 May 2015
9,Mohit Sharma,3,10,1,12,3.33,18,PBKS,Chidambaram,25 April 2015
10,Sandeep Sharma,3,10,0,12,3.33,0,DC,Arun Jaitley Stadium,01 May 2015
11,Ravichandran Ashwin,4,14,2,14,3.5,12,PBKS,Chidambaram,25 April 2015
12,Ravichandran Ashwin,4,14,1,14,3.5,24,PBKS,IS Bindra Stadium,16 May 2015
13,Domnic Joseph,2,7,1,8,3.5,12,MI,Arun Jaitley Stadium,23 April 2015
14,Ravindra Jadeja,3,11,0,10,3.66,0,KKR,Chidambaram,28 April 2015
15,Mitchell Starc,4,15,4,14,3.75,6,PBKS,M. Chinnaswamy Stadium,06 May 2015
16,JP Duminy,4,15,1,10,3.75,24,PBKS,Arun Jaitley Stadium,01 May 2015
17,Moises Henriques,4,16,3,10,4,8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
18,Mitchell McClenaghan,4,16,3,13,4,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
19,Ashish Nehra,4,16,2,15,4,12,PBKS,Chidambaram,25 April 2015
20,Karn Sharma,3,12,2,11,4,9,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
21,Stuart Binny,2,8,1,8,4,12,MI,Narendra Modi Stadium,14 April 2015
22,Piyush Chawla,4,16,1,8,4,24,SRH,Eden Gardens,04 May 2015
23,Jayant Yadav,2,8,1,7,4,12,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
24,Suresh Raina,3,12,0,8,4,0,KKR,Chidambaram,28 April 2015
25,Zaheer Khan,4,17,2,13,4.25,12,PBKS,Arun Jaitley Stadium,01 May 2015
26,Brad Hogg,4,17,2,10,4.25,12,SRH,Eden Gardens,04 May 2015
27,Lasith Malinga,4,17,2,12,4.25,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
28,Ravichandran Ashwin,4,17,2,15,4.25,12,MI,Chidambaram,08 May 2015
29,Sunil Narine,4,17,1,11,4.25,24,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015
30,Iqbal Abdulla,4,17,1,12,4.25,24,DC,Arun Jaitley Stadium,26 April 2015
31,Vinay Kumar,3,13,1,11,4.33,18,RR,Narendra Modi Stadium,14 April 2015
32,Dwayne Bravo,3,13,0,5,4.33,0,PBKS,Chidambaram,25 April 2015
33,Umesh Yadav,4,18,2,11,4.5,12,DC,Arun Jaitley Stadium,20 April 2015
34,Morne Morkel,4,18,2,15,4.5,12,MI,Eden Gardens,08 April 2015
35,Ravi Bopara,4,18,2,12,4.5,12,RR,ACA-VDCA Stadium,16 April 2015
36,Sandeep Sharma,2,9,1,7,4.5,12,CSK,IS Bindra Stadium,16 May 2015
37,Brad Hogg,4,18,1,9,4.5,24,CSK,Chidambaram,28 April 2015
38,Beuran Hendricks,2,9,1,4,4.5,12,RCB,IS Bindra Stadium,13 May 2015
39,Shahbaz Nadeem,4,18,0,15,4.5,0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
40,Dwayne Bravo,3.4,17,2,12,4.63,11,RCB,Chidambaram,04 May 2015
41,Jagadeesha Suchith,3,14,2,8,4.66,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
42,Harshal Patel,3,14,1,7,4.66,18,DC,Arun Jaitley Stadium,26 April 2015
43,Nathan Coulter-Nile,3,14,0,13,4.66,0,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
44,Sunil Narine,4,19,4,13,4.75,6,PBKS,Eden Gardens,09 May 2015
45,Chris Morris,4,19,3,12,4.75,8,CSK,Chidambaram,10 May 2015
46,Trent Boult,4,19,3,14,4.75,8,PBKS,IS Bindra Stadium,27 April 2015
47,Ashish Nehra,4,19,3,13,4.75,8,RCB,Chidambaram,04 May 2015
48,Harshal Patel,4,19,2,13,4.75,12,CSK,Chidambaram,04 May 2015
49,Jayant Yadav,4,19,1,10,4.75,24,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
50,Chris Morris,4,19,1,14,4.75,24,CSK,Narendra Modi Stadium,19 April 2015
51,Sandeep Sharma,4,19,1,11,4.75,24,RR,Maharashtra Cricket Association's International Stadium,10 April 2015
52,Nathan Coulter-Nile,4,20,4,13,5,6,PBKS,Arun Jaitley Stadium,01 May 2015
53,Mitchell Starc,4,20,3,14,5,8,DC,Arun Jaitley Stadium,26 April 2015
54,Mitchell McClenaghan,4,20,3,13,5,8,SRH,Wankhede Stadium,25 April 2015
55,Yuzvendra Chahal,4,20,2,9,5,12,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
56,Harbhajan Singh,4,20,2,9,5,12,PBKS,Wankhede Stadium,12 April 2015
57,Moises Henriques,4,20,2,12,5,12,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015
58,Andre Russell,4,20,2,9,5,12,CSK,Eden Gardens,30 April 2015
59,Harshal Patel,3,15,2,8,5,9,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
60,Sreenath Aravind,4,20,2,13,5,12,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
61,Bhuvneshwar Kumar,4,20,1,11,5,24,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
62,Dhawal Kulkarni,3,15,1,10,5,18,MI,Narendra Modi Stadium,14 April 2015
63,Karn Sharma,4,20,1,7,5,24,RCB,M. Chinnaswamy Stadium,13 April 2015
64,Parveez Rasool,4,20,1,9,5,24,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
65,Amit Mishra,4,20,1,14,5,24,KKR,Eden Gardens,07 May 2015
66,Andre Russell,2,10,1,8,5,12,SRH,Eden Gardens,04 May 2015
67,Amit Mishra,2,10,1,5,5,12,PBKS,Arun Jaitley Stadium,01 May 2015
68,Deepak Hooda,4,20,0,8,5,0,DC,Arun Jaitley Stadium,12 April 2015
69,Pravin Tambe,3,15,0,7,5,0,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015
70,Pravin Tambe,4,21,2,12,5.25,12,SRH,ACA-VDCA Stadium,16 April 2015
71,Ishwar Pandey,4,21,1,14,5.25,24,RCB,M. Chinnaswamy Stadium,22 April 2015
72,Jagadeesha Suchith,4,21,1,10,5.25,24,CSK,Chidambaram,08 May 2015
73,Amit Mishra,4,21,1,10,5.25,24,CSK,Chidambaram,09 April 2015
