POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Ravichandran Ashwin,2,3,2,10,1.5,6,DC,Zayed Cricket Stadium,21 April 2014
2,Jaydev Unadkat,2,3,1,10,1.5,12,PBKS,IS Bindra Stadium,25 May 2014
3,Shane Watson,2,5,1,9,2.5,12,RCB,Zayed Cricket Stadium,26 April 2014
4,Axar Patel,4,11,2,13,2.75,12,KKR,Eden Gardens,28 May 2014
5,Ravindra Jadeja,4,12,4,14,3,6,KKR,JSCA Stadium,02 May 2014
6,Varun Aaron,3,9,1,12,3,18,DC,Sharjah Cricket Stadium,17 April 2014
7,Suresh Raina,2,6,0,6,3,0,RR,Dubai International Stadium,23 April 2014
8,Lakshmipathy Balaji,4,13,4,12,3.25,6,SRH,Sharjah Cricket Stadium,22 April 2014
9,Umesh Yadav,4,13,3,15,3.25,8,PBKS,Eden Gardens,28 May 2014
10,Harbhajan Singh,4,13,2,17,3.25,12,RR,Narendra Modi Stadium,19 May 2014
11,Rajat Bhatia,4,13,2,11,3.25,12,CSK,Dubai International Stadium,23 April 2014
12,Shakib Al Hasan,4,13,1,12,3.25,24,DC,Arun Jaitley Stadium,07 May 2014
13,Amit Mishra,4,13,0,13,3.25,0,RR,Narendra Modi Stadium,08 May 2014
14,Bhuvneshwar Kumar,4,14,4,17,3.5,6,RR,Narendra Modi Stadium,08 May 2014
15,Mohit Sharma,4,14,4,14,3.5,6,MI,Dubai International Stadium,25 April 2014
16,Rishi Dhawan,4,14,2,11,3.5,12,RCB,Dubai International Stadium,28 April 2014
17,Ashok Dinda,4,14,1,12,3.5,24,MI,Dubai International Stadium,19 April 2014
18,Harbhajan Singh,4,14,0,12,3.5,0,RCB,Dubai International Stadium,19 April 2014
19,Lasith Malinga,4,15,2,10,3.75,12,CSK,Wankhede Stadium,10 May 2014
20,Mitchell Starc,4,15,0,16,3.75,0,PBKS,Dubai International Stadium,28 April 2014
21,Varun Aaron,4,16,3,13,4,8,KKR,Sharjah Cricket Stadium,24 April 2014
22,Axar Patel,4,16,2,11,4,12,KKR,Zayed Cricket Stadium,26 April 2014
23,Bhuvneshwar Kumar,4,16,2,18,4,12,RCB,M. Chinnaswamy Stadium,04 May 2014
24,Karanveer Singh,4,16,2,12,4,12,RR,IS Bindra Stadium,23 May 2014
25,Ravichandran Ashwin,4,16,2,17,4,12,RCB,JSCA Stadium,18 May 2014
26,Morne Morkel,4,16,1,16,4,24,MI,Zayed Cricket Stadium,16 April 2014
27,Ashok Dinda,2,8,0,7,4,0,RR,Zayed Cricket Stadium,26 April 2014
28,Harbhajan Singh,4,16,0,9,4,0,SRH,Dubai International Stadium,30 April 2014
29,Ravi Rampaul,4,16,0,13,4,0,RR,Zayed Cricket Stadium,26 April 2014
30,Karn Sharma,2,8,0,5,4,0,RR,Zayed Cricket Stadium,18 April 2014
31,Karn Sharma,4,17,3,14,4.25,8,RCB,M. Chinnaswamy Stadium,04 May 2014
32,Lasith Malinga,4,17,2,14,4.25,12,DC,Sharjah Cricket Stadium,27 April 2014
33,Yuzvendra Chahal,4,17,2,9,4.25,12,MI,Dubai International Stadium,19 April 2014
34,Bhuvneshwar Kumar,4,17,2,16,4.25,12,MI,Dubai International Stadium,30 April 2014
35,Wayne Parnell,4,17,1,17,4.25,24,MI,Sharjah Cricket Stadium,27 April 2014
36,Sunil Narine,4,17,1,14,4.25,24,RCB,Sharjah Cricket Stadium,24 April 2014
37,Lakshmipathy Balaji,4,17,1,11,4.25,24,RCB,Dubai International Stadium,28 April 2014
38,Ravichandran Ashwin,4,17,0,9,4.25,0,SRH,Sharjah Cricket Stadium,27 April 2014
39,JP Duminy,3,13,0,9,4.33,0,MI,Sharjah Cricket Stadium,27 April 2014
40,Kane Richardson,4,18,2,11,4.5,12,RCB,Zayed Cricket Stadium,26 April 2014
41,Ravindra Jadeja,4,18,2,10,4.5,12,RR,JSCA Stadium,13 May 2014
42,Ben Hilfenhaus,2,9,1,7,4.5,12,DC,Zayed Cricket Stadium,21 April 2014
43,Yuzvendra Chahal,4,18,1,11,4.5,24,DC,Sharjah Cricket Stadium,17 April 2014
44,Abu Nechim,4,18,1,7,4.5,24,CSK,JSCA Stadium,18 May 2014
45,Sunil Narine,4,18,1,9,4.5,24,DC,Dubai International Stadium,19 April 2014
46,Sunil Narine,4,18,1,10,4.5,24,MI,Barabati Stadium,14 May 2014
47,Axar Patel,4,18,1,12,4.5,24,DC,Arun Jaitley Stadium,19 May 2014
48,Piyush Chawla,4,19,3,7,4.75,8,PBKS,Barabati Stadium,11 May 2014
49,Piyush Chawla,4,19,3,10,4.75,8,PBKS,Zayed Cricket Stadium,26 April 2014
50,Bhuvneshwar Kumar,4,19,3,15,4.75,8,PBKS,Sharjah Cricket Stadium,22 April 2014
51,Karn Sharma,4,19,2,12,4.75,12,CSK,JSCA Stadium,22 May 2014
52,Mitchell Johnson,4,19,2,12,4.75,12,RCB,Dubai International Stadium,28 April 2014
53,Samuel Badree,4,19,1,15,4.75,24,RR,JSCA Stadium,13 May 2014
54,Shahbaz Nadeem,4,19,1,9,4.75,24,MI,Sharjah Cricket Stadium,27 April 2014
55,Karn Sharma,4,19,1,9,4.75,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
56,Sunil Narine,4,19,0,10,4.75,0,SRH,Eden Gardens,24 May 2014
57,Sunil Narine,4,20,4,13,5,6,MI,Zayed Cricket Stadium,16 April 2014
58,Sunil Narine,4,20,4,9,5,6,RCB,Eden Gardens,22 May 2014
59,Pravin Tambe,4,20,4,14,5,6,RCB,Zayed Cricket Stadium,26 April 2014
60,Sandeep Sharma,3,15,3,12,5,6,RCB,Dubai International Stadium,28 April 2014
61,Dale Steyn,4,20,2,15,5,12,MI,Dubai International Stadium,30 April 2014
62,Morne Morkel,4,20,2,16,5,12,PBKS,Barabati Stadium,11 May 2014
63,Dale Steyn,4,20,2,11,5,12,DC,Arun Jaitley Stadium,10 May 2014
64,Ankit Sharma,4,20,2,12,5,12,CSK,JSCA Stadium,13 May 2014
65,Irfan Pathan,2,10,2,4,5,6,MI,Dubai International Stadium,30 April 2014
66,Parvinder Awana,3,15,2,11,5,9,DC,IS Bindra Stadium,25 May 2014
