POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Stuart Binny,2,3,1,9,1.5,12,DC,Sawai Mansingh Stadium,07 May 2013
2,Mitchell Johnson,4,8,2,16,2,12,PWI,Maharashtra Cricket Association's International Stadium,11 May 2013
3,Lasith Malinga,3,6,2,12,2,9,CSK,Wankhede Stadium,05 May 2013
4,Amit Mishra,4,8,2,18,2,12,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
5,Karn Sharma,4,8,0,16,2,0,CSK,Chidambaram,25 April 2013
6,Lakshmipathy Balaji,3,7,0,13,2.33,0,MI,Wankhede Stadium,07 May 2013
7,Praveen Kumar,4,10,2,17,2.5,12,RR,Sawai Mansingh Stadium,14 April 2013
8,Hanuma Vihari,2,5,0,8,2.5,0,PBKS,IS Bindra Stadium,11 May 2013
9,Dale Steyn,4,11,2,15,2.75,12,DC,Arun Jaitley Stadium,12 April 2013
10,Sunil Narine,4,11,0,17,2.75,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013
11,Dale Steyn,3.5,11,3,14,2.86,7.66,PWI,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013
12,Dwayne Bravo,3,9,3,9,3,6,MI,Arun Jaitley Stadium,21 May 2013
13,Ajit Chandila,2,6,2,5,3,6,MI,Sawai Mansingh Stadium,17 April 2013
14,Sunil Narine,4,12,2,15,3,12,PWI,Maharashtra Cricket Association's International Stadium,09 May 2013
15,Bhuvneshwar Kumar,4,12,2,15,3,12,CSK,Chidambaram,15 April 2013
16,Moises Henriques,2,6,1,7,3,12,RR,Sawai Mansingh Stadium,29 April 2013
17,Ryan Harris,4,12,1,17,3,24,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
18,Sunil Narine,4,13,4,14,3.25,6,DC,Eden Gardens,03 April 2013
19,RP Singh,4,13,3,17,3.25,8,RR,M. Chinnaswamy Stadium,20 April 2013
20,Jacques Kallis,4,13,3,13,3.25,8,SRH,Eden Gardens,14 April 2013
21,Mitchell Johnson,4,13,2,14,3.25,12,KKR,Wankhede Stadium,07 May 2013
22,Harbhajan Singh,4,13,1,13,3.25,24,CSK,Wankhede Stadium,05 May 2013
23,Mohit Sharma,3,10,3,11,3.33,6,DC,Arun Jaitley Stadium,18 April 2013
24,Darren Sammy,3,10,2,10,3.33,9,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
25,Ankeet Chavan,3,10,0,12,3.33,0,MI,Sawai Mansingh Stadium,17 April 2013
26,Thisara Perera,3.1,11,2,13,3.47,9.5,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
27,Harbhajan Singh,4,14,3,10,3.5,8,PBKS,Wankhede Stadium,29 April 2013
28,Jacques Kallis,4,14,2,11,3.5,12,PBKS,Eden Gardens,26 April 2013
29,Mitchell Marsh,2,7,2,6,3.5,6,KKR,Maharashtra Cricket Association's International Stadium,09 May 2013
30,Dale Steyn,4,14,1,14,3.5,24,PBKS,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013
31,Harbhajan Singh,4,14,1,10,3.5,24,PWI,Maharashtra Cricket Association's International Stadium,11 May 2013
32,Sunil Narine,4,14,0,14,3.5,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
33,Shahbaz Nadeem,2,7,0,6,3.5,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
34,David Hussey,4,14,0,9,3.5,0,DC,Arun Jaitley Stadium,23 April 2013
35,Johan Botha,3,11,2,10,3.66,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
36,Ishant Sharma,3,11,1,13,3.66,18,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
37,Johan Botha,3,11,1,10,3.66,18,SRH,Arun Jaitley Stadium,12 April 2013
38,Kevon Cooper,4,15,3,11,3.75,8,KKR,Sawai Mansingh Stadium,08 April 2013
39,Ali Murtaza,4,15,3,12,3.75,8,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
40,Ishant Sharma,4,15,2,15,3.75,12,MI,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013
41,Ajantha Mendis,4,15,1,12,3.75,24,MI,Maharashtra Cricket Association's International Stadium,11 May 2013
42,Amit Mishra,4,15,1,10,3.75,24,DC,Arun Jaitley Stadium,12 April 2013
43,Dale Steyn,4,15,1,16,3.75,24,RR,Sawai Mansingh Stadium,27 April 2013
44,Amit Mishra,4,15,1,13,3.75,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,07 April 2013
45,James Faulkner,4,16,5,12,4,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
46,Pragyan Ojha,4,16,2,9,4,12,CSK,Chidambaram,06 April 2013
47,Albie Morkel,3,12,2,11,4,9,MI,Eden Gardens,26 May 2013
48,Rahul Sharma,4,16,2,10,4,12,RR,Maharashtra Cricket Association's International Stadium,11 April 2013
49,Amit Mishra,4,16,1,11,4,24,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013
50,Praveen Kumar,3,12,1,11,4,18,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013
51,Irfan Pathan,4,16,1,15,4,24,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
52,Parvinder Awana,4,16,1,14,4,24,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013
53,Amit Mishra,4,16,1,15,4,24,RR,Arun Jaitley Stadium,22 May 2013
54,Chris Morris,3,12,1,9,4,18,KKR,Eden Gardens,20 April 2013
55,Yuvraj Singh,2,8,1,6,4,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013
56,Dale Steyn,4,16,0,13,4,0,RCB,M. Chinnaswamy Stadium,09 April 2013
57,Parvinder Awana,4,16,0,9,4,0,MI,Wankhede Stadium,29 April 2013
58,Siddarth Kaul,2,8,0,10,4,0,SRH,Arun Jaitley Stadium,12 April 2013
59,James Faulkner,4,16,0,13,4,0,KKR,Eden Gardens,03 May 2013
60,Sunil Narine,4,17,3,11,4.25,8,MI,Eden Gardens,24 April 2013
61,Jacques Kallis,4,17,2,10,4.25,12,RCB,JSCA Stadium,12 May 2013
62,James Faulkner,4,17,2,13,4.25,12,PWI,Maharashtra Cricket Association's International Stadium,11 April 2013
63,Shahbaz Nadeem,4,17,2,11,4.25,12,SRH,Arun Jaitley Stadium,12 April 2013
64,Dale Steyn,4,17,2,12,4.25,12,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
