POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
111,Amit Mishra,4,20,2,9,5,12,RR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2012
112,Piyush Chawla,4,20,2,11,5,12,CSK,Chidambaram,28 April 2012
113,Siddharth Trivedi,4,20,2,12,5,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2012
114,Daniel Vettori,4,20,1,6,5,24,RR,M. Chinnaswamy Stadium,15 April 2012
115,Brad Hogg,4,20,1,12,5,24,KKR,Eden Gardens,13 April 2012
116,Lakshmipathy Balaji,4,20,1,9,5,24,PBKS,IS Bindra Stadium,18 April 2012
117,Ben Hilfenhaus,4,20,1,15,5,24,PBKS,HPCA Stadium,17 May 2012
118,Glenn Maxwell,2,10,1,5,5,12,RCB,M. Chinnaswamy Stadium,07 April 2012
119,Irfan Pathan,4,20,1,11,5,24,KKR,Maharashtra Cricket Association's International Stadium,22 May 2012
120,Suresh Raina,2,10,1,2,5,12,DEC,ACA-VDCA Stadium,07 April 2012
121,Ajit Chandila,4,20,1,12,5,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2012
122,Ashok Menaria,2,10,0,7,5,0,CSK,Chidambaram,21 April 2012
123,Angelo Mathews,3,15,0,3,5,0,RR,Maharashtra Cricket Association's International Stadium,08 May 2012
124,Dwayne Smith,2,10,0,5,5,0,RCB,M. Chinnaswamy Stadium,14 May 2012
125,Albie Morkel,4,20,0,13,5,0,MI,Chidambaram,04 April 2012
126,Munaf Patel,3,15,0,10,5,0,DC,Wankhede Stadium,16 April 2012
127,Harshal Patel,2,10,0,6,5,0,DC,M. Chinnaswamy Stadium,07 April 2012
128,Ravichandran Ashwin,4,20,0,10,5,0,MI,Chidambaram,04 April 2012
129,Lasith Malinga,4,20,0,14,5,0,RCB,Wankhede Stadium,09 May 2012
130,Daniel Vettori,4,20,0,9,5,0,RR,Sawai Mansingh Stadium,23 April 2012
131,Ashish Reddy,2.1,11,1,8,5.07,13,MI,Wankhede Stadium,29 April 2012
132,Lakshmipathy Balaji,3.5,20,1,10,5.21,23,PWI,Maharashtra Cricket Association's International Stadium,19 May 2012
133,Muttiah Muralitharan,4,21,3,10,5.25,8,CSK,Chidambaram,12 April 2012
134,Umesh Yadav,4,21,3,14,5.25,8,PBKS,Arun Jaitley Stadium,15 May 2012
135,Yo Mahesh,4,21,2,10,5.25,12,RR,Sawai Mansingh Stadium,10 May 2012
136,Johan Botha,4,21,2,9,5.25,12,PBKS,IS Bindra Stadium,05 May 2012
137,Jacques Kallis,4,21,2,10,5.25,12,CSK,Chidambaram,30 April 2012
138,Zaheer Khan,4,21,2,11,5.25,12,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
139,Piyush Chawla,4,21,1,9,5.25,24,RCB,IS Bindra Stadium,20 April 2012
140,Morne Morkel,4,21,1,10,5.25,24,MI,Arun Jaitley Stadium,27 April 2012
141,Marlon Samuels,4,21,1,12,5.25,24,MI,Wankhede Stadium,06 April 2012
142,Ravindra Jadeja,4,21,1,9,5.25,24,RR,Sawai Mansingh Stadium,10 May 2012
143,Brett Lee,4,21,0,17,5.25,0,RCB,M. Chinnaswamy Stadium,10 April 2012
144,Ravindra Jadeja,4,21,0,6,5.25,0,PWI,Chidambaram,19 April 2012
145,Rahul Sharma,3,16,2,5,5.33,9,CSK,Maharashtra Cricket Association's International Stadium,14 April 2012
146,Harbhajan Singh,3,16,1,7,5.33,18,PWI,Wankhede Stadium,06 April 2012
147,Albie Morkel,3,16,1,7,5.33,18,DEC,Chidambaram,04 May 2012
148,Varun Aaron,3.4,20,1,8,5.45,22,KKR,Arun Jaitley Stadium,07 May 2012
149,Vinay Kumar,4,22,3,11,5.5,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
150,Alfonso Thomas,4,22,3,13,5.5,8,DC,Arun Jaitley Stadium,21 April 2012
