POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Jacques Kallis,2,3,2,9,1.5,6,DEC,DY Patil Stadium,24 April 2010
2,Yusuf Pathan,2,3,0,9,1.5,0,DEC,Vidarbha Cricket Association Stadium,05 April 2010
3,Anil Kumble,3.5,9,3,13,2.34,7.66,RR,M. Chinnaswamy Stadium,18 March 2010
4,Dirk Nannes,4,12,2,18,3,12,PBKS,IS Bindra Stadium,13 March 2010
5,Albie Morkel,2,6,1,9,3,12,KKR,Eden Gardens,16 March 2010
6,Doug Bollinger,4,13,4,17,3.25,6,DEC,DY Patil Stadium,22 April 2010
7,Ravichandran Ashwin,4,13,2,18,3.25,12,DEC,Vidarbha Cricket Association Stadium,10 April 2010
8,Amit Mishra,4,13,1,13,3.25,24,CSK,Chidambaram,15 April 2010
9,Lasith Malinga,3.4,12,3,13,3.27,7.33,DEC,DY Patil Stadium,28 March 2010
10,Ravichandran Ashwin,4,14,1,15,3.5,24,DEC,DY Patil Stadium,22 April 2010
11,Yuvraj Singh,4,14,1,11,3.5,24,DC,Arun Jaitley Stadium,11 April 2010
12,Dwayne Bravo,2,7,0,6,3.5,0,KKR,Eden Gardens,19 April 2010
13,Dale Steyn,3,11,1,15,3.66,18,DEC,DY Patil Stadium,24 April 2010
14,Yuvraj Singh,3,11,0,7,3.66,0,DC,IS Bindra Stadium,13 March 2010
15,Doug Bollinger,4,15,2,17,3.75,12,KKR,Chidambaram,13 April 2010
16,Doug Bollinger,4,15,2,14,3.75,12,RR,Chidambaram,03 April 2010
17,Amit Mishra,4,15,1,11,3.75,24,PBKS,Arun Jaitley Stadium,11 April 2010
18,Dale Steyn,4,15,1,16,3.75,24,RR,Sawai Mansingh Stadium,14 April 2010
19,Anil Kumble,4,15,1,11,3.75,24,CSK,M. Chinnaswamy Stadium,23 March 2010
20,Shane Warne,4,15,1,11,3.75,24,DEC,Narendra Modi Stadium,26 March 2010
21,Kieron Pollard,4,15,0,10,3.75,0,DC,Brabourne Stadium,13 April 2010
22,Lakshmipathy Balaji,2.2,9,2,8,3.85,7,KKR,Eden Gardens,16 March 2010
23,JM Kemp,3,12,3,8,4,6,KKR,Eden Gardens,16 March 2010
24,Muttiah Muralitharan,4,16,3,15,4,8,PBKS,Chidambaram,21 March 2010
25,Ravichandran Ashwin,4,16,3,15,4,8,KKR,Chidambaram,13 April 2010
26,Pragyan Ojha,4,16,2,11,4,12,DC,Arun Jaitley Stadium,18 April 2010
27,Piyush Chawla,4,16,2,14,4,12,DC,Arun Jaitley Stadium,11 April 2010
28,Muttiah Muralitharan,4,16,1,12,4,24,KKR,Eden Gardens,16 March 2010
29,Muttiah Muralitharan,4,16,1,13,4,24,DEC,DY Patil Stadium,22 April 2010
30,Praveen Kumar,4,16,1,12,4,24,KKR,Eden Gardens,14 March 2010
31,Amit Mishra,3,12,1,10,4,18,DEC,Barabati Stadium,21 March 2010
32,Anil Kumble,4,16,1,11,4,24,CSK,Chidambaram,31 March 2010
33,Ashish Nehra,2,8,0,6,4,0,PBKS,Arun Jaitley Stadium,11 April 2010
34,Andrew Symonds,2,8,0,5,4,0,DC,Arun Jaitley Stadium,18 April 2010
35,Kieron Pollard,4,17,3,10,4.25,8,RCB,DY Patil Stadium,21 April 2010
36,RP Singh,4,17,3,13,4.25,8,RR,Vidarbha Cricket Association Stadium,05 April 2010
37,Zaheer Khan,4,17,2,14,4.25,12,RR,Sawai Mansingh Stadium,11 April 2010
38,Sanath Jayasuriya,4,17,2,16,4.25,12,DC,Arun Jaitley Stadium,17 March 2010
39,Shadab Jakati,4,17,2,14,4.25,12,RCB,Chidambaram,31 March 2010
40,Juan Theron,4,17,2,12,4.25,12,CSK,Chidambaram,21 March 2010
41,Harbhajan Singh,4,17,1,7,4.25,24,KKR,Brabourne Stadium,22 March 2010
42,Nayan Doshi,4,17,1,14,4.25,24,DEC,DY Patil Stadium,24 April 2010
43,Muttiah Muralitharan,4,17,1,9,4.25,24,MI,DY Patil Stadium,25 April 2010
44,Anil Kumble,4,17,1,14,4.25,24,KKR,M. Chinnaswamy Stadium,10 April 2010
45,MF Maharoof,3,13,2,13,4.33,9,RR,Arun Jaitley Stadium,31 March 2010
46,Praveen Kumar,4,18,3,15,4.5,8,RR,M. Chinnaswamy Stadium,18 March 2010
47,Dale Steyn,4,18,3,13,4.5,8,DEC,Vidarbha Cricket Association Stadium,12 April 2010
48,Ryan Harris,4,18,3,11,4.5,8,CSK,Vidarbha Cricket Association Stadium,10 April 2010
49,Virender Sehwag,4,18,2,13,4.5,12,CSK,Chidambaram,15 April 2010
50,Yusuf Pathan,2,9,2,3,4.5,6,PBKS,IS Bindra Stadium,24 March 2010
51,Praveen Kumar,4,18,2,13,4.5,12,DEC,DY Patil Stadium,24 April 2010
52,Ali Murtaza,4,18,2,5,4.5,12,DC,Brabourne Stadium,13 April 2010
53,Zaheer Khan,4,18,1,11,4.5,24,RCB,Brabourne Stadium,20 March 2010
54,Anil Kumble,4,18,1,11,4.5,24,MI,Brabourne Stadium,20 March 2010
55,Dirk Nannes,4,18,1,12,4.5,24,CSK,Arun Jaitley Stadium,19 March 2010
56,Andrew Symonds,4,18,1,10,4.5,24,CSK,DY Patil Stadium,22 April 2010
57,Amit Mishra,4,18,1,10,4.5,24,KKR,Arun Jaitley Stadium,29 March 2010
58,Andrew Symonds,2,9,0,7,4.5,0,RR,Narendra Modi Stadium,26 March 2010
59,Adam Voges,2,9,0,3,4.5,0,DEC,Narendra Modi Stadium,26 March 2010
60,Dale Steyn,4,18,0,10,4.5,0,MI,M. Chinnaswamy Stadium,17 April 2010
61,Siddharth Trivedi,4,18,0,10,4.5,0,CSK,Narendra Modi Stadium,28 March 2010
62,Dale Steyn,4,18,0,14,4.5,0,RR,M. Chinnaswamy Stadium,18 March 2010
63,Anil Kumble,3.3,16,4,13,4.57,5.25,DEC,DY Patil Stadium,24 April 2010
64,Shadab Jakati,3,14,1,9,4.66,18,DC,Chidambaram,15 April 2010
65,Ryan Harris,3,14,0,12,4.66,0,RCB,DY Patil Stadium,24 April 2010
66,Ashok Dinda,3.1,15,2,10,4.73,9.5,RCB,M. Chinnaswamy Stadium,10 April 2010
67,Dirk Nannes,3.1,15,1,12,4.73,19,KKR,Arun Jaitley Stadium,29 March 2010
68,Angelo Mathews,4,19,4,10,4.75,6,RCB,Eden Gardens,14 March 2010
69,Paul Collingwood,4,19,2,11,4.75,12,PBKS,Arun Jaitley Stadium,11 April 2010
70,Chaminda Vaas,4,19,1,9,4.75,24,DC,Arun Jaitley Stadium,18 April 2010
71,Jacques Kallis,4,19,1,11,4.75,24,RR,Sawai Mansingh Stadium,14 April 2010
72,Tillakaratne Dilshan,4,19,1,11,4.75,24,CSK,Chidambaram,15 April 2010
73,Shane Watson,4,19,1,13,4.75,24,PBKS,Sawai Mansingh Stadium,07 April 2010
74,Anil Kumble,4,19,0,14,4.75,0,KKR,Eden Gardens,14 March 2010
75,Sudeep Tyagi,4,19,0,13,4.75,0,RCB,M. Chinnaswamy Stadium,23 March 2010
76,Pragyan Ojha,4,19,0,12,4.75,0,KKR,DY Patil Stadium,12 March 2010
77,Suresh Raina,2.3,12,1,5,4.8,15,MI,Chidambaram,06 April 2010
78,Murali Kartik,4,20,2,9,5,12,MI,Eden Gardens,19 April 2010
79,Jacques Kallis,4,20,2,9,5,12,RR,M. Chinnaswamy Stadium,18 March 2010
