POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,JP Duminy,2,3,1,9,1.5,12,MI,Wankhede Stadium,14 May 2011
2,Rahul Sharma,4,7,2,17,1.75,12,MI,DY Patil Stadium,04 May 2011
3,Brett Lee,4,8,0,15,2,0,CSK,Eden Gardens,07 May 2011
4,Amit Mishra,4,9,4,16,2.25,6,PBKS,HPCA Stadium,21 May 2011
5,Lasith Malinga,4,9,3,13,2.25,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
6,Shanthakumaran Sreesanth,4,10,2,15,2.5,12,DC,Jawaharlal Nehru Stadium,30 April 2011
7,Morne Morkel,4,11,1,13,2.75,24,RR,Sawai Mansingh Stadium,12 April 2011
8,Johan Botha,2,6,3,7,3,4,MI,Sawai Mansingh Stadium,29 April 2011
9,Wayne Parnell,4,12,2,13,3,12,PBKS,IS Bindra Stadium,08 May 2011
10,Jesse Ryder,3,9,1,11,3,18,PBKS,DY Patil Stadium,10 April 2011
11,Amit Mishra,4,12,1,11,3,24,KTK,Jawaharlal Nehru Stadium,27 April 2011
12,Yusuf Pathan,2,6,1,6,3,12,DC,Arun Jaitley Stadium,28 April 2011
13,Brad Hodge,4,13,4,16,3.25,6,RR,Holkar Cricket Stadium,15 May 2011
14,Rahul Sharma,4,13,3,17,3.25,8,RR,Sawai Mansingh Stadium,01 May 2011
15,Shane Warne,4,13,1,13,3.25,24,MI,Sawai Mansingh Stadium,29 April 2011
16,Charl Langeveldt,3,10,2,9,3.33,9,KKR,M. Chinnaswamy Stadium,14 May 2011
17,Munaf Patel,3,10,0,7,3.33,0,RCB,M. Chinnaswamy Stadium,12 April 2011
18,Munaf Patel,2.2,8,3,10,3.42,4.66,PWI,Wankhede Stadium,20 April 2011
19,Sreenath Aravind,4,14,4,14,3.5,6,PBKS,M. Chinnaswamy Stadium,06 May 2011
20,Amit Mishra,4,14,2,14,3.5,12,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
21,Raiphi Gomez,4,14,2,14,3.5,12,KKR,Jawaharlal Nehru Stadium,05 May 2011
22,Amit Singh,4,14,2,15,3.5,12,MI,Sawai Mansingh Stadium,29 April 2011
23,Daniel Vettori,4,14,1,10,3.5,24,PBKS,M. Chinnaswamy Stadium,06 May 2011
24,Ashok Dinda,2,7,0,7,3.5,0,MI,Arun Jaitley Stadium,10 April 2011
25,Lasith Malinga,3.4,13,5,16,3.54,4.4,DC,Arun Jaitley Stadium,10 April 2011
26,Chris Gayle,3,11,0,10,3.66,0,MI,Chidambaram,27 May 2011
27,Praveen Kumar,3,11,0,13,3.66,0,RCB,HPCA Stadium,17 May 2011
28,Siddharth Trivedi,4,15,3,13,3.75,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
29,Daniel Vettori,4,15,2,15,3.75,12,CSK,M. Chinnaswamy Stadium,22 May 2011
30,Iqbal Abdulla,4,15,1,13,3.75,24,CSK,Eden Gardens,07 May 2011
31,RP Singh,4,15,0,10,3.75,0,MI,Wankhede Stadium,15 April 2011
32,Ali Murtaza,4,15,0,14,3.75,0,RR,Sawai Mansingh Stadium,29 April 2011
33,Ishant Sharma,3,12,5,12,4,3.6,KTK,Jawaharlal Nehru Stadium,27 April 2011
34,Piyush Chawla,4,16,3,14,4,8,DC,HPCA Stadium,15 May 2011
35,Ravichandran Ashwin,4,16,3,10,4,8,RCB,Chidambaram,28 May 2011
36,Shane Warne,4,16,3,11,4,8,KTK,Sawai Mansingh Stadium,24 April 2011
37,Shanthakumaran Sreesanth,4,16,2,16,4,12,RR,Holkar Cricket Stadium,15 May 2011
38,Shakib Al Hasan,4,16,2,13,4,12,PWI,DY Patil Stadium,19 May 2011
39,Ishant Sharma,4,16,2,16,4,12,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
40,Ravichandran Ashwin,3,12,2,12,4,9,KKR,Eden Gardens,07 May 2011
41,Iqbal Abdulla,3,12,1,11,4,18,PWI,DY Patil Stadium,19 May 2011
42,Ryan Harris,4,16,1,14,4,24,DC,HPCA Stadium,15 May 2011
43,Irfan Pathan,4,16,1,11,4,24,KKR,Arun Jaitley Stadium,28 April 2011
44,Chris Gayle,2,8,1,4,4,12,PWI,M. Chinnaswamy Stadium,29 April 2011
45,Jesse Ryder,2,8,1,5,4,12,KTK,DY Patil Stadium,13 April 2011
46,Ravichandran Ashwin,4,16,1,9,4,24,KTK,Chidambaram,18 May 2011
47,Alfonso Thomas,4,16,1,14,4,24,MI,Wankhede Stadium,20 April 2011
48,Roelof van der Merwe,4,16,0,14,4,0,MI,Arun Jaitley Stadium,10 April 2011
49,Pragyan Ojha,4,16,0,16,4,0,MI,Wankhede Stadium,14 May 2011
50,Dan Christian,3,12,0,8,4,0,CSK,Chidambaram,01 May 2011
51,Dan Christian,3,12,0,11,4,0,KTK,Jawaharlal Nehru Stadium,27 April 2011
52,Suresh Raina,4,16,0,11,4,0,DC,Chidambaram,12 May 2011
53,Piyush Chawla,4,17,4,15,4.25,6,RCB,HPCA Stadium,17 May 2011
54,Yuvraj Singh,4,17,2,9,4.25,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
55,Rahul Sharma,4,17,2,12,4.25,12,PBKS,IS Bindra Stadium,08 May 2011
56,Shane Warne,4,17,2,15,4.25,12,DC,Sawai Mansingh Stadium,12 April 2011
57,Praveen Kumar,4,17,1,15,4.25,24,PWI,IS Bindra Stadium,08 May 2011
58,Daniel Vettori,4,17,1,11,4.25,24,KTK,Jawaharlal Nehru Stadium,09 April 2011
59,Lasith Malinga,4,17,1,12,4.25,24,DEC,Wankhede Stadium,14 May 2011
60,Shane Warne,4,17,1,9,4.25,24,KKR,Eden Gardens,17 April 2011
61,RP Singh,4,17,1,17,4.25,24,RR,Holkar Cricket Stadium,15 May 2011
62,Ankeet Chavan,4,17,0,14,4.25,0,MI,Wankhede Stadium,20 May 2011
63,Dan Christian,3,13,2,14,4.33,9,PWI,DY Patil Stadium,16 May 2011
64,Pragyan Ojha,3,13,1,9,4.33,18,PWI,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
65,Dale Steyn,3,13,1,11,4.33,18,PBKS,HPCA Stadium,21 May 2011
66,Harbhajan Singh,4,18,5,10,4.5,4.8,CSK,Wankhede Stadium,22 April 2011
67,Morne Morkel,4,18,3,12,4.5,8,KTK,Jawaharlal Nehru Stadium,30 April 2011
68,Ali Murtaza,4,18,2,13,4.5,12,PWI,Wankhede Stadium,20 April 2011
69,Dale Steyn,4,18,2,16,4.5,12,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
70,Munaf Patel,4,18,2,9,4.5,12,PBKS,Wankhede Stadium,02 May 2011
71,Jacques Kallis,4,18,2,14,4.5,12,MI,Wankhede Stadium,25 May 2011
72,Munaf Patel,4,18,2,17,4.5,12,RR,Sawai Mansingh Stadium,29 April 2011
73,Muttiah Muralitharan,4,18,1,10,4.5,24,KKR,Eden Gardens,20 April 2011
74,James Faulkner,2,9,1,7,4.5,12,DC,Arun Jaitley Stadium,21 May 2011
75,Amit Mishra,4,18,1,10,4.5,24,MI,Wankhede Stadium,14 May 2011
76,Rahul Sharma,4,18,1,13,4.5,24,KTK,DY Patil Stadium,13 April 2011
77,Ravichandran Ashwin,4,18,1,12,4.5,24,RCB,M. Chinnaswamy Stadium,22 May 2011
78,Shrikant Wagh,2,9,1,5,4.5,12,MI,Wankhede Stadium,20 April 2011
79,Amit Singh,4,18,1,16,4.5,24,DC,Sawai Mansingh Stadium,12 April 2011
80,Bipul Sharma,2,9,0,5,4.5,0,KKR,Eden Gardens,30 April 2011
81,Daniel Vettori,4,18,0,11,4.5,0,MI,M. Chinnaswamy Stadium,12 April 2011
82,Chris Gayle,2,9,0,5,4.5,0,KKR,Eden Gardens,22 April 2011
83,Rajat Bhatia,4,18,0,13,4.5,0,PBKS,Eden Gardens,30 April 2011
84,Dale Steyn,3.3,16,3,16,4.57,7,KTK,Jawaharlal Nehru Stadium,27 April 2011
85,Harbhajan Singh,3,14,2,11,4.66,9,DC,Arun Jaitley Stadium,10 April 2011
86,Bhuvneshwar Kumar,3,14,2,9,4.66,9,PBKS,IS Bindra Stadium,08 May 2011
87,Rahul Sharma,3,14,1,8,4.66,18,MI,Wankhede Stadium,20 April 2011
88,Shane Warne,3,14,0,8,4.66,0,CSK,Chidambaram,04 May 2011
89,Mithun Manhas,3,14,0,8,4.66,0,PBKS,DY Patil Stadium,10 April 2011
90,Daniel Vettori,4,19,3,9,4.75,8,MI,Chidambaram,27 May 2011
