POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Chris Gayle,28,6,466.66,1,4,PWI,M. Chinnaswamy Stadium,23 April 2013
2,Chris Gayle,28,5,560,1,4,PWI,M. Chinnaswamy Stadium,23 April 2013
3,Chris Gayle,26,5,520,2,3,PWI,M. Chinnaswamy Stadium,23 April 2013
4,AB de Villiers,26,6,433.33,3,2,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
5,Rohit Sharma,26,6,433.33,2,3,PBKS,Wankhede Stadium,29 April 2013
6,David Miller,25,6,416.66,3,2,RCB,IS Bindra Stadium,06 May 2013
7,Virat Kohli,23,6,383.33,2,2,DC,Arun Jaitley Stadium,10 May 2013
8,Suresh Raina,23,6,383.33,4,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
9,Dinesh Karthik,23,7,328.57,1,3,RCB,M. Chinnaswamy Stadium,04 April 2013
10,Vinay Kumar,22,6,366.66,0,3,RR,Sawai Mansingh Stadium,29 April 2013
11,Kieron Pollard,22,4,550,1,3,SRH,Wankhede Stadium,13 May 2013
12,Chris Gayle,21,5,420,0,3,PBKS,M. Chinnaswamy Stadium,14 May 2013
13,Ambati Rayudu,21,5,420,2,2,DC,Wankhede Stadium,09 April 2013
14,Chris Gayle,20,7,285.71,5,0,PWI,M. Chinnaswamy Stadium,23 April 2013
15,Sachin Tendulkar,20,6,333.33,5,0,KKR,Wankhede Stadium,07 May 2013
16,AB de Villiers,20,6,333.33,2,1,CSK,Chidambaram,13 April 2013
17,Eoin Morgan,20,6,333.33,3,1,SRH,Eden Gardens,14 April 2013
18,Yusuf Pathan,19,5,380,3,1,MI,Eden Gardens,24 April 2013
19,Thisara Perera,19,4,475,0,3,PBKS,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013
20,Virat Kohli,19,6,316.66,1,2,SRH,M. Chinnaswamy Stadium,09 April 2013
21,Azhar Mahmood,19,6,316.66,3,1,MI,HPCA Stadium,18 May 2013
22,Shane Watson,19,5,380,3,1,SRH,Sawai Mansingh Stadium,27 April 2013
23,Robin Uthappa,19,6,316.66,1,2,RR,Maharashtra Cricket Association's International Stadium,11 April 2013
24,Kieron Pollard,19,6,316.66,0,3,SRH,Wankhede Stadium,13 May 2013
