POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Chris Gayle,30,5,600,0,5,PWI,M. Chinnaswamy Stadium,17 April 2012
2,Albie Morkel,28,6,466.66,2,3,RCB,Chidambaram,12 April 2012
3,Chris Gayle,24,5,480,0,4,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
4,Chris Gayle,24,6,400,3,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
5,Mayank Agarwal,24,6,400,2,2,MI,M. Chinnaswamy Stadium,14 May 2012
6,Kumar Sangakkara,24,7,342.85,2,2,PWI,Barabati Stadium,01 May 2012
7,Cameron White,24,5,480,1,3,PWI,Barabati Stadium,01 May 2012
8,Ajinkya Rahane,24,6,400,6,0,RCB,M. Chinnaswamy Stadium,15 April 2012
9,AB de Villiers,23,6,383.33,2,2,DEC,M. Chinnaswamy Stadium,06 May 2012
10,Dwayne Bravo,23,6,383.33,2,2,DC,Chidambaram,25 May 2012
11,David Warner,23,6,383.33,1,3,PBKS,HPCA Stadium,19 May 2012
12,Dwayne Bravo,22,7,314.28,0,3,DEC,ACA-VDCA Stadium,07 April 2012
13,Chris Gayle,22,5,440,1,3,KKR,Eden Gardens,28 April 2012
14,Murali Vijay,22,5,440,1,3,MI,Wankhede Stadium,06 May 2012
15,Kieron Pollard,22,6,366.66,2,2,RR,Wankhede Stadium,11 April 2012
16,Adam Gilchrist,21,5,420,2,2,CSK,HPCA Stadium,17 May 2012
17,Steve Smith,21,5,420,2,2,DC,Arun Jaitley Stadium,21 April 2012
18,Virender Sehwag,21,5,420,2,2,MI,Arun Jaitley Stadium,27 April 2012
19,Murali Vijay,21,6,350,2,2,DC,Chidambaram,25 May 2012
20,Kevin Pietersen,20,5,400,0,3,DEC,Arun Jaitley Stadium,19 April 2012
21,Kevin Pietersen,20,6,333.33,2,2,MI,Arun Jaitley Stadium,27 April 2012
22,David Hussey,20,5,400,1,2,DEC,IS Bindra Stadium,13 May 2012
23,David Warner,20,6,333.33,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
24,Chris Gayle,20,6,333.33,0,3,MI,Wankhede Stadium,09 May 2012
25,Stuart Binny,19,5,380,3,1,MI,Sawai Mansingh Stadium,20 May 2012
26,Kumar Sangakkara,19,6,316.66,4,0,PWI,Barabati Stadium,01 May 2012
27,Angelo Mathews,19,4,475,0,3,KKR,Eden Gardens,05 May 2012
28,JP Duminy,19,5,380,0,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
29,Chris Gayle,19,4,475,0,3,DC,Arun Jaitley Stadium,17 May 2012
30,Kevin Pietersen,19,5,380,0,3,PWI,Arun Jaitley Stadium,21 April 2012
31,Owais Shah,19,5,380,1,2,RCB,M. Chinnaswamy Stadium,15 April 2012
32,Chris Gayle,19,5,380,0,3,CSK,Chidambaram,12 April 2012
33,Rohit Sharma,19,6,316.66,3,1,KKR,Eden Gardens,12 May 2012
34,Chris Gayle,19,5,380,0,3,DC,Arun Jaitley Stadium,17 May 2012
35,JP Duminy,18,6,300,1,2,RR,Sawai Mansingh Stadium,17 April 2012
36,AB de Villiers,18,5,360,1,2,RR,Sawai Mansingh Stadium,23 April 2012
37,Brett Lee,18,5,360,1,2,RR,Sawai Mansingh Stadium,08 April 2012
38,Faf du Plessis,18,6,300,3,1,PWI,Maharashtra Cricket Association's International Stadium,14 April 2012
39,Shaun Marsh,18,6,300,3,1,RR,IS Bindra Stadium,05 May 2012
40,Andrew McDonald,18,5,360,3,1,DC,M. Chinnaswamy Stadium,07 April 2012
41,Cameron White,18,5,360,1,2,PWI,Maharashtra Cricket Association's International Stadium,26 April 2012
42,Faf du Plessis,18,6,300,1,2,DEC,ACA-VDCA Stadium,07 April 2012
43,Shikhar Dhawan,17,5,340,1,2,MI,ACA-VDCA Stadium,09 April 2012
44,MS Dhoni,17,5,340,2,1,KKR,Eden Gardens,14 May 2012
45,Faf du Plessis,17,4,425,1,2,RCB,Chidambaram,12 April 2012
46,Dan Christian,17,5,340,0,2,PBKS,IS Bindra Stadium,13 May 2012
47,Owais Shah,17,4,425,1,2,RCB,M. Chinnaswamy Stadium,15 April 2012
48,Ambati Rayudu,17,4,425,1,2,RCB,M. Chinnaswamy Stadium,14 May 2012
49,Suresh Raina,17,4,425,1,2,DEC,Chidambaram,04 May 2012
50,Virender Sehwag,17,4,425,1,2,PWI,Arun Jaitley Stadium,21 April 2012
51,James Franklin,17,4,425,1,2,PBKS,Wankhede Stadium,22 April 2012
52,AB de Villiers,17,4,425,1,2,PWI,M. Chinnaswamy Stadium,17 April 2012
53,Manvinder Bisla,17,5,340,4,0,CSK,Chidambaram,27 May 2012
54,Ravindra Jadeja,17,5,340,1,2,DEC,ACA-VDCA Stadium,07 April 2012
55,Brad Hodge,17,6,283.33,1,2,KKR,Sawai Mansingh Stadium,08 April 2012
56,Chris Gayle,17,4,425,1,2,PWI,M. Chinnaswamy Stadium,17 April 2012
57,Cameron White,17,5,340,1,2,CSK,Chidambaram,04 May 2012
58,Chris Gayle,17,5,340,2,1,PBKS,M. Chinnaswamy Stadium,02 May 2012
59,Mandeep Singh,16,6,266.66,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
60,Gurkeerat Mann Singh,16,4,400,2,1,DEC,IS Bindra Stadium,13 May 2012
61,Rohit Sharma,16,5,320,2,1,KKR,Eden Gardens,12 May 2012
62,Anustup Majumdar,16,6,266.66,0,2,RR,Maharashtra Cricket Association's International Stadium,08 May 2012
63,Virender Sehwag,16,5,320,2,1,KKR,Arun Jaitley Stadium,07 May 2012
64,Kevin Pietersen,16,6,266.66,1,2,DEC,Arun Jaitley Stadium,19 April 2012
65,Ajinkya Rahane,16,6,266.66,4,0,PBKS,Sawai Mansingh Stadium,06 April 2012
66,Stuart Binny,16,5,320,2,1,CSK,Sawai Mansingh Stadium,10 May 2012
67,Yogesh Nagar,16,5,320,1,2,RR,Arun Jaitley Stadium,29 April 2012
68,Suresh Raina,16,5,320,2,1,KKR,Chidambaram,27 May 2012
69,Shane Watson,16,6,266.66,1,2,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
