POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Virat Kohli,30,6,500,1,4,GL,M. Chinnaswamy Stadium,14 May 2016
2,Yusuf Pathan,24,6,400,4,1,RCB,M. Chinnaswamy Stadium,02 May 2016
3,Ben Cutting,23,5,460,1,3,RCB,M. Chinnaswamy Stadium,29 May 2016
4,AB de Villiers,23,6,383.33,1,3,GL,M. Chinnaswamy Stadium,14 May 2016
5,Brendon McCullum,22,6,366.66,3,1,RPS,Maharashtra Cricket Association's International Stadium,29 April 2016
6,Sarfaraz Khan,22,5,440,4,1,SRH,M. Chinnaswamy Stadium,12 April 2016
7,MS Dhoni,22,6,366.66,1,3,PBKS,ACA-VDCA Stadium,21 May 2016
8,Chris Morris,21,5,420,2,2,RPS,ACA-VDCA Stadium,17 May 2016
9,Kieron Pollard,20,4,500,0,3,KKR,Wankhede Stadium,28 April 2016
10,Yusuf Pathan,20,5,400,2,2,RPS,Eden Gardens,14 May 2016
11,Brendon McCullum,20,4,500,2,2,RCB,Saurashtra Cricket Association Stadium,24 April 2016
12,Kieron Pollard,20,5,400,0,3,KKR,Wankhede Stadium,28 April 2016
13,MS Dhoni,20,6,333.33,2,1,GL,Saurashtra Cricket Association Stadium,14 April 2016
14,Shane Watson,20,6,333.33,5,0,RPS,M. Chinnaswamy Stadium,07 May 2016
15,Chris Morris,19,4,475,0,3,GL,Arun Jaitley Stadium,27 April 2016
16,Krunal Pandya,19,4,475,0,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
17,KL Rahul,19,5,380,3,1,PBKS,IS Bindra Stadium,09 May 2016
18,David Warner,18,6,300,3,0,GL,Saurashtra Cricket Association Stadium,21 April 2016
19,Virat Kohli,18,6,300,0,3,PBKS,M. Chinnaswamy Stadium,18 May 2016
20,Chris Gayle,18,6,300,0,3,PBKS,M. Chinnaswamy Stadium,18 May 2016
21,Thisara Perera,18,4,450,3,1,RCB,Maharashtra Cricket Association's International Stadium,22 April 2016
22,David Warner,18,5,360,1,2,RCB,M. Chinnaswamy Stadium,12 April 2016
23,David Warner,18,6,300,1,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016
24,Virat Kohli,18,6,300,2,1,PBKS,M. Chinnaswamy Stadium,18 May 2016
25,Shane Watson,18,6,300,0,3,SRH,M. Chinnaswamy Stadium,12 April 2016
26,Dwayne Smith,18,6,300,4,0,DC,Arun Jaitley Stadium,27 April 2016
27,Quinton de Kock,18,4,450,3,1,MI,ACA-VDCA Stadium,15 May 2016
28,Suresh Raina,18,6,300,3,1,MI,Green Park,21 May 2016
29,Saurabh Tiwary,18,5,360,1,2,MI,Maharashtra Cricket Association's International Stadium,01 May 2016
30,Andre Russell,17,5,340,1,2,RCB,M. Chinnaswamy Stadium,02 May 2016
31,Virat Kohli,17,5,340,1,2,RPS,M. Chinnaswamy Stadium,07 May 2016
32,Chris Gayle,17,4,425,1,2,PBKS,M. Chinnaswamy Stadium,18 May 2016
33,Brendon McCullum,17,6,283.33,1,2,KKR,Eden Gardens,08 May 2016
34,David Warner,17,4,425,1,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
35,Virat Kohli,17,6,283.33,1,2,PBKS,M. Chinnaswamy Stadium,18 May 2016
36,Jos Buttler,17,4,425,1,2,KKR,Eden Gardens,13 April 2016
37,Rohit Sharma,17,5,340,4,0,KKR,Eden Gardens,13 April 2016
38,MS Dhoni,17,6,283.33,2,1,KKR,Maharashtra Cricket Association's International Stadium,24 April 2016
39,Brendon McCullum,17,5,340,2,1,MI,Green Park,21 May 2016
40,Krunal Pandya,16,4,400,1,2,DC,ACA-VDCA Stadium,15 May 2016
41,Sachin Baby,16,4,400,1,2,MI,M. Chinnaswamy Stadium,11 May 2016
42,Rohit Sharma,16,6,266.66,2,1,RPS,Maharashtra Cricket Association's International Stadium,01 May 2016
43,AB de Villiers,16,3,533.33,1,2,GL,M. Chinnaswamy Stadium,14 May 2016
44,Chris Gayle,16,4,400,1,2,SRH,M. Chinnaswamy Stadium,29 May 2016
45,Chris Gayle,16,6,266.66,1,2,SRH,M. Chinnaswamy Stadium,29 May 2016
46,Aaron Finch,16,5,320,4,0,RPS,Saurashtra Cricket Association Stadium,14 April 2016
47,Stuart Binny,16,4,400,1,2,KKR,M. Chinnaswamy Stadium,02 May 2016
48,KL Rahul,16,4,400,1,2,MI,Wankhede Stadium,20 April 2016
49,Thisara Perera,16,6,266.66,2,1,PBKS,ACA-VDCA Stadium,21 May 2016
50,Quinton de Kock,15,4,375,2,1,PBKS,Arun Jaitley Stadium,15 April 2016
51,Virat Kohli,15,5,300,2,1,GL,Saurashtra Cricket Association Stadium,24 April 2016
52,Dwayne Smith,15,5,300,2,1,RCB,M. Chinnaswamy Stadium,24 May 2016
53,Rishabh Pant,15,5,300,2,1,GL,Saurashtra Cricket Association Stadium,03 May 2016
54,Harbhajan Singh,15,4,375,2,1,RPS,Wankhede Stadium,09 April 2016
55,AB de Villiers,15,4,375,0,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
56,AB de Villiers,15,4,375,2,1,GL,M. Chinnaswamy Stadium,14 May 2016
57,David Warner,15,6,250,0,2,GL,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016
58,Steve Smith,15,6,250,3,0,PBKS,IS Bindra Stadium,17 April 2016
59,Aaron Finch,15,5,300,2,1,KKR,Eden Gardens,08 May 2016
60,Virat Kohli,15,4,375,0,2,RPS,M. Chinnaswamy Stadium,07 May 2016
61,Shane Watson,15,5,300,2,1,DC,M. Chinnaswamy Stadium,17 April 2016
62,AB de Villiers,15,5,300,1,1,PBKS,IS Bindra Stadium,09 May 2016
63,David Warner,15,5,300,2,1,DC,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016
64,Rohit Sharma,15,5,300,3,0,DC,Arun Jaitley Stadium,23 April 2016
65,Glenn Maxwell,15,4,375,2,1,KKR,Eden Gardens,04 May 2016
66,KL Rahul,15,6,250,2,1,MI,M. Chinnaswamy Stadium,11 May 2016
67,Sachin Baby,15,6,250,2,1,KKR,M. Chinnaswamy Stadium,02 May 2016
68,Kieron Pollard,15,5,300,2,1,RCB,M. Chinnaswamy Stadium,11 May 2016
69,AB de Villiers,15,4,375,0,2,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016
70,Wriddhiman Saha,15,5,300,3,0,DC,IS Bindra Stadium,07 May 2016
71,Andre Russell,15,6,250,0,2,MI,Eden Gardens,13 April 2016
72,Quinton de Kock,15,5,300,1,1,PBKS,IS Bindra Stadium,07 May 2016
73,Yusuf Pathan,14,4,350,0,2,SRH,Eden Gardens,22 May 2016
74,Aaron Finch,14,4,350,2,1,SRH,Arun Jaitley Stadium,27 May 2016
75,Sam Billings,14,4,350,0,2,RPS,Arun Jaitley Stadium,05 May 2016
76,Virat Kohli,14,3,466.66,2,1,DC,M. Chinnaswamy Stadium,17 April 2016
77,Suryakumar Yadav,14,6,233.33,1,1,DC,Arun Jaitley Stadium,30 April 2016
78,Aaron Finch,14,5,280,1,1,KKR,Eden Gardens,08 May 2016
79,AB de Villiers,14,4,350,0,2,SRH,M. Chinnaswamy Stadium,12 April 2016
80,Chris Morris,14,4,350,0,2,GL,Arun Jaitley Stadium,27 April 2016
81,Kieron Pollard,14,6,233.33,2,1,RCB,Wankhede Stadium,20 April 2016
82,AB de Villiers,14,6,233.33,2,1,SRH,M. Chinnaswamy Stadium,12 April 2016
83,Marcus Stoinis,14,5,280,1,1,GL,Saurashtra Cricket Association Stadium,01 May 2016
84,Dwayne Smith,14,5,280,1,1,RCB,Saurashtra Cricket Association Stadium,24 April 2016
85,Parthiv Patel,14,6,233.33,3,0,RPS,Maharashtra Cricket Association's International Stadium,01 May 2016
86,Virat Kohli,14,4,350,0,2,GL,M. Chinnaswamy Stadium,14 May 2016
87,Virat Kohli,14,5,280,3,0,PBKS,M. Chinnaswamy Stadium,18 May 2016
88,MS Dhoni,14,5,280,1,1,DC,Arun Jaitley Stadium,05 May 2016
89,Jos Buttler,14,4,350,0,2,RCB,M. Chinnaswamy Stadium,11 May 2016
90,Gurkeerat Mann Singh,14,4,350,0,2,RPS,ACA-VDCA Stadium,21 May 2016
91,Rishabh Pant,14,6,233.33,3,0,GL,Saurashtra Cricket Association Stadium,03 May 2016
92,Marcus Stoinis,14,5,280,1,1,RCB,IS Bindra Stadium,09 May 2016
93,Manan Vohra,14,5,280,3,0,RPS,IS Bindra Stadium,17 April 2016
94,Virat Kohli,14,5,280,1,1,SRH,M. Chinnaswamy Stadium,12 April 2016
95,Stuart Binny,14,5,280,2,1,GL,M. Chinnaswamy Stadium,24 May 2016
96,Manan Vohra,14,6,233.33,3,0,GL,IS Bindra Stadium,11 April 2016
97,Dwayne Smith,14,6,233.33,2,0,RPS,Maharashtra Cricket Association's International Stadium,29 April 2016
98,David Warner,14,7,200,2,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
99,Dwayne Bravo,13,4,325,3,0,RPS,Saurashtra Cricket Association Stadium,14 April 2016
100,Wriddhiman Saha,13,4,325,1,1,MI,ACA-VDCA Stadium,13 May 2016
101,Hashim Amla,13,5,260,3,0,SRH,IS Bindra Stadium,15 May 2016
102,Shikhar Dhawan,13,6,216.66,3,0,MI,ACA-VDCA Stadium,08 May 2016
103,Deepak Hooda,13,5,260,2,0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
104,Mitchell McClenaghan,13,4,325,0,2,KKR,Eden Gardens,13 April 2016
105,Chris Gayle,13,3,433.33,0,2,PBKS,M. Chinnaswamy Stadium,18 May 2016
106,Shane Watson,13,3,433.33,0,2,RPS,M. Chinnaswamy Stadium,07 May 2016
107,Andre Russell,13,5,260,3,0,MI,Wankhede Stadium,28 April 2016
108,Moises Henriques,13,4,325,0,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
109,Pawan Negi,13,6,216.66,1,1,RPS,Arun Jaitley Stadium,05 May 2016
110,Manan Vohra,13,5,260,2,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016
111,Gautam Gambhir,13,5,260,3,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,16 April 2016
