POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
119,Andre Russell,14,5,280,0,2,CSK,Eden Gardens,30 April 2015
120,AB de Villiers,14,5,280,2,1,PBKS,M. Chinnaswamy Stadium,06 May 2015
121,Chris Gayle,14,5,280,2,1,RR,Narendra Modi Stadium,24 April 2015
122,Michael Hussey,14,5,280,0,2,RCB,JSCA Stadium,22 May 2015
123,Mandeep Singh,14,3,466.66,0,2,KKR,M. Chinnaswamy Stadium,02 May 2015
124,JP Duminy,14,4,350,0,2,RCB,M. Chinnaswamy Stadium,17 May 2015
125,David Warner,14,6,233.33,2,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
126,Glenn Maxwell,14,5,280,2,1,KKR,Eden Gardens,09 May 2015
127,AB de Villiers,14,3,466.66,0,2,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
128,Chris Gayle,14,6,233.33,0,2,KKR,Eden Gardens,11 April 2015
129,Lendl Simmons,14,6,233.33,2,1,RCB,M. Chinnaswamy Stadium,19 April 2015
130,David Miller,14,4,350,0,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
131,Brendon McCullum,14,5,280,3,0,MI,Chidambaram,08 May 2015
132,JP Duminy,14,5,280,2,1,SRH,ACA-VDCA Stadium,18 April 2015
133,Ashish Reddy,13,3,433.33,0,2,PBKS,IS Bindra Stadium,27 April 2015
134,Virat Kohli,13,5,260,0,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
135,AB de Villiers,13,4,325,3,0,MI,Wankhede Stadium,10 May 2015
136,Harbhajan Singh,13,4,325,3,0,PBKS,Wankhede Stadium,12 April 2015
137,Shreyas Iyer,13,3,433.33,0,2,MI,Arun Jaitley Stadium,23 April 2015
138,Shreyas Iyer,13,5,260,0,2,SRH,ACA-VDCA Stadium,18 April 2015
139,Brendon McCullum,13,5,260,0,2,SRH,Chidambaram,11 April 2015
140,Gautam Gambhir,13,6,216.66,2,0,MI,Eden Gardens,08 April 2015
141,Deepak Hooda,13,3,433.33,0,2,MI,Narendra Modi Stadium,14 April 2015
142,Yuvraj Singh,13,4,325,0,2,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
143,Yuvraj Singh,13,5,260,3,0,RR,Brabourne Stadium,03 May 2015
144,MS Dhoni,13,4,325,0,2,DC,Chidambaram,09 April 2015
145,Manish Pandey,13,5,260,1,1,MI,Eden Gardens,08 April 2015
146,Suresh Raina,13,5,260,1,1,RCB,M. Chinnaswamy Stadium,22 April 2015
147,AB de Villiers,13,5,260,3,0,RR,M. Chinnaswamy Stadium,29 April 2015
148,AB de Villiers,13,4,325,0,2,MI,Wankhede Stadium,10 May 2015
149,Manish Pandey,13,5,260,3,0,PBKS,Eden Gardens,09 May 2015
150,Kieron Pollard,13,4,325,1,1,RR,Wankhede Stadium,01 May 2015
