POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Suresh Raina,32,7,457.14,5,2,PBKS,Wankhede Stadium,30 May 2014
2,Yusuf Pathan,26,6,433.33,3,2,SRH,Eden Gardens,24 May 2014
3,David Miller,26,5,520,0,4,RR,Sharjah Cricket Stadium,20 April 2014
4,Kieron Pollard,26,6,433.33,1,3,SRH,Dubai International Stadium,30 April 2014
5,MS Dhoni,24,6,400,2,2,SRH,JSCA Stadium,22 May 2014
6,Rohit Sharma,24,6,400,1,3,RCB,Wankhede Stadium,06 May 2014
7,Yuvraj Singh,24,6,400,0,4,DC,M. Chinnaswamy Stadium,13 May 2014
8,Shakib Al Hasan,24,6,400,1,3,RCB,Eden Gardens,22 May 2014
9,Shikhar Dhawan,23,7,328.57,4,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
10,Naman Ojha,23,5,460,2,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
11,AB de Villiers,22,5,440,1,3,SRH,M. Chinnaswamy Stadium,04 May 2014
12,Brad Hodge,22,6,366.66,2,2,PBKS,IS Bindra Stadium,23 May 2014
13,George Bailey,21,5,420,2,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
14,Steve Smith,21,6,350,2,2,RCB,M. Chinnaswamy Stadium,11 May 2014
15,Yusuf Pathan,21,5,420,2,2,SRH,Eden Gardens,24 May 2014
16,Glenn Maxwell,21,6,350,2,2,CSK,Barabati Stadium,07 May 2014
17,Dwayne Smith,20,5,400,0,3,SRH,JSCA Stadium,22 May 2014
18,Chris Gayle,20,6,333.33,2,2,PBKS,Dubai International Stadium,28 April 2014
19,JP Duminy,20,6,333.33,1,2,KKR,Dubai International Stadium,19 April 2014
20,Chris Gayle,20,4,500,2,2,MI,Wankhede Stadium,06 May 2014
21,David Warner,20,7,285.71,5,0,CSK,JSCA Stadium,22 May 2014
22,Yuvraj Singh,19,5,380,0,3,DC,M. Chinnaswamy Stadium,13 May 2014
23,James Faulkner,19,5,380,1,2,RCB,M. Chinnaswamy Stadium,11 May 2014
24,Jacques Kallis,19,5,380,1,2,MI,Zayed Cricket Stadium,16 April 2014
25,Glenn Maxwell,19,5,380,3,1,CSK,Zayed Cricket Stadium,18 April 2014
26,Glenn Maxwell,19,5,380,0,3,CSK,Barabati Stadium,07 May 2014
27,Yusuf Pathan,19,6,316.66,0,3,CSK,JSCA Stadium,02 May 2014
28,Virat Kohli,19,6,316.66,1,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
29,David Miller,19,5,380,1,2,RCB,M. Chinnaswamy Stadium,09 May 2014
30,Kieron Pollard,19,6,316.66,2,1,PBKS,Wankhede Stadium,03 May 2014
31,Glenn Maxwell,19,4,475,0,3,SRH,Sharjah Cricket Stadium,22 April 2014
32,Corey Anderson,19,5,380,3,1,PBKS,Wankhede Stadium,03 May 2014
33,Yuvraj Singh,18,6,300,1,2,KKR,Eden Gardens,22 May 2014
34,Robin Uthappa,18,5,360,3,1,PBKS,Barabati Stadium,11 May 2014
35,Kevin Pietersen,18,6,300,2,1,PBKS,Arun Jaitley Stadium,19 May 2014
36,Shane Watson,18,4,450,1,2,CSK,JSCA Stadium,13 May 2014
37,AB de Villiers,18,5,360,1,2,SRH,M. Chinnaswamy Stadium,04 May 2014
38,Suresh Raina,18,6,300,3,1,PBKS,Wankhede Stadium,30 May 2014
39,Dwayne Smith,18,6,300,0,3,DC,Arun Jaitley Stadium,05 May 2014
40,Aaron Finch,18,4,450,3,1,DC,Dubai International Stadium,25 April 2014
41,Karun Nair,18,5,360,3,1,MI,Wankhede Stadium,25 May 2014
42,Glenn Maxwell,18,5,360,0,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
43,Shane Watson,18,5,360,1,2,KKR,Narendra Modi Stadium,05 May 2014
44,James Faulkner,18,5,360,2,1,RCB,M. Chinnaswamy Stadium,11 May 2014
45,James Faulkner,18,5,360,1,2,PBKS,IS Bindra Stadium,23 May 2014
46,George Bailey,18,4,450,1,2,CSK,Barabati Stadium,07 May 2014
47,David Warner,17,4,425,1,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
48,MS Dhoni,17,5,340,1,2,RCB,M. Chinnaswamy Stadium,24 May 2014
49,Manish Pandey,17,5,340,1,2,PBKS,M. Chinnaswamy Stadium,01 June 2014
50,Glenn Maxwell,17,5,340,1,2,RCB,M. Chinnaswamy Stadium,09 May 2014
51,Faf du Plessis,17,5,340,2,1,MI,Brabourne Stadium,28 May 2014
52,Manish Pandey,17,5,340,1,2,PBKS,M. Chinnaswamy Stadium,01 June 2014
53,Darren Sammy,17,4,425,1,2,KKR,Eden Gardens,24 May 2014
54,Virender Sehwag,17,5,340,1,2,CSK,Wankhede Stadium,30 May 2014
55,Corey Anderson,17,5,340,0,2,CSK,Wankhede Stadium,10 May 2014
56,Yusuf Pathan,17,5,340,0,2,PBKS,M. Chinnaswamy Stadium,01 June 2014
57,Kieron Pollard,17,5,340,1,2,SRH,Dubai International Stadium,30 April 2014
58,Corey Anderson,17,5,340,2,1,RR,Wankhede Stadium,25 May 2014
59,Kedar Jadhav,17,4,425,1,2,CSK,Arun Jaitley Stadium,05 May 2014
60,Suresh Raina,17,4,425,1,2,KKR,Eden Gardens,20 May 2014
61,Aaron Finch,17,5,340,2,1,DC,Dubai International Stadium,25 April 2014
62,Lendl Simmons,16,6,266.66,1,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
63,Wriddhiman Saha,16,6,266.66,1,2,KKR,M. Chinnaswamy Stadium,01 June 2014
64,JP Duminy,16,4,400,4,0,CSK,Arun Jaitley Stadium,05 May 2014
65,Ankit Sharma,16,5,320,2,1,CSK,JSCA Stadium,13 May 2014
66,Rohit Sharma,16,5,320,1,2,RR,Narendra Modi Stadium,19 May 2014
67,Glenn Maxwell,16,6,266.66,4,0,RR,Sharjah Cricket Stadium,20 April 2014
68,Yuvraj Singh,16,4,400,1,2,RR,M. Chinnaswamy Stadium,11 May 2014
69,Glenn Maxwell,16,5,320,0,2,RR,Sharjah Cricket Stadium,20 April 2014
70,Sanju Samson,16,5,320,4,0,KKR,Zayed Cricket Stadium,29 April 2014
71,George Bailey,16,5,320,4,0,CSK,Barabati Stadium,07 May 2014
72,Virender Sehwag,16,6,266.66,4,0,KKR,Barabati Stadium,11 May 2014
73,Faf du Plessis,16,5,320,2,1,PBKS,Barabati Stadium,07 May 2014
74,Dwayne Smith,16,4,400,4,0,RR,Dubai International Stadium,23 April 2014
75,Suresh Raina,16,4,400,1,2,PBKS,Wankhede Stadium,30 May 2014
76,Brendon McCullum,16,6,266.66,1,2,KKR,Eden Gardens,20 May 2014
77,Chris Gayle,16,6,266.66,1,2,SRH,M. Chinnaswamy Stadium,04 May 2014
78,David Miller,16,5,320,2,1,CSK,Wankhede Stadium,30 May 2014
79,Virender Sehwag,15,5,300,2,1,SRH,Sharjah Cricket Stadium,22 April 2014
80,Dhawal Kulkarni,15,4,375,0,2,CSK,Dubai International Stadium,23 April 2014
81,Rohit Sharma,15,5,300,0,2,KKR,Barabati Stadium,14 May 2014
82,David Miller,15,4,375,0,2,CSK,Zayed Cricket Stadium,18 April 2014
83,Manan Vohra,15,3,500,0,2,CSK,Wankhede Stadium,30 May 2014
84,Glenn Maxwell,15,4,375,2,1,SRH,Sharjah Cricket Stadium,22 April 2014
85,Aditya Tare,15,5,300,1,1,PBKS,Wankhede Stadium,03 May 2014
86,Piyush Chawla,15,6,250,3,0,PBKS,Eden Gardens,28 May 2014
87,Glenn Maxwell,15,6,250,3,0,RR,Sharjah Cricket Stadium,20 April 2014
88,Brad Hodge,15,5,300,1,1,MI,Wankhede Stadium,25 May 2014
89,Wriddhiman Saha,15,6,250,3,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
90,AB de Villiers,15,4,375,2,1,DC,M. Chinnaswamy Stadium,13 May 2014
91,David Warner,15,4,375,0,2,RCB,M. Chinnaswamy Stadium,04 May 2014
92,Shane Watson,15,4,375,1,1,PBKS,Sharjah Cricket Stadium,20 April 2014
93,Manish Pandey,15,6,250,2,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
