POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Rahul Tewatia,30,6,500,0,5,PBKS,Sharjah Cricket Stadium,27 September 2020
2,Nicholas Pooran,28,6,466.66,1,4,SRH,Dubai International Stadium,08 October 2020
3,Kieron Pollard,27,6,450,1,3,RCB,Dubai International Stadium,28 September 2020
4,Hardik Pandya,26,5,520,2,3,RR,Zayed Cricket Stadium,25 October 2020
5,Jofra Archer,26,7,371.42,0,4,CSK,Sharjah Cricket Stadium,22 September 2020
6,KL Rahul,26,6,433.33,2,3,RCB,Dubai International Stadium,24 September 2020
7,Pat Cummins,26,6,433.33,0,4,MI,Zayed Cricket Stadium,23 September 2020
8,Chris Gayle,25,6,416.66,3,2,DC,Dubai International Stadium,20 October 2020
9,Hardik Pandya,25,5,500,0,4,RR,Zayed Cricket Stadium,25 October 2020
10,Marcus Stoinis,25,6,416.66,3,2,PBKS,Dubai International Stadium,20 September 2020
11,Rahul Tripathi,22,5,440,1,3,DC,Sharjah Cricket Stadium,03 October 2020
12,David Warner,22,6,366.66,4,1,DC,Dubai International Stadium,27 October 2020
13,Rohit Sharma,21,5,420,2,2,PBKS,Zayed Cricket Stadium,01 October 2020
14,Sam Curran,21,5,420,2,2,SRH,Dubai International Stadium,13 October 2020
15,Sanju Samson,21,6,350,0,3,PBKS,Sharjah Cricket Stadium,27 September 2020
16,Krunal Pandya,20,4,500,2,2,SRH,Sharjah Cricket Stadium,04 October 2020
17,Priyam Garg,20,6,333.33,3,1,CSK,Dubai International Stadium,02 October 2020
18,Axar Patel,20,4,500,0,3,CSK,Sharjah Cricket Stadium,17 October 2020
19,MS Dhoni,20,5,400,0,3,RR,Sharjah Cricket Stadium,22 September 2020
20,Sanju Samson,20,5,400,0,3,CSK,Sharjah Cricket Stadium,22 September 2020
21,Tom Curran,20,6,333.33,0,3,KKR,Dubai International Stadium,30 September 2020
22,Eoin Morgan,20,4,500,2,2,RR,Dubai International Stadium,01 November 2020
23,Nitish Rana,19,5,380,0,3,CSK,Dubai International Stadium,29 October 2020
24,Eoin Morgan,19,4,475,0,3,DC,Sharjah Cricket Stadium,03 October 2020
25,Kieron Pollard,19,5,380,1,2,PBKS,Dubai International Stadium,18 October 2020
26,Faf du Plessis,19,4,475,0,3,RR,Sharjah Cricket Stadium,22 September 2020
27,Shreyas Iyer,19,5,380,1,2,KKR,Sharjah Cricket Stadium,03 October 2020
28,AB de Villiers,19,4,475,0,3,RR,Dubai International Stadium,17 October 2020
29,Jonny Bairstow,19,5,380,1,2,PBKS,Dubai International Stadium,08 October 2020
30,Kieron Pollard,19,5,380,0,3,SRH,Sharjah Cricket Stadium,03 November 2020
31,Shivam Dube,19,5,380,0,3,MI,Dubai International Stadium,28 September 2020
32,Kieron Pollard,18,3,600,0,3,PBKS,Zayed Cricket Stadium,01 October 2020
33,Faf du Plessis,18,5,360,4,0,PBKS,Dubai International Stadium,04 October 2020
34,Marcus Stoinis,18,6,300,3,1,SRH,Zayed Cricket Stadium,08 November 2020
35,KL Rahul,18,5,360,3,1,MI,Dubai International Stadium,18 October 2020
36,AB de Villiers,18,6,300,1,2,KKR,Sharjah Cricket Stadium,12 October 2020
37,Eoin Morgan,17,4,425,1,2,RR,Dubai International Stadium,01 November 2020
38,Jonny Bairstow,17,5,340,1,2,PBKS,Dubai International Stadium,08 October 2020
39,Marcus Stoinis,17,4,425,1,2,MI,Dubai International Stadium,05 November 2020
40,Mayank Agarwal,17,5,340,0,2,DC,Dubai International Stadium,20 September 2020
41,Mayank Agarwal,17,4,425,1,2,RR,Sharjah Cricket Stadium,27 September 2020
42,Chris Morris,17,4,425,1,2,PBKS,Sharjah Cricket Stadium,15 October 2020
43,Ravindra Jadeja,17,5,340,2,1,KKR,Dubai International Stadium,29 October 2020
44,AB de Villiers,17,6,283.33,1,2,KKR,Sharjah Cricket Stadium,12 October 2020
45,Hardik Pandya,17,5,340,2,1,PBKS,Zayed Cricket Stadium,01 October 2020
46,AB de Villiers,16,5,320,1,2,MI,Dubai International Stadium,28 September 2020
47,Eoin Morgan,16,6,266.66,1,1,SRH,Zayed Cricket Stadium,18 October 2020
48,Ishan Kishan,16,5,320,2,1,CSK,Sharjah Cricket Stadium,23 October 2020
49,Ben Stokes,16,6,266.66,1,2,PBKS,Zayed Cricket Stadium,30 October 2020
50,Nicholas Pooran,16,5,320,1,2,RR,Sharjah Cricket Stadium,27 September 2020
51,Robin Uthappa,16,6,266.66,4,0,RCB,Dubai International Stadium,17 October 2020
52,Shreyas Iyer,16,5,320,2,1,KKR,Sharjah Cricket Stadium,03 October 2020
53,KL Rahul,16,6,266.66,2,1,CSK,Dubai International Stadium,04 October 2020
54,Ben Stokes,16,6,266.66,4,0,MI,Zayed Cricket Stadium,25 October 2020
55,Quinton de Kock,16,4,400,1,2,SRH,Sharjah Cricket Stadium,03 November 2020
56,Suryakumar Yadav,16,6,266.66,4,0,KKR,Zayed Cricket Stadium,23 September 2020
57,Shane Watson,16,4,400,1,2,RR,Sharjah Cricket Stadium,22 September 2020
58,Devdutt Padikkal,16,6,266.66,2,1,MI,Zayed Cricket Stadium,28 October 2020
59,Eoin Morgan,16,4,400,0,2,MI,Zayed Cricket Stadium,16 October 2020
60,KL Rahul,16,3,533.33,1,2,RCB,Dubai International Stadium,24 September 2020
61,Manish Pandey,16,4,400,1,2,RR,Dubai International Stadium,22 October 2020
62,Mandeep Singh,16,5,320,0,2,CSK,Dubai International Stadium,04 October 2020
63,Jos Buttler,15,5,300,2,1,DC,Dubai International Stadium,14 October 2020
64,Virat Kohli,15,4,375,0,2,CSK,Dubai International Stadium,10 October 2020
65,MS Dhoni,15,5,300,1,1,SRH,Dubai International Stadium,02 October 2020
66,Shreyas Iyer,15,4,375,0,2,RR,Dubai International Stadium,14 October 2020
67,David Warner,15,5,300,3,0,MI,Sharjah Cricket Stadium,03 November 2020
68,Ravindra Jadeja,15,5,300,0,2,DC,Sharjah Cricket Stadium,17 October 2020
69,Devdutt Padikkal,15,6,250,1,1,RR,Zayed Cricket Stadium,03 October 2020
70,Quinton de Kock,15,5,300,1,1,SRH,Sharjah Cricket Stadium,04 October 2020
71,Dinesh Karthik,15,4,375,2,1,PBKS,Zayed Cricket Stadium,10 October 2020
72,Shimron Hetmyer,15,5,300,0,2,SRH,Zayed Cricket Stadium,29 September 2020
73,Marcus Stoinis,15,6,250,2,1,RCB,Dubai International Stadium,05 October 2020
74,Ravindra Jadeja,15,6,250,3,0,SRH,Dubai International Stadium,02 October 2020
75,Steve Smith,15,6,250,3,0,RCB,Dubai International Stadium,17 October 2020
76,AB de Villiers,15,6,250,1,1,KKR,Sharjah Cricket Stadium,12 October 2020
77,Quinton de Kock,15,5,300,3,0,CSK,Zayed Cricket Stadium,19 September 2020
78,Hardik Pandya,15,5,300,2,1,KKR,Zayed Cricket Stadium,23 September 2020
79,Kieron Pollard,15,4,375,0,2,RCB,Dubai International Stadium,28 September 2020
80,Abdul Samad,15,4,375,2,1,DC,Zayed Cricket Stadium,08 November 2020
81,Riyan Parag,15,5,300,2,1,SRH,Dubai International Stadium,22 October 2020
82,Deepak Hooda,15,5,300,0,2,CSK,Zayed Cricket Stadium,01 November 2020
83,Quinton de Kock,15,6,250,3,0,DC,Dubai International Stadium,05 November 2020
84,Kane Williamson,15,4,375,0,2,RR,Dubai International Stadium,11 October 2020
85,Axar Patel,15,6,250,2,1,RR,Sharjah Cricket Stadium,09 October 2020
86,Pat Cummins,15,5,300,2,1,MI,Zayed Cricket Stadium,16 October 2020
87,Mayank Agarwal,15,4,375,0,2,RR,Sharjah Cricket Stadium,27 September 2020
88,Andre Russell,15,5,300,0,2,RR,Dubai International Stadium,30 September 2020
89,Virat Kohli,15,5,300,3,0,RR,Zayed Cricket Stadium,03 October 2020
90,Ben Stokes,15,6,250,2,0,MI,Zayed Cricket Stadium,25 October 2020
91,Steve Smith,15,5,300,3,0,PBKS,Zayed Cricket Stadium,30 October 2020
92,Quinton de Kock,15,4,375,2,1,KKR,Zayed Cricket Stadium,16 October 2020
93,Saurabh Tiwary,15,4,375,2,1,RR,Zayed Cricket Stadium,25 October 2020
94,Rahul Tewatia,14,5,280,1,1,RCB,Dubai International Stadium,17 October 2020
95,AB de Villiers,14,5,280,1,1,KKR,Sharjah Cricket Stadium,12 October 2020
96,David Warner,14,5,280,3,0,KKR,Zayed Cricket Stadium,18 October 2020
97,Manish Pandey,14,5,280,2,1,DC,Dubai International Stadium,27 October 2020
98,Faf du Plessis,14,4,350,0,2,RR,Sharjah Cricket Stadium,22 September 2020
99,Dinesh Karthik,14,6,233.33,3,0,PBKS,Zayed Cricket Stadium,10 October 2020
100,Quinton de Kock,14,6,233.33,2,1,DC,Dubai International Stadium,10 November 2020
101,Nicholas Pooran,14,4,350,0,2,SRH,Dubai International Stadium,08 October 2020
102,Kedar Jadhav,14,5,280,3,0,RR,Sharjah Cricket Stadium,22 September 2020
103,Ravindra Jadeja,14,3,466.66,2,1,KKR,Zayed Cricket Stadium,07 October 2020
104,Steve Smith,14,6,233.33,3,0,PBKS,Sharjah Cricket Stadium,27 September 2020
105,Nitish Rana,14,5,280,2,1,CSK,Dubai International Stadium,29 October 2020
106,Chris Gayle,14,5,280,0,2,RCB,Sharjah Cricket Stadium,15 October 2020
107,KL Rahul,14,6,233.33,1,1,RR,Zayed Cricket Stadium,30 October 2020
108,David Warner,14,5,280,1,1,MI,Sharjah Cricket Stadium,04 October 2020
109,Mayank Agarwal,14,6,233.33,2,1,KKR,Zayed Cricket Stadium,10 October 2020
110,Chris Gayle,14,4,350,0,2,RCB,Sharjah Cricket Stadium,15 October 2020
111,Faf du Plessis,14,6,233.33,2,1,DC,Sharjah Cricket Stadium,17 October 2020
112,Nicholas Pooran,14,5,280,2,1,DC,Dubai International Stadium,20 October 2020
113,Kieron Pollard,14,4,350,0,2,SRH,Sharjah Cricket Stadium,04 October 2020
114,Saurabh Tiwary,14,5,280,1,1,KKR,Zayed Cricket Stadium,23 September 2020
115,Andre Russell,14,5,280,2,1,RCB,Sharjah Cricket Stadium,12 October 2020
116,Rishabh Pant,14,4,350,2,1,KKR,Sharjah Cricket Stadium,03 October 2020
117,Marcus Stoinis,14,5,280,0,2,RR,Sharjah Cricket Stadium,09 October 2020
118,Rohit Sharma,14,4,350,0,2,KKR,Zayed Cricket Stadium,23 September 2020
119,Mayank Agarwal,14,4,350,2,1,RCB,Sharjah Cricket Stadium,15 October 2020
120,Rishabh Pant,14,4,350,0,2,MI,Dubai International Stadium,10 November 2020
121,Wriddhiman Saha,14,5,280,1,1,DC,Dubai International Stadium,27 October 2020
122,Chris Gayle,14,6,233.33,2,1,RR,Zayed Cricket Stadium,30 October 2020
123,Shreyas Iyer,14,4,350,0,2,PBKS,Dubai International Stadium,20 September 2020
124,Hardik Pandya,14,5,280,2,1,KKR,Zayed Cricket Stadium,16 October 2020
125,Quinton de Kock,13,5,260,1,1,SRH,Sharjah Cricket Stadium,04 October 2020
126,Rohit Sharma,13,5,260,0,2,KKR,Zayed Cricket Stadium,23 September 2020
127,Mandeep Singh,13,5,260,1,1,KKR,Sharjah Cricket Stadium,26 October 2020
128,Ambati Rayudu,13,4,325,3,0,KKR,Dubai International Stadium,29 October 2020
129,Jos Buttler,13,4,325,3,0,CSK,Zayed Cricket Stadium,19 October 2020
130,Quinton de Kock,13,6,216.66,0,2,DC,Zayed Cricket Stadium,11 October 2020
131,Quinton de Kock,13,5,260,1,1,KKR,Zayed Cricket Stadium,16 October 2020
132,Ishan Kishan,13,4,325,0,2,RCB,Dubai International Stadium,28 September 2020
133,Kane Williamson,13,4,325,1,1,PBKS,Dubai International Stadium,08 October 2020
134,Sanju Samson,13,5,260,1,1,CSK,Sharjah Cricket Stadium,22 September 2020
135,Sunil Narine,13,4,325,1,1,DC,Zayed Cricket Stadium,24 October 2020
136,Shikhar Dhawan,13,3,433.33,0,2,KKR,Sharjah Cricket Stadium,03 October 2020
137,Kieron Pollard,13,3,433.33,0,2,PBKS,Dubai International Stadium,18 October 2020
138,Shimron Hetmyer,13,4,325,3,0,SRH,Zayed Cricket Stadium,08 November 2020
139,Rishabh Pant,13,4,325,3,0,KKR,Sharjah Cricket Stadium,03 October 2020
140,Jonny Bairstow,13,4,325,0,2,PBKS,Dubai International Stadium,08 October 2020
141,Hardik Pandya,13,4,325,0,2,DC,Dubai International Stadium,05 November 2020
142,Tushar Deshpande,13,4,325,1,1,SRH,Dubai International Stadium,27 October 2020
143,Virat Kohli,13,6,216.66,1,0,CSK,Dubai International Stadium,10 October 2020
144,KL Rahul,13,6,216.66,3,0,RR,Sharjah Cricket Stadium,27 September 2020
145,Jonny Bairstow,13,5,260,3,0,PBKS,Dubai International Stadium,08 October 2020
146,Jofra Archer,13,3,433.33,0,2,PBKS,Sharjah Cricket Stadium,27 September 2020
147,Jos Buttler,13,6,216.66,1,1,CSK,Zayed Cricket Stadium,19 October 2020
148,Devdutt Padikkal,13,5,260,0,2,MI,Dubai International Stadium,28 September 2020
149,Aaron Finch,13,5,260,3,0,MI,Dubai International Stadium,28 September 2020
150,Marcus Stoinis,13,5,260,3,0,PBKS,Dubai International Stadium,20 September 2020
