POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Yuvraj Singh,68,29,234.48,1,9,DC,M. Chinnaswamy Stadium,13 May 2014
2,Glenn Maxwell,95,43,220.93,5,9,SRH,Sharjah Cricket Stadium,22 April 2014
3,Glenn Maxwell,90,38,236.84,6,8,CSK,Barabati Stadium,07 May 2014
4,AB de Villiers,89,41,217.07,6,8,SRH,M. Chinnaswamy Stadium,04 May 2014
5,Virender Sehwag,122,58,210.34,12,8,CSK,Wankhede Stadium,30 May 2014
6,Wriddhiman Saha,115,55,209.09,10,8,KKR,M. Chinnaswamy Stadium,01 June 2014
7,Dwayne Smith,79,51,154.9,4,8,DC,Arun Jaitley Stadium,05 May 2014
8,Yusuf Pathan,72,22,327.27,5,7,SRH,Eden Gardens,24 May 2014
9,Naman Ojha,79,36,219.44,4,7,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
10,Yuvraj Singh,83,38,218.42,7,7,RR,M. Chinnaswamy Stadium,11 May 2014
11,Suresh Raina,87,25,348,12,6,PBKS,Wankhede Stadium,30 May 2014
12,David Miller,51,19,268.42,0,6,RR,Sharjah Cricket Stadium,20 April 2014
13,Corey Anderson,95,44,215.9,9,6,RR,Wankhede Stadium,25 May 2014
14,Glenn Maxwell,89,45,197.77,8,6,RR,Sharjah Cricket Stadium,20 April 2014
15,Manish Pandey,94,50,188,7,6,PBKS,M. Chinnaswamy Stadium,01 June 2014
16,Kieron Pollard,78,48,162.5,3,6,SRH,Dubai International Stadium,30 April 2014
17,AB de Villiers,53,26,203.84,1,5,PBKS,M. Chinnaswamy Stadium,09 May 2014
18,Glenn Maxwell,43,22,195.45,2,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
19,AB de Villiers,58,32,181.25,1,5,RR,M. Chinnaswamy Stadium,11 May 2014
20,Yuvraj Singh,52,29,179.31,3,5,DC,Sharjah Cricket Stadium,17 April 2014
21,Virat Kohli,73,49,148.97,2,5,CSK,M. Chinnaswamy Stadium,24 May 2014
22,Brendon McCullum,67,45,148.88,4,5,PBKS,Zayed Cricket Stadium,18 April 2014
23,Dwayne Smith,66,46,143.47,4,5,SRH,Sharjah Cricket Stadium,27 April 2014
24,Suresh Raina,65,52,125,3,5,KKR,Eden Gardens,20 May 2014
25,James Faulkner,35,13,269.23,1,4,PBKS,IS Bindra Stadium,23 May 2014
26,Steve Smith,48,21,228.57,4,4,RCB,M. Chinnaswamy Stadium,11 May 2014
27,Rohit Sharma,40,19,210.52,3,4,RR,Narendra Modi Stadium,19 May 2014
28,Rohit Sharma,59,35,168.57,3,4,RCB,Wankhede Stadium,06 May 2014
29,Dwayne Smith,47,28,167.85,4,4,SRH,JSCA Stadium,22 May 2014
30,Aaron Finch,88,53,166.03,8,4,DC,Dubai International Stadium,25 April 2014
31,Yusuf Pathan,36,22,163.63,0,4,PBKS,M. Chinnaswamy Stadium,01 June 2014
32,Virat Kohli,67,41,163.41,4,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
33,JP Duminy,45,29,155.17,0,4,MI,Wankhede Stadium,23 May 2014
34,Sanju Samson,52,34,152.94,3,4,PBKS,Sharjah Cricket Stadium,20 April 2014
35,Lendl Simmons,67,44,152.27,5,4,CSK,Brabourne Stadium,28 May 2014
36,Shane Watson,51,36,141.66,3,4,CSK,JSCA Stadium,13 May 2014
37,Yusuf Pathan,41,29,141.37,1,4,CSK,JSCA Stadium,02 May 2014
38,MS Dhoni,57,41,139.02,2,4,SRH,JSCA Stadium,22 May 2014
39,Ambati Rayudu,59,43,137.2,2,4,CSK,Wankhede Stadium,10 May 2014
40,Lendl Simmons,68,50,136,5,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
41,Dwayne Smith,29,22,131.81,0,4,MI,Dubai International Stadium,25 April 2014
42,David Warner,59,46,128.26,3,4,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
43,David Warner,65,51,127.45,1,4,MI,Dubai International Stadium,30 April 2014
44,James Faulkner,23,8,287.5,0,3,DC,Narendra Modi Stadium,15 May 2014
45,James Faulkner,41,17,241.17,3,3,RCB,M. Chinnaswamy Stadium,11 May 2014
46,David Miller,66,29,227.58,8,3,RCB,M. Chinnaswamy Stadium,09 May 2014
47,Manan Vohra,42,19,221.05,4,3,DC,Arun Jaitley Stadium,19 May 2014
48,Kevon Cooper,32,16,200,2,3,DC,Narendra Modi Stadium,15 May 2014
49,David Warner,90,45,200,12,3,CSK,JSCA Stadium,22 May 2014
50,Karun Nair,48,24,200,4,3,MI,Narendra Modi Stadium,19 May 2014
51,AB de Villiers,28,14,200,1,3,CSK,JSCA Stadium,18 May 2014
52,James Faulkner,23,12,191.66,0,3,MI,Wankhede Stadium,25 May 2014
53,David Warner,44,23,191.3,3,3,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
54,George Bailey,35,19,184.21,2,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
55,Dwayne Smith,50,28,178.57,6,3,RR,Dubai International Stadium,23 April 2014
56,MS Dhoni,49,28,175,4,3,RCB,M. Chinnaswamy Stadium,24 May 2014
57,Shane Watson,50,29,172.41,5,3,PBKS,Sharjah Cricket Stadium,20 April 2014
58,JP Duminy,48,30,160,3,3,RCB,M. Chinnaswamy Stadium,13 May 2014
59,Sanju Samson,40,25,160,2,3,DC,Narendra Modi Stadium,15 May 2014
60,Chris Gayle,38,24,158.33,3,3,MI,Wankhede Stadium,06 May 2014
61,Shakib Al Hasan,60,38,157.89,5,3,RCB,Eden Gardens,22 May 2014
62,Sanju Samson,74,47,157.44,7,3,MI,Wankhede Stadium,25 May 2014
63,Dinesh Karthik,69,44,156.81,7,3,PBKS,Arun Jaitley Stadium,19 May 2014
64,Jacques Kallis,72,46,156.52,5,3,MI,Zayed Cricket Stadium,16 April 2014
65,Robin Uthappa,80,52,153.84,9,3,MI,Barabati Stadium,14 May 2014
66,Dwayne Smith,66,43,153.48,6,3,PBKS,Zayed Cricket Stadium,18 April 2014
67,Darren Sammy,29,19,152.63,1,3,KKR,Eden Gardens,24 May 2014
68,JP Duminy,52,35,148.57,3,3,KKR,Dubai International Stadium,19 April 2014
69,David Miller,54,37,145.94,3,3,CSK,Zayed Cricket Stadium,18 April 2014
70,Chris Lynn,45,31,145.16,3,3,RCB,Sharjah Cricket Stadium,24 April 2014
71,JP Duminy,40,28,142.85,0,3,KKR,Arun Jaitley Stadium,07 May 2014
72,Dinesh Karthik,51,36,141.66,4,3,CSK,Arun Jaitley Stadium,05 May 2014
73,JP Duminy,67,48,139.58,4,3,RCB,Sharjah Cricket Stadium,17 April 2014
74,David Hussey,40,29,137.93,2,3,MI,Brabourne Stadium,28 May 2014
75,Manan Vohra,26,19,136.84,0,3,KKR,Eden Gardens,28 May 2014
76,Virender Sehwag,30,22,136.36,2,3,SRH,Sharjah Cricket Stadium,22 April 2014
77,MS Dhoni,42,31,135.48,3,3,PBKS,Wankhede Stadium,30 May 2014
78,Brad Hodge,40,30,133.33,0,3,MI,Narendra Modi Stadium,19 May 2014
79,Virat Kohli,49,38,128.94,2,3,DC,Sharjah Cricket Stadium,17 April 2014
80,David Warner,58,45,128.88,3,3,DC,Dubai International Stadium,25 April 2014
81,Faf du Plessis,54,43,125.58,3,3,RCB,M. Chinnaswamy Stadium,24 May 2014
82,Wriddhiman Saha,59,47,125.53,4,3,MI,Wankhede Stadium,03 May 2014
83,Robin Uthappa,65,52,125,5,3,RR,Narendra Modi Stadium,05 May 2014
84,David Warner,61,49,124.48,4,3,RCB,M. Chinnaswamy Stadium,04 May 2014
85,Dwayne Smith,57,51,111.76,5,3,MI,Wankhede Stadium,10 May 2014
86,Chidhambaram Gautam,30,28,107.14,2,3,RCB,Wankhede Stadium,06 May 2014
87,Chris Gayle,46,50,92,3,3,CSK,JSCA Stadium,18 May 2014
88,Naman Ojha,13,3,433.33,0,2,DC,Arun Jaitley Stadium,10 May 2014
89,George Bailey,40,13,307.69,6,2,CSK,Barabati Stadium,07 May 2014
90,Corey Anderson,18,6,300,0,2,CSK,Wankhede Stadium,10 May 2014
91,Chris Gayle,20,7,285.71,2,2,PBKS,Dubai International Stadium,28 April 2014
92,JP Duminy,20,7,285.71,1,2,SRH,Dubai International Stadium,25 April 2014
93,Karn Sharma,17,7,242.85,0,2,CSK,Sharjah Cricket Stadium,27 April 2014
94,Manan Vohra,47,20,235,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
95,Kieron Pollard,28,12,233.33,2,2,PBKS,Wankhede Stadium,03 May 2014
96,Glenn Maxwell,25,11,227.27,2,2,RCB,M. Chinnaswamy Stadium,09 May 2014
97,Glenn Maxwell,95,43,220.93,15,2,CSK,Zayed Cricket Stadium,18 April 2014
98,Shakib Al Hasan,46,21,219.04,6,2,CSK,Eden Gardens,20 May 2014
99,MS Dhoni,32,15,213.33,2,2,DC,Zayed Cricket Stadium,21 April 2014
100,Wriddhiman Saha,54,26,207.69,8,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
101,Kedar Jadhav,28,14,200,2,2,RR,Arun Jaitley Stadium,03 May 2014
102,Corey Anderson,20,10,200,1,2,CSK,Brabourne Stadium,28 May 2014
103,Albie Morkel,16,8,200,0,2,PBKS,M. Chinnaswamy Stadium,09 May 2014
104,Michael Hussey,22,11,200,1,2,RR,Wankhede Stadium,25 May 2014
105,David Warner,34,18,188.88,3,2,KKR,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
106,Karun Nair,50,27,185.18,7,2,MI,Wankhede Stadium,25 May 2014
107,Kedar Jadhav,37,20,185,3,2,RCB,M. Chinnaswamy Stadium,13 May 2014
108,Kevin Pietersen,35,19,184.21,4,2,SRH,Arun Jaitley Stadium,10 May 2014
109,Yuvraj Singh,22,12,183.33,1,2,KKR,Eden Gardens,22 May 2014
110,David Warner,55,31,177.41,6,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
111,Shaun Marsh,30,17,176.47,2,2,MI,IS Bindra Stadium,21 May 2014
112,Brad Hodge,31,18,172.22,2,2,PBKS,IS Bindra Stadium,23 May 2014
113,Rilee Rossouw,24,14,171.42,1,2,MI,Wankhede Stadium,06 May 2014
114,Ryan ten Doeschate,17,10,170,0,2,PBKS,Eden Gardens,28 May 2014
115,Michael Hussey,56,33,169.69,7,2,DC,Wankhede Stadium,23 May 2014
116,Yusuf Pathan,22,13,169.23,1,2,RCB,Eden Gardens,22 May 2014
117,Suresh Raina,54,32,168.75,4,2,MI,Brabourne Stadium,28 May 2014
118,Glenn Maxwell,45,27,166.66,5,2,MI,Wankhede Stadium,03 May 2014
119,Lendl Simmons,100,61,163.93,14,2,PBKS,IS Bindra Stadium,21 May 2014
120,Kedar Jadhav,29,18,161.11,2,2,CSK,Arun Jaitley Stadium,05 May 2014
121,Shane Watson,16,10,160,0,2,DC,Arun Jaitley Stadium,03 May 2014
122,Shane Watson,31,20,155,2,2,KKR,Narendra Modi Stadium,05 May 2014
123,Virender Sehwag,17,11,154.54,1,2,MI,IS Bindra Stadium,21 May 2014
124,George Bailey,26,17,152.94,1,2,KKR,Eden Gardens,28 May 2014
125,David Hussey,50,33,151.51,5,2,SRH,JSCA Stadium,22 May 2014
126,Quinton de Kock,24,16,150,3,2,CSK,Arun Jaitley Stadium,05 May 2014
127,Ambati Rayudu,68,46,147.82,7,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
128,James Faulkner,31,21,147.61,1,2,MI,Narendra Modi Stadium,19 May 2014
129,Dhawal Kulkarni,28,19,147.36,0,2,CSK,Dubai International Stadium,23 April 2014
130,David Miller,47,32,146.87,5,2,CSK,Barabati Stadium,07 May 2014
131,Brendon McCullum,19,13,146.15,1,2,RCB,JSCA Stadium,18 May 2014
132,Karun Nair,73,50,146,8,2,DC,Arun Jaitley Stadium,03 May 2014
133,David Miller,29,20,145,0,2,RR,IS Bindra Stadium,23 May 2014
134,Michael Hussey,56,39,143.58,3,2,RR,Narendra Modi Stadium,19 May 2014
135,Chris Gayle,27,19,142.1,3,2,SRH,M. Chinnaswamy Stadium,04 May 2014
136,Dinesh Karthik,56,40,140,5,2,KKR,Dubai International Stadium,19 April 2014
137,Corey Anderson,35,25,140,3,2,PBKS,Wankhede Stadium,03 May 2014
138,Brendon McCullum,56,40,140,5,2,KKR,JSCA Stadium,02 May 2014
139,Robin Uthappa,42,30,140,4,2,PBKS,Eden Gardens,28 May 2014
140,Yusuf Pathan,39,28,139.28,2,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 May 2014
141,Manoj Tiwary,61,44,138.63,5,2,RR,Narendra Modi Stadium,15 May 2014
142,David Miller,47,34,138.23,4,2,DC,IS Bindra Stadium,25 May 2014
143,Robin Uthappa,41,30,136.66,4,2,SRH,Eden Gardens,24 May 2014
144,Brendon McCullum,71,53,133.96,8,2,MI,Dubai International Stadium,25 April 2014
145,Shikhar Dhawan,64,49,130.61,4,2,CSK,JSCA Stadium,22 May 2014
146,Dinesh Karthik,39,30,130,1,2,SRH,Arun Jaitley Stadium,10 May 2014
147,George Bailey,39,30,130,2,2,MI,IS Bindra Stadium,21 May 2014
148,Stuart Binny,22,17,129.41,0,2,CSK,JSCA Stadium,13 May 2014
149,Manan Vohra,67,52,128.84,6,2,KKR,M. Chinnaswamy Stadium,01 June 2014
150,Brendon McCullum,14,11,127.27,0,2,MI,Brabourne Stadium,28 May 2014
