POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Kieron Pollard,87,34,255.88,6,8,CSK,Arun Jaitley Stadium,01 May 2021
2,KL Rahul,98,42,233.33,7,8,CSK,Dubai International Stadium,07 October 2021
3,Jos Buttler,124,64,193.75,11,8,SRH,Arun Jaitley Stadium,02 May 2021
4,Ambati Rayudu,72,27,266.66,4,7,MI,Arun Jaitley Stadium,01 May 2021
5,Sanju Samson,119,63,188.88,12,7,PBKS,Wankhede Stadium,12 April 2021
6,Andre Russell,54,22,245.45,3,6,CSK,Wankhede Stadium,21 April 2021
7,Deepak Hooda,64,28,228.57,4,6,RR,Wankhede Stadium,12 April 2021
8,Devdutt Padikkal,101,52,194.23,11,6,RR,Wankhede Stadium,22 April 2021
9,Pat Cummins,66,34,194.11,4,6,CSK,Wankhede Stadium,21 April 2021
10,Ravindra Jadeja,62,28,221.42,4,5,RCB,Wankhede Stadium,25 April 2021
11,KL Rahul,91,50,182,7,5,RR,Wankhede Stadium,12 April 2021
12,AB de Villiers,75,42,178.57,3,5,DC,Narendra Modi Stadium,27 April 2021
13,Ruturaj Gaikwad,101,60,168.33,9,5,RR,Zayed Cricket Stadium,02 October 2021
14,Jason Holder,47,29,162.06,0,5,PBKS,Sharjah Cricket Stadium,25 September 2021
15,Moeen Ali,58,36,161.11,5,5,MI,Arun Jaitley Stadium,01 May 2021
16,KL Rahul,91,57,159.64,7,5,RCB,Narendra Modi Stadium,30 April 2021
17,Ishan Kishan,84,32,262.5,11,4,SRH,Zayed Cricket Stadium,08 October 2021
18,Mahipal Lomror,43,17,252.94,2,4,PBKS,Dubai International Stadium,21 September 2021
19,Shimron Hetmyer,53,25,212,2,4,RCB,Narendra Modi Stadium,27 April 2021
20,Jonny Bairstow,38,18,211.11,3,4,DC,Chidambaram,25 April 2021
21,Chris Morris,36,18,200,0,4,DC,Wankhede Stadium,15 April 2021
22,Jonny Bairstow,43,22,195.45,3,4,MI,Chidambaram,17 April 2021
23,Mayank Agarwal,69,36,191.66,7,4,DC,Wankhede Stadium,18 April 2021
24,Faf du Plessis,50,28,178.57,2,4,MI,Arun Jaitley Stadium,01 May 2021
25,Glenn Maxwell,57,33,172.72,3,4,PBKS,Sharjah Cricket Stadium,03 October 2021
26,Mayank Agarwal,99,58,170.68,8,4,DC,Narendra Modi Stadium,02 May 2021
27,Andre Russell,45,27,166.66,2,4,DC,Narendra Modi Stadium,29 April 2021
28,Faf du Plessis,95,60,158.33,9,4,KKR,Wankhede Stadium,21 April 2021
29,Ruturaj Gaikwad,64,42,152.38,6,4,KKR,Wankhede Stadium,21 April 2021
30,Shivam Dube,64,42,152.38,4,4,CSK,Zayed Cricket Stadium,02 October 2021
31,Ruturaj Gaikwad,88,58,151.72,9,4,MI,Dubai International Stadium,19 September 2021
32,K.S Bharat,78,52,150,3,4,DC,Dubai International Stadium,08 October 2021
33,Suresh Raina,54,36,150,3,4,DC,Wankhede Stadium,10 April 2021
34,Nitish Rana,80,56,142.85,9,4,SRH,Chidambaram,11 April 2021
35,Dwayne Bravo,23,8,287.5,0,3,MI,Dubai International Stadium,19 September 2021
36,Yashasvi Jaiswal,50,21,238.09,6,3,CSK,Zayed Cricket Stadium,02 October 2021
37,Riyan Parag,25,11,227.27,1,3,PBKS,Wankhede Stadium,12 April 2021
38,AB de Villiers,76,34,223.52,9,3,KKR,Chidambaram,18 April 2021
39,Robin Uthappa,31,15,206.66,0,3,KKR,Dubai International Stadium,15 October 2021
40,Suryakumar Yadav,82,40,205,13,3,SRH,Zayed Cricket Stadium,08 October 2021
41,Ishan Kishan,50,25,200,5,3,RR,Sharjah Cricket Stadium,05 October 2021
42,Prithvi Shaw,82,41,200,11,3,KKR,Narendra Modi Stadium,29 April 2021
43,Prithvi Shaw,72,38,189.47,9,3,CSK,Wankhede Stadium,10 April 2021
44,Moeen Ali,37,20,185,2,3,KKR,Dubai International Stadium,15 October 2021
45,Prithvi Shaw,39,22,177.27,3,3,PBKS,Narendra Modi Stadium,02 May 2021
46,Venkatesh Iyer,53,30,176.66,4,3,MI,Zayed Cricket Stadium,23 September 2021
47,Prithvi Shaw,60,34,176.47,7,3,CSK,Dubai International Stadium,10 October 2021
48,Rahul Tripathi,74,42,176.19,8,3,MI,Zayed Cricket Stadium,23 September 2021
49,Sunil Narine,26,15,173.33,0,3,RCB,Sharjah Cricket Stadium,11 October 2021
50,Chris Jordan,30,18,166.66,1,3,KKR,Narendra Modi Stadium,26 April 2021
51,Glenn Maxwell,78,49,159.18,9,3,KKR,Chidambaram,18 April 2021
52,Kieron Pollard,35,22,159.09,1,3,SRH,Chidambaram,17 April 2021
53,Ambati Rayudu,27,17,158.82,0,3,RR,Wankhede Stadium,19 April 2021
54,Evin Lewis,58,37,156.75,5,3,RCB,Dubai International Stadium,29 September 2021
55,Venkatesh Iyer,50,32,156.25,5,3,CSK,Dubai International Stadium,15 October 2021
56,Virat Kohli,72,47,153.19,6,3,RR,Wankhede Stadium,22 April 2021
57,Glenn Maxwell,56,37,151.35,6,3,MI,Dubai International Stadium,26 September 2021
58,Mayank Agarwal,40,27,148.14,3,3,KKR,Dubai International Stadium,01 October 2021
59,Rohit Sharma,44,30,146.66,3,3,DC,Chidambaram,20 April 2021
60,Faf du Plessis,86,59,145.76,7,3,KKR,Dubai International Stadium,15 October 2021
61,Glenn Maxwell,59,41,143.9,5,3,SRH,Chidambaram,14 April 2021
62,Sanju Samson,82,57,143.85,7,3,SRH,Dubai International Stadium,27 September 2021
63,Ruturaj Gaikwad,40,28,142.85,2,3,KKR,Zayed Cricket Stadium,26 September 2021
64,Chris Lynn,49,35,140,4,3,RCB,Chidambaram,09 April 2021
