POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Sanju Samson,74,32,231.25,1,9,CSK,Sharjah Cricket Stadium,22 September 2020
2,Ishan Kishan,99,58,170.68,2,9,RCB,Dubai International Stadium,28 September 2020
3,Manish Pandey,83,47,176.59,4,8,RR,Dubai International Stadium,22 October 2020
4,Chris Gayle,99,63,157.14,6,8,RR,Zayed Cricket Stadium,30 October 2020
5,Hardik Pandya,60,21,285.71,2,7,RR,Zayed Cricket Stadium,25 October 2020
6,Mayank Agarwal,106,50,212,10,7,RR,Sharjah Cricket Stadium,27 September 2020
7,Nicholas Pooran,77,37,208.1,5,7,SRH,Dubai International Stadium,08 October 2020
8,Sanju Samson,85,42,202.38,4,7,PBKS,Sharjah Cricket Stadium,27 September 2020
9,Faf du Plessis,72,37,194.59,1,7,RR,Sharjah Cricket Stadium,22 September 2020
10,KL Rahul,132,69,191.3,14,7,RCB,Dubai International Stadium,24 September 2020
11,Rahul Tewatia,53,31,170.96,0,7,PBKS,Sharjah Cricket Stadium,27 September 2020
12,AB de Villiers,55,22,250,1,6,RR,Dubai International Stadium,17 October 2020
13,Shreyas Iyer,88,38,231.57,7,6,KKR,Sharjah Cricket Stadium,03 October 2020
14,AB de Villiers,73,33,221.21,5,6,KKR,Sharjah Cricket Stadium,12 October 2020
15,Eoin Morgan,68,35,194.28,5,6,RR,Dubai International Stadium,01 November 2020
16,Jonny Bairstow,97,55,176.36,7,6,PBKS,Dubai International Stadium,08 October 2020
17,Rohit Sharma,80,54,148.14,3,6,KKR,Zayed Cricket Stadium,23 September 2020
18,Hardik Pandya,37,14,264.28,0,5,DC,Dubai International Stadium,05 November 2020
19,Kieron Pollard,60,24,250,3,5,RCB,Dubai International Stadium,28 September 2020
20,Eoin Morgan,44,18,244.44,1,5,DC,Sharjah Cricket Stadium,03 October 2020
21,Shimron Hetmyer,45,24,187.5,1,5,RR,Sharjah Cricket Stadium,09 October 2020
22,Ishan Kishan,68,37,183.78,6,5,CSK,Sharjah Cricket Stadium,23 October 2020
23,Chris Gayle,51,29,175.86,2,5,KKR,Sharjah Cricket Stadium,26 October 2020
24,Jos Buttler,70,44,159.09,4,5,MI,Zayed Cricket Stadium,06 October 2020
25,KL Rahul,61,49,124.48,1,5,RCB,Sharjah Cricket Stadium,15 October 2020
26,Chris Gayle,53,45,117.77,1,5,RCB,Sharjah Cricket Stadium,15 October 2020
27,Jofra Archer,27,8,337.5,0,4,CSK,Sharjah Cricket Stadium,22 September 2020
