POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Chris Gayle,107,49,218.36,10,9,PBKS,M. Chinnaswamy Stadium,06 May 2011
2,Adam Gilchrist,106,55,192.72,8,9,RCB,HPCA Stadium,17 May 2011
3,Chris Gayle,102,55,185.45,10,7,KKR,Eden Gardens,22 April 2011
4,Virender Sehwag,119,56,212.5,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
5,Shaun Marsh,95,46,206.52,9,6,DC,Arun Jaitley Stadium,23 April 2011
6,Shane Watson,89,47,189.36,9,6,MI,Wankhede Stadium,20 May 2011
7,Murali Vijay,95,52,182.69,4,6,RCB,Chidambaram,28 May 2011
8,MS Dhoni,70,40,175,3,6,RCB,M. Chinnaswamy Stadium,22 May 2011
9,Chris Gayle,75,50,150,4,6,CSK,M. Chinnaswamy Stadium,22 May 2011
10,Suresh Raina,73,50,146,4,6,RCB,Wankhede Stadium,24 May 2011
11,Chris Gayle,44,16,275,3,5,KTK,M. Chinnaswamy Stadium,08 May 2011
12,Jesse Ryder,60,27,222.22,5,5,DC,DY Patil Stadium,17 April 2011
13,Dinesh Karthik,69,33,209.09,7,5,KTK,Holkar Cricket Stadium,13 May 2011
14,Yuvraj Singh,66,32,206.25,4,5,DC,DY Patil Stadium,17 April 2011
15,Chris Gayle,89,47,189.36,9,5,MI,Chidambaram,27 May 2011
16,Rohit Sharma,87,48,181.25,8,5,CSK,Wankhede Stadium,22 April 2011
17,Virender Sehwag,80,47,170.21,8,5,KTK,Jawaharlal Nehru Stadium,30 April 2011
18,Shaun Marsh,79,49,161.22,7,5,RCB,HPCA Stadium,17 May 2011
19,Paul Valthaty,75,47,159.57,8,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
20,AB de Villiers,54,40,135,1,5,KTK,Jawaharlal Nehru Stadium,09 April 2011
21,Brendon McCullum,29,12,241.66,1,4,RR,Holkar Cricket Stadium,15 May 2011
22,Virender Sehwag,77,35,220,8,4,PBKS,Arun Jaitley Stadium,23 April 2011
23,MS Dhoni,63,31,203.22,5,4,DC,Chidambaram,12 May 2011
24,Chris Gayle,49,26,188.46,4,4,PWI,M. Chinnaswamy Stadium,29 April 2011
25,Sunny Sohal,56,30,186.66,6,4,CSK,Chidambaram,01 May 2011
26,JP Duminy,55,31,177.41,2,4,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
27,Murali Vijay,74,43,172.09,6,4,PBKS,IS Bindra Stadium,13 April 2011
28,Ambati Rayudu,53,33,160.6,3,4,KTK,Wankhede Stadium,15 April 2011
29,David Warner,77,48,160.41,7,4,PBKS,Arun Jaitley Stadium,23 April 2011
30,Virat Kohli,67,42,159.52,4,4,PWI,M. Chinnaswamy Stadium,29 April 2011
31,Chris Gayle,70,44,159.09,7,4,RR,Sawai Mansingh Stadium,11 May 2011
32,Venugopal Rao,60,40,150,4,4,RR,Sawai Mansingh Stadium,12 April 2011
33,Yuvraj Singh,62,43,144.18,3,4,CSK,DY Patil Stadium,27 April 2011
34,Albie Morkel,19,6,316.66,0,3,DEC,Chidambaram,01 May 2011
35,Albie Morkel,28,10,280,1,3,RCB,Wankhede Stadium,24 May 2011
36,Tirumalasetti Suman,36,16,225,3,3,PWI,DY Patil Stadium,04 May 2011
37,MS Dhoni,41,19,215.78,3,3,RR,Sawai Mansingh Stadium,09 May 2011
38,Yusuf Pathan,46,24,191.66,3,3,RCB,Eden Gardens,22 April 2011
39,Yusuf Pathan,47,26,180.76,3,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,03 May 2011
